indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_-8db,N,New_N_001.wav,0.002214200096204877
1,SNR_-8db,N,New_N_002.wav,0.00200889992993325
2,SNR_-8db,AS,New_AS_001.wav,0.0025447000516578555
3,SNR_-8db,AS,New_AS_002.wav,0.0021594000281766057
4,SNR_-8db,MR,New_MR_001.wav,0.0022625999990850687
5,SNR_-8db,MR,New_MR_002.wav,0.0035149999894201756
6,SNR_-8db,MS,New_MS_001.wav,0.003080999944359064
7,SNR_-8db,MS,New_MS_002.wav,0.0031832000240683556
8,SNR_-8db,MVP,New_MVP_001.wav,0.0027723999228328466
9,SNR_-8db,MVP,New_MVP_002.wav,0.004475199966691434
