indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_8db,N,New_N_001.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.2822102024066074,2x212,0.015471799997612834,32,0.16644386650919252,0.2582418504088129,0.013029900030232966,8,0.08554517211539182,0.21647666292465434,0.0011298999888822436,2,0.10726417629906403,0.1172147676383718,0.00040819996502250433
1,SNR_8db,N,New_N_002.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.2820301117311753,2x212,0.014975799946114421,32,0.16481531615795358,0.2625718868543364,0.011755599989555776,8,0.08455649652856528,0.2200905230067781,0.0016104999231174588,2,0.10955713898071502,0.09989220668116003,0.000714499969035387
2,SNR_8db,AS,New_AS_001.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.4284591925154379,2x212,0.013076699920929968,32,0.22769801835930598,0.25087391478536586,0.010853799991309643,8,0.10255959239504099,0.23607910549772157,0.0010524000972509384,2,0.25238679346918613,0.35352295873506645,0.0003894000547006726
3,SNR_8db,AS,New_AS_002.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.4063211535413349,2x212,0.01357429998461157,32,0.21565514808843528,0.25169876523759876,0.01134760002605617,8,0.09766972611197647,0.23251344124285428,0.001074100029654801,2,0.22256920195021118,0.3352028879814309,0.00039379997178912163
4,SNR_8db,MR,New_MR_001.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.36574180771380455,2x212,0.01327840005978942,32,0.21794964334547776,0.26193466169042995,0.010029299999587238,8,0.09999367793558597,0.24933404743123497,0.001602299977093935,2,0.1769312644461062,0.2020786979946373,0.0007278000703081489
5,SNR_8db,MR,New_MR_002.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.39673236322506644,2x212,0.012181299971416593,32,0.23047723354856647,0.25317840869804725,0.01006889995187521,8,0.11507788128714899,0.20725071431301334,0.0009944000048562884,2,0.20461352868643737,0.2913956537701412,0.0004008000250905752
6,SNR_8db,MS,New_MS_001.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.3302560054611766,2x212,0.013861800078302622,32,0.19328272071369554,0.25638862859354095,0.01159070001449436,8,0.09181581688475128,0.2089089942744524,0.0011953000212088227,2,0.1592369132784409,0.16644736284838157,0.000367600005120039
7,SNR_8db,MS,New_MS_002.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.321889034884796,2x212,0.013235899969004095,32,0.18520706088614575,0.2638081479338748,0.011063899961300194,8,0.0966255526829861,0.2558423263138061,0.0010037999600172043,2,0.1464750059437878,0.16294594305450696,0.00037759996484965086
8,SNR_8db,MVP,New_MVP_001.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.4599058310437912,2x212,0.014454799937084317,32,0.19286730654103296,0.23774546080220818,0.01208570005837828,8,0.10637940591103284,0.1479835016736355,0.0010946000693365932,2,0.3160815021661151,0.03609061402057415,0.00038680003490298986
9,SNR_8db,MVP,New_MVP_002.wav,32-8-2,DeepONMF_H3,3,nndsvd,0.46238156615113807,2x212,0.013057900010608137,32,0.17501820513014704,0.24467059059665527,0.010569899925030768,8,0.07783581279345046,0.1544206045797106,0.001187100075185299,2,0.37566641252522304,0.03549980869612601,0.00041660002898424864
