clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
SVM,STFT,1,PROMEDIO_MACRO,197,797,3,3,0.9940000000000001,0.985,0.9962500000000001,0.9855981416957027,0.990625,200
SVM,STFT,2,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.985,0.9420441347270616,0.9625,200
SVM,STFT,3,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9650823994726434,0.978125,200
SVM,STFT,4,PROMEDIO_MACRO,197,797,3,3,0.9940000000000001,0.985,0.9962500000000001,0.9855981416957027,0.990625,200
SVM,STFT,5,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9949999999999999,0.981046511627907,0.9875,200
SVM,MFCC,1,PROMEDIO_MACRO,199,799,1,1,0.998,0.9949999999999999,0.99875,0.9951219512195122,0.996875,200
SVM,MFCC,2,PROMEDIO_MACRO,198,798,2,2,0.9960000000000001,0.99,0.9974999999999999,0.9904761904761905,0.99375,200
SVM,MFCC,3,PROMEDIO_MACRO,199,799,1,1,0.998,0.9949999999999999,0.99875,0.9951219512195122,0.996875,200
SVM,MFCC,4,PROMEDIO_MACRO,198,798,2,2,0.9960000000000001,0.99,0.9974999999999999,0.9902439024390244,0.99375,200
SVM,MFCC,5,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9950000000000001,0.9809183064997018,0.9875,200
SVM,MelSpectrogram,1,PROMEDIO_MACRO,197,797,3,3,0.994,0.9850000000000001,0.9962500000000001,0.9854761904761904,0.990625,200
SVM,MelSpectrogram,2,PROMEDIO_MACRO,191,791,9,9,0.982,0.9550000000000001,0.9887499999999999,0.9560859465737515,0.971875,200
SVM,MelSpectrogram,3,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9603263019116678,0.975,200
SVM,MelSpectrogram,4,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9950000000000001,0.9811684628474191,0.9875,200
SVM,MelSpectrogram,5,PROMEDIO_MACRO,197,797,3,3,0.9940000000000001,0.9850000000000001,0.9962500000000001,0.9860465116279069,0.990625,200
SVM,LogMelSpectrogram,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9949999999999999,0.9799937460913071,0.9875,200
SVM,LogMelSpectrogram,2,PROMEDIO_MACRO,194,794,6,6,0.9879999999999999,0.97,0.9925,0.9711904761904762,0.98125,200
SVM,LogMelSpectrogram,3,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9652130325814536,0.978125,200
SVM,LogMelSpectrogram,4,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9950000000000001,0.9803479853479853,0.9875,200
SVM,LogMelSpectrogram,5,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9950000000000001,0.9805860805860807,0.9875,200
SVM,DeepONMF_W,1,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.93625,0.7583913043478261,0.840625,200
SVM,DeepONMF_W,2,PROMEDIO_MACRO,137,737,63,63,0.874,0.685,0.9212499999999999,0.6800490531140685,0.803125,200
SVM,DeepONMF_W,3,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.6799999999999999,0.9199999999999999,0.6848135383527747,0.8,200
SVM,DeepONMF_W,4,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7201032306375694,0.825,200
SVM,DeepONMF_W,5,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237500000000001,0.6998936471922859,0.809375,200
SVM,DeepONMF_H3,1,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8821805645335056,0.921875,200
SVM,DeepONMF_H3,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9724999999999999,0.8916736194293822,0.93125,200
SVM,DeepONMF_H3,3,PROMEDIO_MACRO,172,772,28,28,0.944,0.8600000000000001,0.9650000000000001,0.8671097156811441,0.9125,200
SVM,DeepONMF_H3,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8763234591495461,0.921875,200
SVM,DeepONMF_H3,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9292102596917827,0.953125,200
KNN,STFT,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.975609756097561,0.984375,200
KNN,STFT,2,PROMEDIO_MACRO,187,787,13,13,0.974,0.9349999999999999,0.98375,0.9360801393728224,0.959375,200
KNN,STFT,3,PROMEDIO_MACRO,187,787,13,13,0.9739999999999999,0.9349999999999999,0.9837499999999999,0.9354578754578755,0.959375,200
KNN,STFT,4,PROMEDIO_MACRO,194,794,6,6,0.9880000000000001,0.97,0.9925,0.9703595997498435,0.98125,200
KNN,STFT,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.96111293548676,0.975,200
KNN,MFCC,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9799999999999999,0.9949999999999999,0.9802376485303315,0.9875,200
KNN,MFCC,2,PROMEDIO_MACRO,197,797,3,3,0.9940000000000001,0.985,0.9962499999999999,0.9855981416957027,0.990625,200
KNN,MFCC,3,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.974987492182614,0.984375,200
KNN,MFCC,4,PROMEDIO_MACRO,194,794,6,6,0.9880000000000001,0.97,0.9925,0.9718181818181819,0.98125,200
KNN,MFCC,5,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9682539682539684,0.978125,200
KNN,MelSpectrogram,1,PROMEDIO_MACRO,196,796,4,4,0.9920000000000002,0.9800000000000001,0.9949999999999999,0.9807142857142856,0.9875,200
KNN,MelSpectrogram,2,PROMEDIO_MACRO,187,787,13,13,0.974,0.9349999999999999,0.98375,0.9375862301812387,0.959375,200
KNN,MelSpectrogram,3,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.9455552577503796,0.965625,200
KNN,MelSpectrogram,4,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9655860805860806,0.978125,200
KNN,MelSpectrogram,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.96111293548676,0.975,200
KNN,LogMelSpectrogram,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9799999999999999,0.9949999999999999,0.9804511278195489,0.9875,200
KNN,LogMelSpectrogram,2,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9678646934460888,0.978125,200
KNN,LogMelSpectrogram,3,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9602635213610824,0.975,200
KNN,LogMelSpectrogram,4,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9702127659574469,0.978125,200
KNN,LogMelSpectrogram,5,PROMEDIO_MACRO,194,794,6,6,0.9879999999999999,0.9700000000000001,0.9925,0.9720620842572062,0.98125,200
KNN,DeepONMF_W,1,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.5800000000000001,0.8949999999999999,0.6216299553794788,0.7375,200
KNN,DeepONMF_W,2,PROMEDIO_MACRO,110,710,90,90,0.82,0.55,0.8875,0.5609882193868626,0.71875,200
KNN,DeepONMF_W,3,PROMEDIO_MACRO,103,703,97,97,0.806,0.515,0.8787499999999999,0.5402832083171065,0.696875,200
KNN,DeepONMF_W,4,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.5800000000000001,0.8950000000000001,0.5858776091081593,0.7375,200
KNN,DeepONMF_W,5,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.88375,0.552725203814133,0.7093750000000001,200
KNN,DeepONMF_H3,1,PROMEDIO_MACRO,152,752,48,48,0.9039999999999999,0.76,0.9400000000000001,0.7936305512193754,0.85,200
KNN,DeepONMF_H3,2,PROMEDIO_MACRO,153,753,47,47,0.906,0.765,0.9412499999999999,0.8055348244726688,0.853125,200
KNN,DeepONMF_H3,3,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7,0.925,0.7480746746401395,0.8125,200
KNN,DeepONMF_H3,4,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8162128833096574,0.865625,200
KNN,DeepONMF_H3,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.9337499999999999,0.8080092592592593,0.834375,200
UjaNet,STFT,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9799999999999999,0.9949999999999999,0.9811684628474191,0.9875,200
UjaNet,STFT,2,PROMEDIO_MACRO,191,791,9,9,0.982,0.9550000000000001,0.9887499999999999,0.9575151136126745,0.971875,200
UjaNet,STFT,3,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9758362369337978,0.984375,200
UjaNet,STFT,4,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9612711586112189,0.975,200
UjaNet,STFT,5,PROMEDIO_MACRO,197,797,3,3,0.994,0.985,0.9962499999999999,0.9851219512195122,0.990625,200
UjaNet,MFCC,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9950000000000001,0.9802376485303315,0.9875,200
UjaNet,MFCC,2,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.9515622389306599,0.96875,200
UjaNet,MFCC,3,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9949999999999999,0.9802376485303315,0.9875,200
UjaNet,MFCC,4,PROMEDIO_MACRO,191,791,9,9,0.982,0.9549999999999998,0.9887499999999999,0.9559639953542393,0.971875,200
UjaNet,MFCC,5,PROMEDIO_MACRO,196,796,4,4,0.9920000000000002,0.9800000000000001,0.9949999999999999,0.9804761904761905,0.9875,200
UjaNet,MelSpectrogram,1,PROMEDIO_MACRO,200,800,0,0,1.0,1.0,1.0,1.0,1.0,200
UjaNet,MelSpectrogram,2,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9757142857142858,0.984375,200
UjaNet,MelSpectrogram,3,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.9899999999999999,0.9611118946513161,0.975,200
UjaNet,MelSpectrogram,4,PROMEDIO_MACRO,194,794,6,6,0.9879999999999999,0.97,0.9924999999999999,0.9712595442093607,0.98125,200
UjaNet,MelSpectrogram,5,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9757200929152148,0.984375,200
UjaNet,LogMelSpectrogram,1,PROMEDIO_MACRO,198,798,2,2,0.9960000000000001,0.99,0.9974999999999999,0.9902439024390244,0.99375,200
UjaNet,LogMelSpectrogram,2,PROMEDIO_MACRO,194,794,6,6,0.9879999999999999,0.97,0.9925,0.9716899766899767,0.98125,200
UjaNet,LogMelSpectrogram,3,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9604685494223364,0.975,200
UjaNet,LogMelSpectrogram,4,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9759053049526824,0.984375,200
UjaNet,LogMelSpectrogram,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.9600000000000002,0.99,0.960961744501166,0.975,200
UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,171,771,29,29,0.9420000000000002,0.8549999999999999,0.9637499999999999,0.8602795626442843,0.909375,200
UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.9637499999999999,0.8610359897971879,0.909375,200
UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9525,0.8198820922394562,0.88125,200
UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8275575698097117,0.890625,200
UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8389593254581813,0.896875,200
UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.9759523809523809,0.984375,200
UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.908460414892874,0.940625,200
UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.9850000000000001,0.9417441860465117,0.9625,200
UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9252925935852765,0.953125,200
UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.9503919907102283,0.96875,200
