clase,archivo,tSNE_1,tSNE_2
N,New_N_001.wav,19.186344,3.2089376
N,New_N_002.wav,15.8226,-0.19353816
N,New_N_003.wav,21.021702,2.667467
N,New_N_004.wav,20.779997,3.119058
N,New_N_005.wav,19.560116,1.4687722
N,New_N_006.wav,21.333761,2.5002716
N,New_N_007.wav,17.550472,3.44001
N,New_N_008.wav,19.73481,2.0819552
N,New_N_009.wav,16.283709,0.0896545
N,New_N_010.wav,18.445623,0.10891423
N,New_N_011.wav,21.849733,2.9049845
N,New_N_012.wav,17.787249,2.8964417
N,New_N_013.wav,15.683998,3.4092972
N,New_N_014.wav,17.6952,4.232951
N,New_N_015.wav,20.49509,0.9325063
N,New_N_016.wav,17.066536,3.2161553
N,New_N_017.wav,17.879463,2.6823518
N,New_N_018.wav,17.864262,4.3049927
N,New_N_019.wav,18.42129,2.1759162
N,New_N_020.wav,20.47141,3.4224002
N,New_N_021.wav,16.755306,-0.5745533
N,New_N_022.wav,20.211159,2.0577624
N,New_N_023.wav,17.152855,-0.91519064
N,New_N_024.wav,21.010857,0.2539638
N,New_N_025.wav,18.804165,0.3971915
N,New_N_026.wav,17.072271,3.3243942
N,New_N_027.wav,17.60989,0.72120994
N,New_N_028.wav,19.997627,1.8725241
N,New_N_029.wav,18.134571,4.248613
N,New_N_030.wav,16.764828,2.462103
N,New_N_031.wav,18.080769,0.5263315
N,New_N_032.wav,21.840631,3.4643204
N,New_N_033.wav,19.485664,4.213056
N,New_N_034.wav,20.344162,3.4692469
N,New_N_035.wav,17.289652,0.12012791
N,New_N_036.wav,15.630218,3.136063
N,New_N_037.wav,2.1214435,31.863117
N,New_N_038.wav,2.1216717,31.860722
N,New_N_039.wav,2.1218243,31.862347
N,New_N_040.wav,2.1216996,31.861351
N,New_N_041.wav,21.7313,19.730698
N,New_N_042.wav,23.424696,20.007126
N,New_N_043.wav,24.441513,25.085323
N,New_N_044.wav,23.587074,21.884365
N,New_N_045.wav,21.724634,20.711336
N,New_N_046.wav,23.198349,21.10139
N,New_N_047.wav,24.834429,21.86841
N,New_N_048.wav,22.516249,21.109451
N,New_N_049.wav,22.827911,22.183138
N,New_N_050.wav,23.628407,23.116209
N,New_N_051.wav,22.73578,22.346428
N,New_N_052.wav,25.099728,23.408875
N,New_N_053.wav,23.673183,20.751183
N,New_N_054.wav,25.149233,23.97204
N,New_N_055.wav,22.378113,19.784323
N,New_N_056.wav,22.32219,23.045511
N,New_N_057.wav,24.289732,22.75076
N,New_N_058.wav,23.342754,20.063122
N,New_N_059.wav,21.565254,23.530247
N,New_N_060.wav,23.592949,24.078955
N,New_N_061.wav,25.079742,24.412485
N,New_N_062.wav,24.114483,24.729242
N,New_N_063.wav,22.287535,22.357582
N,New_N_064.wav,24.14677,22.928755
N,New_N_065.wav,23.657906,22.49021
N,New_N_066.wav,24.298471,25.151117
N,New_N_067.wav,22.919168,20.854721
N,New_N_068.wav,23.489817,24.49956
N,New_N_069.wav,20.660881,7.4247446
N,New_N_070.wav,21.24528,5.0500484
N,New_N_071.wav,20.184328,7.531206
N,New_N_072.wav,20.254864,6.6744018
N,New_N_073.wav,20.244675,7.2873363
N,New_N_074.wav,20.136593,8.152596
N,New_N_075.wav,20.259003,8.8826
N,New_N_076.wav,20.864893,8.448761
N,New_N_077.wav,19.309137,8.884568
N,New_N_078.wav,19.94983,8.842379
N,New_N_079.wav,20.470097,8.147947
N,New_N_080.wav,19.597939,9.689669
N,New_N_081.wav,15.586885,-0.682815
N,New_N_082.wav,19.711493,6.433796
N,New_N_083.wav,20.961493,9.222098
N,New_N_084.wav,20.863928,7.698997
