clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,47.01398,1.1834104
AS,New_AS_002.wav,47.038902,0.53433293
AS,New_AS_003.wav,45.739697,0.7521899
AS,New_AS_004.wav,46.348164,0.5844642
AS,New_AS_005.wav,45.723553,0.7511358
AS,New_AS_006.wav,46.776585,0.51259387
AS,New_AS_007.wav,46.089256,0.50930446
AS,New_AS_008.wav,46.63987,1.3666197
AS,New_AS_009.wav,46.111683,0.22444047
AS,New_AS_010.wav,46.639187,0.7630239
AS,New_AS_011.wav,46.464355,0.15642497
AS,New_AS_012.wav,46.903793,1.0324616
AS,New_AS_013.wav,46.114334,1.1297543
AS,New_AS_014.wav,45.753223,1.2593665
AS,New_AS_015.wav,45.82626,0.47789422
AS,New_AS_016.wav,46.451054,1.082754
AS,New_AS_017.wav,46.43224,0.20066638
AS,New_AS_018.wav,46.170856,1.1861074
AS,New_AS_019.wav,46.577766,1.3596178
AS,New_AS_020.wav,45.7756,1.4195142
AS,New_AS_021.wav,45.813683,0.9044975
AS,New_AS_022.wav,46.331196,1.5685098
AS,New_AS_023.wav,46.615345,0.18037611
AS,New_AS_024.wav,46.98816,0.47605056
AS,New_AS_025.wav,30.013208,-14.725419
AS,New_AS_026.wav,26.253508,-17.140526
AS,New_AS_027.wav,29.524416,-17.943108
AS,New_AS_028.wav,28.279568,-18.973942
AS,New_AS_029.wav,29.060202,-18.621313
AS,New_AS_030.wav,29.578909,-18.928843
AS,New_AS_031.wav,28.477728,-18.45387
AS,New_AS_032.wav,30.635563,-19.524063
AS,New_AS_033.wav,28.868301,-14.959124
AS,New_AS_034.wav,32.03077,-18.48977
AS,New_AS_035.wav,26.164537,-19.704157
AS,New_AS_036.wav,28.437494,-18.448627
AS,New_AS_037.wav,28.470709,-17.478165
AS,New_AS_038.wav,30.478094,-19.25995
AS,New_AS_039.wav,30.186096,-16.317678
AS,New_AS_040.wav,27.229568,-16.554764
AS,New_AS_041.wav,29.326725,-19.32756
AS,New_AS_042.wav,29.309902,-14.585945
AS,New_AS_043.wav,26.743523,-16.085974
AS,New_AS_044.wav,27.764404,-19.267677
AS,New_AS_045.wav,30.129757,-17.954037
AS,New_AS_046.wav,26.782032,-16.901236
AS,New_AS_047.wav,27.18989,-18.68378
AS,New_AS_048.wav,29.849539,-18.285978
AS,New_AS_049.wav,-40.69319,-14.809852
AS,New_AS_050.wav,-40.034035,-13.645388
AS,New_AS_051.wav,-39.954556,-13.638431
AS,New_AS_052.wav,-39.570152,-13.443235
AS,New_AS_053.wav,-39.589153,-12.727615
AS,New_AS_054.wav,-39.365616,-13.257574
AS,New_AS_055.wav,-40.27833,-13.339554
AS,New_AS_056.wav,-39.68459,-12.701745
AS,New_AS_057.wav,-40.162853,-13.01852
AS,New_AS_058.wav,-39.980465,-12.97769
AS,New_AS_059.wav,-39.944836,-12.62095
AS,New_AS_060.wav,-40.365986,-13.05548
AS,New_AS_061.wav,-39.7327,-13.734583
AS,New_AS_062.wav,-40.64956,-14.063698
AS,New_AS_063.wav,-40.643528,-13.65279
AS,New_AS_064.wav,-40.701942,-13.583806
AS,New_AS_065.wav,-40.818485,-14.125028
AS,New_AS_066.wav,-40.58153,-13.729625
AS,New_AS_067.wav,-40.762665,-14.463689
AS,New_AS_068.wav,-40.83894,-14.682916
AS,New_AS_069.wav,-40.125954,-14.442469
