distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
10-9-7-5,4,KNN,DeepONMF_H4,1,PROMEDIO_MACRO,153,753,47,47,0.906,0.7649999999999999,0.9412499999999999,0.7951388888888888,0.853125,200
10-9-7-5,4,KNN,DeepONMF_H4,2,PROMEDIO_MACRO,160,760,40,40,0.9200000000000002,0.8,0.95,0.819498012040982,0.875,200
10-9-7-5,4,KNN,DeepONMF_H4,3,PROMEDIO_MACRO,155,755,45,45,0.9099999999999999,0.7749999999999999,0.94375,0.8170631851388247,0.859375,200
10-9-7-5,4,KNN,DeepONMF_H4,4,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9575000000000001,0.8544062987657824,0.89375,200
10-9-7-5,4,KNN,DeepONMF_H4,5,PROMEDIO_MACRO,155,755,45,45,0.9099999999999999,0.775,0.9437500000000002,0.8111801155426864,0.859375,200
10-9-7-5,4,KNN,DeepONMF_W,1,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.66,0.915,0.6962042788129745,0.7875,200
10-9-7-5,4,KNN,DeepONMF_W,2,PROMEDIO_MACRO,118,718,82,82,0.836,0.5900000000000001,0.8975000000000002,0.6269243156199678,0.7437499999999999,200
10-9-7-5,4,KNN,DeepONMF_W,3,PROMEDIO_MACRO,115,715,85,85,0.8300000000000001,0.575,0.89375,0.6087265097609925,0.734375,200
10-9-7-5,4,KNN,DeepONMF_W,4,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.9037499999999999,0.6408655318852687,0.759375,200
10-9-7-5,4,KNN,DeepONMF_W,5,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.6399999999999999,0.9099999999999999,0.6688778330569375,0.7749999999999999,200
10-9-7-5,4,SVM,DeepONMF_H4,1,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.872062127062127,0.9125,200
10-9-7-5,4,SVM,DeepONMF_H4,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737499999999999,0.8985654902338421,0.934375,200
10-9-7-5,4,SVM,DeepONMF_H4,3,PROMEDIO_MACRO,169,769,31,31,0.9380000000000001,0.8450000000000001,0.96125,0.8446320619644834,0.903125,200
10-9-7-5,4,SVM,DeepONMF_H4,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8759022556390977,0.921875,200
10-9-7-5,4,SVM,DeepONMF_H4,5,PROMEDIO_MACRO,182,782,18,18,0.9639999999999999,0.9099999999999999,0.9775,0.9201025641025641,0.94375,200
10-9-7-5,4,SVM,DeepONMF_W,1,PROMEDIO_MACRO,146,746,54,54,0.892,0.73,0.9324999999999999,0.7568565156065156,0.83125,200
10-9-7-5,4,SVM,DeepONMF_W,2,PROMEDIO_MACRO,144,744,56,56,0.8880000000000001,0.72,0.93,0.7168037135278513,0.825,200
10-9-7-5,4,SVM,DeepONMF_W,3,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7372393693263259,0.825,200
10-9-7-5,4,SVM,DeepONMF_W,4,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.9337500000000001,0.7388720051877946,0.834375,200
10-9-7-5,4,SVM,DeepONMF_W,5,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.755,0.93875,0.7525680329987923,0.846875,200
10-9-7-5,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,190,790,10,10,0.9799999999999999,0.9500000000000002,0.9875,0.9502916061260092,0.96875,200
10-9-7-5,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.9049999999999999,0.97625,0.9047648416069469,0.940625,200
10-9-7-5,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.9199999999999999,0.9799999999999999,0.9198809876473547,0.95,200
10-9-7-5,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,186,786,14,14,0.9720000000000001,0.9299999999999999,0.9825000000000002,0.9312429462429461,0.95625,200
10-9-7-5,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.950912052591009,0.96875,200
10-9-7-5,4,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8488407915339605,0.903125,200
10-9-7-5,4,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.8899999999999999,0.9725000000000001,0.8963203463203463,0.93125,200
10-9-7-5,4,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,160,760,40,40,0.9199999999999999,0.8,0.95,0.8058387417806203,0.875,200
10-9-7-5,4,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9675,0.8737241200828156,0.91875,200
10-9-7-5,4,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8791404042019945,0.921875,200
