distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
11-6-3,3,KNN,DeepONMF_H3,1,158,33,7,2,0.955,0.9875,0.825,0.9575757575757575,0.90625
11-6-3,3,KNN,DeepONMF_H3,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
11-6-3,3,KNN,DeepONMF_H3,3,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
11-6-3,3,KNN,DeepONMF_H3,4,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
11-6-3,3,KNN,DeepONMF_H3,5,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
11-6-3,3,KNN,DeepONMF_W,1,153,25,15,7,0.89,0.95625,0.625,0.9107142857142857,0.790625
11-6-3,3,KNN,DeepONMF_W,2,150,31,9,10,0.905,0.9375,0.775,0.9433962264150944,0.85625
11-6-3,3,KNN,DeepONMF_W,3,154,33,7,6,0.935,0.9625,0.825,0.9565217391304348,0.89375
11-6-3,3,KNN,DeepONMF_W,4,151,36,4,9,0.935,0.94375,0.9,0.9741935483870968,0.921875
11-6-3,3,KNN,DeepONMF_W,5,150,33,7,10,0.915,0.9375,0.825,0.9554140127388535,0.88125
11-6-3,3,SVM,DeepONMF_H3,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
11-6-3,3,SVM,DeepONMF_H3,2,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
11-6-3,3,SVM,DeepONMF_H3,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
11-6-3,3,SVM,DeepONMF_H3,4,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
11-6-3,3,SVM,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6-3,3,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
11-6-3,3,SVM,DeepONMF_W,2,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
11-6-3,3,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
11-6-3,3,SVM,DeepONMF_W,4,141,38,2,19,0.895,0.88125,0.95,0.986013986013986,0.9156249999999999
11-6-3,3,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
11-6-3,3,UjaNet,DeepONMF_H3,1,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
11-6-3,3,UjaNet,DeepONMF_H3,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
11-6-3,3,UjaNet,DeepONMF_H3,3,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
11-6-3,3,UjaNet,DeepONMF_H3,4,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6-3,3,UjaNet,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6-3,3,UjaNet,DeepONMF_W,1,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
11-6-3,3,UjaNet,DeepONMF_W,2,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
11-6-3,3,UjaNet,DeepONMF_W,3,152,35,5,8,0.935,0.95,0.875,0.9681528662420382,0.9125
11-6-3,3,UjaNet,DeepONMF_W,4,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
11-6-3,3,UjaNet,DeepONMF_W,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
