distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
14-3,2,KNN,DeepONMF_H2,1,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
14-3,2,KNN,DeepONMF_H2,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
14-3,2,KNN,DeepONMF_H2,3,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
14-3,2,KNN,DeepONMF_H2,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
14-3,2,KNN,DeepONMF_H2,5,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
14-3,2,KNN,DeepONMF_W,1,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
14-3,2,KNN,DeepONMF_W,2,148,30,10,12,0.89,0.925,0.75,0.9367088607594937,0.8375
14-3,2,KNN,DeepONMF_W,3,147,35,5,13,0.91,0.91875,0.875,0.9671052631578947,0.896875
14-3,2,KNN,DeepONMF_W,4,150,30,10,10,0.9,0.9375,0.75,0.9375,0.84375
14-3,2,KNN,DeepONMF_W,5,149,33,7,11,0.91,0.93125,0.825,0.9551282051282052,0.878125
14-3,2,SVM,DeepONMF_H2,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
14-3,2,SVM,DeepONMF_H2,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
14-3,2,SVM,DeepONMF_H2,3,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
14-3,2,SVM,DeepONMF_H2,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
14-3,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-3,2,SVM,DeepONMF_W,1,143,39,1,17,0.91,0.89375,0.975,0.9930555555555556,0.934375
14-3,2,SVM,DeepONMF_W,2,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
14-3,2,SVM,DeepONMF_W,3,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
14-3,2,SVM,DeepONMF_W,4,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
14-3,2,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
14-3,2,UjaNet,DeepONMF_H2,1,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
14-3,2,UjaNet,DeepONMF_H2,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
14-3,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-3,2,UjaNet,DeepONMF_H2,4,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
14-3,2,UjaNet,DeepONMF_H2,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
14-3,2,UjaNet,DeepONMF_W,1,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
14-3,2,UjaNet,DeepONMF_W,2,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
14-3,2,UjaNet,DeepONMF_W,3,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
14-3,2,UjaNet,DeepONMF_W,4,151,37,3,9,0.94,0.94375,0.925,0.9805194805194806,0.934375
14-3,2,UjaNet,DeepONMF_W,5,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
