indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,15-7-6,3,0.20403602618387956,126x6,6x212,15,0.04900094876104395,0.3513777566963183,0.010397099998954218,7,0.30099179914358637,0.19871763808147436,0.003305400001408998,6,0.1777248945718332,0.18431033410022662,0.0027810999963548966
1,N,New_N_002.wav,15-7-6,3,0.24386830609342378,126x6,6x212,15,0.045986141736207096,0.40617578703250834,0.0101589000041713,7,0.29139986644729576,0.2502988346566089,0.0032869999995455146,6,0.21577258498385943,0.24347115382018505,0.0027659999977913685
2,N,New_N_003.wav,15-7-6,3,0.23018261150996072,126x6,6x212,15,0.055292670624620704,0.3294350727924591,0.01008150000416208,7,0.37491242402010666,0.18653565784246445,0.0035836000024573877,6,0.2501105354990983,0.17003480105452207,0.0028202000030432828
3,N,New_N_004.wav,15-7-6,3,0.2065947151880019,126x6,6x212,15,0.050177233191800764,0.36136230383500084,0.010711300004913937,7,0.3397116243666931,0.2992067676682615,0.003921899995475542,6,0.1894941184625174,0.28738045520196404,0.00342810000438476
4,N,New_N_005.wav,15-7-6,3,0.21876335359180984,126x6,6x212,15,0.041373815745830975,0.39182941769613344,0.018827799998689443,7,0.3020456921801633,0.1899718864366182,0.0067306999990250915,6,0.20805986583869784,0.1412215367972702,0.0043084999997518025
5,N,New_N_006.wav,15-7-6,3,0.21308574498090585,126x6,6x212,15,0.05174391196391788,0.3580237950143327,0.01686830000107875,7,0.27685685021828793,0.15005794980590034,0.003955699998186901,6,0.2281511407129208,0.168103158178222,0.002950599999167025
6,N,New_N_007.wav,15-7-6,3,0.2530029556247328,126x6,6x212,15,0.0508503478327872,0.364474964260919,0.010622199995850679,7,0.27906891807055517,0.20934503028437298,0.0034721999982139096,6,0.30951398956347353,0.21475189320538257,0.0025529999984428287
7,N,New_N_008.wav,15-7-6,3,0.21718440362917493,126x6,6x212,15,0.050242453152402194,0.4096689454470073,0.009379799994349014,7,0.3834347322512081,0.2642073398075676,0.003291900000476744,6,0.2731516774029793,0.24410673867426624,0.002438600000459701
8,N,New_N_009.wav,15-7-6,3,0.22334622335361312,126x6,6x212,15,0.046710109199033484,0.36298670825615503,0.009084400000574533,7,0.251038447216932,0.16083422876329642,0.0030294000025605783,6,0.24812734587012128,0.13625395001488888,0.002380799996899441
9,N,New_N_010.wav,15-7-6,3,0.24759375978346848,126x6,6x212,15,0.06108575871936813,0.3313077548246302,0.008928300005209167,7,0.3207918028082791,0.2295152301179461,0.0029763999991700985,6,0.2518322616224637,0.14190947881486574,0.002360800004680641
10,N,New_N_011.wav,15-7-6,3,0.19258961421598095,126x6,6x212,15,0.058791334160147084,0.381620167282214,0.009816600002523046,7,0.31721987519583805,0.22936761701648387,0.0037873000037507154,6,0.2012974125255393,0.1937661711577016,0.0024158000014722347
