distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
17-10,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,154,754,46,46,0.908,0.77,0.9424999999999999,0.8189988958410013,0.85625,200
17-10,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,154,754,46,46,0.908,0.7699999999999999,0.9424999999999999,0.7994100387123643,0.85625,200
17-10,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,156,756,44,44,0.9119999999999999,0.78,0.945,0.7958001876525529,0.8625,200
17-10,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,152,752,48,48,0.9039999999999999,0.76,0.9400000000000001,0.778078078078078,0.85,200
17-10,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.9337500000000001,0.7853218685712966,0.834375,200
17-10,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,109,709,91,91,0.818,0.545,0.8862500000000001,0.5531475287997027,0.715625,200
17-10,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,93,693,107,107,0.786,0.46499999999999997,0.86625,0.4708049535603715,0.6656250000000001,200
17-10,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,97,697,103,103,0.794,0.485,0.8712500000000001,0.4980866374380481,0.678125,200
17-10,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,99,699,101,101,0.7979999999999998,0.495,0.8737499999999999,0.496820611511687,0.684375,200
17-10,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,117,717,83,83,0.834,0.585,0.89625,0.6105204000792236,0.740625,200
17-10,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9724999999999999,0.8985254788165882,0.93125,200
17-10,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,180,780,20,20,0.9599999999999997,0.9,0.975,0.9013680723867239,0.9375,200
17-10,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9674999999999999,0.8705512298251946,0.91875,200
17-10,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9725000000000001,0.8910773010773012,0.93125,200
17-10,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9054721362229102,0.9375,200
17-10,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,134,734,66,66,0.868,0.6699999999999999,0.9174999999999999,0.6659103641456582,0.79375,200
17-10,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6451278679902701,0.784375,200
17-10,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.66,0.915,0.6581407957122243,0.7874999999999999,200
17-10,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,135,735,65,65,0.8700000000000001,0.6749999999999999,0.91875,0.6736596736596736,0.796875,200
17-10,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.6599999999999999,0.915,0.6528836069311446,0.7874999999999999,200
17-10,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9800000000000001,0.9949999999999999,0.9804699365674976,0.9875,200
17-10,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,181,781,19,19,0.9620000000000001,0.905,0.9762500000000001,0.9112600534437139,0.940625,200
17-10,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9272193862582878,0.953125,200
17-10,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.9899999999999999,0.9625324675324676,0.975,200
17-10,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.9600000000000002,0.99,0.9619047619047618,0.975,200
17-10,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8575559758271378,0.90625,200
17-10,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.89,0.9724999999999999,0.8949322618185013,0.93125,200
17-10,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8347450683809164,0.890625,200
17-10,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.885373104567166,0.925,200
17-10,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.8350000000000002,0.95875,0.8375248325248326,0.896875,200
