indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,N,New_N_001.wav,17-10,2,0.1347544148760688,126x10,10x212,17,0.046024749028557015,0.362789788799245,0.010123300002305768,10,0.2338371173949853,0.15715680388221853,0.003812599999946542
1,N,New_N_002.wav,17-10,2,0.12481445133314503,126x10,10x212,17,0.047382139778367555,0.4342077562085843,0.010180299999774434,10,0.23256998376778548,0.2501180197682781,0.0037123000001884066
2,N,New_N_003.wav,17-10,2,0.1318079229544348,126x10,10x212,17,0.04561124917249093,0.41955930208087616,0.010796700000355486,10,0.28409958911640476,0.2468424965555352,0.00550680000014836
3,N,New_N_004.wav,17-10,2,0.12311016930254878,126x10,10x212,17,0.04883509333509644,0.38820933902366667,0.010249799997836817,10,0.22831661022673758,0.1631460747737459,0.004852299993217457
4,N,New_N_005.wav,17-10,2,0.11331713241905017,126x10,10x212,17,0.04740091619894583,0.43058541417188345,0.009861200000159442,10,0.24764032380646303,0.22021087801731984,0.0036727999977301806
5,N,New_N_006.wav,17-10,2,0.1160859245987193,126x10,10x212,17,0.04661394873404618,0.3683309945067047,0.013186800002586097,10,0.22361631887175423,0.19161862027118243,0.0037789999987580813
6,N,New_N_007.wav,17-10,2,0.11558618868657233,126x10,10x212,17,0.045076305197304725,0.4245890104356767,0.010267500001646113,10,0.2948393259429943,0.2542204154482786,0.003693300001032185
7,N,New_N_008.wav,17-10,2,0.12367355688952916,126x10,10x212,17,0.05629942558587347,0.3728609430930757,0.010117999998328742,10,0.18364310976158177,0.24003009922147203,0.0037295000001904555
8,N,New_N_009.wav,17-10,2,0.1344119403016222,126x10,10x212,17,0.052384912283603126,0.3637702933786115,0.009557100005622488,10,0.3057910004379847,0.19334207709846807,0.00385400000232039
9,N,New_N_010.wav,17-10,2,0.1305786797351425,126x10,10x212,17,0.05046439890791218,0.35721414503263116,0.009282399994845036,10,0.22640065622900876,0.1807124211966368,0.003385000003618188
10,N,New_N_011.wav,17-10,2,0.1292266407579563,126x10,10x212,17,0.05092679919985262,0.3757946270419307,0.00874860000476474,10,0.24401813308655135,0.23265060925175074,0.003378000001248438
11,N,New_N_012.wav,17-10,2,0.13080774844149093,126x10,10x212,17,0.04585398610007235,0.3705114844874841,0.008459700002276804,10,0.2594700974860283,0.19914533957660419,0.003521099999488797
12,N,New_N_013.wav,17-10,2,0.12559876947754642,126x10,10x212,17,0.04641732629018531,0.4018963719404413,0.008792799999355339,10,0.23914830373345639,0.21571584599149315,0.003538600001775194
13,N,New_N_014.wav,17-10,2,0.14277176208545753,126x10,10x212,17,0.04999077156951849,0.3398712936617286,0.01057270000455901,10,0.26180499340787083,0.1342939005637224,0.003290799999376759
14,N,New_N_015.wav,17-10,2,0.12722353133444364,126x10,10x212,17,0.046944883990903734,0.4049544652070636,0.00929339999856893,10,0.2945671569427101,0.2095038006446793,0.0036935000025550835
15,N,New_N_016.wav,17-10,2,0.13743678340008186,126x10,10x212,17,0.04868895526717482,0.3642626890497129,0.008838000001560431,10,0.2800391842882002,0.18149539041250848,0.0033910999991348945
16,N,New_N_017.wav,17-10,2,0.12364403736075305,126x10,10x212,17,0.04824811429682747,0.41548126719440787,0.009003899998788256,10,0.22747604493068468,0.1709622039928709,0.003955399995902553
17,N,New_N_018.wav,17-10,2,0.1258542802873272,126x10,10x212,17,0.04465978826624855,0.37098251494962964,0.008450100001937244,10,0.2398016833787572,0.20909685358798136,0.004108000000996981
18,N,New_N_019.wav,17-10,2,0.12210171090131089,126x10,10x212,17,0.04931810805379531,0.3595235972548251,0.010098200000356883,10,0.2213277297604995,0.1806901712729617,0.0036763999960385263
19,N,New_N_020.wav,17-10,2,0.13051988393097694,126x10,10x212,17,0.05191543412332496,0.39578808279291167,0.008856299995386507,10,0.29052227361624494,0.2089949904028672,0.0038335000062943436
20,N,New_N_021.wav,17-10,2,0.13488592413560221,126x10,10x212,17,0.045090143291209195,0.3505032305605494,0.008827799996652175,10,0.25186378230565065,0.19317858192101411,0.0038526999996975064
21,N,New_N_022.wav,17-10,2,0.12119442963216,126x10,10x212,17,0.04598252632249365,0.3893524220871814,0.008474399997794535,10,0.3063168546699545,0.23313855832981695,0.004347299996879883
22,N,New_N_023.wav,17-10,2,0.12861443229345887,126x10,10x212,17,0.04841040630000513,0.35672413335899306,0.008892099998774938,10,0.227101460589659,0.18057149004161874,0.0031037000007927418
23,N,New_N_024.wav,17-10,2,0.13628442464441118,126x10,10x212,17,0.054640109801253,0.3958181966444106,0.009778499996173196,10,0.2803953676317713,0.22259010813524385,0.0035795000003417954
24,N,New_N_025.wav,17-10,2,0.13825133908112439,126x10,10x212,17,0.048823228158062455,0.3879608110522845,0.008833500003674999,10,0.30727458439803673,0.2397863266017862,0.003259900004195515
25,N,New_N_026.wav,17-10,2,0.12724536866195893,126x10,10x212,17,0.052940258974974494,0.38406615236460945,0.009030000001075678,10,0.25210598956488844,0.189344896448402,0.003894000001309905
26,N,New_N_027.wav,17-10,2,0.12784582415610177,126x10,10x212,17,0.051132692460715015,0.39919377683772445,0.00919640000211075,10,0.29025710472627475,0.18184650253066792,0.0038777999943704344
27,N,New_N_028.wav,17-10,2,0.1234294094069211,126x10,10x212,17,0.045530025893602485,0.3456753437930351,0.008863999995810445,10,0.22323645020826066,0.17772872529336645,0.004401199999847449
28,N,New_N_029.wav,17-10,2,0.1424679304599535,126x10,10x212,17,0.05323268331992371,0.3784712680913405,0.008551199993235059,10,0.31044683438181464,0.1982838340671903,0.0037680000023101456
29,N,New_N_030.wav,17-10,2,0.14086156745147635,126x10,10x212,17,0.05613242159707985,0.36625493456255365,0.008737600001040846,10,0.2548781626001306,0.15112866870011432,0.00318140000308631
30,N,New_N_031.wav,17-10,2,0.1250412914629492,126x10,10x212,17,0.04793108611636883,0.37701176168713557,0.008672199997818097,10,0.24352345236801404,0.20152461449364223,0.0032143999997060746
31,N,New_N_032.wav,17-10,2,0.13182814837830503,126x10,10x212,17,0.04973689185087917,0.38082548375054526,0.008465699997032061,10,0.2523903720737014,0.19157151818064494,0.004065100001753308
32,N,New_N_033.wav,17-10,2,0.13012052467270083,126x10,10x212,17,0.043692363866520756,0.3907493494533142,0.008331999997608364,10,0.27668330513061357,0.19120927031906787,0.003182699998433236
33,N,New_N_034.wav,17-10,2,0.13377166585444897,126x10,10x212,17,0.04090346950654712,0.3686351762756855,0.00865190000331495,10,0.27404473319752476,0.1512944660491193,0.004116600000998005
34,N,New_N_035.wav,17-10,2,0.12581135045066336,126x10,10x212,17,0.04575906037894326,0.3782878033440011,0.0091312000004109,10,0.26491883002878625,0.2127795353024626,0.003552599999238737
35,N,New_N_036.wav,17-10,2,0.1373229725989967,126x10,10x212,17,0.04852597562016877,0.36463725812423137,0.009134699997957796,10,0.23727853673246616,0.1581010421140694,0.0032611999995424412
36,N,New_N_037.wav,17-10,2,0.09526088747538507,126x10,10x212,17,0.030236445684541587,0.34838390080181225,0.008702200000698213,10,0.15371404336750502,0.1368764961160481,0.0038217000037548132
37,N,New_N_038.wav,17-10,2,0.12399614591594053,126x10,10x212,17,0.03634681795528396,0.38551257360790875,0.00882600000477396,10,0.20811171367370884,0.1415635691604897,0.0034920999969472177
38,N,New_N_039.wav,17-10,2,0.1182017367038904,126x10,10x212,17,0.03376151270885286,0.38958759591760217,0.008434700001089368,10,0.2157776192534704,0.17720398120224418,0.004067499998200219
39,N,New_N_040.wav,17-10,2,0.10186388571898633,126x10,10x212,17,0.03229000882359365,0.396207219216807,0.00840559999778634,10,0.1541679503451061,0.16511032685770877,0.0046791999993729405
40,N,New_N_041.wav,17-10,2,0.11775262552304885,126x10,10x212,17,0.03902065035503046,0.4095756045529581,0.008571499995014165,10,0.21942239859035567,0.16630020930097617,0.0033312000014120713
41,N,New_N_042.wav,17-10,2,0.1175895701700885,126x10,10x212,17,0.03380691862545134,0.435393225191707,0.009708700003102422,10,0.23188617282553822,0.1792349260541182,0.003111899997747969
42,N,New_N_043.wav,17-10,2,0.11024247798211452,126x10,10x212,17,0.03917849699449503,0.40704322769646933,0.00887450000300305,10,0.23930075090476,0.18746762925361335,0.0031967000031727366
