distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
18-14-10-7-4,5,KNN,DeepONMF_H5,1,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8663426968511715,0.896875,200
18-14-10-7-4,5,KNN,DeepONMF_H5,2,PROMEDIO_MACRO,164,764,36,36,0.9279999999999999,0.82,0.9549999999999998,0.827339246119734,0.8875,200
18-14-10-7-4,5,KNN,DeepONMF_H5,3,PROMEDIO_MACRO,150,750,50,50,0.9,0.75,0.9375,0.7790659642464796,0.84375,200
18-14-10-7-4,5,KNN,DeepONMF_H5,4,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8147142943615509,0.88125,200
18-14-10-7-4,5,KNN,DeepONMF_H5,5,PROMEDIO_MACRO,161,761,39,39,0.922,0.805,0.9512500000000002,0.8248326898326898,0.878125,200
18-14-10-7-4,5,KNN,DeepONMF_W,1,PROMEDIO_MACRO,130,730,70,70,0.86,0.65,0.9125,0.6825460682357235,0.78125,200
18-14-10-7-4,5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,131,731,69,69,0.8619999999999999,0.655,0.9137500000000001,0.700388509494334,0.784375,200
18-14-10-7-4,5,KNN,DeepONMF_W,3,PROMEDIO_MACRO,137,737,63,63,0.874,0.6849999999999999,0.92125,0.6924428206065035,0.803125,200
18-14-10-7-4,5,KNN,DeepONMF_W,4,PROMEDIO_MACRO,122,722,78,78,0.8440000000000001,0.61,0.9025000000000001,0.6199283154121864,0.75625,200
18-14-10-7-4,5,KNN,DeepONMF_W,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.9337500000000001,0.7546461391574174,0.834375,200
18-14-10-7-4,5,SVM,DeepONMF_H5,1,PROMEDIO_MACRO,178,778,22,22,0.9560000000000001,0.8899999999999999,0.9724999999999999,0.8965210142268966,0.93125,200
18-14-10-7-4,5,SVM,DeepONMF_H5,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8837426900584795,0.925,200
18-14-10-7-4,5,SVM,DeepONMF_H5,3,PROMEDIO_MACRO,169,769,31,31,0.9380000000000001,0.845,0.96125,0.8465765863935202,0.903125,200
18-14-10-7-4,5,SVM,DeepONMF_H5,4,PROMEDIO_MACRO,178,778,22,22,0.9559999999999998,0.8899999999999999,0.9725000000000001,0.8908001008001006,0.93125,200
18-14-10-7-4,5,SVM,DeepONMF_H5,5,PROMEDIO_MACRO,182,782,18,18,0.9639999999999999,0.9100000000000001,0.9775,0.9154236552920765,0.94375,200
18-14-10-7-4,5,SVM,DeepONMF_W,1,PROMEDIO_MACRO,150,750,50,50,0.9,0.75,0.9375,0.7666877470355731,0.84375,200
18-14-10-7-4,5,SVM,DeepONMF_W,2,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.9337499999999999,0.7355019831615576,0.834375,200
18-14-10-7-4,5,SVM,DeepONMF_W,3,PROMEDIO_MACRO,149,749,51,51,0.898,0.7449999999999999,0.9362499999999999,0.744444316711923,0.840625,200
18-14-10-7-4,5,SVM,DeepONMF_W,4,PROMEDIO_MACRO,138,738,62,62,0.876,0.69,0.9225,0.6865014364357135,0.80625,200
18-14-10-7-4,5,SVM,DeepONMF_W,5,PROMEDIO_MACRO,156,756,44,44,0.9119999999999999,0.78,0.945,0.8070038450162673,0.8625,200
18-14-10-7-4,5,UjaNet,DeepONMF_H5,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9669401330376941,0.978125,200
18-14-10-7-4,5,UjaNet,DeepONMF_H5,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9019242489075608,0.9375,200
18-14-10-7-4,5,UjaNet,DeepONMF_H5,3,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862500000000001,0.9466323466323466,0.965625,200
18-14-10-7-4,5,UjaNet,DeepONMF_H5,4,PROMEDIO_MACRO,182,782,18,18,0.9640000000000001,0.9099999999999999,0.9775,0.9112728756631195,0.94375,200
18-14-10-7-4,5,UjaNet,DeepONMF_H5,5,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862500000000001,0.948546365914787,0.965625,200
18-14-10-7-4,5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,164,764,36,36,0.9280000000000002,0.82,0.9549999999999998,0.8350476665167175,0.8875000000000002,200
18-14-10-7-4,5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9675,0.8712300778048391,0.91875,200
18-14-10-7-4,5,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9574999999999999,0.8401723342899814,0.89375,200
18-14-10-7-4,5,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8380185793894483,0.9,200
18-14-10-7-4,5,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,168,768,32,32,0.9360000000000002,0.8400000000000001,0.96,0.854577340787867,0.9,200
