distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
7-5-3,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9675,0.8848340822025031,0.91875,200
7-5-3,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,170,770,30,30,0.9399999999999998,0.85,0.9625,0.8641553544494721,0.90625,200
7-5-3,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.9637499999999999,0.8603447324875896,0.909375,200
7-5-3,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.8517873053587339,0.903125,200
7-5-3,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,174,774,26,26,0.9480000000000001,0.8699999999999999,0.9675,0.8834074628501872,0.91875,200
7-5-3,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.695,0.9237499999999998,0.7424486911599983,0.809375,200
7-5-3,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,126,726,74,74,0.852,0.63,0.9075,0.6695286899323264,0.76875,200
7-5-3,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7,0.925,0.743959875306716,0.8125,200
7-5-3,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,123,723,77,77,0.8459999999999999,0.615,0.9037499999999999,0.6174315444065455,0.759375,200
7-5-3,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6766559042036301,0.784375,200
7-5-3,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,186,786,14,14,0.9720000000000001,0.93,0.9824999999999999,0.9320810155469976,0.95625,200
7-5-3,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.9579999999999999,0.8949999999999999,0.9737499999999999,0.8951317199218505,0.934375,200
7-5-3,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8835726440320881,0.928125,200
7-5-3,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.9049999999999999,0.97625,0.9059563322721216,0.940625,200
7-5-3,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.9799999999999999,0.95,0.9875,0.9523931623931624,0.96875,200
7-5-3,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,153,753,47,47,0.906,0.765,0.9412500000000001,0.7894314231024648,0.853125,200
7-5-3,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7355957767722473,0.825,200
7-5-3,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.7350000000000001,0.9337500000000001,0.7484556744882152,0.834375,200
7-5-3,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.7550000000000001,0.93875,0.7665223433474708,0.846875,200
7-5-3,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,150,750,50,50,0.9,0.7500000000000001,0.9375,0.7594926213037996,0.84375,200
7-5-3,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.985,0.9430091723994163,0.9625,200
7-5-3,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737500000000001,0.8953281996121654,0.9343749999999998,200
7-5-3,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.900410005288054,0.9375,200
7-5-3,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9257085709167985,0.953125,200
7-5-3,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9612986136670347,0.975,200
7-5-3,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737500000000001,0.8988210914711796,0.934375,200
7-5-3,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8914769647696476,0.928125,200
7-5-3,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,165,765,35,35,0.9299999999999999,0.825,0.95625,0.8293302247133205,0.890625,200
7-5-3,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,173,773,27,27,0.9460000000000001,0.865,0.9662500000000002,0.875686274509804,0.915625,200
7-5-3,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,181,781,19,19,0.9620000000000001,0.905,0.97625,0.9144798868636078,0.940625,200
