distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
14-8-3,3,KNN,DeepONMF_H3,0.938,0.0144913767461894,0.8450000000000001,0.0362284418654735,0.96125,0.0090571104663683,0.8560517492007481,0.0331743419732012,0.903125,0.022642776165921
14-8-3,3,KNN,DeepONMF_W,0.8624,0.0043358966777357,0.656,0.0108397416943393,0.914,0.0027099354235848,0.6861088615174138,0.0121095496757732,0.785,0.0067748385589621
14-8-3,3,SVM,DeepONMF_H3,0.9612,0.0062609903369994,0.903,0.0156524758424985,0.97575,0.0039131189606246,0.9053962814909248,0.0169177467434173,0.939375,0.0097827974015615
14-8-3,3,SVM,DeepONMF_W,0.8984,0.0051768716422179,0.7459999999999999,0.0129421791055447,0.9365,0.0032355447763862,0.7623641693619765,0.0092185597427873,0.8412499999999999,0.0080888619409654
14-8-3,3,UjaNet,DeepONMF_H3,0.972,0.0067823299831252,0.93,0.0169558249578132,0.9825000000000002,0.0042389562394532,0.9309949395991765,0.0166073837726014,0.95625,0.0105973905986332
14-8-3,3,UjaNet,DeepONMF_W,0.94,0.0072111025509279,0.85,0.0180277563773199,0.9625,0.0045069390943299,0.8584696580361552,0.0189702152214206,0.90625,0.0112673477358249
16-3,2,KNN,DeepONMF_H2,0.9468,0.0068702256149271,0.867,0.0171755640373177,0.96675,0.0042938910093293,0.8749862776874886,0.0175959151471163,0.916875,0.0107347275233235
16-3,2,KNN,DeepONMF_W,0.8592000000000001,0.0083186537372342,0.6479999999999999,0.0207966343430854,0.912,0.0051991585857714,0.6858002808784971,0.0219265468930665,0.78,0.0129978964644283
16-3,2,SVM,DeepONMF_H2,0.9624,0.0099398189118312,0.906,0.0248495472795783,0.9765,0.0062123868198945,0.9065136455329008,0.0258118284129838,0.94125,0.0155309670497364
16-3,2,SVM,DeepONMF_W,0.8852,0.0083186537372342,0.713,0.0207966343430853,0.92825,0.0051991585857713,0.722723703033876,0.0298854462832719,0.820625,0.0129978964644283
16-3,2,UjaNet,DeepONMF_H2,0.9736,0.0062289646009589,0.934,0.0155724115023974,0.9835,0.0038931028755992,0.9354495520107158,0.0148856232808052,0.95875,0.0097327571889984
16-3,2,UjaNet,DeepONMF_W,0.9408,0.018088670487352,0.852,0.04522167621838,0.963,0.011305419054595,0.8616342193784513,0.0434373353529022,0.9075,0.0282635476364875
16-4,2,KNN,DeepONMF_H2,0.9412,0.0059329587896765,0.8530000000000001,0.0148323969741912,0.96325,0.0037080992435477,0.8564860144802056,0.0146102796451964,0.908125,0.0092702481088695
16-4,2,KNN,DeepONMF_W,0.8404,0.0178549712965325,0.601,0.0446374282413312,0.90025,0.0111593570603328,0.6251010910656989,0.0464241501568522,0.7506250000000001,0.027898392650832
16-4,2,SVM,DeepONMF_H2,0.96,0.0088317608663277,0.9,0.0220794021658196,0.975,0.0055198505414549,0.901420934847724,0.023854116754488,0.9375,0.0137996263536372
16-4,2,SVM,DeepONMF_W,0.8827999999999999,0.0115412304370028,0.7070000000000001,0.028853076092507,0.92675,0.0072132690231267,0.7088235377560139,0.031174149257102,0.8168749999999999,0.0180331725578168
16-4,2,UjaNet,DeepONMF_H2,0.9776,0.0049799598391954,0.9440000000000002,0.0124498995979886,0.986,0.0031124748994971,0.9454877142887412,0.0124668377193328,0.965,0.0077811872487429
16-4,2,UjaNet,DeepONMF_W,0.9432,0.0106395488626162,0.858,0.0265988721565407,0.9645,0.0066497180391352,0.8650566822935207,0.0227882177611108,0.91125,0.016624295097838
17-3,2,KNN,DeepONMF_H2,0.9472,0.0078230428862431,0.868,0.0195576072156079,0.967,0.0048894018039019,0.871110058425848,0.0187703018455776,0.9175,0.0122235045097549
17-3,2,KNN,DeepONMF_W,0.8528,0.0138275088139548,0.632,0.0345687720348872,0.908,0.0086421930087218,0.6669976966490779,0.0424203089462498,0.7699999999999999,0.0216054825218044
17-3,2,SVM,DeepONMF_H2,0.9643999999999998,0.0086486993241758,0.911,0.0216217483104396,0.97775,0.0054054370776099,0.911701563902388,0.0214453131048007,0.944375,0.0135135926940247
17-3,2,SVM,DeepONMF_W,0.8916000000000001,0.0102371871136558,0.729,0.0255929677841394,0.93225,0.0063982419460348,0.7376889805662727,0.026334469300639,0.8306250000000001,0.0159956048650872
17-3,2,UjaNet,DeepONMF_H2,0.9772,0.0081975606127676,0.943,0.0204939015319192,0.98575,0.0051234753829797,0.9442008896855898,0.0205685100493457,0.964375,0.0128086884574494
17-3,2,UjaNet,DeepONMF_W,0.938,0.0162480768092718,0.8450000000000001,0.0406201920231797,0.96125,0.010155048005795,0.8514937680090778,0.036649047200321,0.903125,0.0253876200144873
8-3,2,KNN,DeepONMF_H2,0.9472000000000002,0.0084380092438916,0.868,0.0210950231097289,0.967,0.0052737557774322,0.8746972615298605,0.0236404843726767,0.9175,0.0131843894435806
8-3,2,KNN,DeepONMF_W,0.8600000000000001,0.0112249721603218,0.6500000000000001,0.0280624304008045,0.9125,0.007015607600201,0.690795074446729,0.0216259136225493,0.78125,0.0175390190005028
8-3,2,SVM,DeepONMF_H2,0.9636,0.0086486993241758,0.909,0.0216217483104396,0.97725,0.0054054370776099,0.9103172923687,0.0230142236178042,0.943125,0.0135135926940248
8-3,2,SVM,DeepONMF_W,0.898,0.010295630140987,0.745,0.0257390753524675,0.93625,0.0064347688381168,0.7563669054578563,0.0353968757946623,0.840625,0.0160869220952921
8-3,2,UjaNet,DeepONMF_H2,0.9736,0.0111713920350152,0.934,0.0279284800875378,0.9835,0.0069821200218845,0.9352429863538392,0.0272340496596892,0.95875,0.0174553000547112
8-3,2,UjaNet,DeepONMF_W,0.944,0.013490737563232,0.8600000000000001,0.0337268439080801,0.965,0.00843171097702,0.8670691360221223,0.0261618658140901,0.9125,0.02107927744255
