distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
10-6-4,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8558873701537859,0.9,200
10-6-4,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8484959981878587,0.896875,200
10-6-4,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8146568225979991,0.88125,200
10-6-4,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,168,768,32,32,0.936,0.8399999999999999,0.9600000000000002,0.8437743006164059,0.9,200
10-6-4,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8671406371406372,0.9,200
10-6-4,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6850787912495365,0.790625,200
10-6-4,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,112,712,88,88,0.8240000000000001,0.5599999999999999,0.8899999999999999,0.584474614061939,0.725,200
10-6-4,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,130,730,70,70,0.86,0.65,0.9125,0.6723670199532268,0.78125,200
10-6-4,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.6399999999999999,0.91,0.6614453463203464,0.775,200
10-6-4,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,122,722,78,78,0.8440000000000001,0.6100000000000001,0.9025,0.6440443510737628,0.75625,200
10-6-4,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8894832944832946,0.925,200
10-6-4,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8700000000000001,0.9675,0.8707136993038651,0.91875,200
10-6-4,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8903023784666917,0.93125,200
10-6-4,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8948403666824719,0.934375,200
10-6-4,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.930299740850646,0.953125,200
10-6-4,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.935,0.7572577953447519,0.8375,200
10-6-4,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,142,742,58,58,0.884,0.7100000000000001,0.9275,0.7185220192275062,0.81875,200
10-6-4,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,151,751,49,49,0.902,0.7549999999999999,0.93875,0.7665105961576548,0.846875,200
10-6-4,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,146,746,54,54,0.892,0.7300000000000001,0.9325,0.7281403884539772,0.83125,200
10-6-4,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,150,750,50,50,0.9,0.75,0.9375,0.7640183150183151,0.84375,200
10-6-4,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9615555176530788,0.975,200
10-6-4,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9082651391162032,0.940625,200
10-6-4,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9016159809183064,0.9375,200
10-6-4,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.905681182317896,0.940625,200
10-6-4,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9557399760582136,0.971875,200
10-6-4,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,169,769,31,31,0.938,0.8450000000000001,0.96125,0.8540967497623845,0.903125,200
10-6-4,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.96625,0.866745905569435,0.915625,200
10-6-4,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8164229813434221,0.88125,200
10-6-4,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,170,770,30,30,0.94,0.85,0.9625,0.8520368520368521,0.90625,200
10-6-4,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.96375,0.8621921236658079,0.909375,200
15-10-5,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8550656761412576,0.896875,200
15-10-5,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,159,759,41,41,0.918,0.7949999999999999,0.94875,0.820895849072253,0.871875,200
15-10-5,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,152,752,48,48,0.904,0.76,0.94,0.7880618053673082,0.85,200
15-10-5,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,160,760,40,40,0.9200000000000002,0.8,0.95,0.8135149374002321,0.875,200
15-10-5,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8332378165312948,0.865625,200
15-10-5,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,120,720,80,80,0.8399999999999999,0.6,0.9,0.6557285909875901,0.7499999999999999,200
15-10-5,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.8837499999999998,0.5568199973372387,0.709375,200
15-10-5,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,111,711,89,89,0.8219999999999998,0.555,0.8887499999999999,0.5846996337302882,0.721875,200
15-10-5,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.58,0.8950000000000001,0.6032058525278865,0.7375,200
15-10-5,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,128,728,72,72,0.8559999999999999,0.6399999999999999,0.91,0.6667864225024468,0.7749999999999999,200
15-10-5,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8923426651461084,0.928125,200
15-10-5,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.97375,0.8956091734352605,0.934375,200
15-10-5,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,170,770,30,30,0.9399999999999998,0.85,0.9625,0.8488689082061622,0.90625,200
15-10-5,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8815475710726032,0.925,200
15-10-5,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9225797704058576,0.95,200
15-10-5,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,147,747,53,53,0.8940000000000001,0.735,0.93375,0.7476555126555127,0.834375,200
15-10-5,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,147,747,53,53,0.8940000000000001,0.735,0.93375,0.7378142080676161,0.834375,200
15-10-5,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,133,733,67,67,0.866,0.6649999999999999,0.91625,0.6604551327225745,0.790625,200
15-10-5,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,146,746,54,54,0.8920000000000001,0.73,0.9325,0.7281058278538681,0.83125,200
15-10-5,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,143,743,57,57,0.8860000000000001,0.7150000000000001,0.9287500000000002,0.7317082758259229,0.821875,200
15-10-5,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,194,794,6,6,0.988,0.97,0.9925,0.9704636826588048,0.98125,200
15-10-5,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712499999999998,0.8873604521698336,0.928125,200
15-10-5,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.92,0.98,0.9213896340397222,0.95,200
15-10-5,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.98,0.9213536361639176,0.95,200
15-10-5,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,191,791,9,9,0.982,0.955,0.98875,0.9562508623200624,0.971875,200
15-10-5,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8687882802301408,0.9125,200
15-10-5,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,174,774,26,26,0.948,0.8699999999999999,0.9675,0.8717593567962257,0.91875,200
15-10-5,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,163,763,37,37,0.926,0.8150000000000001,0.95375,0.8223771173221301,0.884375,200
15-10-5,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8641216678058784,0.9125,200
15-10-5,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9525,0.810690537084399,0.88125,200
8-5-3,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8566386554621849,0.896875,200
8-5-3,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8558958849410285,0.9,200
8-5-3,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,170,770,30,30,0.94,0.85,0.9625,0.8613327343516023,0.90625,200
8-5-3,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8392649572649573,0.890625,200
8-5-3,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.864617856497723,0.903125,200
8-5-3,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,129,729,71,71,0.858,0.6449999999999999,0.91125,0.6506464646464647,0.778125,200
8-5-3,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.90375,0.654726980069307,0.7593749999999999,200
8-5-3,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.68,0.9200000000000002,0.7145085860431128,0.8,200
8-5-3,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,131,731,69,69,0.8619999999999999,0.655,0.91375,0.6760252740091449,0.784375,200
8-5-3,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,130,730,70,70,0.8600000000000001,0.65,0.9125,0.6908617698091382,0.78125,200
8-5-3,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9176398045884294,0.946875,200
8-5-3,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.97125,0.8857080157080157,0.928125,200
8-5-3,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.956,0.89,0.9725,0.8894905869324473,0.93125,200
8-5-3,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9077927376580988,0.940625,200
8-5-3,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9232346003940688,0.946875,200
8-5-3,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,154,754,46,46,0.908,0.77,0.9425,0.7866916553468626,0.85625,200
8-5-3,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.92375,0.7105457637600494,0.809375,200
8-5-3,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,151,751,49,49,0.902,0.7549999999999999,0.93875,0.7661284513805521,0.846875,200
8-5-3,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7193165921339297,0.825,200
8-5-3,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,149,749,51,51,0.898,0.7450000000000001,0.93625,0.7549335038363172,0.840625,200
8-5-3,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9613944969758922,0.975,200
8-5-3,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9065978852738434,0.9375,200
