indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h
0,10-11-13-14,4,0.27570592809878874,14x212,0.034834899997804314,10,0.06681057339576545,0.39288817325520325,11,0.1493443955215632,0.14219954318288042,13,0.20440913568559052,0.10580692556733381,14,0.09529725395035678,0.07740076053427325
1,10-11-13-14,4,0.25871990220354957,14x212,0.04024140001274645,10,0.0611573449139471,0.37122554942374464,11,0.12582137126421966,0.1747538328442511,13,0.07517871848310194,0.13378682327810149,14,0.13560003778916288,0.1290046666667492
2,10-11-13-14,4,0.25798032376823316,14x212,0.033345899981213734,10,0.06460343198708117,0.362462569480511,11,0.09453310720935089,0.1800558336557094,13,0.11980488978988467,0.14338390994802075,14,0.10043274429585809,0.10576901757166329
3,10-11-13-14,4,0.2705034555816157,14x212,0.0366271999955643,10,0.06688616458150423,0.34485389385620413,11,0.13489059037420048,0.14691093215348394,13,0.06797266521463614,0.12074236323658624,14,0.1456149277208616,0.08184769812876017
4,10-11-13-14,4,0.23645453228823146,14x212,0.0361583000048995,10,0.0668161530816433,0.34331446094955054,11,0.11372576747850961,0.18996718119290434,13,0.16626022331080142,0.14965888354439943,14,0.060598495258377856,0.11240174991964821
5,10-11-13-14,4,0.27686216065479746,14x212,0.03784029997768812,10,0.0701909872570839,0.33957578192444426,11,0.1168381197744475,0.15931590742656965,13,0.16523493959046565,0.10293405740256859,14,0.07526281178098178,0.07325407316259719
6,10-11-13-14,4,0.2790399734932054,14x212,0.03498609998496249,10,0.061820903714820054,0.36675212351729486,11,0.13758177913700206,0.176912984452077,13,0.20775404238086045,0.11131987269856794,14,0.10514257458215086,0.07600288319117651
7,10-11-13-14,4,0.28139824908207,14x212,0.036357700009830296,10,0.056697103869812256,0.3449041447522355,11,0.13650458010094504,0.19433077877016808,13,0.1441056635527598,0.13785497285744264,14,0.11516509631181214,0.11399040887526979
8,10-11-13-14,4,0.25690336321692314,14x212,0.039867699990281835,10,0.05823981278414612,0.3471525089247904,11,0.10538018024350555,0.1882173180441362,13,0.09771281821313425,0.13953679058728,14,0.09915454381079021,0.10926448756329034
9,10-11-13-14,4,0.24876282498279267,14x212,0.02991790001397021,10,0.059099553109907624,0.3312704777190992,11,0.09524135595368687,0.20076271680993624,13,0.1378631285519135,0.12226649679594036,14,0.06345030109287576,0.09363933152085513
10,10-11-13-14,4,0.2650324743442063,14x212,0.03916939999908209,10,0.0731384015076111,0.3749696165567532,11,0.16303993371806055,0.1426360536164871,13,0.05749440138125185,0.10453865370713232,14,0.1740617045376205,0.10122587003675192
11,10-11-13-14,4,0.2347082420550853,14x212,0.03897609998239204,10,0.07084415269786198,0.30948497929416036,11,0.08822856331123104,0.15608731439593646,13,0.07196659010320801,0.11069501161568905,14,0.05590917845915492,0.0979016395227431
12,10-11-13-14,4,0.2612316831169171,14x212,0.035768100002314895,10,0.06471269319890245,0.3564886132145549,11,0.12119523582880024,0.17039473702815822,13,0.05959374029229159,0.12085337372478332,14,0.16299498833380338,0.09649548740772634
13,10-11-13-14,4,0.26962854223746124,14x212,0.035227399988798425,10,0.06449428368503053,0.3768601675551026,11,0.14750169639066654,0.18073034880170205,13,0.1765498096572914,0.11665622846975018,14,0.05727299546921314,0.09881948590912838
14,10-11-13-14,4,0.2557217464804102,14x212,0.03911000001244247,10,0.06705701668606634,0.3231880137071746,11,0.08498879922443908,0.21098994167848834,13,0.06492825369205917,0.13881078670043046,14,0.1576453899272826,0.10115866760908178
15,10-11-13-14,4,0.25538604905247275,14x212,0.03323130001081154,10,0.06709054289567554,0.3342207530617016,11,0.18653001154431711,0.15657798023273925,13,0.12651126236572668,0.10751958477912019,14,0.056674733650175585,0.09182813545862502
