indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,4-8-18,3,0.17366244407617068,18x212,0.036794999992707744,4,0.11632745336027525,0.2718301472900866,8,0.05327684820403268,0.17556742738744605,18,0.04231856278358046,0.1364780329249004
1,4-8-18,3,0.16781039879209764,18x212,0.02922490000491962,4,0.10475134547990392,0.2231259548157908,8,0.04537506241705221,0.17509631447396407,18,0.051639004354163166,0.11991443563581752
2,4-8-18,3,0.16342704377956682,18x212,0.026146999996853992,4,0.0957282533764329,0.29659169468368635,8,0.04861759690639791,0.15261963098816458,18,0.044772442597396246,0.13180789765667383
3,4-8-18,3,0.16684560235263182,18x212,0.028358800016576424,4,0.10063212879703116,0.24486828709531552,8,0.05062005926309968,0.16488544087242657,18,0.04617140963471257,0.09129137795633865
4,4-8-18,3,0.1820089624414663,18x212,0.029210599983343855,4,0.12365951253280622,0.18003884274268347,8,0.049286076626571765,0.156853993177557,18,0.047297253379867135,0.139326954234925
5,4-8-18,3,0.17214112973072948,18x212,0.02929000000585802,4,0.10991041309103927,0.2626956342661927,8,0.0479674381464053,0.1607966427774943,18,0.05047988593091938,0.1222694831393573
6,4-8-18,3,0.17887800467596862,18x212,0.03465890002553351,4,0.11396052746884378,0.24481083748569699,8,0.054526011897694925,0.14505710890361367,18,0.06071331313538025,0.10313190744240736
7,4-8-18,3,0.15431495390565195,18x212,0.03508400000282563,4,0.08804318409102173,0.3038121706168827,8,0.04395628949985551,0.20941723701568637,18,0.04767359767564983,0.14244705136854188
8,4-8-18,3,0.17616476583483875,18x212,0.037934299994958565,4,0.11211878754965794,0.17873454285256,8,0.04598425727733056,0.11802721465410582,18,0.04951840551575698,0.08491012034788849
9,4-8-18,3,0.17318671282281267,18x212,0.042740700009744614,4,0.11083457905883723,0.2522422508074353,8,0.04935466405731857,0.13319356788000428,18,0.04298627683324564,0.10966931324204116
10,4-8-18,3,0.16969328830133523,18x212,0.03593520002323203,4,0.10646516980911759,0.2179272282241694,8,0.050272699717475125,0.12293095727830312,18,0.04429677025939939,0.11076448325951273
11,4-8-18,3,0.1752297659095124,18x212,0.03576159998192452,4,0.11456018773906215,0.30983826208498044,8,0.04921145407206703,0.14757547383724742,18,0.04807813112359911,0.09853653247831422
12,4-8-18,3,0.17938237806821036,18x212,0.029324500006623566,4,0.10536931236741667,0.26273584740240535,8,0.05064069951295239,0.1321142092870084,18,0.09526362392652547,0.15977742781419652
13,4-8-18,3,0.196312958079037,18x212,0.04251120000844821,4,0.1398486697708098,0.15814484663222908,8,0.04810300096304611,0.12415622650883718,18,0.048289826832553125,0.11236580304945035
14,4-8-18,3,0.18443662905811095,18x212,0.035796199983451515,4,0.10363499391125273,0.36578572474192056,8,0.09195838396184218,0.2496838871887649,18,0.05357934503946567,0.12954232691567233
15,4-8-18,3,0.17644334642899964,18x212,0.0386805999733042,4,0.10466373474395155,0.3725785563439234,8,0.054061490825778345,0.15416797916201158,18,0.04997016117169877,0.08877737295862524
16,4-8-18,3,0.1705993341502767,18x212,0.04288940000697039,4,0.11264981728484419,0.2926337225948707,8,0.04775589695084979,0.14275780095189333,18,0.04484875437059815,0.13897285909711204
17,4-8-18,3,0.16265041593191926,18x212,0.03396239998983219,4,0.09559147848476165,0.3686391226024568,8,0.050217477304409223,0.15467106732760172,18,0.0487138391833752,0.1109826551621019
18,4-8-18,3,0.16916031215972452,18x212,0.030537800019374117,4,0.10729207485450486,0.3130998467938924,8,0.05221509460604775,0.11070788266964078,18,0.045204033950216105,0.08875425695176123
19,4-8-18,3,0.16403161292523324,18x212,0.03419360000407323,4,0.11017875193576714,0.30031533142482275,8,0.048632846406829036,0.15932235682203696,18,0.04222290614869424,0.10655665143136472
20,4-8-18,3,0.17578334998030182,18x212,0.042265199997927994,4,0.10866081437552881,0.29361674336929267,8,0.050386612613157813,0.13221260844927324,18,0.042550541634327366,0.09613701151562601
21,4-8-18,3,0.16737358198341576,18x212,0.038361100014299154,4,0.09831055196599185,0.2465045794689278,8,0.04949038298616924,0.125491843971315,18,0.045808311149271065,0.11136077391651562
22,4-8-18,3,0.16870382913461107,18x212,0.02757400000700727,4,0.10902007426255614,0.23274202005908132,8,0.044204460709933925,0.1407198065726784,18,0.045802257972398695,0.10354247651506487
