indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h
0,6-8,2,0.13709572481547014,8x212,0.016895500011742115,6,0.08891150300397123,0.27927779149305404,8,0.1423864956082848,0.16226316029722873
1,6-8,2,0.1152984653670617,8x212,0.01616290002129972,6,0.07639939741763906,0.312602599019295,8,0.0748670552208024,0.16241118281088904
2,6-8,2,0.13711940621495627,8x212,0.018137200007913634,6,0.10332213690305678,0.3468304654135078,8,0.06744569695604392,0.14411725158852004
3,6-8,2,0.12440621407965967,8x212,0.017549200012581423,6,0.07537077740809227,0.4416587153437289,8,0.1491111944399348,0.17212646431631154
4,6-8,2,0.10964839902526212,8x212,0.01911580000887625,6,0.08054980974593184,0.2795156405338964,8,0.05190125471782891,0.18461934642647412
5,6-8,2,0.12712292077229148,8x212,0.020010999985970557,6,0.09678423110536725,0.303151644559426,8,0.059740563676552824,0.1673356944324214
6,6-8,2,0.12169231552414056,8x212,0.0197172999905888,6,0.07602479808216774,0.3327093203429998,8,0.13427598881687353,0.18147834046598652
7,6-8,2,0.13582494558359773,8x212,0.013186200027121231,6,0.08848421002791358,0.3534830214013934,8,0.10754707653259275,0.132459714636221
8,6-8,2,0.14162791165599736,8x212,0.012796000024536625,6,0.10269316421288792,0.3721410168180674,8,0.09676031739134575,0.15466885053774854
9,6-8,2,0.11977681574182229,8x212,0.017085100000258535,6,0.09444344924711995,0.288350861575694,8,0.055517856861047515,0.18143319825734114
10,6-8,2,0.12248052125851833,8x212,0.012784999998984858,6,0.08266574929802722,0.34258607394040536,8,0.09464339072239462,0.19112552054044976
11,6-8,2,0.12717480294270767,8x212,0.013780700013739988,6,0.09884728616206001,0.2786076404666483,8,0.055735099656590584,0.1889749295320066
12,6-8,2,0.1091003949457131,8x212,0.014403599983779714,6,0.07397518291254834,0.263679737564317,8,0.05626663220443513,0.16274002964873097
13,6-8,2,0.13610059234431574,8x212,0.014165999979013577,6,0.09298867959687013,0.303828564315363,8,0.12353224362822536,0.1875439236997922
14,6-8,2,0.1463684631248076,8x212,0.015704299992648885,6,0.10091470483561998,0.28659101237631307,8,0.18383538331749363,0.17030087107087727
15,6-8,2,0.12164151450829191,8x212,0.014733500021975487,6,0.08968091387195644,0.32550898001704454,8,0.05925161308161534,0.18434980366519557
16,6-8,2,0.1406355736805024,8x212,0.01731720002135262,6,0.08484839563518567,0.24589277497847833,8,0.11941764331470532,0.12828905443364677
17,6-8,2,0.13298297944392554,8x212,0.012659600004553795,6,0.09649992603651394,0.38358801525231134,8,0.09613002604258221,0.17322936245097864
18,6-8,2,0.11935870802259367,8x212,0.016513400012627244,6,0.08035247102938944,0.3285731374547772,8,0.08671976594367577,0.1601474579457713
19,6-8,2,0.15065861119860505,8x212,0.01507100000162609,6,0.1143793544357479,0.2780710076965148,8,0.08504876591577493,0.1318435401200669
20,6-8,2,0.13070180939042728,8x212,0.014878399990266189,6,0.09260049935381674,0.3033042696961774,8,0.10266015090467319,0.14641899519893187
21,6-8,2,0.11883845835141592,8x212,0.013769100012723356,6,0.08541421376177613,0.3624433793550364,8,0.06204952958583591,0.1876146563981998
22,6-8,2,0.12598308794753238,8x212,0.014943799993488938,6,0.08852859493821581,0.26058977427010255,8,0.06994318196315595,0.16004100770123536
23,6-8,2,0.1159853514601566,8x212,0.013252299977466464,6,0.0761534652449167,0.3106266853060124,8,0.07962960807543205,0.18176172785491848
24,6-8,2,0.12254588739428647,8x212,0.014333900006022304,6,0.09383244541358307,0.25640262870303593,8,0.05557100721639338,0.16648043770193435
25,6-8,2,0.11608973699307137,8x212,0.014244299993151799,6,0.08671655946587946,0.3055632676670914,8,0.055530337453543986,0.19094257183600197
26,6-8,2,0.11747218056695274,8x212,0.013227500021457672,6,0.08783425343736322,0.2879533770558456,8,0.061024844798058225,0.15185829189814984
27,6-8,2,0.13114092215052617,8x212,0.012461300007998943,6,0.09169685059255998,0.32009669801501006,8,0.09952402984294671,0.16366735402376148
28,6-8,2,0.1294116255014534,8x212,0.013059699995210394,6,0.09851144846094913,0.397000788724184,8,0.06819430171766845,0.20381031113436338
29,6-8,2,0.11833815782782002,8x212,0.013231799995992333,6,0.07595825292160373,0.3460892688227265,8,0.08279037834994712,0.23123262926728158
30,6-8,2,0.12520777595797417,8x212,0.012715400021988899,6,0.09727526876901442,0.43256843747117124,8,0.0983773735228721,0.16939196544179222
31,6-8,2,0.11942098613748257,8x212,0.012155299977166578,6,0.09220490045862897,0.3378171202867301,8,0.06309176828286218,0.20911655061277262
32,6-8,2,0.13352908614221307,8x212,0.012200700002722442,6,0.10087372877265156,0.28780985461604697,8,0.14803217825806347,0.18031863855867353
33,6-8,2,0.12415613897655657,8x212,0.01267220001318492,6,0.09238727812696346,0.32712283263632536,8,0.07054078122915984,0.2369150927811586
34,6-8,2,0.15251197250820148,8x212,0.01279959999374114,6,0.08381670233091487,0.2498922728717767,8,0.1643810987370416,0.14992565075380204
35,6-8,2,0.12434769000016713,8x212,0.012878999987151474,6,0.0965552393698212,0.2694336042156626,8,0.052151815393801,0.21593484407402114
36,6-8,2,0.10666958941611793,8x212,0.011935599992284551,6,0.06343281329607073,0.44719796465678147,8,0.09111115495066618,0.11584128398965664
37,6-8,2,0.10780515911285649,8x212,0.012408600014168769,6,0.0712749166010654,0.30829510963250956,8,0.06281337758572347,0.1645349408138777
38,6-8,2,0.11349784160045756,8x212,0.013449099991703406,6,0.06970582612640644,0.2469878554116949,8,0.10390126057876634,0.11951904241713898
39,6-8,2,0.10844406400374793,8x212,0.012355199985904619,6,0.06616690001301144,0.31393464629052015,8,0.07554013398821458,0.14102975864806114
40,6-8,2,0.11046382991176315,8x212,0.012581599992699921,6,0.0736357268023929,0.42075406129968,8,0.0773846109660864,0.18361044702350313
41,6-8,2,0.11774386704964315,8x212,0.012369100004434586,6,0.07744300593007675,0.23880603194194547,8,0.08303024552587283,0.11770813450746151
42,6-8,2,0.1182943568580023,8x212,0.012751500005833805,6,0.08423448780177135,0.3561383748900752,8,0.06389231497741558,0.11442042722363999
43,6-8,2,0.12392257046233536,8x212,0.014201400015735999,6,0.08158737789052344,0.40787310813712957,8,0.08667970961855179,0.16734918628730946
44,6-8,2,0.10256742403230004,8x212,0.015005199995357543,6,0.07251291260054221,0.33937732834570944,8,0.06605118516899695,0.19144530448001396
