indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h
0,10-9-9-8,4,0.2899216503766858,8x212,0.0270957000029739,10,0.06681057339576545,0.39288817325520325,9,0.13283876398483033,0.252249871651154,9,0.19040227979314842,0.2004701174154052,8,0.20075411510198277,0.17195087715492582
1,10-9-9-8,4,0.2646129172379032,8x212,0.027389399998355657,10,0.0611573449139471,0.37122554942374464,9,0.12836400013719773,0.2052653741276696,9,0.0639651467027863,0.17735969113149153,8,0.17638538875491377,0.16610711746801174
2,10-9-9-8,4,0.30563789423616433,8x212,0.03156810000655241,10,0.06460343198708117,0.362462569480511,9,0.14134033197081033,0.20939314880538099,9,0.10658205029715492,0.18435089259555607,8,0.2639765707997975,0.1430521929831559
3,10-9-9-8,4,0.33717260471722765,8x212,0.04661540000233799,10,0.06688616458150423,0.34485389385620413,9,0.19997870811941793,0.19044317372072936,9,0.2442821521550321,0.17504912060499803,8,0.2578992620018909,0.17304646981133479
4,10-9-9-8,4,0.2711327351743899,8x212,0.026891999994404614,10,0.0668161530816433,0.34331446094955054,9,0.16140970495992324,0.1852144439179657,9,0.17725884153247318,0.15707078323152773,8,0.1974264060458393,0.15280813972459426
5,10-9-9-8,4,0.3197214046022461,8x212,0.030163399991579354,10,0.0701909872570839,0.33957578192444426,9,0.12413682247381373,0.20380655954834173,9,0.1670017881054149,0.14894522991196846,8,0.23020233243541258,0.11559096109078883
6,10-9-9-8,4,0.26381024695500443,8x212,0.0353795999835711,10,0.061820903714820054,0.36675212351729486,9,0.17193606935683473,0.21863377949767793,9,0.11447268203775104,0.20291275924786104,8,0.07477684595736987,0.18718131642123753
7,10-9-9-8,4,0.30334539068933963,8x212,0.03006790002109483,10,0.056697103869812256,0.3449041447522355,9,0.1778107640519938,0.184986353474924,9,0.16675826200279087,0.14564360489267214,8,0.28563855113561437,0.1086388356325479
8,10-9-9-8,4,0.2843610135867698,8x212,0.035597699985373765,10,0.05823981278414612,0.3471525089247904,9,0.20372594142016334,0.2175172871409596,9,0.11048707940710316,0.19064500412613958,8,0.19140206644439461,0.18208131492429105
9,10-9-9-8,4,0.28294162614654866,8x212,0.03209729999070987,10,0.059099553109907624,0.3312704777190992,9,0.20552413581876838,0.19188726608147333,9,0.06777194685759794,0.15390594987939293,8,0.18051640595714757,0.13557255450238156
10,10-9-9-8,4,0.2894949200028398,8x212,0.02816250000614673,10,0.0731384015076111,0.3749696165567532,9,0.18801460606848336,0.2216462064179099,9,0.06263578893253031,0.19596415641580325,8,0.2257800578110802,0.14203037462300688
11,10-9-9-8,4,0.3157926247646583,8x212,0.029993900010595098,10,0.07084415269786198,0.30948497929416036,9,0.10352813768110408,0.18278317653308043,9,0.21258279507731617,0.16898926435913897,8,0.2652337695144035,0.12113262919425896
12,10-9-9-8,4,0.3112964032787214,8x212,0.0326426999818068,10,0.06471269319890245,0.3564886132145549,9,0.17102362182207,0.21162295889901273,9,0.16674469598367936,0.16555110679980098,8,0.238128155672906,0.161022150722926
13,10-9-9-8,4,0.30959573877522395,8x212,0.033006500016199425,10,0.06449428368503053,0.3768601675551026,9,0.18143285978365586,0.20171444302710995,9,0.1832838801024801,0.14916540252567748,8,0.22245644709043752,0.14122920900525276
14,10-9-9-8,4,0.3123479240138239,8x212,0.03229750000173226,10,0.06705701668606634,0.3231880137071746,9,0.18263205190066098,0.21405356099414294,9,0.14888849171917704,0.1800762247186255,8,0.2764444707477256,0.18305386752115435
15,10-9-9-8,4,0.2822429735221752,8x212,0.03888889998779632,10,0.06709054289567554,0.3342207530617016,9,0.16011044811747813,0.18081840282009237,9,0.21699957052013147,0.12203232724091993,8,0.22773166592653987,0.1168782223462163
16,10-9-9-8,4,0.3049929099385218,8x212,0.0330277000030037,10,0.07104860455880736,0.3197301732682324,9,0.2046106534573333,0.1614936147287359,9,0.18579986824353759,0.13459664750740744,8,0.22818677711464977,0.12610016369236693
17,10-9-9-8,4,0.2870489199419234,8x212,0.04631460001110099,10,0.07367527604932203,0.3607575810377986,9,0.18088595460819776,0.15180153167085172,9,0.19428714099560182,0.13489090705375642,8,0.200047012475327,0.1353195131194409
18,10-9-9-8,4,0.2936614092750389,8x212,0.04228759999386966,10,0.05928623951741652,0.3125259680083784,9,0.20633672740629982,0.20522867140719933,9,0.14411357498095204,0.161181517403256,8,0.18978109894083137,0.1608798265785421
19,10-9-9-8,4,0.28523333052295513,8x212,0.043140499998116866,10,0.06152207679704104,0.36897059788881825,9,0.17894970301303087,0.2008403369537643,9,0.21420809317815964,0.16149786801557606,8,0.10488711985022978,0.14948185089837168
20,10-9-9-8,4,0.35007927698916413,8x212,0.045097599999280646,10,0.06551175964579407,0.3762968258073448,9,0.23270628884871727,0.15298985243658914,9,0.20181415038148287,0.11287874266292541,8,0.24471527480274377,0.12350905173311857
21,10-9-9-8,4,0.31031301954200324,8x212,0.033794599992688745,10,0.061955513156543324,0.3756072986892492,9,0.14799361977274358,0.1775287690451331,9,0.1946111110745147,0.13003894473862487,8,0.20327622553149274,0.13325609144660455
22,10-9-9-8,4,0.3107768563138374,8x212,0.05896160000702366,10,0.059053227074214926,0.35897765359064543,9,0.2578672256783465,0.20556732337393674,9,0.21105676140387483,0.14773660937831803,8,0.23173110292198915,0.13352038265735114
23,10-9-9-8,4,0.26557339932551993,8x212,0.03034609998576343,10,0.06038488953249347,0.41692002262277505,9,0.150912899373074,0.17694984174403988,9,0.0699873105882846,0.14540309294492232,8,0.19768563614869428,0.1300696918684601
24,10-9-9-8,4,0.29808321484662526,8x212,0.0293919000250753,10,0.07188839049684188,0.30213225223102347,9,0.13842444048829147,0.19338292484087174,9,0.2779124339869519,0.1645930940129669,8,0.08671412467006477,0.15350008654866887
25,10-9-9-8,4,0.2799665930867106,8x212,0.02805689998785965,10,0.07718867992225467,0.3239972275864988,9,0.2045596103901192,0.17412904102441445,9,0.07125899465471565,0.14094623968875666,8,0.253976629480878,0.1371647762719537
26,10-9-9-8,4,0.32537700738236447,8x212,0.026771600008942187,10,0.06945359812417864,0.35789893848103005,9,0.15235687491236735,0.21718691727565753,9,0.19324476144080716,0.2015728611147204,8,0.1832420248289933,0.17934454785784884
27,10-9-9-8,4,0.2959945847662257,8x212,0.032440599985420704,10,0.0666782987295525,0.30230402424318065,9,0.17493549687104115,0.20500950846278002,9,0.059569438096520946,0.18831081769987656,8,0.2612621134825415,0.13513599933491993
28,10-9-9-8,4,0.28885168844052306,8x212,0.027530799998203292,10,0.06916111645683011,0.3457299178646975,9,0.22237873503939612,0.2068469159947817,9,0.08925486706414446,0.17488098185355785,8,0.19964673163082863,0.1586067828556749
29,10-9-9-8,4,0.26962769878140136,8x212,0.02803660000790842,10,0.06690564685422262,0.3819470418989344,9,0.11608220571743895,0.23012758335659297,9,0.08306701229898886,0.19944565780610646,8,0.17642733228482377,0.1744327941182807
30,10-9-9-8,4,0.2535406259345575,8x212,0.029980799998156726,10,0.05688611060405071,0.3215684892968756,9,0.11259369057051033,0.21466885550136677,9,0.13157713731477702,0.18987937994420656,8,0.10384386313557151,0.16719404579039734
31,10-9-9-8,4,0.2741058070958979,8x212,0.034861499996623024,10,0.058650860395686656,0.3833631437996989,9,0.17513325821440934,0.21472102756436623,9,0.05951170568222499,0.19658145449379516,8,0.240618094219006,0.19474903712171288
32,10-9-9-8,4,0.349363861997047,8x212,0.04024149998440407,10,0.0755571732125573,0.36346239438827815,9,0.16544066939664107,0.1961876293646376,9,0.15589534503861902,0.1638180343747746,8,0.22778789864634597,0.14813466857957738
33,10-9-9-8,4,0.29463576574387346,8x212,0.03561739998986013,10,0.06989315214136244,0.36552864365207066,9,0.15285543382179553,0.23823414906375284,9,0.12658890148268828,0.17789189477937917,8,0.23300117706477427,0.16573444344666083
34,10-9-9-8,4,0.2725593029589301,8x212,0.04408110000076704,10,0.0602889050038083,0.3069117659266162,9,0.17893976685738025,0.14835363129036028,9,0.22717305631310492,0.11210727275958174,8,0.08351895696360913,0.10060956147385716
35,10-9-9-8,4,0.29637799308664703,8x212,0.04156169999623671,10,0.06519994063513072,0.3614844874592716,9,0.1623968597186179,0.15059716834022754,9,0.07978608640937179,0.09247175235485654,8,0.22450278625985165,0.10873875966805471
36,10-9-9-8,4,0.28102981633985796,8x212,0.03792580001754686,10,0.05472514246615251,0.3369836844587858,9,0.14030155975922196,0.1525870600233062,9,0.19342265028471461,0.1099383344335991,8,0.1334422664484803,0.08481254851237875
37,10-9-9-8,4,0.3062860245059097,8x212,0.02785720000974834,10,0.05660505320730061,0.3227225199877972,9,0.12953762535251942,0.12438426065424132,9,0.1352373376753329,0.08764551692285107,8,0.23132490707175948,0.08555410277338889
38,10-9-9-8,4,0.2747839517993426,8x212,0.0330711999849882,10,0.0403603582071356,0.4435451067287036,9,0.10464083387911913,0.1818592731734209,9,0.148332375712267,0.1360136339572591,8,0.2092781466616631,0.10459231706206053
39,10-9-9-8,4,0.2648446444083961,8x212,0.033914700004970655,10,0.04724136763759986,0.35357450443189964,9,0.1108272154540182,0.1280681944869135,9,0.1573898691150494,0.09010974297825419,8,0.1628109271861828,0.0751316396632437
40,10-9-9-8,4,0.25200903607245384,8x212,0.03649159998167306,10,0.05454798562330614,0.3960834480444211,9,0.1299369828011589,0.16787837926710092,9,0.1429355205728504,0.13219595797235673,8,0.30578715009540275,0.09521981299526486
41,10-9-9-8,4,0.2659060634057767,8x212,0.03339699999196455,10,0.05719660109101146,0.38847422720914865,9,0.1373997659093384,0.19266803504647279,9,0.17270185987622697,0.13160412652480236,8,0.22572338392710256,0.1380706186949593
42,10-9-9-8,4,0.3102734860279892,8x212,0.04196760000195354,10,0.05095374806275437,0.3989306440895435,9,0.12917651991226486,0.21457494884597508,9,0.1972473785038656,0.13391628549214207,8,0.2592531850126576,0.12523323059189945
43,10-9-9-8,4,0.2953540652283049,8x212,0.03899109998019412,10,0.06853864892610602,0.37501505521871703,9,0.13070899267370473,0.14625311543647065,9,0.09886636363550814,0.12121356807420589,8,0.21251208800094754,0.12077744531165367
44,10-9-9-8,4,0.2746090444093988,8x212,0.0314426000113599,10,0.05631742456546486,0.3863731274949088,9,0.12793454596734785,0.1976215590907813,9,0.060780873438639145,0.1597721739920842,8,0.2477538069131093,0.11686917163652466
45,10-9-9-8,4,0.3132869123776351,8x212,0.031206299987388775,10,0.052998981175761094,0.38794120717182373,9,0.1952657096007747,0.15204441334097238,9,0.23618140774029533,0.10775362987692104,8,0.24634948186008593,0.09950100166704057
