indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h
0,16-2,2,0.2471427337211202,2x212,0.026621999975759536,16,0.0458206773554651,0.36645338885998924,2,0.5927868915649992,0.346150928288908
1,16-2,2,0.1885963183875306,2x212,0.03755730000557378,16,0.047096700512151694,0.39258642979671493,2,0.674366946224671,0.3516503251999163
2,16-2,2,0.23814344390799688,2x212,0.032288100017467514,16,0.050304785316583986,0.3890006849244597,2,0.6075598873384068,0.32553856600806236
3,16-2,2,0.25597929830740607,2x212,0.03764730002149008,16,0.04835497665874041,0.3731506946365491,2,0.6249052678525306,0.32032800764172675
4,16-2,2,0.2767626473653529,2x212,0.026241099985782057,16,0.04610841512120114,0.38027143645094846,2,0.5586553594750732,0.2158663139224286
5,16-2,2,0.19038022214796982,2x212,0.04549899999983609,16,0.04811424498637357,0.38638263547764223,2,0.5855324426245355,0.2865298151925937
6,16-2,2,0.2727974566555254,2x212,0.034954700007801875,16,0.04716153151963229,0.3757640589142946,2,0.5495380373887467,0.3787526178617512
7,16-2,2,0.26104474649111975,2x212,0.03512149999733083,16,0.05105466267836843,0.3652138888762891,2,0.6099609820565766,0.3688157789083465
8,16-2,2,0.2929053283082958,2x212,0.027610299992375076,16,0.042808592932012626,0.3577102802544771,2,0.5279121269691406,0.3459221274713695
9,16-2,2,0.2996018726136655,2x212,0.03234239999437705,16,0.05339049986884114,0.3741503272164337,2,0.6066927478696106,0.3244050837877396
10,16-2,2,0.2759696205877042,2x212,0.03415059999679215,16,0.04695648953135544,0.36204629198908084,2,0.6406645848981521,0.2401339167978548
11,16-2,2,0.3318506769525838,2x212,0.032714699977077544,16,0.0560125442650606,0.35338948048759283,2,0.5899132502045294,0.2930172374725144
12,16-2,2,0.2531068598331085,2x212,0.0250139000127092,16,0.04786973095064888,0.3356009986990902,2,0.667064911312596,0.24909792485554494
13,16-2,2,0.21208186311009602,2x212,0.02197800000431016,16,0.05228026243273748,0.4015521399919592,2,0.5974966258908005,0.3093565271768922
14,16-2,2,0.23714257794584517,2x212,0.029146399989258498,16,0.0565016860739132,0.38916295478619684,2,0.6759824428579444,0.31473337587357597
15,16-2,2,0.20798843300758849,2x212,0.02985999998054467,16,0.050111357009044774,0.38673284592202806,2,0.6347671769045863,0.33916449627175604
16,16-2,2,0.25920646694148397,2x212,0.03123079999932088,16,0.0460343065656867,0.3545752040864133,2,0.6160714074960255,0.2797935875812829
17,16-2,2,0.17974481459086825,2x212,0.02587929999572225,16,0.04897722980938851,0.367464611170574,2,0.636220509284315,0.2650598910061894
18,16-2,2,0.16625362206811561,2x212,0.02789870000560768,16,0.05435947970485835,0.3878393982514791,2,0.6854126373865449,0.40509252939283835
19,16-2,2,0.19482716937066533,2x212,0.02769560000160709,16,0.047939631064270224,0.3932223428513663,2,0.6615069604389406,0.31489197265021496
20,16-2,2,0.24066965698561724,2x212,0.025915100006386638,16,0.050458644484837424,0.3767355288717012,2,0.6325387852267852,0.286584719573047
