indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,20-9-4,3,0.2776722767771039,4x212,0.025725800020154566,20,0.039420294066474425,0.34345901370393306,9,0.27961277243569704,0.21478251873761428,4,0.5412719618145828,0.2352907549343052
1,20-9-4,3,0.2509561864167652,4x212,0.025417199998628348,20,0.04388184210167848,0.3718621797724546,9,0.3505336131421203,0.24157558768272544,4,0.567560441941256,0.25877587065948965
2,20-9-4,3,0.33309687283775385,4x212,0.03667010000208393,20,0.03744012530412143,0.39055318542486916,9,0.30814123659987214,0.18860597153651634,4,0.5676845250161507,0.20296100536618947
3,20-9-4,3,0.31892128798761366,4x212,0.027938899991568178,20,0.042038779014821274,0.35797285162405246,9,0.2898300970308863,0.17471923772445902,4,0.5052775771773675,0.14407459945674939
4,20-9-4,3,0.3223354846870863,4x212,0.030820699990727007,20,0.04363972974888305,0.38900857446206993,9,0.35842195259889764,0.1587481644072044,4,0.589827905477538,0.15238662513542706
5,20-9-4,3,0.2706806583420751,4x212,0.02290399998310022,20,0.041512894985472365,0.36953415476501755,9,0.3431741705432219,0.25068561554121516,4,0.5402867060646953,0.21237144682520956
6,20-9-4,3,0.2849054364651263,4x212,0.032570999988820404,20,0.04004258856647152,0.3787006845715144,9,0.3492019538126705,0.21636891018220836,4,0.5555186942895742,0.2238221448145963
7,20-9-4,3,0.30383150811361953,4x212,0.027714199997717515,20,0.04299372052212744,0.3715303571213857,9,0.31532036984930956,0.1654616277108725,4,0.5931599666396954,0.21235553192153367
8,20-9-4,3,0.3230052775285713,4x212,0.023697099997662008,20,0.040087787842082126,0.4083340194597364,9,0.32591715818082595,0.16987008126396372,4,0.5307694493179282,0.13968925471367535
9,20-9-4,3,0.30670802934822233,4x212,0.024276400014059618,20,0.04051797325409531,0.3945205674712955,9,0.3314622331093143,0.17794369525380765,4,0.5535381172984304,0.18280026018712467
