distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
10-9-7-4-3,5,KNN,DeepONMF_H5,1,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8599692254682146,0.890625,200
10-9-7-4-3,5,KNN,DeepONMF_H5,2,PROMEDIO_MACRO,164,764,36,36,0.9279999999999999,0.82,0.9550000000000001,0.8248725485140687,0.8875,200
10-9-7-4-3,5,KNN,DeepONMF_H5,3,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.9612499999999999,0.8495007281048471,0.903125,200
10-9-7-4-3,5,KNN,DeepONMF_H5,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8808288838037122,0.921875,200
10-9-7-4-3,5,KNN,DeepONMF_H5,5,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8429885490246344,0.890625,200
10-9-7-4-3,5,KNN,DeepONMF_W,1,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6757590032851918,0.784375,200
10-9-7-4-3,5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,132,732,68,68,0.8640000000000001,0.6599999999999999,0.915,0.6944156785243741,0.7875,200
10-9-7-4-3,5,KNN,DeepONMF_W,3,PROMEDIO_MACRO,125,725,75,75,0.85,0.625,0.90625,0.6632166471076509,0.765625,200
10-9-7-4-3,5,KNN,DeepONMF_W,4,PROMEDIO_MACRO,128,728,72,72,0.8559999999999999,0.6399999999999999,0.9099999999999999,0.6548735865096833,0.775,200
10-9-7-4-3,5,KNN,DeepONMF_W,5,PROMEDIO_MACRO,142,742,58,58,0.884,0.71,0.9275,0.7382208848062506,0.81875,200
10-9-7-4-3,5,SVM,DeepONMF_H5,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9193257602917424,0.946875,200
10-9-7-4-3,5,SVM,DeepONMF_H5,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.882045004150612,0.925,200
10-9-7-4-3,5,SVM,DeepONMF_H5,3,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8788344606135137,0.925,200
10-9-7-4-3,5,SVM,DeepONMF_H5,4,PROMEDIO_MACRO,181,781,19,19,0.962,0.905,0.97625,0.9061538461538461,0.940625,200
10-9-7-4-3,5,SVM,DeepONMF_H5,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.9787500000000001,0.9202564404977481,0.946875,200
10-9-7-4-3,5,SVM,DeepONMF_W,1,PROMEDIO_MACRO,152,752,48,48,0.9040000000000001,0.76,0.9400000000000001,0.7931111111111111,0.85,200
10-9-7-4-3,5,SVM,DeepONMF_W,2,PROMEDIO_MACRO,146,746,54,54,0.892,0.73,0.9324999999999999,0.7392012947444078,0.83125,200
10-9-7-4-3,5,SVM,DeepONMF_W,3,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7425162881532416,0.825,200
10-9-7-4-3,5,SVM,DeepONMF_W,4,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.93625,0.7542592836507643,0.840625,200
10-9-7-4-3,5,SVM,DeepONMF_W,5,PROMEDIO_MACRO,152,752,48,48,0.9039999999999999,0.76,0.9400000000000001,0.7757056277056277,0.85,200
10-9-7-4-3,5,UjaNet,DeepONMF_H5,1,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.9912500000000002,0.965224646983312,0.978125,200
10-9-7-4-3,5,UjaNet,DeepONMF_H5,2,PROMEDIO_MACRO,182,782,18,18,0.9640000000000001,0.9099999999999999,0.9775,0.9102747724698943,0.94375,200
10-9-7-4-3,5,UjaNet,DeepONMF_H5,3,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9169960192424892,0.946875,200
10-9-7-4-3,5,UjaNet,DeepONMF_H5,4,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9259906759906761,0.953125,200
10-9-7-4-3,5,UjaNet,DeepONMF_H5,5,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.926482873851295,0.953125,200
10-9-7-4-3,5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.9637499999999999,0.8656756559420231,0.909375,200
10-9-7-4-3,5,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.9049999999999999,0.9762500000000001,0.9097780760104252,0.940625,200
10-9-7-4-3,5,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8534782608695652,0.9,200
10-9-7-4-3,5,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8782161043030609,0.921875,200
10-9-7-4-3,5,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.8774543512043511,0.921875,200
