distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
20-19-18-17,4,KNN,DeepONMF_H4,1,PROMEDIO_MACRO,133,733,67,67,0.866,0.6649999999999999,0.91625,0.751936726064633,0.7906249999999999,200
20-19-18-17,4,KNN,DeepONMF_H4,2,PROMEDIO_MACRO,130,730,70,70,0.8600000000000001,0.65,0.9125,0.7160071974808817,0.78125,200
20-19-18-17,4,KNN,DeepONMF_H4,3,PROMEDIO_MACRO,127,727,73,73,0.8540000000000001,0.635,0.9087499999999998,0.6928888888888889,0.771875,200
20-19-18-17,4,KNN,DeepONMF_H4,4,PROMEDIO_MACRO,144,744,56,56,0.8880000000000001,0.7200000000000001,0.9299999999999999,0.7675141452115136,0.825,200
20-19-18-17,4,KNN,DeepONMF_H4,5,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.6399999999999999,0.9099999999999999,0.7371417367219056,0.775,200
20-19-18-17,4,KNN,DeepONMF_W,1,PROMEDIO_MACRO,103,703,97,97,0.806,0.5149999999999999,0.8787499999999999,0.5257125187406297,0.696875,200
20-19-18-17,4,KNN,DeepONMF_W,2,PROMEDIO_MACRO,89,689,111,111,0.7779999999999999,0.445,0.8612500000000001,0.4661232082284714,0.653125,200
20-19-18-17,4,KNN,DeepONMF_W,3,PROMEDIO_MACRO,91,691,109,109,0.782,0.45499999999999996,0.8637500000000001,0.465011473875429,0.659375,200
20-19-18-17,4,KNN,DeepONMF_W,4,PROMEDIO_MACRO,106,706,94,94,0.812,0.53,0.8825,0.552100122100122,0.7062499999999999,200
20-19-18-17,4,KNN,DeepONMF_W,5,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.535,0.88375,0.5616142006844094,0.709375,200
20-19-18-17,4,SVM,DeepONMF_H4,1,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9574999999999999,0.837875962046067,0.89375,200
20-19-18-17,4,SVM,DeepONMF_H4,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.9637499999999999,0.8604326750943292,0.909375,200
20-19-18-17,4,SVM,DeepONMF_H4,3,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8568721424774057,0.90625,200
20-19-18-17,4,SVM,DeepONMF_H4,4,PROMEDIO_MACRO,163,763,37,37,0.9260000000000002,0.8150000000000001,0.95375,0.82037531602749,0.884375,200
20-19-18-17,4,SVM,DeepONMF_H4,5,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8881972451247417,0.925,200
20-19-18-17,4,SVM,DeepONMF_W,1,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.6950000000000001,0.9237500000000001,0.7063330727855526,0.809375,200
20-19-18-17,4,SVM,DeepONMF_W,2,PROMEDIO_MACRO,133,733,67,67,0.866,0.6649999999999999,0.91625,0.6604468688060019,0.7906249999999999,200
20-19-18-17,4,SVM,DeepONMF_W,3,PROMEDIO_MACRO,129,729,71,71,0.858,0.6449999999999999,0.9112500000000001,0.6344881434355119,0.778125,200
20-19-18-17,4,SVM,DeepONMF_W,4,PROMEDIO_MACRO,137,737,63,63,0.874,0.685,0.9212499999999999,0.6724284074971311,0.803125,200
20-19-18-17,4,SVM,DeepONMF_W,5,PROMEDIO_MACRO,145,745,55,55,0.89,0.7250000000000001,0.93125,0.7130114215774286,0.828125,200
20-19-18-17,4,UjaNet,DeepONMF_H4,1,PROMEDIO_MACRO,185,785,15,15,0.9700000000000001,0.925,0.98125,0.927023947242325,0.953125,200
20-19-18-17,4,UjaNet,DeepONMF_H4,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.9700000000000001,0.8854637202152331,0.925,200
20-19-18-17,4,UjaNet,DeepONMF_H4,3,PROMEDIO_MACRO,182,782,18,18,0.9639999999999999,0.9099999999999999,0.9775,0.9109626431192541,0.94375,200
20-19-18-17,4,UjaNet,DeepONMF_H4,4,PROMEDIO_MACRO,179,779,21,21,0.958,0.8949999999999999,0.9737500000000001,0.8997726595110315,0.934375,200
20-19-18-17,4,UjaNet,DeepONMF_H4,5,PROMEDIO_MACRO,190,790,10,10,0.9799999999999999,0.95,0.9875000000000002,0.9508290761473136,0.96875,200
20-19-18-17,4,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,176,776,24,24,0.952,0.8800000000000001,0.97,0.8852105263157896,0.925,200
20-19-18-17,4,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8465558831412489,0.9,200
20-19-18-17,4,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,166,766,34,34,0.932,0.8299999999999998,0.9575000000000001,0.8531769780606989,0.89375,200
20-19-18-17,4,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,178,778,22,22,0.9560000000000001,0.8899999999999999,0.9724999999999999,0.8927516927516927,0.93125,200
20-19-18-17,4,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8668174962292609,0.90625,200
