indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos,capa_5_rango,capa_5_error,capa_5_ortogonalidad_h,capa_5_segundos
0,N,New_N_001.wav,20-19-18-17-16,5,0.44544505555881064,126x16,16x212,20,0.0394202946089659,0.3434590120535217,0.02830750000430271,19,0.14789738630461105,0.13804286917086805,0.009474099992075935,18,0.1885354491709003,0.10046782001371322,0.007968699996126816,17,0.21424279178572225,0.07756650179457332,0.009354200010420755,16,0.16512288161104063,0.06188301862989482,0.010060699976747856
1,N,New_N_002.wav,20-19-18-17-16,5,0.38278435427479524,126x16,16x212,20,0.04388184051280943,0.3718621768072039,0.0310882999910973,19,0.1421767272436304,0.14428118140201046,0.012265800003660843,18,0.12444170066675582,0.10914086978445567,0.011610099987592548,17,0.11229388888382566,0.09040384460722609,0.012224900012370199,16,0.19595180669454407,0.08174871596156222,0.010934499994618818
2,N,New_N_003.wav,20-19-18-17-16,5,0.39175086317828056,126x16,16x212,20,0.03744012538454681,0.39055318454321786,0.03142009998555295,19,0.14203083322754867,0.14475927293185467,0.011241100000916049,18,0.12516711405641567,0.10027669199472532,0.013161400012904778,17,0.20619103457104737,0.0775800067890919,0.012170400004833937,16,0.1613064176511476,0.0649496563205708,0.010582200018689036
3,N,New_N_004.wav,20-19-18-17-16,5,0.4463937602471841,126x16,16x212,20,0.042038778330182866,0.35797285063484685,0.0365925999940373,19,0.16636314886661424,0.1263858053972344,0.011664300021948293,18,0.17085427037430176,0.08942371304283558,0.010711800015997142,17,0.15484005326004727,0.05132913967116233,0.011435399996116757,16,0.25159221379907926,0.05198374330099685,0.007041800010483712
4,N,New_N_005.wav,20-19-18-17-16,5,0.41026712413064287,126x16,16x212,20,0.04363972922075228,0.3890085726540993,0.031072999991010875,19,0.1774880039122582,0.13206750123117245,0.009098000009544194,18,0.16350793573194786,0.0920504546026631,0.007662299991352484,17,0.13342265308327964,0.07918736460521075,0.007553399977041408,16,0.2228052249564461,0.07312174822688469,0.006611699995119125
5,N,New_N_006.wav,20-19-18-17-16,5,0.44161948596515127,126x16,16x212,20,0.041512895373680275,0.3695341520210253,0.027113799995277077,19,0.1589440026480717,0.17140759640357484,0.012949800002388656,18,0.2286729571737001,0.09878721104452039,0.011776300001656637,17,0.13398795189242765,0.07729571512521852,0.01148990000365302,16,0.15731313213617568,0.06916406187120802,0.010609099990688264
6,N,New_N_007.wav,20-19-18-17-16,5,0.3847516429452166,126x16,16x212,20,0.040042588727074495,0.3787006820269906,0.027028000011341646,19,0.17975327297610172,0.14725255936209727,0.008395800017751753,18,0.16095127701730363,0.12329013966243382,0.007714499981375411,17,0.19458166501280352,0.10766093724090775,0.01100090000545606,16,0.062383350125187656,0.09872116369096316,0.00915789999999106
7,N,New_N_008.wav,20-19-18-17-16,5,0.4473709468305744,126x16,16x212,20,0.04299372129141322,0.3715303560669369,0.028383600001689047,19,0.17570582123039424,0.15096342159763984,0.008420599973760545,18,0.2018188418048736,0.09976062002794887,0.008619700005510822,17,0.1718323943681597,0.08444437212943931,0.007226600020658225,16,0.17398542564888417,0.0784274785697443,0.009071100008441135
8,N,New_N_009.wav,20-19-18-17-16,5,0.41567056035219463,126x16,16x212,20,0.04008778739186863,0.40833402329694796,0.029103600012604147,19,0.16043447853023277,0.15451288390630924,0.011188700009370223,18,0.18864477826280523,0.1043660069899808,0.009952199994586408,17,0.18064496469480337,0.07872235741442257,0.01431679999222979,16,0.15059167277068516,0.07244687260581216,0.013009600021177903
9,N,New_N_010.wav,20-19-18-17-16,5,0.4422144559590966,126x16,16x212,20,0.04051797365051288,0.39452056646189715,0.03008820000104606,19,0.13817458868923552,0.19553684595520213,0.015470200014533475,18,0.2095217398058844,0.12782084685845202,0.013110899977618828,17,0.17408511012175876,0.10681929833748705,0.011524800007464364,16,0.20204041872263961,0.09227842873060182,0.007254199997987598
10,N,New_N_011.wav,20-19-18-17-16,5,0.4543582232301471,126x16,16x212,20,0.04210212850378206,0.3926440806076088,0.032505600014701486,19,0.17077175752845836,0.1595250056118816,0.014250600012019277,18,0.22093385771685056,0.09503578699904087,0.013347899977816269,17,0.21133435803006861,0.06927711462241888,0.011497400002554059,16,0.17715409474446123,0.05392239088664056,0.007380299997748807
11,N,New_N_012.wav,20-19-18-17-16,5,0.4553443872481737,126x16,16x212,20,0.04536748715628089,0.3905180752565429,0.02885110001079738,19,0.16527454071940315,0.1571628876548735,0.012542100012069568,18,0.17618648889856936,0.11721144336991622,0.008062599983531982,17,0.1668089690891971,0.0866841823966958,0.012178200006019324,16,0.16997312804701534,0.083848560118675,0.009816199977649376
12,N,New_N_013.wav,20-19-18-17-16,5,0.41603208826854665,126x16,16x212,20,0.047481531230729165,0.37300604867088644,0.031391299999086186,19,0.1985354197190833,0.14254171054620676,0.00998150001396425,18,0.1750152934222588,0.0930109146372037,0.009308500011684373,17,0.16975728938023504,0.08311566217077425,0.008015100000193343,16,0.1899236688402436,0.06849365998227883,0.0077794999815523624
13,N,New_N_014.wav,20-19-18-17-16,5,0.399652640710274,126x16,16x212,20,0.03875523311923351,0.33331042054521876,0.027804799989098683,19,0.17087800062979994,0.12774674735149835,0.008526799996616319,18,0.19258733345115597,0.09632689384792668,0.008649299998069182,17,0.15753919252114168,0.08452342958025529,0.011498400010168552,16,0.12571509910264922,0.06556914721913588,0.009463999973377213
14,N,New_N_015.wav,20-19-18-17-16,5,0.47575454574410836,126x16,16x212,20,0.04448740354065201,0.39373839792051507,0.0284142000018619,19,0.1607714153179108,0.13919774941532764,0.00851630000397563,18,0.23833032031891943,0.0877311660408394,0.00793409999459982,17,0.22592210203062515,0.06575449656334098,0.007335999980568886,16,0.21980915474096613,0.07421349479358626,0.01031490002060309
15,N,New_N_016.wav,20-19-18-17-16,5,0.3827308543190259,126x16,16x212,20,0.04183753253468983,0.3650076095394496,0.02671770000597462,19,0.17113033842011754,0.1298510060460481,0.012648899981286377,18,0.2118723742219237,0.10380226788705624,0.011424199998145923,17,0.13338814258889015,0.07838216231733278,0.007799699989845976,16,0.1747627296490588,0.07492466242715752,0.007377699977951124
16,N,New_N_017.wav,20-19-18-17-16,5,0.4574131383963443,126x16,16x212,20,0.0401910611720375,0.3674469552184008,0.02835330000380054,19,0.14420108223707218,0.16571327522020987,0.013712399988435209,18,0.21481608551887965,0.11127968301431776,0.0075462000095285475,17,0.180672830691247,0.09749109008983503,0.007588500011479482,16,0.2361222281249055,0.08727638231776608,0.009873499977402389
17,N,New_N_018.wav,20-19-18-17-16,5,0.45058878152788967,126x16,16x212,20,0.0445499500859767,0.4106710890524512,0.027856200002133846,19,0.1658807033956596,0.2182152948080419,0.012829500017687678,18,0.16769459373337658,0.1233223447991271,0.009986499993829057,17,0.21085970156471098,0.09201200187847203,0.008157100004609674,16,0.18221112904565975,0.08152631285092649,0.009755900013260543
18,N,New_N_019.wav,20-19-18-17-16,5,0.4155517314532507,126x16,16x212,20,0.044521314557315214,0.38598382391909714,0.027155799994943663,19,0.1569881391430895,0.17882270151439458,0.012997399986488745,18,0.16227380898895763,0.15524552214763412,0.010812399996211752,17,0.19959314952140195,0.11052635252626752,0.007116699998732656,16,0.15592278327407155,0.09793539206413154,0.0066648999927565455
19,N,New_N_020.wav,20-19-18-17-16,5,0.45425795479009085,126x16,16x212,20,0.0411331109972975,0.3878263649021797,0.027987199980998412,19,0.15309830026974722,0.1273134669421933,0.012708700000075623,18,0.16481614240321116,0.08872802297931387,0.013438800000585616,17,0.20432855571564534,0.07693612566075249,0.013123500015353784,16,0.2509966770624734,0.05878517981044228,0.010080999985802919
20,N,New_N_021.wav,20-19-18-17-16,5,0.44075133611298617,126x16,16x212,20,0.03968041062586927,0.35250814974725697,0.026013399998191744,19,0.17088816382120903,0.11956903094106444,0.008718099998077378,18,0.11387226945238368,0.0832064923293058,0.01094030000967905,17,0.21688644360712636,0.05968430647507027,0.011354700021911412,16,0.20513518870943198,0.045143199369365186,0.010448000015458092
