distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
10-11,2,KNN,DeepONMF_H2,1,PROMEDIO_MACRO,149,749,51,51,0.898,0.745,0.93625,0.8209152080119821,0.840625,200
10-11,2,KNN,DeepONMF_H2,2,PROMEDIO_MACRO,143,743,57,57,0.8859999999999999,0.7150000000000001,0.92875,0.7644620569017853,0.821875,200
10-11,2,KNN,DeepONMF_H2,3,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237500000000001,0.7556149706457925,0.809375,200
10-11,2,KNN,DeepONMF_H2,4,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.755,0.93875,0.7960796387520526,0.846875,200
10-11,2,KNN,DeepONMF_H2,5,PROMEDIO_MACRO,138,738,62,62,0.876,0.69,0.9225000000000001,0.7674316145701688,0.80625,200
10-11,2,KNN,DeepONMF_W,1,PROMEDIO_MACRO,95,695,105,105,0.7899999999999999,0.475,0.86875,0.49992613685104514,0.671875,200
10-11,2,KNN,DeepONMF_W,2,PROMEDIO_MACRO,91,691,109,109,0.782,0.45500000000000007,0.8637499999999999,0.44651864346309206,0.659375,200
10-11,2,KNN,DeepONMF_W,3,PROMEDIO_MACRO,106,706,94,94,0.8119999999999999,0.53,0.8825,0.5594656490776642,0.70625,200
10-11,2,KNN,DeepONMF_W,4,PROMEDIO_MACRO,97,697,103,103,0.7939999999999999,0.48500000000000004,0.8712500000000001,0.5011443476903438,0.678125,200
10-11,2,KNN,DeepONMF_W,5,PROMEDIO_MACRO,97,697,103,103,0.7939999999999999,0.485,0.8712500000000001,0.5110615901455767,0.678125,200
10-11,2,SVM,DeepONMF_H2,1,PROMEDIO_MACRO,178,778,22,22,0.9560000000000001,0.89,0.9724999999999999,0.8980119615413733,0.93125,200
10-11,2,SVM,DeepONMF_H2,2,PROMEDIO_MACRO,178,778,22,22,0.9560000000000001,0.89,0.9724999999999999,0.8914771136722356,0.93125,200
10-11,2,SVM,DeepONMF_H2,3,PROMEDIO_MACRO,173,773,27,27,0.946,0.865,0.9662499999999999,0.8655528255528256,0.915625,200
10-11,2,SVM,DeepONMF_H2,4,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8864819706924971,0.928125,200
10-11,2,SVM,DeepONMF_H2,5,PROMEDIO_MACRO,180,780,20,20,0.9599999999999997,0.9,0.975,0.9048081763563527,0.9375,200
10-11,2,SVM,DeepONMF_W,1,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6512353347135955,0.784375,200
10-11,2,SVM,DeepONMF_W,2,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.662374563860632,0.790625,200
10-11,2,SVM,DeepONMF_W,3,PROMEDIO_MACRO,129,729,71,71,0.858,0.6449999999999999,0.9112500000000001,0.6421294240564189,0.778125,200
10-11,2,SVM,DeepONMF_W,4,PROMEDIO_MACRO,129,729,71,71,0.858,0.645,0.9112500000000001,0.6380706621060612,0.7781250000000001,200
10-11,2,SVM,DeepONMF_W,5,PROMEDIO_MACRO,131,731,69,69,0.8620000000000001,0.655,0.91375,0.6463443172061503,0.784375,200
10-11,2,UjaNet,DeepONMF_H2,1,PROMEDIO_MACRO,196,796,4,4,0.992,0.9799999999999999,0.9949999999999999,0.9811684628474191,0.9875,200
10-11,2,UjaNet,DeepONMF_H2,2,PROMEDIO_MACRO,181,781,19,19,0.962,0.9049999999999999,0.97625,0.905077519379845,0.940625,200
10-11,2,UjaNet,DeepONMF_H2,3,PROMEDIO_MACRO,184,784,16,16,0.968,0.9199999999999999,0.9799999999999999,0.9216022459924899,0.95,200
10-11,2,UjaNet,DeepONMF_H2,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.9450000000000001,0.9862499999999998,0.9448655409631019,0.965625,200
10-11,2,UjaNet,DeepONMF_H2,5,PROMEDIO_MACRO,187,787,13,13,0.974,0.9350000000000002,0.98375,0.9350969355847404,0.959375,200
10-11,2,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,166,766,34,34,0.932,0.8300000000000001,0.9574999999999999,0.837655286865813,0.89375,200
10-11,2,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,173,773,27,27,0.9460000000000001,0.865,0.9662499999999999,0.8661518099975274,0.915625,200
10-11,2,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.9240000000000002,0.8099999999999999,0.9524999999999999,0.8189204824002353,0.88125,200
10-11,2,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,170,770,30,30,0.9399999999999998,0.85,0.9625,0.8514935064935065,0.90625,200
10-11,2,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,163,763,37,37,0.9259999999999999,0.8149999999999998,0.95375,0.82635846840498,0.884375,200
