indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,N,New_N_001.wav,11-17,2,0.09277616672350827,126x17,17x212,11,0.058814440338976696,0.35835554458388713,0.00814300001366064,17,0.062382584405447,0.22107665446578006,0.003992499987361953
1,N,New_N_002.wav,11-17,2,0.09251065018935498,126x17,17x212,11,0.05511656083763018,0.346471296916373,0.00930299999890849,17,0.08008063690460054,0.1643369881270115,0.0043015000119339675
2,N,New_N_003.wav,11-17,2,0.09167025760761442,126x17,17x212,11,0.05935102610342407,0.35054626202344685,0.00990459998138249,17,0.07120216080814315,0.17217620072635356,0.0044738999858964235
3,N,New_N_004.wav,11-17,2,0.09973477626837544,126x17,17x212,11,0.06601719828271911,0.3324752521831376,0.008210900006815791,17,0.07581744693359596,0.16567682183263657,0.004799799993634224
4,N,New_N_005.wav,11-17,2,0.10260627282438423,126x17,17x212,11,0.06169464118017836,0.30814983356718795,0.008028199983527884,17,0.08087752207867889,0.15864399840214582,0.0046805000165477395
5,N,New_N_006.wav,11-17,2,0.0987742945468962,126x17,17x212,11,0.06353993454290605,0.3515717586203414,0.007938900002045557,17,0.08149261445089896,0.13349468761409278,0.0043289999885018915
6,N,New_N_007.wav,11-17,2,0.09474098747317973,126x17,17x212,11,0.06331330490873248,0.36274054306107983,0.008085999987088144,17,0.06736353088016236,0.16507096553057668,0.004289100004825741
7,N,New_N_008.wav,11-17,2,0.09660623104702745,126x17,17x212,11,0.06011235917900362,0.34019569103219977,0.00861260000965558,17,0.09397353275000611,0.14906280162506194,0.004405000014230609
8,N,New_N_009.wav,11-17,2,0.0943395001451927,126x17,17x212,11,0.06076280029797602,0.35138320152979463,0.00862450001295656,17,0.07710480320376306,0.1115215368944426,0.004369800008134916
9,N,New_N_010.wav,11-17,2,0.10661953601943017,126x17,17x212,11,0.06325413130090514,0.376222309010807,0.008365899993805215,17,0.09028276084881415,0.15035708153609034,0.004409699991811067
10,N,New_N_011.wav,11-17,2,0.1037656453250232,126x17,17x212,11,0.06831983698377797,0.35303366679903087,0.008072399999946356,17,0.08313722719236429,0.13811509197730837,0.006018899992341176
11,N,New_N_012.wav,11-17,2,0.09737203237155834,126x17,17x212,11,0.06608833328891214,0.3519361405685227,0.012847400008467957,17,0.06256235611552773,0.1463556087811744,0.004958500008797273
12,N,New_N_013.wav,11-17,2,0.10039962113576373,126x17,17x212,11,0.06601371809382209,0.389854854408281,0.010714100004406646,17,0.07977818254052028,0.16926195388039988,0.005291400011628866
13,N,New_N_014.wav,11-17,2,0.09656743312102044,126x17,17x212,11,0.05957737174232417,0.3466540775617082,0.010670100018614903,17,0.08640769980035067,0.12762177197699684,0.00499289997969754
14,N,New_N_015.wav,11-17,2,0.10703790085891672,126x17,17x212,11,0.070316638872552,0.3268080544046778,0.012647099996684119,17,0.09364126471874369,0.18366706085096887,0.006350400013616309
15,N,New_N_016.wav,11-17,2,0.1006850229034348,126x17,17x212,11,0.06396005539633712,0.3757105845774752,0.012902700022095814,17,0.06758034433061025,0.1993839451089846,0.007723699993221089
16,N,New_N_017.wav,11-17,2,0.11423212474822605,126x17,17x212,11,0.08225357284467658,0.348322968244872,0.010733300005085766,17,0.06708911663268229,0.16618625480775168,0.009635800000978634
17,N,New_N_018.wav,11-17,2,0.102493855779795,126x17,17x212,11,0.06738526707053623,0.38512417481120537,0.011236299993470311,17,0.07717049907504268,0.1596053270507701,0.0055275000049732625
18,N,New_N_019.wav,11-17,2,0.10094507782292006,126x17,17x212,11,0.06439386694543338,0.3564627776670594,0.010851800005184487,17,0.07346671725084473,0.14998188829894768,0.00552050000987947
19,N,New_N_020.wav,11-17,2,0.10409783916097291,126x17,17x212,11,0.06178842961445957,0.32635641211071353,0.013810300006298348,17,0.08712364513970616,0.15728628045178783,0.006149499997263774
20,N,New_N_021.wav,11-17,2,0.10217993401936819,126x17,17x212,11,0.06242106248592255,0.3547124656725772,0.016420199972344562,17,0.06995701928403797,0.14312019659738479,0.005678800021996722
21,N,New_N_022.wav,11-17,2,0.10611379337512611,126x17,17x212,11,0.06322774090595526,0.35933161054430085,0.010972399992169812,17,0.09585407727915045,0.17196666737299388,0.00720510000246577
22,N,New_N_023.wav,11-17,2,0.09749054051196919,126x17,17x212,11,0.062301849498823406,0.31089213537150434,0.010688900016248226,17,0.07903227665178923,0.15174084095255957,0.005570299981627613
23,N,New_N_024.wav,11-17,2,0.10166426351816783,126x17,17x212,11,0.06172879987769537,0.3825625534807788,0.01111490000039339,17,0.10157762289548924,0.1490432450141763,0.005564099992625415
24,N,New_N_025.wav,11-17,2,0.10667232040231978,126x17,17x212,11,0.06424289720971303,0.3825609327884257,0.01003490001312457,17,0.0963842484575036,0.1249984360486841,0.0073376999935135245
25,N,New_N_026.wav,11-17,2,0.10292941113151396,126x17,17x212,11,0.06575571165967344,0.33907941836538347,0.010501099983230233,17,0.10339618044286471,0.15225389187005464,0.008330599986948073
26,N,New_N_027.wav,11-17,2,0.09407113883200673,126x17,17x212,11,0.05815405888341491,0.37864215124679385,0.01033869999810122,17,0.07388540193129442,0.19609424159051866,0.0058360999973956496
27,N,New_N_028.wav,11-17,2,0.09830778268508945,126x17,17x212,11,0.0552123172997884,0.32592956959672265,0.010384099994553253,17,0.09867545098097505,0.18597104512203114,0.005347600003005937
28,N,New_N_029.wav,11-17,2,0.11904281122055824,126x17,17x212,11,0.06419599096334232,0.3019869505324787,0.010465300001669675,17,0.10048590198759838,0.13720230199392702,0.005492900003446266
29,N,New_N_030.wav,11-17,2,0.10100017319664617,126x17,17x212,11,0.06699639015494094,0.30395185343263587,0.01076669999747537,17,0.0706016458424221,0.11586830715229052,0.005500500003108755
30,N,New_N_031.wav,11-17,2,0.09344227398261333,126x17,17x212,11,0.06484515225936165,0.41128802232047185,0.013746999989962205,17,0.0765103387001257,0.15829971926218434,0.005558300006669015
31,N,New_N_032.wav,11-17,2,0.09241401616507137,126x17,17x212,11,0.0581355493984665,0.3259460144101608,0.01105709999683313,17,0.07596478064163545,0.19714318185985,0.005157300009159371
32,N,New_N_033.wav,11-17,2,0.09422068522062674,126x17,17x212,11,0.06242966309121785,0.35064859055386993,0.010246499994536862,17,0.08573249108783419,0.12915779542101763,0.005266199994366616
33,N,New_N_034.wav,11-17,2,0.10756317329440918,126x17,17x212,11,0.06745625655729903,0.3657178576288961,0.0104779000103008,17,0.08029648427627158,0.14084947561878372,0.006307600007858127
