distribucion,numero_capas,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
7-8-9,3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.9349999999999999,0.8075927425242494,0.8375,200
7-8-9,3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,149,749,51,51,0.898,0.7449999999999999,0.9362499999999999,0.7881059184717721,0.840625,200
7-8-9,3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,139,739,61,61,0.8780000000000001,0.6950000000000001,0.9237500000000001,0.759043542074364,0.809375,200
7-8-9,3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,148,748,52,52,0.8960000000000001,0.74,0.9349999999999999,0.790612073112073,0.8375,200
7-8-9,3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,140,740,60,60,0.8799999999999999,0.7,0.925,0.7922907699665231,0.8125,200
7-8-9,3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,114,714,86,86,0.828,0.5700000000000001,0.8924999999999998,0.602410394265233,0.73125,200
7-8-9,3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,110,710,90,90,0.82,0.55,0.8875,0.5706562928596827,0.71875,200
7-8-9,3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,105,705,95,95,0.8099999999999999,0.525,0.88125,0.5799708488233078,0.7031250000000001,200
7-8-9,3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,108,708,92,92,0.8160000000000001,0.54,0.885,0.5534110160193109,0.7125,200
7-8-9,3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,113,713,87,87,0.826,0.565,0.89125,0.5872703154017822,0.728125,200
7-8-9,3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,171,771,29,29,0.942,0.8550000000000001,0.9637499999999999,0.876008848062046,0.909375,200
7-8-9,3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,176,776,24,24,0.952,0.8799999999999999,0.97,0.8826785902214029,0.9249999999999998,200
7-8-9,3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,169,769,31,31,0.9380000000000001,0.8450000000000001,0.96125,0.8482373621203407,0.903125,200
7-8-9,3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.863911823911824,0.9125,200
7-8-9,3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,177,777,23,23,0.954,0.8850000000000001,0.9712500000000001,0.8929407462430717,0.928125,200
7-8-9,3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,137,737,63,63,0.874,0.6849999999999999,0.9212499999999999,0.697415511566455,0.803125,200
7-8-9,3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,135,735,65,65,0.8699999999999999,0.6749999999999999,0.91875,0.6746708571785971,0.796875,200
7-8-9,3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,133,733,67,67,0.8659999999999999,0.6649999999999999,0.91625,0.6573767327443798,0.790625,200
7-8-9,3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6606360418999639,0.790625,200
7-8-9,3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,138,738,62,62,0.876,0.6900000000000001,0.9225,0.6801604476796292,0.8062499999999998,200
7-8-9,3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,195,795,5,5,0.9899999999999999,0.975,0.99375,0.9759523809523809,0.984375,200
7-8-9,3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,184,784,16,16,0.968,0.9200000000000002,0.9800000000000001,0.9232253745908829,0.95,200
7-8-9,3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,187,787,13,13,0.974,0.9349999999999999,0.9837499999999999,0.9365543465543466,0.959375,200
7-8-9,3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862499999999998,0.945905798682316,0.965625,200
7-8-9,3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.9509398181185207,0.96875,200
7-8-9,3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8463505529465232,0.896875,200
7-8-9,3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,174,774,26,26,0.9479999999999998,0.8700000000000001,0.9674999999999999,0.8834199134199133,0.91875,200
7-8-9,3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,163,763,37,37,0.9259999999999999,0.8150000000000001,0.95375,0.832388360903068,0.884375,200
7-8-9,3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,164,764,36,36,0.9280000000000002,0.82,0.9550000000000001,0.817162242743638,0.8875,200
7-8-9,3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8385719928338672,0.9,200
