distribucion,clasificador,representacion,Accuracy_nuevo,Accuracy_referencia_9_8_7,delta_Accuracy,Sensitivity_nuevo,Sensitivity_referencia_9_8_7,delta_Sensitivity,Specificity_nuevo,Specificity_referencia_9_8_7,delta_Specificity,Precision_nuevo,Precision_referencia_9_8_7,delta_Precision,Score_nuevo,Score_referencia_9_8_7,delta_Score
15-10-5,SVM,DeepONMF_W,0.924,0.925,-0.0010000000000000009,0.92,0.92375,-0.00374999999999992,0.94,0.93,0.009999999999999898,0.9840331446336784,0.9814028023077828,0.0026303423258956515,0.93,0.926875,0.0031250000000000444
10-6-4,SVM,DeepONMF_W,0.91,0.925,-0.015000000000000013,0.9025,0.92375,-0.02124999999999999,0.94,0.93,0.009999999999999898,0.9837072251702792,0.9814028023077828,0.002304422862496436,0.92125,0.926875,-0.005624999999999991
8-5-3,SVM,DeepONMF_W,0.906,0.925,-0.019000000000000017,0.89625,0.92375,-0.02749999999999997,0.945,0.93,0.014999999999999902,0.9849659373824916,0.9814028023077828,0.0035631350747088453,0.920625,0.926875,-0.006249999999999978
15-10-5,SVM,DeepONMF_H3,0.969,0.969,0.0,0.9775,0.97625,0.0012500000000000844,0.935,0.94,-0.004999999999999893,0.9836705837297428,0.9848649570040444,-0.0011943732743016078,0.95625,0.958125,-0.00187499999999996
10-6-4,SVM,DeepONMF_H3,0.971,0.969,0.0020000000000000018,0.98,0.97625,0.003750000000000031,0.935,0.94,-0.004999999999999893,0.9836788472255394,0.9848649570040444,-0.0011861097785049735,0.9575,0.958125,-0.0006249999999999867
8-5-3,SVM,DeepONMF_H3,0.967,0.969,-0.0020000000000000018,0.97625,0.97625,0.0,0.93,0.94,-0.009999999999999898,0.9823569902442956,0.9848649570040444,-0.0025079667597488475,0.953125,0.958125,-0.0050000000000000044
15-10-5,KNN,DeepONMF_W,0.902,0.8800000000000001,0.02199999999999991,0.90375,0.8825,0.021250000000000102,0.8949999999999999,0.8699999999999999,0.025000000000000022,0.9718529914196822,0.964450474509183,0.007402516910499202,0.899375,0.8762500000000001,0.02312499999999995
10-6-4,KNN,DeepONMF_W,0.8949999999999999,0.8800000000000001,0.014999999999999791,0.9075,0.8825,0.025000000000000022,0.845,0.8699999999999999,-0.02499999999999991,0.9593231478407293,0.964450474509183,-0.005127326668453724,0.87625,0.8762500000000001,-1.1102230246251565e-16
8-5-3,KNN,DeepONMF_W,0.897,0.8800000000000001,0.016999999999999904,0.91375,0.8825,0.03125,0.8300000000000001,0.8699999999999999,-0.039999999999999813,0.955648347374883,0.964450474509183,-0.008802127134299953,0.871875,0.8762500000000001,-0.004375000000000129
15-10-5,KNN,DeepONMF_H3,0.952,0.937,0.014999999999999902,0.9825,0.97625,0.006250000000000089,0.8300000000000001,0.78,0.050000000000000044,0.9587088074405512,0.9472595566655692,0.011449250774982045,0.90625,0.878125,0.028124999999999956
10-6-4,KNN,DeepONMF_H3,0.959,0.937,0.02199999999999991,0.97375,0.97625,-0.0024999999999999467,0.9,0.78,0.12,0.9750387149596847,0.9472595566655692,0.02777915829411559,0.936875,0.878125,0.05874999999999997
8-5-3,KNN,DeepONMF_H3,0.962,0.937,0.02499999999999991,0.9875,0.97625,0.011250000000000093,0.86,0.78,0.07999999999999996,0.9657917762689768,0.9472595566655692,0.018532219603407674,0.92375,0.878125,0.045624999999999916
15-10-5,UjaNet,DeepONMF_W,0.959,0.968,-0.009000000000000008,0.97125,0.97375,-0.0025000000000000577,0.91,0.945,-0.03499999999999992,0.9774645020051438,0.9863247080942016,-0.008860206089057798,0.940625,0.959375,-0.018749999999999933
10-6-4,UjaNet,DeepONMF_W,0.958,0.968,-0.010000000000000009,0.97625,0.97375,0.0024999999999999467,0.885,0.945,-0.05999999999999994,0.9715124551797172,0.9863247080942016,-0.014812252914484403,0.930625,0.959375,-0.028749999999999942
8-5-3,UjaNet,DeepONMF_W,0.964,0.968,-0.0040000000000000036,0.9775,0.97375,0.003750000000000031,0.91,0.945,-0.03499999999999992,0.9774993138943272,0.9863247080942016,-0.008825394199874381,0.94375,0.959375,-0.015625
15-10-5,UjaNet,DeepONMF_H3,0.993,0.992,0.0010000000000000009,0.99625,0.99375,0.0024999999999999467,0.98,0.985,-0.0050000000000000044,0.9950155279503106,0.99625,-0.0012344720496894057,0.988125,0.989375,-0.0012499999999999734
10-6-4,UjaNet,DeepONMF_H3,0.987,0.992,-0.0050000000000000044,0.99125,0.99375,-0.0025000000000000577,0.97,0.985,-0.015000000000000013,0.9925072792918704,0.99625,-0.003742720708129532,0.980625,0.989375,-0.008750000000000036
8-5-3,UjaNet,DeepONMF_H3,0.985,0.992,-0.007000000000000006,0.9925,0.99375,-0.0012499999999999734,0.955,0.985,-0.030000000000000027,0.9888493942563292,0.99625,-0.007400605743670741,0.97375,0.989375,-0.015625
