clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,26.079361,9.840425
N,frecuencia_bin_001,filas_W_final,29.3413,8.115728
N,frecuencia_bin_002,filas_W_final,31.38679,8.3995905
N,frecuencia_bin_003,filas_W_final,31.872135,8.208192
N,frecuencia_bin_004,filas_W_final,32.141582,5.9404473
N,frecuencia_bin_005,filas_W_final,29.937078,0.5934097
N,frecuencia_bin_006,filas_W_final,26.440943,0.5933088
N,frecuencia_bin_007,filas_W_final,26.356106,1.088732
N,frecuencia_bin_008,filas_W_final,26.174217,1.1651994
N,frecuencia_bin_009,filas_W_final,24.30249,0.3403989
N,frecuencia_bin_010,filas_W_final,21.707123,-1.8383998
N,frecuencia_bin_011,filas_W_final,18.086933,1.8450452
N,frecuencia_bin_012,filas_W_final,18.088799,2.0003853
N,frecuencia_bin_013,filas_W_final,18.004087,1.9400057
N,frecuencia_bin_014,filas_W_final,16.627924,0.95620435
N,frecuencia_bin_015,filas_W_final,15.836094,0.3096982
N,frecuencia_bin_016,filas_W_final,15.8689375,0.46852407
N,frecuencia_bin_017,filas_W_final,15.912139,0.85247475
N,frecuencia_bin_018,filas_W_final,15.556588,0.7429236
N,frecuencia_bin_019,filas_W_final,13.523385,-0.847823
N,frecuencia_bin_020,filas_W_final,12.604886,-1.030984
N,frecuencia_bin_021,filas_W_final,12.469708,-1.6749876
N,frecuencia_bin_022,filas_W_final,12.887837,-1.1496358
N,frecuencia_bin_023,filas_W_final,12.427899,-1.3560671
N,frecuencia_bin_024,filas_W_final,9.368882,-3.3566766
N,frecuencia_bin_025,filas_W_final,7.734113,-7.141436
N,frecuencia_bin_026,filas_W_final,6.473003,-5.9716063
N,frecuencia_bin_027,filas_W_final,6.9989834,-7.48321
N,frecuencia_bin_028,filas_W_final,6.696042,-7.6854234
N,frecuencia_bin_029,filas_W_final,4.0716305,-6.067811
N,frecuencia_bin_030,filas_W_final,6.649011,-8.2485285
N,frecuencia_bin_031,filas_W_final,3.9120834,-6.5109134
N,frecuencia_bin_032,filas_W_final,6.1421394,-8.688815
N,frecuencia_bin_033,filas_W_final,5.856721,-8.849801
N,frecuencia_bin_034,filas_W_final,-0.009766088,-5.108578
N,frecuencia_bin_035,filas_W_final,5.9850416,-9.535903
N,frecuencia_bin_036,filas_W_final,-0.657284,-4.9694967
N,frecuencia_bin_037,filas_W_final,2.3521636,-13.035681
N,frecuencia_bin_038,filas_W_final,2.039944,-13.536577
N,frecuencia_bin_039,filas_W_final,-3.8265486,-3.9273934
N,frecuencia_bin_040,filas_W_final,2.350413,-13.843847
N,frecuencia_bin_041,filas_W_final,-4.0639563,-3.585193
N,frecuencia_bin_042,filas_W_final,1.0757372,-14.713456
N,frecuencia_bin_043,filas_W_final,0.88151294,-15.029529
N,frecuencia_bin_044,filas_W_final,-4.47271,-2.9176304
N,frecuencia_bin_045,filas_W_final,1.7309054,-14.92396
N,frecuencia_bin_046,filas_W_final,-4.6093564,-2.680017
N,frecuencia_bin_047,filas_W_final,0.2727936,-15.872324
N,frecuencia_bin_048,filas_W_final,-0.06763886,-16.412409
N,frecuencia_bin_049,filas_W_final,-24.484238,-8.499113
N,frecuencia_bin_050,filas_W_final,1.1331105,-16.107262
N,frecuencia_bin_051,filas_W_final,-24.769203,-8.493544
N,frecuencia_bin_052,filas_W_final,-0.8200087,-16.96034
N,frecuencia_bin_053,filas_W_final,-0.65736175,-17.514397
N,frecuencia_bin_054,filas_W_final,-25.188704,-8.388025
N,frecuencia_bin_055,filas_W_final,0.59730077,-17.244473
N,frecuencia_bin_056,filas_W_final,-25.845608,-8.261917
N,frecuencia_bin_057,filas_W_final,-1.1432972,-18.715166
N,frecuencia_bin_058,filas_W_final,-1.3077166,-19.166729
N,frecuencia_bin_059,filas_W_final,-25.932526,-8.074859
N,frecuencia_bin_060,filas_W_final,0.14956255,-18.227781
N,frecuencia_bin_061,filas_W_final,-26.520716,-7.9981756
N,frecuencia_bin_062,filas_W_final,-1.5741367,-19.782324
N,frecuencia_bin_063,filas_W_final,-1.7185452,-20.063885
N,frecuencia_bin_064,filas_W_final,-26.750788,-7.6315274
N,frecuencia_bin_065,filas_W_final,-0.21574186,-19.373917
N,frecuencia_bin_066,filas_W_final,-27.161526,-7.7812715
N,frecuencia_bin_067,filas_W_final,-2.431539,-21.023907
N,frecuencia_bin_068,filas_W_final,-2.1355364,-21.41674
N,frecuencia_bin_069,filas_W_final,-27.700382,-7.2420177
N,frecuencia_bin_070,filas_W_final,-0.5383448,-20.47915
N,frecuencia_bin_071,filas_W_final,-28.133244,-7.2724433
N,frecuencia_bin_072,filas_W_final,-2.7408438,-21.946728
N,frecuencia_bin_073,filas_W_final,-2.751512,-22.252926
N,frecuencia_bin_074,filas_W_final,-28.032936,-6.820305
N,frecuencia_bin_075,filas_W_final,-0.8483921,-21.473179
N,frecuencia_bin_076,filas_W_final,-28.752756,-6.7332935
N,frecuencia_bin_077,filas_W_final,-3.1777055,-22.990522
N,frecuencia_bin_078,filas_W_final,-3.2833524,-23.410238
N,frecuencia_bin_079,filas_W_final,-28.805134,-5.920547
N,frecuencia_bin_080,filas_W_final,-1.1229662,-22.472475
N,frecuencia_bin_081,filas_W_final,-29.357487,-6.643968
N,frecuencia_bin_082,filas_W_final,-3.8048778,-23.887661
N,frecuencia_bin_083,filas_W_final,-3.797249,-24.21771
N,frecuencia_bin_084,filas_W_final,-29.282255,-6.092953
N,frecuencia_bin_085,filas_W_final,-1.4188937,-23.205765
N,frecuencia_bin_086,filas_W_final,-29.970804,-6.115035
N,frecuencia_bin_087,filas_W_final,-4.3513865,-24.601206
N,frecuencia_bin_088,filas_W_final,-3.9810123,-24.915895
N,frecuencia_bin_089,filas_W_final,-29.679556,-5.5343537
N,frecuencia_bin_090,filas_W_final,-1.7268122,-23.903576
N,frecuencia_bin_091,filas_W_final,-29.58251,-5.2215037
N,frecuencia_bin_092,filas_W_final,-4.2593966,-25.620752
N,frecuencia_bin_093,filas_W_final,-4.897011,-25.266562
N,frecuencia_bin_094,filas_W_final,-30.525145,-5.870805
N,frecuencia_bin_095,filas_W_final,-1.794935,-24.783682
N,frecuencia_bin_096,filas_W_final,-30.41927,-5.314363
N,frecuencia_bin_097,filas_W_final,-4.9645643,-25.844988
N,frecuencia_bin_098,filas_W_final,-4.4717536,-26.422922
N,frecuencia_bin_099,filas_W_final,-30.38885,-4.820159
N,frecuencia_bin_100,filas_W_final,-2.0008163,-25.384327
N,frecuencia_bin_101,filas_W_final,-30.269339,-4.4482102
N,frecuencia_bin_102,filas_W_final,-4.92193,-26.558214
N,frecuencia_bin_103,filas_W_final,-5.4746256,-26.195168
N,frecuencia_bin_104,filas_W_final,-31.257048,-5.4971266
N,frecuencia_bin_105,filas_W_final,-1.9091483,-26.118225
N,frecuencia_bin_106,filas_W_final,-31.152039,-5.1198916
N,frecuencia_bin_107,filas_W_final,-5.2689877,-27.032995
N,frecuencia_bin_108,filas_W_final,-5.280644,-27.53652
N,frecuencia_bin_109,filas_W_final,-30.92314,-4.4934506
N,frecuencia_bin_110,filas_W_final,-2.6154423,-25.902689
N,frecuencia_bin_111,filas_W_final,-30.727186,-3.7399883
N,frecuencia_bin_112,filas_W_final,-5.8002505,-26.723494
N,frecuencia_bin_113,filas_W_final,-5.8141184,-27.449125
N,frecuencia_bin_114,filas_W_final,-31.339579,-4.472997
N,frecuencia_bin_115,filas_W_final,-2.545027,-26.188477
N,frecuencia_bin_116,filas_W_final,-31.82593,-4.9921684
N,frecuencia_bin_117,filas_W_final,-6.155703,-27.529211
N,frecuencia_bin_118,filas_W_final,-6.546661,-26.614355
N,frecuencia_bin_119,filas_W_final,-31.217726,-3.5459447
N,frecuencia_bin_120,filas_W_final,-2.641741,-26.938717
N,frecuencia_bin_121,filas_W_final,-31.87429,-4.506629
N,frecuencia_bin_122,filas_W_final,-6.2542915,-26.781752
N,frecuencia_bin_123,filas_W_final,-6.504385,-27.28161
N,frecuencia_bin_124,filas_W_final,-31.679033,-4.08333
N,frecuencia_bin_125,filas_W_final,-2.7751744,-26.901825
AS,frecuencia_bin_000,filas_W_final,25.62841,6.34166
AS,frecuencia_bin_001,filas_W_final,26.131258,6.7392483
AS,frecuencia_bin_002,filas_W_final,27.745138,7.958919
AS,frecuencia_bin_003,filas_W_final,28.662611,8.429337
AS,frecuencia_bin_004,filas_W_final,29.613335,8.713159
AS,frecuencia_bin_005,filas_W_final,30.034662,6.858936
AS,frecuencia_bin_006,filas_W_final,30.656052,5.65972
AS,frecuencia_bin_007,filas_W_final,31.109632,4.459412
AS,frecuencia_bin_008,filas_W_final,31.097832,2.869788
AS,frecuencia_bin_009,filas_W_final,30.95659,2.2784958
AS,frecuencia_bin_010,filas_W_final,30.430883,0.94711953
AS,frecuencia_bin_011,filas_W_final,29.581863,0.015749667
AS,frecuencia_bin_012,filas_W_final,29.351187,-0.4364521
AS,frecuencia_bin_013,filas_W_final,28.704788,-0.34549347
AS,frecuencia_bin_014,filas_W_final,27.297668,-0.33682895
AS,frecuencia_bin_015,filas_W_final,25.629963,-0.76277167
AS,frecuencia_bin_016,filas_W_final,24.611887,-1.0212588
AS,frecuencia_bin_017,filas_W_final,24.09516,-1.2552688
AS,frecuencia_bin_018,filas_W_final,23.565174,-1.5990922
AS,frecuencia_bin_019,filas_W_final,22.853727,-2.1266916
AS,frecuencia_bin_020,filas_W_final,22.185774,-2.632296
AS,frecuencia_bin_021,filas_W_final,21.6756,-3.1833103
AS,frecuencia_bin_022,filas_W_final,21.37122,-3.7120457
AS,frecuencia_bin_023,filas_W_final,21.298391,-4.174786
AS,frecuencia_bin_024,filas_W_final,21.305305,-4.6230254
AS,frecuencia_bin_025,filas_W_final,20.978834,-4.870978
AS,frecuencia_bin_026,filas_W_final,21.175959,-5.2689843
AS,frecuencia_bin_027,filas_W_final,20.938786,-5.457466
AS,frecuencia_bin_028,filas_W_final,20.55717,-5.7006254
AS,frecuencia_bin_029,filas_W_final,20.23919,-6.0893416
AS,frecuencia_bin_030,filas_W_final,19.967169,-6.31633
AS,frecuencia_bin_031,filas_W_final,19.62905,-6.4999213
AS,frecuencia_bin_032,filas_W_final,19.1795,-6.693718
AS,frecuencia_bin_033,filas_W_final,18.627363,-7.0473475
AS,frecuencia_bin_034,filas_W_final,18.13301,-7.5789986
AS,frecuencia_bin_035,filas_W_final,17.836903,-7.9790845
AS,frecuencia_bin_036,filas_W_final,17.322697,-7.875953
AS,frecuencia_bin_037,filas_W_final,17.710176,-8.490371
AS,frecuencia_bin_038,filas_W_final,17.268467,-8.615819
AS,frecuencia_bin_039,filas_W_final,17.22879,-9.1998
AS,frecuencia_bin_040,filas_W_final,16.565714,-8.595192
AS,frecuencia_bin_041,filas_W_final,16.243448,-8.704178
AS,frecuencia_bin_042,filas_W_final,16.54023,-9.233346
AS,frecuencia_bin_043,filas_W_final,16.532038,-9.594154
AS,frecuencia_bin_044,filas_W_final,16.084608,-9.624023
AS,frecuencia_bin_045,filas_W_final,15.74471,-8.981844
AS,frecuencia_bin_046,filas_W_final,15.531563,-9.690322
AS,frecuencia_bin_047,filas_W_final,15.110795,-9.490652
AS,frecuencia_bin_048,filas_W_final,14.888744,-9.003743
AS,frecuencia_bin_049,filas_W_final,14.252794,-9.0200405
AS,frecuencia_bin_050,filas_W_final,5.635953,1.7824762
AS,frecuencia_bin_051,filas_W_final,5.485657,2.59384
AS,frecuencia_bin_052,filas_W_final,4.8844633,2.041061
AS,frecuencia_bin_053,filas_W_final,4.858342,2.4456816
AS,frecuencia_bin_054,filas_W_final,5.075945,3.0469105
AS,frecuencia_bin_055,filas_W_final,4.3029747,2.3857486
AS,frecuencia_bin_056,filas_W_final,4.6384325,3.4375982
AS,frecuencia_bin_057,filas_W_final,3.9996285,2.9798622
AS,frecuencia_bin_058,filas_W_final,3.7321007,3.3907084
AS,frecuencia_bin_059,filas_W_final,4.026369,3.8921924
AS,frecuencia_bin_060,filas_W_final,3.3264198,3.0756478
AS,frecuencia_bin_061,filas_W_final,3.435428,4.28293
AS,frecuencia_bin_062,filas_W_final,2.8061855,3.595924
AS,frecuencia_bin_063,filas_W_final,2.8299708,3.954148
AS,frecuencia_bin_064,filas_W_final,2.4642775,4.6489034
AS,frecuencia_bin_065,filas_W_final,1.7301608,4.240145
AS,frecuencia_bin_066,filas_W_final,1.2914397,5.365633
AS,frecuencia_bin_067,filas_W_final,0.7820659,4.496305
AS,frecuencia_bin_068,filas_W_final,0.2727091,4.6439085
AS,frecuencia_bin_069,filas_W_final,0.8889082,5.811232
AS,frecuencia_bin_070,filas_W_final,0.90069115,4.863728
AS,frecuencia_bin_071,filas_W_final,0.3115558,5.9781823
AS,frecuencia_bin_072,filas_W_final,-0.21091563,4.9285817
AS,frecuencia_bin_073,filas_W_final,-0.09709986,5.302897
AS,frecuencia_bin_074,filas_W_final,-0.11340974,6.019455
AS,frecuencia_bin_075,filas_W_final,-0.6093724,4.79076
AS,frecuencia_bin_076,filas_W_final,-0.7495016,6.149428
AS,frecuencia_bin_077,filas_W_final,-0.958929,5.3953605
AS,frecuencia_bin_078,filas_W_final,-1.5433066,5.6562896
AS,frecuencia_bin_079,filas_W_final,-2.4755435,5.6928988
AS,frecuencia_bin_080,filas_W_final,-1.8895116,6.326218
AS,frecuencia_bin_081,filas_W_final,-2.8982046,5.8102837
AS,frecuencia_bin_082,filas_W_final,-2.6908236,6.6709094
AS,frecuencia_bin_083,filas_W_final,-3.2267134,6.565389
AS,frecuencia_bin_084,filas_W_final,-4.2106147,6.0008283
AS,frecuencia_bin_085,filas_W_final,-3.7572715,7.2959285
AS,frecuencia_bin_086,filas_W_final,-4.896581,6.230251
AS,frecuencia_bin_087,filas_W_final,-4.126449,6.9035378
AS,frecuencia_bin_088,filas_W_final,-4.37886,7.188203
AS,frecuencia_bin_089,filas_W_final,-5.4683447,6.4871416
AS,frecuencia_bin_090,filas_W_final,-4.852103,7.703697
AS,frecuencia_bin_091,filas_W_final,-6.15273,6.7039795
AS,frecuencia_bin_092,filas_W_final,-5.2405396,7.3043237
AS,frecuencia_bin_093,filas_W_final,-6.1033416,7.641531
AS,frecuencia_bin_094,filas_W_final,-7.73149,7.0425286
AS,frecuencia_bin_095,filas_W_final,-6.7586513,8.279205
AS,frecuencia_bin_096,filas_W_final,-8.265094,7.0247126
