clase,archivo,tsne_1,tsne_2
N,New_N_001.wav,-26.140324,-11.666234
N,New_N_002.wav,-29.098639,-10.661785
N,New_N_003.wav,-28.183022,-11.911323
N,New_N_004.wav,-30.48844,-11.647458
N,New_N_005.wav,-32.614315,-16.521442
N,New_N_006.wav,-26.187521,-10.549658
N,New_N_007.wav,-28.359985,-10.290892
N,New_N_008.wav,-29.445444,-12.198929
N,New_N_009.wav,-27.081163,-9.724978
N,New_N_010.wav,-33.59192,-15.964228
N,New_N_011.wav,-30.689816,-12.056332
N,New_N_012.wav,-28.046448,-8.858564
N,New_N_013.wav,-32.08119,-16.269896
N,New_N_014.wav,-26.387978,-11.935662
N,New_N_015.wav,-26.51082,-8.908352
N,New_N_016.wav,-30.60416,-13.097682
N,New_N_017.wav,-29.30319,-11.421595
N,New_N_018.wav,-26.205065,-9.2583685
N,New_N_019.wav,-27.595032,-8.936734
N,New_N_020.wav,-33.014732,-15.420918
N,New_N_021.wav,-30.018318,-11.441533
N,New_N_022.wav,-27.625414,-9.575648
N,New_N_023.wav,-32.829094,-15.357471
N,New_N_024.wav,-26.163118,-9.133831
N,New_N_025.wav,-32.11612,-16.337128
N,New_N_026.wav,-26.61441,-12.185819
N,New_N_027.wav,-31.451721,-10.8802185
N,New_N_028.wav,-29.919289,-14.147404
N,New_N_029.wav,-30.800455,-9.131096
N,New_N_030.wav,-30.823677,-13.762772
N,New_N_031.wav,-28.303244,-12.025889
N,New_N_032.wav,-28.777592,-11.211647
N,New_N_033.wav,-29.42423,-14.349594
N,New_N_034.wav,-32.058468,-13.498067
N,New_N_035.wav,-28.791988,-12.934774
N,New_N_036.wav,-34.02953,-15.714827
N,New_N_037.wav,-15.377502,12.402717
N,New_N_038.wav,-15.36661,12.400894
N,New_N_039.wav,-15.366948,12.400498
N,New_N_040.wav,-15.383923,12.400639
N,New_N_041.wav,-9.354535,-36.37484
N,New_N_042.wav,-5.7295284,-41.013634
N,New_N_043.wav,-5.112968,-38.61131
N,New_N_044.wav,-8.634556,-37.764034
N,New_N_045.wav,-8.23219,-38.440567
N,New_N_046.wav,-6.0984454,-33.84715
N,New_N_047.wav,-6.331454,-35.539295
N,New_N_048.wav,-9.198902,-38.215687
N,New_N_049.wav,-5.2700973,-39.35252
N,New_N_050.wav,-5.465425,-39.515465
N,New_N_051.wav,-9.224976,-37.71627
N,New_N_052.wav,-6.100052,-41.59262
N,New_N_053.wav,-7.2972684,-38.172344
N,New_N_054.wav,-7.643034,-38.56262
N,New_N_055.wav,-4.6710596,-39.5414
N,New_N_056.wav,-9.121276,-37.204414
N,New_N_057.wav,-7.290019,-40.867275
N,New_N_058.wav,-5.3834715,-37.24414
N,New_N_059.wav,-7.7452264,-37.9418
N,New_N_060.wav,-11.099975,-33.106003
N,New_N_061.wav,-6.310371,-40.359356
N,New_N_062.wav,-7.074123,-36.14651
N,New_N_063.wav,-11.075905,-36.720474
N,New_N_064.wav,-6.728858,-35.0958
N,New_N_065.wav,-8.315336,-40.566998
N,New_N_066.wav,-5.8964677,-35.20508
N,New_N_067.wav,-6.2069826,-37.66382
N,New_N_068.wav,-6.9205513,-36.64458
N,New_N_069.wav,-13.756211,-31.748573
N,New_N_070.wav,-14.224296,-28.983133
N,New_N_071.wav,-14.681126,-35.14072
N,New_N_072.wav,-13.408197,-30.971226
N,New_N_073.wav,-13.282689,-34.564587
N,New_N_074.wav,-8.903434,-40.767715
N,New_N_075.wav,-10.169974,-37.152996
N,New_N_076.wav,-15.078116,-29.353569
N,New_N_077.wav,-13.561217,-34.85469
N,New_N_078.wav,-14.608725,-34.208958
N,New_N_079.wav,-10.920354,-35.91925
N,New_N_080.wav,-9.663984,-38.130264
N,New_N_081.wav,-13.968449,-34.42067
N,New_N_082.wav,-10.831403,-33.012905
N,New_N_083.wav,-12.757013,-31.127745
N,New_N_084.wav,-15.175855,-34.393806
N,New_N_085.wav,-13.869906,-36.619873
N,New_N_086.wav,-17.058868,-26.844667
N,New_N_087.wav,-7.0387845,-35.17939
N,New_N_088.wav,-13.566059,-35.38126
N,New_N_089.wav,-14.639289,-33.650326
N,New_N_090.wav,-15.002169,-30.525476
N,New_N_091.wav,-13.166465,-30.177023
N,New_N_092.wav,-14.028542,-35.501396
N,New_N_093.wav,-12.136735,-33.89352
N,New_N_094.wav,-11.35931,-32.644768
N,New_N_095.wav,-12.993692,-34.93045
N,New_N_096.wav,-13.616168,-31.068666
N,New_N_097.wav,-13.579211,-29.550722
N,New_N_098.wav,-14.3023615,-34.99779
N,New_N_099.wav,-8.887477,-38.649296
N,New_N_100.wav,-5.900319,-39.814026
N,New_N_101.wav,-5.4290934,-36.605293
N,New_N_102.wav,-6.2021985,-35.448532
N,New_N_103.wav,-6.744388,-33.29435
N,New_N_104.wav,-6.777644,-38.92525
N,New_N_105.wav,-6.9043283,-34.2652
N,New_N_106.wav,-9.709685,-38.905876
N,New_N_107.wav,-6.7258325,-36.064484
N,New_N_108.wav,-8.002974,-39.323273
N,New_N_109.wav,-6.6608047,-38.35275
N,New_N_110.wav,-5.7315154,-41.114803
N,New_N_111.wav,-8.308644,-34.542305
N,New_N_112.wav,-6.2433434,-37.4981
N,New_N_113.wav,-9.416786,-38.54077
N,New_N_114.wav,-10.923444,-36.384224
N,New_N_115.wav,-5.596388,-34.144344
N,New_N_116.wav,-7.4571137,-35.931904
N,New_N_117.wav,-4.1643267,-39.179504
N,New_N_118.wav,-7.1839676,-40.269398
N,New_N_119.wav,-7.716446,-37.357456
N,New_N_120.wav,-9.108152,-39.63852
N,New_N_121.wav,-7.308948,-38.987263
N,New_N_122.wav,-5.6448426,-39.476418
N,New_N_123.wav,-5.625156,-38.305794
N,New_N_124.wav,-5.535201,-40.369183
N,New_N_125.wav,-6.8398366,-38.225822
N,New_N_126.wav,-15.937036,-32.819786
N,New_N_127.wav,-12.934727,-32.83753
N,New_N_128.wav,-15.497175,-31.654999
N,New_N_129.wav,-12.902486,-28.610844
N,New_N_130.wav,-12.113617,-31.90856
N,New_N_131.wav,-15.456212,-33.204144
N,New_N_132.wav,-14.224914,-29.33224
N,New_N_133.wav,-27.312147,-13.77087
N,New_N_134.wav,-12.749243,-37.039753
N,New_N_135.wav,-13.65351,-28.757164
N,New_N_136.wav,-11.99712,-31.883127
N,New_N_137.wav,-12.334056,-29.192562
N,New_N_138.wav,-14.598996,-29.587824
N,New_N_139.wav,-12.45881,-30.976906
N,New_N_140.wav,-16.008097,-28.750235
N,New_N_141.wav,-10.927912,-33.007427
N,New_N_142.wav,-15.466033,-28.744993
N,New_N_143.wav,-12.839092,-35.91163
N,New_N_144.wav,-13.854334,-28.257025
N,New_N_145.wav,-12.818243,-32.63117
N,New_N_146.wav,-12.114787,-29.762737
N,New_N_147.wav,-14.219881,-30.884562
N,New_N_148.wav,-16.040508,-29.113705
N,New_N_149.wav,-13.3939,-37.289974
N,New_N_150.wav,-16.142286,-28.046947
