bloque,protocolo,metodo,muestras,rasgos_originales,rasgos_entrada_tsne,perplexity,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne
Protocolo fiel al articulo (951 audios),Fiel al articulo,CNN,951,64,50,30,0.0609006782794658,4.187325051404232,0.1105647012591362,3.618561421066015
Protocolo fiel al articulo (951 audios),Fiel al articulo,DWT,951,18,18,30,0.0843549771910151,3.795020216945636,0.1267702430486679,16.352727902954232
Protocolo fiel al articulo (951 audios),Fiel al articulo,MFCC,951,13,13,30,0.1605985794259543,3.822048983830618,0.1728029549121856,6.000057463403192
Protocolo fiel al articulo (951 audios),Fiel al articulo,STFT,951,252,50,30,0.0613356199420371,3.5896332076258224,0.1477805525064468,3.570267782013287
Protocolo fiel al articulo (951 audios),Fiel al articulo,Deep-ONMF normal,951,7,7,30,0.0884138873812213,3.1704652327764498,0.1907327026128769,1.7910105910733591
Protocolo fiel al articulo (951 audios),Fiel al articulo,Deep-ONMF mejorado,951,5,5,30,0.1828798340990359,2.2698923598117706,0.2065653055906295,2.0001072388886394
Protocolo resultado8 (1000 audios),resultado8_deep_onmf_sin_descartar_menores_2s,CNN,1000,100,50,30,0.3317822408060907,1.532654460859146,0.2258976399898529,2.014266937228267
Protocolo resultado8 (1000 audios),resultado8_deep_onmf_sin_descartar_menores_2s,DWT,1000,18,18,30,0.0725927277563295,3.769777786099157,0.1109088510274887,6.564077217299766
Protocolo resultado8 (1000 audios),resultado8_deep_onmf_sin_descartar_menores_2s,MFCC,1000,13,13,30,0.1467766885989696,4.344464341138447,0.1445773094892501,5.527732597908822
Protocolo resultado8 (1000 audios),resultado8_deep_onmf_sin_descartar_menores_2s,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8,1000,5,5,30,0.2809438486957676,1.378301809973426,0.2601711750030517,1.375568783086334
Protocolo resultado8 (1000 audios),resultado8_deep_onmf_sin_descartar_menores_2s,STFT,1000,252,50,30,0.0505316174530717,3.679580722186695,0.1318992376327514,7.878604523354494
