metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvdar,N,1,9,126x42612,126x9,9x42612,0.05818510323955418,0.7311871836417421,3.3058371997904032
nndsvdar,N,2,8,9x42612,9x8,8x42612,0.15088404811680856,0.4113566281245581,1.6085980997886509
nndsvdar,N,3,7,8x42612,8x7,7x42612,0.26490697835622695,0.2847670148801375,1.5535410998854786
nndsvdar,AS,1,9,126x49184,126x9,9x49184,0.13275729973221065,0.34932684416861015,3.6720471000298858
nndsvdar,AS,2,8,9x49184,9x8,8x49184,0.1750520038082701,0.22628643171484938,1.8497701999731362
nndsvdar,AS,3,7,8x49184,8x7,7x49184,0.2540856282246237,0.17623892184475687,1.7549345002043992
nndsvdar,MR,1,9,126x43248,126x9,9x43248,0.12052839038649299,0.35079599348315565,3.2562946998514235
nndsvdar,MR,2,8,9x43248,9x8,8x43248,0.1884058145162899,0.21538946312708898,1.698227999964729
nndsvdar,MR,3,7,8x43248,8x7,7x43248,0.22948919452468958,0.15096123815917473,1.5790027000475675
nndsvdar,MS,1,9,126x45156,126x9,9x45156,0.08082122893153022,0.5516229448359857,3.238097099820152
nndsvdar,MS,2,8,9x45156,9x8,8x45156,0.14324090193221126,0.31628091558727667,1.730190300149843
nndsvdar,MS,3,7,8x45156,8x7,7x45156,0.23946273865925635,0.22967274667392734,1.6141192999202758
nndsvdar,MVP,1,9,126x43248,126x9,9x43248,0.12421822636136061,0.4662225657113561,3.248432499822229
nndsvdar,MVP,2,8,9x43248,9x8,8x43248,0.18379996106011898,0.300855791154781,1.6106350000482053
nndsvdar,MVP,3,7,8x43248,8x7,7x43248,0.23374634503093844,0.21916098075444038,1.4941221999470145
