indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,original,N,New_N_001.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20924532346883173,2x212,0.024923599907197058,12,0.08079028847693094,0.24498351605541485,0.01815859996713698,5,0.06611023072419883,0.31466047908918404,0.003590199979953468,2,0.09911091997282116,0.3672535679036611,0.0022210999159142375
1,original,N,New_N_002.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.21311566864360643,2x212,0.019402399891987443,12,0.07444022387871983,0.2560252267178093,0.013766299933195114,5,0.07407054397622252,0.2459375847385194,0.002790600061416626,2,0.10177542898868365,0.27537836877666233,0.00206389999948442
2,original,N,New_N_003.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20503024560544117,2x212,0.01993650000076741,12,0.07978176264451435,0.23303185141143892,0.01406179997138679,5,0.0696679672236252,0.24297628487026293,0.0032306999200955033,2,0.08891166245053529,0.4579219404810866,0.0019760000286623836
3,original,N,New_N_004.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20091592207447667,2x212,0.021567099960520864,12,0.07971105611177393,0.2810781515804833,0.0154534000903368,5,0.06652688478273346,0.31284365472356784,0.0030403999844565988,2,0.09090121833052332,0.3393533345303335,0.0022551000583916903
4,original,N,New_N_005.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2046578675632889,2x212,0.02262979990337044,12,0.07663593028128216,0.270548091078467,0.015905500040389597,5,0.07145651269040694,0.3428562443180566,0.003717700019478798,2,0.08850726667193946,0.4660267639676103,0.0022359000286087394
5,original,N,New_N_006.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.21370707712699358,2x212,0.02169640001375228,12,0.08128841817811337,0.2727576968774519,0.015585899935103953,5,0.06719415585810685,0.26596818911159137,0.003136300016194582,2,0.10475974564539592,0.3708037429615732,0.0022458999883383512
6,original,N,New_N_007.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2101213186475968,2x212,0.02248769998550415,12,0.0753088362711464,0.24417783910211574,0.016452700016088784,5,0.07360327623095796,0.2882317572442732,0.0030489000491797924,2,0.09956058683181797,0.413389088239398,0.002192000043578446
7,original,N,New_N_008.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2149055266073917,2x212,0.024458000087179244,12,0.07545669766754569,0.23503107309103535,0.016557700000703335,5,0.07508402191173685,0.31614933695537295,0.004599399981088936,2,0.1085062820668871,0.34188051987554713,0.0025011999532580376
8,original,N,New_N_009.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20972658721540613,2x212,0.023996699950657785,12,0.07856920391903828,0.24045360664893653,0.01688300003297627,5,0.07065382513665798,0.2436506893934575,0.003942999988794327,2,0.10221806688278841,0.39113768516431585,0.002358500030823052
9,original,N,New_N_010.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2227277656758973,2x212,0.024472299963235855,12,0.08678352134223101,0.24872216591225124,0.01697470003273338,5,0.0770746806414652,0.2697206727881211,0.0041516999481245875,2,0.11111459516447725,0.5108958983492746,0.0024674999294802547
10,original,N,New_N_011.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20440448561996288,2x212,0.022641599993221462,12,0.07572702817446085,0.2756101719294907,0.016396199935115874,5,0.0717778795915443,0.29124298836015144,0.003160600084811449,2,0.09812008704515952,0.36510965977851706,0.002300300053320825
11,original,N,New_N_012.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2149198125801091,2x212,0.023757199989631772,12,0.07586915340319014,0.28722909777036154,0.016650700010359287,5,0.07420878319714068,0.35175603521711796,0.003552100039087236,2,0.11844775636228388,0.4360671515095722,0.002648300025612116
12,original,N,New_N_013.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20971316635035697,2x212,0.021492699976079166,12,0.08196351800362464,0.24315854141945134,0.01530940004158765,5,0.06871114721483136,0.29058923360207534,0.0031664998969063163,2,0.09680401134815349,0.41408649972112993,0.002181899966672063
13,original,N,New_N_014.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20691731318664425,2x212,0.02186119998805225,12,0.07795519974511315,0.28682546699683925,0.015878900070674717,5,0.06937648205324908,0.33867710801229944,0.003002300043590367,2,0.09928971358159894,0.47408622123685307,0.002204400021582842
14,original,N,New_N_015.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20899761300853265,2x212,0.021920599974691868,12,0.08560770903133033,0.22503096314278462,0.015662199934013188,5,0.07363867282021157,0.32758890915797934,0.0029322000918909907,2,0.09727995649230756,0.28966200241037976,0.0023228999925777316
15,original,N,New_N_016.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2049492091124494,2x212,0.021801199996843934,12,0.07870572122823173,0.26158963674799585,0.015215000021271408,5,0.07024010468252365,0.2842047025520677,0.0034561000065878034,2,0.09233473813882563,0.3559728743361341,0.0022127999691292644
16,original,N,New_N_017.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.2117895915348196,2x212,0.020445499918423593,12,0.08019072153472018,0.22491225118683628,0.014643999980762601,5,0.07790389909347582,0.27786763685062765,0.002901799976825714,2,0.0995211489366709,0.43092535433443024,0.00204149994533509
17,original,N,New_N_018.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20570194534873043,2x212,0.021415799972601235,12,0.08123144322374501,0.22599535503384655,0.015383799909614027,5,0.0691129400444737,0.2644939797193183,0.0031262000557035208,2,0.09674253393552835,0.3812806803893939,0.002105700084939599
18,original,N,New_N_019.wav,12-5-2,DeepONMF_H3,3,nndsvd,0.20748777328344387,2x212,0.020802099956199527,12,0.08197277317522425,0.23758014714681536,0.014576000045053661,5,0.07011121461112169,0.33423032727088325,0.0028643999248743057,2,0.09587406970499725,0.34092572604090443,0.0025064999936148524
