indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,original,N,New_N_001.wav,12-6,DeepONMF_H2,2,nndsvd,0.13255244299227803,6x212,0.019865800044499338,12,0.08079028847693094,0.24498351605541485,0.01529170002322644,6,0.06303417509183376,0.28679322262077833,0.0036859000101685524
1,original,N,New_N_002.wav,12-6,DeepONMF_H2,2,nndsvd,0.13525322891144043,6x212,0.01934090000577271,12,0.07444022387871983,0.2560252267178093,0.015019999933429062,6,0.0695144773687842,0.23817436687511917,0.0035949000157415867
2,original,N,New_N_003.wav,12-6,DeepONMF_H2,2,nndsvd,0.13050462537806104,6x212,0.019599599996581674,12,0.07978176264451435,0.23303185141143892,0.015296000055968761,6,0.06287876507475387,0.3137717159425628,0.0034844999900087714
3,original,N,New_N_004.wav,12-6,DeepONMF_H2,2,nndsvd,0.1286058790620427,6x212,0.020335199893452227,12,0.07971105611177393,0.2810781515804833,0.01627809996716678,6,0.060548725634799,0.3013879297941407,0.003342699958011508
4,original,N,New_N_005.wav,12-6,DeepONMF_H2,2,nndsvd,0.13134611269809468,6x212,0.021434900001622736,12,0.07663593028128216,0.270548091078467,0.01623389997985214,6,0.06641470299957929,0.29473786261285767,0.004187999991700053
5,original,N,New_N_006.wav,12-6,DeepONMF_H2,2,nndsvd,0.1315422206984006,6x212,0.018864399986341596,12,0.08128841817811337,0.2727576968774519,0.014363099937327206,6,0.06304543721172493,0.248511535539682,0.003642000025138259
6,original,N,New_N_007.wav,12-6,DeepONMF_H2,2,nndsvd,0.13189970807180662,6x212,0.019687799969688058,12,0.0753088362711464,0.24417783910211574,0.015590000082738698,6,0.06751773344794815,0.27569269481414543,0.0033551000524312258
7,original,N,New_N_008.wav,12-6,DeepONMF_H2,2,nndsvd,0.1331339912700271,6x212,0.0192181000020355,12,0.07545669766754569,0.23503107309103535,0.015099899959750473,6,0.06798657802963663,0.2856146230107472,0.003424900001846254
8,original,N,New_N_009.wav,12-6,DeepONMF_H2,2,nndsvd,0.13163373916295953,6x212,0.020250300061888993,12,0.07856920391903828,0.24045360664893653,0.0156676999758929,6,0.06600695701963485,0.24239321976067005,0.003813200048170984
9,original,N,New_N_010.wav,12-6,DeepONMF_H2,2,nndsvd,0.13847211009391994,6x212,0.019888299982994795,12,0.08678352134223101,0.24872216591225124,0.015653999987989664,6,0.06920686893005099,0.23741568816072792,0.003261700039729476
