indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,original,N,New_N_001.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2689256207723714,2x212,0.06318030005786568,28,0.07934679966172968,0.1890257438215147,0.04468970000743866,12,0.05681284381999049,0.211913487464,0.008504699915647507,5,0.06728704711068267,0.28837203325343397,0.005004499922506511,2,0.0986627123195651,0.35798738289222465,0.0035731999669224024
1,original,N,New_N_002.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26974104231636414,2x212,0.06129209999926388,28,0.07030626299160583,0.1942820643778101,0.043256200035102665,12,0.05816475504331323,0.17936199047897172,0.00828359997831285,5,0.07288747730570456,0.24139659213530767,0.004318400053307414,2,0.10052980547267065,0.2683291885592038,0.004385199979878962
2,original,N,New_N_003.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2635729188350049,2x212,0.05996520002372563,28,0.0767362796978627,0.15494421417623477,0.04325929994229227,12,0.05716026956337644,0.1892154004283066,0.007882399950176477,5,0.06831167696717623,0.32074883731360326,0.0043117000022903085,2,0.09171682561505183,0.44958060412735684,0.003248699940741062
3,original,N,New_N_004.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2605894466688275,2x212,0.059207500074990094,28,0.0750511222141747,0.1765333925661368,0.041904999990947545,12,0.058190204012166166,0.18968952871655997,0.00705519993789494,5,0.06833835692485656,0.2856270239742317,0.005815800046548247,2,0.09222958161066902,0.31896578094452827,0.0033164999913424253
4,original,N,New_N_005.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26340605850522786,2x212,0.060433299979195,28,0.0743441878544264,0.17374161173981817,0.044533099979162216,12,0.057786406267969805,0.2190441605275899,0.007007100037299097,5,0.0705147532017256,0.32728936213371285,0.004433099995367229,2,0.08794245417845906,0.4631812892027345,0.0033430999610573053
5,original,N,New_N_006.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.27100215620026147,2x212,0.06100520002655685,28,0.07916292911747025,0.18236401956218817,0.044069700059480965,12,0.05786867440012388,0.16061281280226863,0.007887599989771843,5,0.06941251729834468,0.2466383004982981,0.004570299992337823,2,0.10518663427104753,0.3684946544601353,0.003270899993367493
6,original,N,New_N_007.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2691445528729028,2x212,0.06077979994006455,28,0.07131746275005078,0.1743486461379259,0.043953899992629886,12,0.059056643862190616,0.20628059115307915,0.007032699999399483,5,0.07353729549003914,0.2600592348517496,0.0042818000074476,2,0.09956132294870394,0.40085075136347403,0.004417999996803701
7,original,N,New_N_008.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.27336568680965234,2x212,0.0594364000717178,28,0.0691919106357144,0.16363291303608557,0.04275430005509406,12,0.057806601029020785,0.17000534397720696,0.007791200070641935,5,0.07941740754993654,0.30764041493418587,0.004350499948486686,2,0.10712415037502124,0.3380231629605304,0.003334500011987984
8,original,N,New_N_009.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.269201761529281,2x212,0.05905839998740703,28,0.07297062885841119,0.16804103114284227,0.04275719996076077,12,0.05957134020996146,0.1391299213278362,0.0069549999898299575,5,0.07980387673883281,0.19030228973238622,0.004790400038473308,2,0.0978132952011512,0.3590378779840582,0.0032814000733196735
9,original,N,New_N_010.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.27823922374329346,2x212,0.05861690000165254,28,0.08073850609876626,0.16405587898063895,0.041293099988251925,12,0.05837541517493443,0.1883204513898125,0.00736649997998029,5,0.0824179675090877,0.1995601584281524,0.004287700052373111,2,0.11494806457696737,0.506339628671079,0.004438200034201145
10,original,N,New_N_011.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26574261236335395,2x212,0.07248910004273057,28,0.07178864113502496,0.17820504528577533,0.044091999996453524,12,0.057453971308737875,0.20685737931598472,0.011622400023043156,5,0.07331948048332945,0.2746579536354029,0.010250499937683344,2,0.09877972982425258,0.33687033159554336,0.004966599983163178
11,original,N,New_N_012.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.27380150671575826,2x212,0.07653950003441423,28,0.07067829468870317,0.18519120030849126,0.0488130000885576,12,0.05918087863138778,0.1878709399759923,0.01534929999615997,5,0.0743168244149308,0.3424035056199348,0.007688199984841049,2,0.11855665509944611,0.40852402530477716,0.0033700999338179827
12,original,N,New_N_013.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26853786591524303,2x212,0.07152040000073612,28,0.07853448306688848,0.16590518148239958,0.046040100045502186,12,0.058021616769161774,0.19182537246157508,0.010569100035354495,5,0.06961955135884366,0.28987536664905744,0.007601000019349158,2,0.09557799089717882,0.40674985816734605,0.0061570999678224325
13,original,N,New_N_014.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26571501009786663,2x212,0.07624940003734082,28,0.07490493929855399,0.1939368246049844,0.04637359990738332,12,0.05743413733333805,0.20951357127436923,0.012164399959146976,5,0.07119797419622097,0.3274696820653048,0.009550999966450036,2,0.09899805889364187,0.46555306124162366,0.006683700019493699
14,original,N,New_N_015.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2725952463755194,2x212,0.07597829995211214,28,0.07534015953949608,0.18165237782997137,0.048188199987635016,12,0.05896028415117704,0.19328720091593038,0.011894600000232458,5,0.08249397745095628,0.24614872567010676,0.007903099991381168,2,0.09768497119391371,0.2673522027465039,0.00644939998164773
15,original,N,New_N_016.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2655591844824868,2x212,0.06406160001643002,28,0.07363561453695902,0.15584704456446982,0.045317200012505054,12,0.057759857204595824,0.20449535051301126,0.007383799995295703,5,0.07392248545765565,0.2970337447738574,0.004511300008744001,2,0.09499543968368021,0.34219789674992956,0.005760599975474179
16,original,N,New_N_017.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26874809313969467,2x212,0.05964049999602139,28,0.07696830729040724,0.1695372856173795,0.043591300025582314,12,0.05851718872834351,0.14067573272860018,0.007334699970670044,5,0.07946555266154572,0.25706748945944413,0.00445499992929399,2,0.0962729592722981,0.4187024234621289,0.003235999960452318
17,original,N,New_N_018.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26425947778507725,2x212,0.0609040999552235,28,0.07728609538224186,0.1843961814442141,0.04400929994881153,12,0.057904618554804936,0.1922812709155319,0.006927900016307831,5,0.07189943217004656,0.25072681311910516,0.005378399975597858,2,0.09435824374806133,0.3727031577057909,0.003545299987308681
18,original,N,New_N_019.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.2654424095101098,2x212,0.05933229997754097,28,0.0795465832292623,0.175047475280643,0.043039800017140806,12,0.057541404705330465,0.19422077370697,0.007622100063599646,5,0.07172242131644956,0.3332222186657269,0.004303400055505335,2,0.09307688939822906,0.3380916785685886,0.0032281000167131424
19,original,N,New_N_020.wav,28-12-5-2,DeepONMF_H4,4,nndsvd,0.26519331096347304,2x212,0.05933640000876039,28,0.0786211533849742,0.18327662065586645,0.04167149995919317,12,0.05764216542606742,0.17226544311246544,0.007680900045670569,5,0.06834636064248036,0.22991900537656512,0.00535460002720356,2,0.09933371284471836,0.4131521997541865,0.0033849000465124846
