indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_-8db,N,New_N_001.wav,10,DeepONMF_H1,1,0.3862685723944324,10x212,0.011632100096903741,10,0.3862685723944324,0.3182171072147548,0.010746499989181757
1,SNR_-8db,N,New_N_002.wav,10,DeepONMF_H1,1,0.38596002828459935,10x212,0.008643199922516942,10,0.38596002828459935,0.30308999600914144,0.008018200052902102
2,SNR_-8db,N,New_N_003.wav,10,DeepONMF_H1,1,0.38662023704087456,10x212,0.008051799959503114,10,0.38662023704087456,0.31783928794362376,0.007430500001646578
3,SNR_-8db,N,New_N_004.wav,10,DeepONMF_H1,1,0.3874356221784719,10x212,0.008416499942541122,10,0.3874356221784719,0.30884708300142194,0.0075516999932006
4,SNR_-8db,N,New_N_005.wav,10,DeepONMF_H1,1,0.3878343556301773,10x212,0.007545399945229292,10,0.3878343556301773,0.3106037687501103,0.006844299961812794
5,SNR_-8db,N,New_N_006.wav,10,DeepONMF_H1,1,0.39025891502024435,10x212,0.008899700012989342,10,0.39025891502024435,0.3086938560618915,0.008024799986742437
6,SNR_-8db,N,New_N_007.wav,10,DeepONMF_H1,1,0.3888284890893382,10x212,0.007860500016249716,10,0.3888284890893382,0.31636364260443867,0.007125699892640114
7,SNR_-8db,N,New_N_008.wav,10,DeepONMF_H1,1,0.39012494943953796,10x212,0.008453299989923835,10,0.39012494943953796,0.3038956879238801,0.007617299910634756
8,SNR_-8db,N,New_N_009.wav,10,DeepONMF_H1,1,0.3885041826164449,10x212,0.007768400013446808,10,0.3885041826164449,0.2827295930809425,0.0070439999690279365
9,SNR_-8db,N,New_N_010.wav,10,DeepONMF_H1,1,0.38779835780256033,10x212,0.008266299962997437,10,0.38779835780256033,0.3047109635212225,0.007584000006318092
10,SNR_-8db,N,New_N_011.wav,10,DeepONMF_H1,1,0.3923175481609552,10x212,0.007430900004692376,10,0.3923175481609552,0.3125081516876446,0.006676100078038871
11,SNR_-8db,N,New_N_012.wav,10,DeepONMF_H1,1,0.38643544392191537,10x212,0.00847340002655983,10,0.38643544392191537,0.3175168334773569,0.007832600036635995
12,SNR_-8db,N,New_N_013.wav,10,DeepONMF_H1,1,0.38417707593659356,10x212,0.007355100009590387,10,0.3841770759365935,0.3266045716454627,0.006831400096416473
13,SNR_-8db,N,New_N_014.wav,10,DeepONMF_H1,1,0.38736604541509023,10x212,0.008050400065258145,10,0.38736604541509023,0.31437102805359773,0.007354300003498793
14,SNR_-8db,N,New_N_015.wav,10,DeepONMF_H1,1,0.3953283123703977,10x212,0.007684800075367093,10,0.3953283123703977,0.2855329218107287,0.006960000027902424
15,SNR_-8db,N,New_N_016.wav,10,DeepONMF_H1,1,0.3929678860435946,10x212,0.008477300056256354,10,0.3929678860435946,0.2738738444594354,0.007694800035096705
16,SNR_-8db,N,New_N_017.wav,10,DeepONMF_H1,1,0.38882194400880415,10x212,0.007830800022929907,10,0.38882194400880415,0.31843837552898885,0.007102799951098859
17,SNR_-8db,N,New_N_018.wav,10,DeepONMF_H1,1,0.3865140951976983,10x212,0.008388500078581274,10,0.3865140951976983,0.3162146610772215,0.00761400000192225
18,SNR_-8db,N,New_N_019.wav,10,DeepONMF_H1,1,0.3845650067224724,10x212,0.007710500038228929,10,0.38456500672247235,0.29634597448027533,0.006986499996855855
19,SNR_-8db,N,New_N_020.wav,10,DeepONMF_H1,1,0.3918252163710884,10x212,0.008100800099782646,10,0.3918252163710884,0.3004689955342133,0.007172600016929209
20,SNR_-8db,N,New_N_021.wav,10,DeepONMF_H1,1,0.38720852941481587,10x212,0.00817529996857047,10,0.3872085294148158,0.3009407049565426,0.007411499973386526
21,SNR_-8db,N,New_N_022.wav,10,DeepONMF_H1,1,0.38808930274086456,10x212,0.007872799993492663,10,0.38808930274086456,0.31344605442262535,0.006958400015719235
22,SNR_-8db,N,New_N_023.wav,10,DeepONMF_H1,1,0.3849305377097264,10x212,0.008514500106684864,10,0.3849305377097264,0.3204228056302966,0.007670699968002737
23,SNR_-8db,N,New_N_024.wav,10,DeepONMF_H1,1,0.39053464449522357,10x212,0.007601100020110607,10,0.3905346444952236,0.3052214222553695,0.006918300059624016
24,SNR_-8db,N,New_N_025.wav,10,DeepONMF_H1,1,0.3917405971729351,10x212,0.008401799947023392,10,0.39174059717293513,0.2943041403852909,0.0077615000773221254
25,SNR_-8db,N,New_N_026.wav,10,DeepONMF_H1,1,0.3873203661813604,10x212,0.007316899951547384,10,0.3873203661813604,0.3129475418953994,0.006686700042337179
26,SNR_-8db,N,New_N_027.wav,10,DeepONMF_H1,1,0.3836514781599941,10x212,0.008283099974505603,10,0.3836514781599941,0.31289747716514926,0.007613800000399351
27,SNR_-8db,N,New_N_028.wav,10,DeepONMF_H1,1,0.39144382633180325,10x212,0.007485800073482096,10,0.39144382633180325,0.28000509934388934,0.006805400014854968
28,SNR_-8db,N,New_N_029.wav,10,DeepONMF_H1,1,0.38526041176544124,10x212,0.008238899987190962,10,0.38526041176544124,0.3117102258817654,0.007444099988788366
29,SNR_-8db,N,New_N_030.wav,10,DeepONMF_H1,1,0.38616435448239306,10x212,0.007952900021336973,10,0.38616435448239306,0.3114541682645463,0.007272499962709844
30,SNR_-8db,N,New_N_031.wav,10,DeepONMF_H1,1,0.3879495572689878,10x212,0.008355900063179433,10,0.3879495572689878,0.30334401296071634,0.007600599899888039
31,SNR_-8db,N,New_N_032.wav,10,DeepONMF_H1,1,0.37802817289013163,10x212,0.007499100058339536,10,0.37802817289013163,0.34939540045674805,0.006889999960549176
32,SNR_-8db,N,New_N_033.wav,10,DeepONMF_H1,1,0.38478113008219034,10x212,0.009381500072777271,10,0.38478113008219034,0.33099747815796965,0.008709899964742362
33,SNR_-8db,N,New_N_034.wav,10,DeepONMF_H1,1,0.3856009650483467,10x212,0.008236899971961975,10,0.3856009650483467,0.3388842261755679,0.007504899986088276
34,SNR_-8db,N,New_N_035.wav,10,DeepONMF_H1,1,0.3914818535691838,10x212,0.009651700034737587,10,0.3914818535691838,0.2844219268316802,0.008881199988536537
35,SNR_-8db,N,New_N_036.wav,10,DeepONMF_H1,1,0.3808186317212246,10x212,0.008377899997867644,10,0.38081863172122454,0.34505758583258606,0.00754440005403012
36,SNR_-8db,N,New_N_037.wav,10,DeepONMF_H1,1,0.2941069202148856,10x212,0.00965280004311353,10,0.2941069202148856,0.326151156516799,0.008729799999855459
37,SNR_-8db,N,New_N_038.wav,10,DeepONMF_H1,1,0.3875492925171824,10x212,0.008621300105005503,10,0.3875492925171824,0.34069136837354846,0.007379099959507585
38,SNR_-8db,N,New_N_039.wav,10,DeepONMF_H1,1,0.3915536780136776,10x212,0.00847480003722012,10,0.3915536780136776,0.27738086818497104,0.007754900027066469
39,SNR_-8db,N,New_N_040.wav,10,DeepONMF_H1,1,0.3924715865803839,10x212,0.008594400016590953,10,0.3924715865803839,0.28587349654703914,0.007612999994307756
40,SNR_-8db,N,New_N_041.wav,10,DeepONMF_H1,1,0.3900615676504098,10x212,0.00843909999821335,10,0.3900615676504098,0.31627930493867745,0.007646900019608438
41,SNR_-8db,N,New_N_042.wav,10,DeepONMF_H1,1,0.3909270710468405,10x212,0.008579000015743077,10,0.3909270710468405,0.2951147002115883,0.007716299965977669
42,SNR_-8db,N,New_N_043.wav,10,DeepONMF_H1,1,0.3847381618558995,10x212,0.00844680005684495,10,0.38473816185589954,0.32351133557899897,0.0076145000057294965
43,SNR_-8db,N,New_N_044.wav,10,DeepONMF_H1,1,0.3885864557461894,10x212,0.008342199958860874,10,0.3885864557461894,0.3078193248890372,0.007500199950300157
44,SNR_-8db,N,New_N_045.wav,10,DeepONMF_H1,1,0.3834589652474164,10x212,0.008298799977637827,10,0.3834589652474164,0.2946958373110743,0.007485199952498078
45,SNR_-8db,N,New_N_046.wav,10,DeepONMF_H1,1,0.3835565525414251,10x212,0.008629800053313375,10,0.3835565525414251,0.30105407333839396,0.007816199911758304
46,SNR_-8db,N,New_N_047.wav,10,DeepONMF_H1,1,0.39080766031594255,10x212,0.008664900087751448,10,0.39080766031594255,0.28285354225255954,0.007882399950176477
47,SNR_-8db,N,New_N_048.wav,10,DeepONMF_H1,1,0.3851583250693258,10x212,0.008483499987050891,10,0.3851583250693258,0.3087831838589051,0.007694800035096705
48,SNR_-8db,N,New_N_049.wav,10,DeepONMF_H1,1,0.3851256038606619,10x212,0.008444600040093064,10,0.3851256038606619,0.31995416284714967,0.007573599927127361
49,SNR_-8db,N,New_N_050.wav,10,DeepONMF_H1,1,0.38688045884001276,10x212,0.008988399989902973,10,0.38688045884001276,0.2974980950434838,0.007998500019311905
50,SNR_-8db,N,New_N_051.wav,10,DeepONMF_H1,1,0.3841743558897965,10x212,0.008273900020867586,10,0.3841743558897965,0.32131342757047093,0.0075391000136733055
51,SNR_-8db,N,New_N_052.wav,10,DeepONMF_H1,1,0.38445626486720585,10x212,0.007834100048057735,10,0.38445626486720585,0.31889575642153956,0.007061099982820451
52,SNR_-8db,N,New_N_053.wav,10,DeepONMF_H1,1,0.3881434355362426,10x212,0.007192300050519407,10,0.3881434355362426,0.3079908690356204,0.006534799933433533
53,SNR_-8db,N,New_N_054.wav,10,DeepONMF_H1,1,0.38432692122006884,10x212,0.007639199960976839,10,0.3843269212200689,0.29787909138665636,0.006785299978218973
54,SNR_-8db,N,New_N_055.wav,10,DeepONMF_H1,1,0.3882419955172451,10x212,0.0074902999913319945,10,0.3882419955172451,0.31485935369184315,0.006723099970258772
55,SNR_-8db,N,New_N_056.wav,10,DeepONMF_H1,1,0.38982784598156706,10x212,0.007959599955938756,10,0.38982784598156706,0.2954878481304214,0.0072951999027282
56,SNR_-8db,N,New_N_057.wav,10,DeepONMF_H1,1,0.38940898218610775,10x212,0.008361099986359477,10,0.38940898218610775,0.2848695041992065,0.007745200069621205
57,SNR_-8db,N,New_N_058.wav,10,DeepONMF_H1,1,0.3895101776801497,10x212,0.007238099933601916,10,0.3895101776801497,0.2885301170069034,0.00656810007058084
58,SNR_-8db,N,New_N_059.wav,10,DeepONMF_H1,1,0.3799897843981891,10x212,0.008547100005671382,10,0.3799897843981891,0.3028009095668335,0.007926199934445322
59,SNR_-8db,N,New_N_060.wav,10,DeepONMF_H1,1,0.39005555286161125,10x212,0.007195799960754812,10,0.39005555286161125,0.2909863202810073,0.006512499996460974
60,SNR_-8db,N,New_N_061.wav,10,DeepONMF_H1,1,0.3850425339620564,10x212,0.007927600061520934,10,0.3850425339620564,0.3171192000937698,0.007329400046728551
61,SNR_-8db,N,New_N_062.wav,10,DeepONMF_H1,1,0.3887456455051442,10x212,0.007027299958281219,10,0.3887456455051442,0.2865385869880618,0.0064860000275075436
