indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_8db,N,New_N_001.wav,24-15-10-6,DeepONMF_H4,4,0.4604046202198355,6x212,0.029007500037550926,24,0.15727993044754407,0.3134250003126984,0.01665760006289929,15,0.23874830654874948,0.1196690582478907,0.005166199989616871,10,0.3495965021877464,0.11169765078279384,0.003593200002796948,6,0.44252743240967457,0.08002595377007404,0.0026291999965906143
1,SNR_8db,N,New_N_002.wav,24-15-10-6,DeepONMF_H4,4,0.37255625068583703,6x212,0.02518300001975149,24,0.15541649617868128,0.328248455498407,0.013861399958841503,15,0.2832760294158757,0.14193953569706966,0.0045662999618798494,10,0.3540423109994049,0.14308470333421636,0.003192499978467822,6,0.515120065499496,0.1387197266904194,0.0026194999227300286
2,SNR_8db,N,New_N_003.wav,24-15-10-6,DeepONMF_H4,4,0.3723752594712797,6x212,0.025673799915239215,24,0.15801874008487932,0.31427463523572097,0.013137900037690997,15,0.2606477083645441,0.12629505844996963,0.005670399987138808,10,0.4026736520808921,0.12304009314828439,0.0033226999221369624,6,0.45788440421322063,0.09569854191720881,0.002523500006645918
3,SNR_8db,N,New_N_004.wav,24-15-10-6,DeepONMF_H4,4,0.35293748493126287,6x212,0.025975199998356402,24,0.15772968137185403,0.3325003518789419,0.014053700026124716,15,0.33638918839609216,0.1370667955813721,0.004526500008068979,10,0.3233662547408028,0.14215256085060446,0.003152600023895502,6,0.4687866064070902,0.12194542843249707,0.0032155000371858478
4,SNR_8db,N,New_N_005.wav,24-15-10-6,DeepONMF_H4,4,0.3939565617791992,6x212,0.027127500041387975,24,0.1557290785211233,0.3226871727185337,0.014571900013834238,15,0.2778289727477019,0.11767753823790324,0.005767100024968386,10,0.34257929223157696,0.10869560727504833,0.003232700051739812,6,0.4840293723716854,0.09319815492351949,0.0024391000624746084
5,SNR_8db,N,New_N_006.wav,24-15-10-6,DeepONMF_H4,4,0.4254520380835989,6x212,0.027296200045384467,24,0.15980615564409123,0.310202752439096,0.0154146000277251,15,0.2547668682632028,0.12439199981704291,0.004924000008031726,10,0.4058599440272097,0.1084454499744498,0.00355119991581887,6,0.5160417052757097,0.12048853477872791,0.0026147000025957823
6,SNR_8db,N,New_N_007.wav,24-15-10-6,DeepONMF_H4,4,0.3719114348303558,6x212,0.025413200026378036,24,0.16019955551040047,0.3500795376977116,0.013912900001741946,15,0.2688440867196958,0.1507759146661548,0.004692099988460541,10,0.3614625707674139,0.10774421409503514,0.003265000064857304,6,0.4706688765834859,0.10299740176373552,0.002499499940313399
7,SNR_8db,N,New_N_008.wav,24-15-10-6,DeepONMF_H4,4,0.364241671067643,6x212,0.028935899958014488,24,0.15581203043517447,0.3343168317810421,0.016879400005564094,15,0.2892628115588286,0.13907275571761404,0.00517809996381402,10,0.3642855817057491,0.11111547005916529,0.0033517000265419483,6,0.5213514968542164,0.11014069818695613,0.002521499991416931
8,SNR_8db,N,New_N_009.wav,24-15-10-6,DeepONMF_H4,4,0.3861257214408993,6x212,0.02650559996254742,24,0.15937852278461545,0.33798534444225103,0.014575000037439167,15,0.30452788975735257,0.12029334501706757,0.004781799972988665,10,0.38012253753583625,0.10052657651603608,0.003541499958373606,6,0.48651231041523857,0.10227750538345326,0.0026219000574201345
9,SNR_8db,N,New_N_010.wav,24-15-10-6,DeepONMF_H4,4,0.3971815193028409,6x212,0.02498410001862794,24,0.1570815211166193,0.3296362030246659,0.013227300019934773,15,0.27763267793361385,0.13347807998180247,0.004799699992872775,10,0.4226712695881219,0.10516643268627802,0.0032253999961540103,6,0.43217815780313706,0.10947819854416688,0.002517700078897178
10,SNR_8db,N,New_N_011.wav,24-15-10-6,DeepONMF_H4,4,0.3710050705120907,6x212,0.026923299999907613,24,0.15885360472478874,0.32668721214216556,0.01462500006891787,15,0.3081811191420869,0.13552576580477954,0.004614299978129566,10,0.37249239715409643,0.12134634675008006,0.0043509999522939324,6,0.4646356625028992,0.13439476902375666,0.0025110999122262
11,SNR_8db,N,New_N_012.wav,24-15-10-6,DeepONMF_H4,4,0.3612436228991076,6x212,0.02649990003556013,24,0.15920812733627088,0.33748674717566357,0.015052400063723326,15,0.3162532649334571,0.1339359493370869,0.004642999963834882,10,0.3829909014678232,0.1354830463870018,0.003254599985666573,6,0.4678720965127707,0.1496721580971106,0.002489499980583787
12,SNR_8db,N,New_N_013.wav,24-15-10-6,DeepONMF_H4,4,0.43311354039284106,6x212,0.02653270005248487,24,0.15420165529085,0.2962643543208274,0.01464559999294579,15,0.23747952266302755,0.15347736973491427,0.005117300082929432,10,0.3778849283688287,0.11667210801653252,0.003282699966803193,6,0.4283898443112291,0.11661142095862043,0.0024845999432727695
13,SNR_8db,N,New_N_014.wav,24-15-10-6,DeepONMF_H4,4,0.37229260918649504,6x212,0.02625580003950745,24,0.15776751275042483,0.3163856833214169,0.014649300021119416,15,0.21760477397236627,0.174093805682422,0.004413200076669455,10,0.38396172480187907,0.11588566281343593,0.003402800066396594,6,0.4716990213436466,0.08849367029070726,0.0029010000871494412
14,SNR_8db,N,New_N_015.wav,24-15-10-6,DeepONMF_H4,4,0.3840258373490737,6x212,0.027995699900202453,24,0.16030699371864326,0.31697467309290633,0.016661399975419044,15,0.2720754711357382,0.1767470534110107,0.004489399958401918,10,0.3831905090651721,0.1556129668029098,0.003124199924059212,6,0.4691095191601439,0.1451045319237956,0.002456999965943396
15,SNR_8db,N,New_N_016.wav,24-15-10-6,DeepONMF_H4,4,0.47233099566486536,6x212,0.028806500020436943,24,0.15865201722415406,0.324771833061429,0.015453600091859698,15,0.25791049198613486,0.1267862948347841,0.006048099952749908,10,0.3484590773376016,0.10059344898981325,0.003830700065009296,6,0.48547517568857784,0.0741821262446194,0.0026384000666439533
16,SNR_8db,N,New_N_017.wav,24-15-10-6,DeepONMF_H4,4,0.4227708065564003,6x212,0.02671739994548261,24,0.15982979887935891,0.3464918954086943,0.01492280000820756,15,0.32563081539630045,0.11732621254899812,0.004777300055138767,10,0.4166832218862272,0.10568918069025057,0.0032504000701010227,6,0.5031200703741237,0.1338765339720244,0.002783099887892604
17,SNR_8db,N,New_N_018.wav,24-15-10-6,DeepONMF_H4,4,0.39986061820128344,6x212,0.023620499996468425,24,0.16006467019081966,0.3153298303913983,0.012009499943815172,15,0.3101073637352005,0.12723994040232323,0.004913699929602444,10,0.42487532858854815,0.1280530469347474,0.0032899000216275454,6,0.4802585597675503,0.13889099284843268,0.0025695000076666474
18,SNR_8db,N,New_N_019.wav,24-15-10-6,DeepONMF_H4,4,0.36077381155948895,6x212,0.025857500033453107,24,0.15607286513239516,0.3076658036543712,0.014478900004178286,15,0.30080059621821714,0.14984456171639346,0.004464199999347329,10,0.36880533308254837,0.10421702505754019,0.003161099972203374,6,0.4887749398839083,0.09589671116591206,0.0028780000284314156
19,SNR_8db,N,New_N_020.wav,24-15-10-6,DeepONMF_H4,4,0.41234125437834335,6x212,0.024646900012157857,24,0.15756889351469347,0.35384090768829013,0.011850300012156367,15,0.31011189320826826,0.12183294054798316,0.005935200024396181,10,0.3573987175085869,0.11308367325610652,0.003244900028221309,6,0.4810024912658315,0.11517997103626053,0.00245670008007437
20,SNR_8db,N,New_N_021.wav,24-15-10-6,DeepONMF_H4,4,0.3679584362359907,6x212,0.026518199942074716,24,0.15694946416083524,0.31453376114547954,0.014363399939611554,15,0.336792613157368,0.1177664329215336,0.005154800019226968,10,0.4245152986583935,0.12684261692305862,0.003400299930945039,6,0.514087058237028,0.13498994420600102,0.002841999987140298
21,SNR_8db,N,New_N_022.wav,24-15-10-6,DeepONMF_H4,4,0.40652215802215985,6x212,0.02775949996430427,24,0.15679605232256866,0.34360188378198503,0.01585480000358075,15,0.27879022456446867,0.12491026221252696,0.004863300011493266,10,0.3767367302889559,0.09614043004918836,0.003476299927569926,6,0.47665098932363553,0.12696979645931644,0.0027022999711334705
22,SNR_8db,N,New_N_023.wav,24-15-10-6,DeepONMF_H4,4,0.39476572179868097,6x212,0.030320600024424493,24,0.1559002233827382,0.3003959622153634,0.016101100016385317,15,0.30450107018320094,0.14020877085304143,0.006138599943369627,10,0.38006050993229423,0.1352981951249399,0.003587900078855455,6,0.5023459167912,0.12805590099886735,0.0027141000609844923
23,SNR_8db,N,New_N_024.wav,24-15-10-6,DeepONMF_H4,4,0.4288786557129098,6x212,0.03147290006745607,24,0.15689149595963076,0.3005142694631992,0.01728600007481873,15,0.28816036492494296,0.1254068125248767,0.006214600056409836,10,0.3906973483132786,0.11192155463294658,0.004005099995993078,6,0.4894865905674343,0.11703176648164107,0.002974000060930848
24,SNR_8db,N,New_N_025.wav,24-15-10-6,DeepONMF_H4,4,0.3926542659126105,6x212,0.03283250005915761,24,0.1559412236752371,0.2992294850878902,0.019135399954393506,15,0.2863437114565466,0.1653550993440896,0.005755100050009787,10,0.3798225017959327,0.14804163687028649,0.00400780001655221,6,0.4971011541261737,0.14068049027077115,0.0029442000668495893
25,SNR_8db,N,New_N_026.wav,24-15-10-6,DeepONMF_H4,4,0.4408308627637059,6x212,0.030495399958454072,24,0.15695053801610193,0.31386346365979795,0.017733799992129207,15,0.27311790148168374,0.1395053923350371,0.00514420005492866,10,0.4149206275769982,0.1072445210448003,0.003941999981179833,6,0.5115447186755664,0.09249442850863995,0.0027299999492242932
26,SNR_8db,N,New_N_027.wav,24-15-10-6,DeepONMF_H4,4,0.44439373664351967,6x212,0.027165100094862282,24,0.15711825679156002,0.3463874249875709,0.015001100022345781,15,0.28336141285599015,0.13721137355243096,0.004891999997198582,10,0.36659131096147485,0.13087161768325617,0.0034362999722361565,6,0.4522336810989781,0.09006343113459205,0.0026588999899104238
27,SNR_8db,N,New_N_028.wav,24-15-10-6,DeepONMF_H4,4,0.3728670582848735,6x212,0.028889399953186512,24,0.15842032943370993,0.3175720488852376,0.01603549998253584,15,0.3411326884277742,0.11127498340305457,0.005616700043901801,10,0.3677625031051635,0.1084022241758252,0.003558300086297095,6,0.4867785162057986,0.12567859020529865,0.00270690000616014
28,SNR_8db,N,New_N_029.wav,24-15-10-6,DeepONMF_H4,4,0.41963717886263663,6x212,0.030866699991747737,24,0.1622208839086961,0.33333714122961355,0.015862600062973797,15,0.3336212044280332,0.1243735865063734,0.0063439999939873815,10,0.36345670338159697,0.12465721280211264,0.004377000033855438,6,0.45359496483505224,0.12830311830021796,0.003252500086091459
