indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_8db,N,New_N_001.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.29827594713196054,6x212,0.046090399962849915,32,0.13876954907095854,0.2711611407365541,0.02961590001359582,18,0.10094079448632468,0.2729039507162277,0.007306699990294874,10,0.09409385823624736,0.26884872590670483,0.004261299967765808,6,0.08531818600058728,0.268080639772457,0.003804299980401993
1,SNR_8db,N,New_N_002.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.29780751129919547,6x212,0.04458559991326183,32,0.14023529912204544,0.2654954477088346,0.028998800087720156,18,0.09868218521943448,0.2635454662238899,0.007108100107870996,10,0.09514917715453419,0.28266435237433224,0.0042882999405264854,6,0.08177226345185908,0.2711161001387192,0.003182400017976761
2,SNR_8db,N,New_N_003.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.3021472489663167,6x212,0.04331820004153997,32,0.13812266586785155,0.2716967329721033,0.02838310005608946,18,0.09909868761807239,0.2732813441618315,0.006813299958594143,10,0.09572117621053901,0.30296783884154416,0.004078500089235604,6,0.08795824308312303,0.309941446027412,0.002993999980390072
3,SNR_8db,N,New_N_004.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.30098651243115504,6x212,0.04179210006259382,32,0.1358668313701708,0.2644433763520715,0.026875499985180795,18,0.10218548775087655,0.2664974252288117,0.006453800015151501,10,0.09611010842599328,0.25743877882988225,0.003968900069594383,6,0.09002737626482883,0.2604936675148676,0.0034863000037148595
4,SNR_8db,N,New_N_005.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.3101628445887441,6x212,0.04248980002012104,32,0.13792794949245515,0.2767024012002456,0.027068000053986907,18,0.1005063104931129,0.2668546333255245,0.00715459999628365,10,0.09446480644690619,0.27110407194967134,0.004174900008365512,6,0.0860502432700965,0.28001666703426603,0.0030556999845430255
5,SNR_8db,N,New_N_006.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.2998913812601434,6x212,0.04293900006450713,32,0.14018359361569716,0.27534937062844334,0.027638299972750247,18,0.10066981747270691,0.2703031293326752,0.006750000058673322,10,0.09464838195683058,0.2636958721326446,0.004017099970951676,6,0.08802547384632008,0.26133342160654044,0.003495599958114326
6,SNR_8db,N,New_N_007.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.30001736570212423,6x212,0.040669200010597706,32,0.137618312738675,0.26052339336439395,0.026358900009654462,18,0.10026918427614782,0.2602668306072054,0.006709999986924231,10,0.09620493481733525,0.2681808088889893,0.0038524999981746078,6,0.09000503572311683,0.25909149342236787,0.0028040000470355153
7,SNR_8db,N,New_N_008.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.3060282824923196,6x212,0.0402849999954924,32,0.13764109554044915,0.26864399386767573,0.026484399917535484,18,0.09983356001902247,0.27922043711059347,0.005931599996984005,10,0.09428152974997825,0.28549537240764905,0.0036164000630378723,6,0.0842809448321657,0.2819722259597841,0.0030580000020563602
8,SNR_8db,N,New_N_009.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.3069641618482322,6x212,0.038400999968871474,32,0.14123259111494538,0.26756541376521675,0.02439749997574836,18,0.10070931127894585,0.2651275321146199,0.006039500003680587,10,0.09659962977753896,0.27064010037687714,0.004067300003953278,6,0.08652372371323339,0.2805264606017992,0.0028305999003350735
9,SNR_8db,N,New_N_010.wav,32-18-10-6,DeepONMF_H4,4,nndsvd,0.30341564876795013,6x212,0.03851290000602603,32,0.1450476834962678,0.2628259965161214,0.023963000043295324,18,0.10135480189508947,0.26213085130782354,0.006579299923032522,10,0.09859743516264002,0.2645289688824818,0.003754099947400391,6,0.08965764524127719,0.23795136938953446,0.002759499941021204
