clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
KNN,DeepONMF_H3,0.8996000000000001,0.013069047402163613,0.749,0.03267261850540907,0.93725,0.008168154626352281,0.79429243858022,0.027071978620574685,0.843125,0.02042038656588067
KNN,DeepONMF_W,0.8208,0.01136661779070628,0.552,0.028416544476765684,0.8879999999999999,0.007104136119191423,0.5723008392011482,0.032225765853342574,0.72,0.017760340297978527
KNN,LogMelSpectrogram,0.9872,0.0030331501776206062,0.968,0.007582875444051466,0.992,0.0018957188610128628,0.9701708385682746,0.007292738765721677,0.9800000000000001,0.0047392971525322585
KNN,MFCC,0.99,0.003162277660168448,0.975,0.00790569415042096,0.99375,0.0019764235376051424,0.9761790864961597,0.0068635889374374535,0.984375,0.004941058844013027
KNN,MelSpectrogram,0.9827999999999999,0.007014271166700153,0.9570000000000001,0.017535677916750245,0.98925,0.004383919479187513,0.958110957943749,0.016990510668163386,0.9731249999999999,0.010959798697968872
KNN,STFT,0.982,0.007615773105863957,0.9549999999999998,0.019039432764659806,0.9887499999999999,0.004759858191164984,0.9557240612329725,0.018942556358421476,0.971875,0.011899645477912358
SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.024748737341529124,0.9712500000000001,0.00618718433538226,0.8892995236970721,0.02403096226061025,0.928125,0.01546796083845574
SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.02715695122800056,0.9262499999999999,0.006789237807000179,0.7086501547289049,0.031891372780367286,0.815625,0.01697309451750029
SVM,LogMelSpectrogram,0.99,0.0028284271247462117,0.975,0.0070710678118655074,0.99375,0.0017677669529663753,0.9754662641594607,0.0069633493233487685,0.984375,0.004419417382415942
SVM,MFCC,0.9960000000000001,0.002449489742783216,0.99,0.006123724356957866,0.9974999999999999,0.0015309310892394179,0.9903764603707883,0.00579921458343692,0.99375,0.0038273277230987043
SVM,MelSpectrogram,0.9892,0.005761944116355207,0.9730000000000001,0.014404860290888001,0.9932500000000001,0.0036012150727220697,0.9738206826873871,0.014456234000581396,0.983125,0.009003037681804951
SVM,STFT,0.9884000000000001,0.0076681158050723825,0.9710000000000001,0.0191702895126808,0.99275,0.004792572378170247,0.9718738658438035,0.018686798816051894,0.9818749999999999,0.011981430945425496
UjaNet,DeepONMF_H3,0.9756,0.01052615789355264,0.9390000000000001,0.026315394733881482,0.98475,0.006578848683470416,0.9403683132374543,0.025563569346848402,0.961875,0.016447121708675943
UjaNet,DeepONMF_W,0.9344000000000001,0.007797435475847186,0.836,0.019493588689617813,0.959,0.004873397172404426,0.8415429079897642,0.018724969877615225,0.8975,0.012183492931011237
UjaNet,LogMelSpectrogram,0.9884000000000001,0.004979959839195524,0.9710000000000001,0.012449899597988673,0.99275,0.0031124748994971595,0.9718538956010372,0.01227699272864186,0.9818749999999999,0.007781187248743025
UjaNet,MFCC,0.9876000000000001,0.006066300355241243,0.969,0.015165750888103203,0.99225,0.0037914377220257603,0.9696955443643505,0.014627597677422251,0.9806250000000001,0.009478594305064448
UjaNet,MelSpectrogram,0.9904,0.005899152481501054,0.976,0.01474788120375269,0.994,0.0036869703009381636,0.9767611634980355,0.014295023025969404,0.985,0.009217425752345399
UjaNet,STFT,0.9884000000000001,0.005176871642217926,0.9709999999999999,0.012942179105544752,0.9927499999999998,0.003235544776386163,0.9721825846449246,0.012203650212544336,0.9818749999999999,0.008088861940965475
