indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_0db,N,New_N_001.wav,12,DeepONMF_H1,1,nndsvd,0.2863045206810682,12x212,0.015480900066904724,12,0.2863045206810682,0.315599282130731,0.014593799947761
1,SNR_0db,N,New_N_002.wav,12,DeepONMF_H1,1,nndsvd,0.28300325903662205,12x212,0.015395199996419251,12,0.28300325903662205,0.33742172567959916,0.014592000050470233
2,SNR_0db,N,New_N_003.wav,12,DeepONMF_H1,1,nndsvd,0.2874436969853597,12x212,0.0163214000640437,12,0.2874436969853597,0.337410861603456,0.015642500016838312
3,SNR_0db,N,New_N_004.wav,12,DeepONMF_H1,1,nndsvd,0.2894213779197203,12x212,0.01490650000050664,12,0.2894213779197203,0.342339667040984,0.014205900020897388
4,SNR_0db,N,New_N_005.wav,12,DeepONMF_H1,1,nndsvd,0.2849189475339038,12x212,0.016361800022423267,12,0.28491894753390384,0.3241580618680051,0.015465499949641526
5,SNR_0db,N,New_N_006.wav,12,DeepONMF_H1,1,nndsvd,0.2879162948496661,12x212,0.016013000044040382,12,0.2879162948496661,0.3383274516866224,0.015276899910531938
6,SNR_0db,N,New_N_007.wav,12,DeepONMF_H1,1,nndsvd,0.287546953230461,12x212,0.015239600092172623,12,0.287546953230461,0.323743973072379,0.01452580001205206
7,SNR_0db,N,New_N_008.wav,12,DeepONMF_H1,1,nndsvd,0.28365522505300034,12x212,0.015189599944278598,12,0.28365522505300034,0.33075337790651127,0.014461499988101423
8,SNR_0db,N,New_N_009.wav,12,DeepONMF_H1,1,nndsvd,0.28534951435277556,12x212,0.015132199972867966,12,0.28534951435277556,0.3353761364239709,0.014461399987339973
9,SNR_0db,N,New_N_010.wav,12,DeepONMF_H1,1,nndsvd,0.2855883483827312,12x212,0.01501610002014786,12,0.2855883483827312,0.3355011935738745,0.014357000007294118
10,SNR_0db,N,New_N_011.wav,12,DeepONMF_H1,1,nndsvd,0.2864592875903204,12x212,0.0148072000592947,12,0.28645928759032036,0.33133858237231595,0.014071399928070605
11,SNR_0db,N,New_N_012.wav,12,DeepONMF_H1,1,nndsvd,0.2875352133970188,12x212,0.014413700089789927,12,0.2875352133970188,0.3259488326461769,0.013472500024363399
12,SNR_0db,N,New_N_013.wav,12,DeepONMF_H1,1,nndsvd,0.2857972303847935,12x212,0.014873999985866249,12,0.2857972303847935,0.3377996291481313,0.014197099953889847
13,SNR_0db,N,New_N_014.wav,12,DeepONMF_H1,1,nndsvd,0.2839037280820688,12x212,0.016289799939841032,12,0.2839037280820688,0.33416295070046087,0.015466199954971671
14,SNR_0db,N,New_N_015.wav,12,DeepONMF_H1,1,nndsvd,0.29281700564456664,12x212,0.01575969997793436,12,0.29281700564456664,0.32669876000380355,0.0148619000101462
15,SNR_0db,N,New_N_016.wav,12,DeepONMF_H1,1,nndsvd,0.29080423020769447,12x212,0.01586500008124858,12,0.29080423020769447,0.3201667578011964,0.015051100053824484
16,SNR_0db,N,New_N_017.wav,12,DeepONMF_H1,1,nndsvd,0.2926558661379822,12x212,0.015964700025506318,12,0.2926558661379822,0.33048332731253155,0.015095900045707822
17,SNR_0db,N,New_N_018.wav,12,DeepONMF_H1,1,nndsvd,0.2887124281095318,12x212,0.015556600061245263,12,0.2887124281095318,0.32200098744503347,0.014664800022728741
18,SNR_0db,N,New_N_019.wav,12,DeepONMF_H1,1,nndsvd,0.287162285245086,12x212,0.015334399999119341,12,0.287162285245086,0.3272755512055807,0.014497899916023016
19,SNR_0db,N,New_N_020.wav,12,DeepONMF_H1,1,nndsvd,0.2869945231240565,12x212,0.015624599996954203,12,0.2869945231240565,0.3248553438915374,0.014884000062011182
20,SNR_0db,N,New_N_021.wav,12,DeepONMF_H1,1,nndsvd,0.2839711757092626,12x212,0.015274200006388128,12,0.2839711757092626,0.32746427913110665,0.014460599981248379
