indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_0db,N,New_N_001.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37936293913881314,10x212,0.03609299997333437,20,0.2585844412499764,0.2960282162429591,0.021963599952869117,16,0.13508777347670597,0.288877633935042,0.005004200036637485,13,0.1224382356923425,0.291570287507614,0.004174600006081164,10,0.1272405770580466,0.29120614381317944,0.0040490999817848206
1,SNR_0db,N,New_N_002.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37464074713698814,10x212,0.03574800002388656,20,0.2557316188901684,0.3184303864947649,0.02232190000358969,16,0.12400322658257701,0.3113807286998151,0.004457800067029893,13,0.11407308051191915,0.3129680505229718,0.004444500082172453,10,0.1179482736591242,0.30950349290525675,0.003541399957612157
2,SNR_0db,N,New_N_003.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37857020806756997,10x212,0.03554229997098446,20,0.2617797461424991,0.3099403454543803,0.021255600033327937,16,0.12588782741487659,0.30797194205989536,0.00457649992313236,13,0.11312234627131203,0.3086439337944998,0.005187000031583011,10,0.12115722146374465,0.3083755908200425,0.0036928000627085567
3,SNR_0db,N,New_N_004.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.38188506351180657,10x212,0.036230500089004636,20,0.2616051155423246,0.3126796682967741,0.021725300000980496,16,0.12676479427686405,0.3114137546819101,0.00563289993442595,13,0.1183849561279174,0.3140069374184196,0.004149200045503676,10,0.12522930748329242,0.32362298444515086,0.0034938999451696873
4,SNR_0db,N,New_N_005.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37701613519843513,10x212,0.03600619989447296,20,0.25866010454320604,0.3067374939749075,0.02052310004364699,16,0.12506426347400432,0.30824843824523007,0.006379600032232702,13,0.11650816461550237,0.3027891402152255,0.004214799962937832,10,0.12405612462138846,0.31049137563281876,0.003492899937555194
5,SNR_0db,N,New_N_006.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.38110630390667044,10x212,0.03321520006284118,20,0.2598775353162541,0.30973742422644984,0.019725700025446713,16,0.13134213226951244,0.30359322535955596,0.004730400047264993,13,0.12330228064950129,0.308174478970835,0.004182699951343238,10,0.12373624117346925,0.3147398165559186,0.003439699998125434
6,SNR_0db,N,New_N_007.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.3823769492114415,10x212,0.03261570003814995,20,0.25998747735276645,0.3097747473434475,0.018567799939773977,16,0.12681701305300458,0.3125906774417347,0.005586200044490397,13,0.12198381589446042,0.3093140267866812,0.0040831000078469515,10,0.12091256273183768,0.3028072417572424,0.0033932001097127795
7,SNR_0db,N,New_N_008.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37880378981337604,10x212,0.04012609994970262,20,0.25527644881134004,0.3051966394699609,0.024782399996183813,16,0.1314756091382533,0.3047068178448001,0.005409699981100857,13,0.12244163801601747,0.2978692550571743,0.00443440000526607,10,0.12656892334340378,0.30670172261117484,0.004426099942065775
8,SNR_0db,N,New_N_009.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.37794358034758235,10x212,0.039233500021509826,20,0.25761253703040826,0.3076569954800541,0.0236047999933362,16,0.12492902504777116,0.3081445641529403,0.005419999943114817,13,0.1186852568632972,0.30991670052878856,0.005189199931919575,10,0.1261883747186166,0.3118518221164159,0.003948699915781617
9,SNR_0db,N,New_N_010.wav,20-16-13-10,DeepONMF_H4,4,nndsvd,0.3786051354621681,10x212,0.03855679999105632,20,0.2588133630587516,0.3079144027537128,0.02355469996109605,16,0.12606289059010062,0.30514092975936463,0.00601550005376339,13,0.1167592446563347,0.3054807241600311,0.004410299938172102,10,0.12578932764867298,0.3157203742333077,0.0036944999592378736
