indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_0db,N,New_N_001.wav,20-4,DeepONMF_H2,2,nndsvd,0.33465239639099936,4x212,0.027188299922272563,20,0.2585844412499764,0.2960282162429591,0.023158200085163116,4,0.27522052327009056,0.2936054914454298,0.0030942000448703766
1,SNR_0db,N,New_N_002.wav,20-4,DeepONMF_H2,2,nndsvd,0.33277040566923194,4x212,0.02447479998227209,20,0.2557316188901684,0.3184303864947649,0.021045699948444963,4,0.2623560348302607,0.3032410486942226,0.0027153000701218843
2,SNR_0db,N,New_N_003.wav,20-4,DeepONMF_H2,2,nndsvd,0.33623269264810124,4x212,0.02341540006455034,20,0.2617797461424991,0.3099403454543803,0.019662900012917817,4,0.263772610551737,0.2972995718605975,0.0027791999746114016
3,SNR_0db,N,New_N_004.wav,20-4,DeepONMF_H2,2,nndsvd,0.3371482813795816,4x212,0.024936500005424023,20,0.2616051155423246,0.3126796682967741,0.020644999924115837,4,0.270979781982252,0.28039054638076716,0.00345359998755157
4,SNR_0db,N,New_N_005.wav,20-4,DeepONMF_H2,2,nndsvd,0.33380473647314685,4x212,0.026631099986843765,20,0.25866010454320604,0.3067374939749075,0.02307470003142953,4,0.26450513643073453,0.30662166810953806,0.0027809999883174896
5,SNR_0db,N,New_N_006.wav,20-4,DeepONMF_H2,2,nndsvd,0.3377180536314894,4x212,0.02544380002655089,20,0.2598775353162541,0.30973742422644984,0.021719099953770638,4,0.2734797576866071,0.27133378318213813,0.0028019000310450792
6,SNR_0db,N,New_N_007.wav,20-4,DeepONMF_H2,2,nndsvd,0.3391144513733831,4x212,0.024201299995183945,20,0.25998747735276645,0.3097747473434475,0.020641799899749458,4,0.27489701181089354,0.2751021308515974,0.0027466999599710107
7,SNR_0db,N,New_N_008.wav,20-4,DeepONMF_H2,2,nndsvd,0.3365054005648879,4x212,0.027488799998536706,20,0.25527644881134004,0.3051966394699609,0.02366409997921437,4,0.2771193441449162,0.27478679414795953,0.002921000006608665
8,SNR_0db,N,New_N_009.wav,20-4,DeepONMF_H2,2,nndsvd,0.3394411436079224,4x212,0.02703779994044453,20,0.25761253703040826,0.3076569954800541,0.022686899988912046,4,0.2733736246503472,0.30920042862357594,0.0032981999684125185
9,SNR_0db,N,New_N_010.wav,20-4,DeepONMF_H2,2,nndsvd,0.3413852137861445,4x212,0.026122399955056608,20,0.2588133630587516,0.3079144027537128,0.02216469997074455,4,0.274033082756774,0.3250046889350673,0.0031431999523192644
10,SNR_0db,N,New_N_011.wav,20-4,DeepONMF_H2,2,nndsvd,0.3375002054921088,4x212,0.02416019991505891,20,0.2585712380073833,0.30975397602744464,0.020288300001993775,4,0.2716583202054531,0.27340681592298516,0.0030372999608516693
11,SNR_0db,N,New_N_012.wav,20-4,DeepONMF_H2,2,nndsvd,0.3369487882574779,4x212,0.02588650002144277,20,0.2609151307771328,0.30383227616095393,0.022565899998880923,4,0.2713018741170835,0.29952519618418516,0.002681500045582652
12,SNR_0db,N,New_N_013.wav,20-4,DeepONMF_H2,2,nndsvd,0.3383798472727591,4x212,0.02593110001180321,20,0.2570580252058588,0.31587926713311154,0.021534200059249997,4,0.2714311715918799,0.3037546446477593,0.003613300039432943
13,SNR_0db,N,New_N_014.wav,20-4,DeepONMF_H2,2,nndsvd,0.33386416183329615,4x212,0.024670499959029257,20,0.25555668512451113,0.3111703426194067,0.02059289999306202,4,0.269022248329363,0.323519342834705,0.0032700999872758985
14,SNR_0db,N,New_N_015.wav,20-4,DeepONMF_H2,2,nndsvd,0.3438631337987958,4x212,0.026115300017409027,20,0.26578924970269074,0.3010307451503008,0.021856899955309927,4,0.27238474400744,0.3279878367937524,0.0034301000414416194
15,SNR_0db,N,New_N_016.wav,20-4,DeepONMF_H2,2,nndsvd,0.3379793956103569,4x212,0.025063500041142106,20,0.2632545451270152,0.30368074895874164,0.021662799990735948,4,0.2700455297046925,0.27910717266083307,0.0027211999986320734
