indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_0db,N,New_N_001.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41743295826266175,2x212,0.031978500075638294,20,0.2585844412499764,0.2960282162429591,0.024417800013907254,6,0.2517126134179415,0.315425814743012,0.004196500056423247,2,0.21036583527004302,0.1373388833220066,0.0023117000237107277
1,SNR_0db,N,New_N_002.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41082239312740204,2x212,0.030248999944888055,20,0.2557316188901684,0.3184303864947649,0.023077999940142035,6,0.23869464255272071,0.3372787163460551,0.003962200018577278,2,0.20741600658988407,0.13508525495854157,0.0023658000864088535
2,SNR_0db,N,New_N_003.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.40907223050499597,2x212,0.030755499959923327,20,0.2617797461424991,0.3099403454543803,0.02328339999075979,6,0.23933874032820976,0.3313398342265927,0.0038783999625593424,2,0.21056522379980466,0.13742831725794777,0.002551100100390613
3,SNR_0db,N,New_N_004.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4111200312418011,2x212,0.03156550007406622,20,0.2616051155423246,0.3126796682967741,0.02501380001194775,6,0.24700185407466504,0.32024365587035886,0.00350529991555959,2,0.2123710329869512,0.12937917431650203,0.0022556999465450644
4,SNR_0db,N,New_N_005.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41423359253412895,2x212,0.031027199933305383,20,0.25866010454320604,0.3067374939749075,0.024293399997986853,6,0.23917708698985676,0.3367774199260966,0.0036453999346122146,2,0.21437493271463268,0.12442775719440397,0.002223899937234819
5,SNR_0db,N,New_N_006.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41772477182222395,2x212,0.03364600008353591,20,0.2598775353162541,0.30973742422644984,0.026260999962687492,6,0.2502966323435433,0.3193329762944853,0.003996400046162307,2,0.2184898752427219,0.12982675226726942,0.002394599956460297
6,SNR_0db,N,New_N_007.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4144763124642987,2x212,0.03133839997462928,20,0.25998747735276645,0.3097747473434475,0.02480990008916706,6,0.24868991318619413,0.3050403291939224,0.0034929999383166432,2,0.21792405908246013,0.13103367361343454,0.002229599980637431
7,SNR_0db,N,New_N_008.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4161037164532514,2x212,0.029201600002124906,20,0.25527644881134004,0.3051966394699609,0.02245349995791912,6,0.25017265170099545,0.31280684936176345,0.0036412000190466642,2,0.2266002914915193,0.12537537021269762,0.0022887999657541513
8,SNR_0db,N,New_N_009.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4096509875926675,2x212,0.029783899895846844,20,0.25761253703040826,0.3076569954800541,0.02256640000268817,6,0.246158832613386,0.32765563422630456,0.00407610007096082,2,0.21598866563002972,0.13830357265172616,0.0023111000191420317
9,SNR_0db,N,New_N_010.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41487569500048227,2x212,0.02786159992683679,20,0.2588133630587516,0.3079144027537128,0.021601199987344444,6,0.24611848209894782,0.3598804186098452,0.0031350000062957406,2,0.22189953551860747,0.13111715329841162,0.002134100068360567
10,SNR_0db,N,New_N_011.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41434280250884226,2x212,0.029319099965505302,20,0.2585712380073833,0.30975397602744464,0.022819200064986944,6,0.24658220038793596,0.31171168310596,0.003519000019878149,2,0.22059594634321147,0.12689253865216843,0.002091199974529445
11,SNR_0db,N,New_N_012.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41875739345248514,2x212,0.028595399926416576,20,0.2609151307771328,0.30383227616095393,0.022262300015427172,6,0.24702594494938757,0.3070707910994371,0.003437099978327751,2,0.21800692157872523,0.1200791217338287,0.00208320003002882
12,SNR_0db,N,New_N_013.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4187036053769402,2x212,0.02759479999076575,20,0.2570580252058588,0.31587926713311154,0.020756499958224595,6,0.24532814563521202,0.3064408214405534,0.0033437999663874507,2,0.22782129341961943,0.13428286128788378,0.0026221000589430332
13,SNR_0db,N,New_N_014.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.40898930606114314,2x212,0.027035800041630864,20,0.25555668512451113,0.3111703426194067,0.020842300029471517,6,0.24329767162545163,0.3268364937982062,0.0032473000464960933,2,0.21916118424511033,0.14216382168951697,0.0020839000353589654
14,SNR_0db,N,New_N_015.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41044416198289874,2x212,0.029856699984520674,20,0.26578924970269074,0.3010307451503008,0.022649899940006435,6,0.2489142250010324,0.33603416817118575,0.003650899976491928,2,0.20208453127592524,0.1387958606796111,0.002764499979093671
15,SNR_0db,N,New_N_016.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.419912444203749,2x212,0.028216200065799057,20,0.2632545451270152,0.30368074895874164,0.02094560000114143,6,0.24747197710746266,0.31211547133430867,0.003837800002656877,2,0.22347659033172107,0.15034606444695855,0.0023892000317573547
16,SNR_0db,N,New_N_017.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4243470262668511,2x212,0.026649999897927046,20,0.26472176486570875,0.31063321593393045,0.02050860004965216,6,0.25191156837420037,0.3211109717251775,0.00313209998421371,2,0.2247871222847411,0.12573067087581424,0.0020108999451622367
17,SNR_0db,N,New_N_018.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4146957248777803,2x212,0.027916899998672307,20,0.26183723069239806,0.3086248831103946,0.021328000002540648,6,0.2466004647187411,0.30806430169551446,0.0034439999144524336,2,0.21634625200142135,0.13668950721088968,0.0021950999507680535
18,SNR_0db,N,New_N_019.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4141362250239576,2x212,0.030774899991229177,20,0.2602254694897888,0.3058378521605449,0.023314799997024238,6,0.24381573571570658,0.30346837828929574,0.004111099988222122,2,0.214540817844589,0.11860861827979945,0.002430099993944168
19,SNR_0db,N,New_N_020.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41822013132378094,2x212,0.03040089993737638,20,0.26115855174743746,0.310280465143131,0.023761200020089746,6,0.24468752113867986,0.31432147079379574,0.0033585000783205032,2,0.21726042013984817,0.12538480678271618,0.0024601001059636474
20,SNR_0db,N,New_N_021.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41907310934988307,2x212,0.0272676000604406,20,0.25668166897328426,0.31467330192891685,0.021289600059390068,6,0.24409365352644039,0.3283642679851711,0.0031591999577358365,2,0.21146624339196798,0.13301903559223546,0.002072199946269393
21,SNR_0db,N,New_N_022.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42016280598844075,2x212,0.029436100041493773,20,0.2611400323977427,0.3122438168313103,0.02335040003526956,6,0.25044337604499833,0.31398925269251365,0.003108999924734235,2,0.225694007939344,0.13079510590048715,0.0020052000181749463
22,SNR_0db,N,New_N_023.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41555464942901793,2x212,0.03086309996433556,20,0.25512253012125724,0.3105523832840643,0.023633699980564415,6,0.24308908297604748,0.30454495611945814,0.0039043999277055264,2,0.2264945686106514,0.13030048247449472,0.002280399901792407
23,SNR_0db,N,New_N_024.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41770295113220035,2x212,0.02795330004300922,20,0.2621135540243767,0.308737651172089,0.021352299954742193,6,0.2436397192216988,0.31667478072752514,0.0032831000862643123,2,0.21175153854051254,0.13457760681467607,0.002225800068117678
24,SNR_0db,N,New_N_025.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41799956981756525,2x212,0.027028499986045063,20,0.26105076613532124,0.30817770884352585,0.020639499998651445,6,0.25076285362717066,0.32688453243359045,0.003389999968931079,2,0.21572325943717885,0.12461448933267738,0.0021967999637126923
25,SNR_0db,N,New_N_026.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42128411006434957,2x212,0.029425200074911118,20,0.2598198279987179,0.32656524448132845,0.0230953999562189,6,0.24887916256687906,0.33776531291707534,0.0033595000859349966,2,0.22468445485134275,0.12988046546516835,0.0021186000667512417
26,SNR_0db,N,New_N_027.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4164288847773816,2x212,0.027631600038148463,20,0.25890097906995096,0.30620518843823985,0.021166800055652857,6,0.24312376019019513,0.31040612774808657,0.0032113000052049756,2,0.22086578048183428,0.13559077985633047,0.002371200011111796
27,SNR_0db,N,New_N_028.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4164581137410045,2x212,0.027234299923293293,20,0.2594633295133441,0.31443388503108144,0.02075729996431619,6,0.24551783225511464,0.30932889629995725,0.0034295000368729234,2,0.21253619078513383,0.1376054055214519,0.0021358999656513333
28,SNR_0db,N,New_N_029.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41809659141373295,2x212,0.02714449993800372,20,0.2651167843095955,0.2981793360394212,0.020905100042000413,6,0.25302031746408626,0.31908293365017876,0.003388899960555136,2,0.22336033966955224,0.1291787442973538,0.0020982000278308988
29,SNR_0db,N,New_N_030.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.41051569395367277,2x212,0.028144999989308417,20,0.2580295303255144,0.3075106733454152,0.02168190001975745,6,0.24507300737181528,0.35330106681418216,0.0031383000314235687,2,0.21518187667600858,0.13440742517339135,0.0024907999904826283
30,SNR_0db,N,New_N_031.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4192277291137375,2x212,0.028125100070610642,20,0.2607487417042797,0.30704845438376316,0.022159799933433533,6,0.24626872407430211,0.2946850309357369,0.0031218999065458775,2,0.2206228332251381,0.11992578698876727,0.0020192000083625317
