indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_-8db,N,New_N_001.wav,10,DeepONMF_H1,1,0.3862685723944324,10x212,0.011776300030760467,10,0.3862685723944324,0.3182171072147548,0.010814700042828918
1,SNR_-8db,N,New_N_002.wav,10,DeepONMF_H1,1,0.38596002828459935,10x212,0.008686100016348064,10,0.38596002828459935,0.30308999600914144,0.008008899982087314
2,SNR_-8db,N,New_N_003.wav,10,DeepONMF_H1,1,0.38662023704087456,10x212,0.007406000047922134,10,0.38662023704087456,0.31783928794362376,0.006842199945822358
3,SNR_-8db,N,New_N_004.wav,10,DeepONMF_H1,1,0.3874356221784719,10x212,0.007122799986973405,10,0.3874356221784719,0.30884708300142194,0.006508299964480102
4,SNR_-8db,N,New_N_005.wav,10,DeepONMF_H1,1,0.3878343556301773,10x212,0.007503300090320408,10,0.3878343556301773,0.3106037687501103,0.006864399998448789
5,SNR_-8db,N,New_N_006.wav,10,DeepONMF_H1,1,0.39025891502024435,10x212,0.007104999967850745,10,0.39025891502024435,0.3086938560618915,0.006513800006359816
6,SNR_-8db,N,New_N_007.wav,10,DeepONMF_H1,1,0.3888284890893382,10x212,0.007370200008153915,10,0.3888284890893382,0.31636364260443867,0.006739299977198243
7,SNR_-8db,N,New_N_008.wav,10,DeepONMF_H1,1,0.39012494943953796,10x212,0.007318599964492023,10,0.39012494943953796,0.3038956879238801,0.006490499945357442
8,SNR_-8db,N,New_N_009.wav,10,DeepONMF_H1,1,0.3885041826164449,10x212,0.008160300087183714,10,0.3885041826164449,0.2827295930809425,0.007444499991834164
9,SNR_-8db,N,New_N_010.wav,10,DeepONMF_H1,1,0.38779835780256033,10x212,0.00690869998652488,10,0.38779835780256033,0.3047109635212225,0.006217099959030747
10,SNR_-8db,N,New_N_011.wav,10,DeepONMF_H1,1,0.3923175481609552,10x212,0.009408599929884076,10,0.3923175481609552,0.3125081516876446,0.008587099961005151
11,SNR_-8db,N,New_N_012.wav,10,DeepONMF_H1,1,0.38643544392191537,10x212,0.01004069996997714,10,0.38643544392191537,0.3175168334773569,0.009155600098893046
12,SNR_-8db,N,New_N_013.wav,10,DeepONMF_H1,1,0.38417707593659356,10x212,0.010457600001245737,10,0.3841770759365935,0.3266045716454627,0.009490499971434474
13,SNR_-8db,N,New_N_014.wav,10,DeepONMF_H1,1,0.38736604541509023,10x212,0.01178459997754544,10,0.38736604541509023,0.31437102805359773,0.010615100036375225
14,SNR_-8db,N,New_N_015.wav,10,DeepONMF_H1,1,0.3953283123703977,10x212,0.011797400075010955,10,0.3953283123703977,0.2855329218107287,0.010804200079292059
15,SNR_-8db,N,New_N_016.wav,10,DeepONMF_H1,1,0.3929678860435946,10x212,0.010449600056745112,10,0.3929678860435946,0.2738738444594354,0.009444799972698092
16,SNR_-8db,N,New_N_017.wav,10,DeepONMF_H1,1,0.38882194400880415,10x212,0.009601199999451637,10,0.38882194400880415,0.31843837552898885,0.008384999935515225
17,SNR_-8db,N,New_N_018.wav,10,DeepONMF_H1,1,0.3865140951976983,10x212,0.009768899995833635,10,0.3865140951976983,0.3162146610772215,0.009023800026625395
18,SNR_-8db,N,New_N_019.wav,10,DeepONMF_H1,1,0.3845650067224724,10x212,0.009781600092537701,10,0.38456500672247235,0.29634597448027533,0.009057099930942059
19,SNR_-8db,N,New_N_020.wav,10,DeepONMF_H1,1,0.3918252163710884,10x212,0.009788400027900934,10,0.3918252163710884,0.3004689955342133,0.008874799939803779
20,SNR_-8db,N,New_N_021.wav,10,DeepONMF_H1,1,0.38720852941481587,10x212,0.009957600035704672,10,0.3872085294148158,0.3009407049565426,0.009199499967508018
21,SNR_-8db,N,New_N_022.wav,10,DeepONMF_H1,1,0.38808930274086456,10x212,0.008476799936033785,10,0.38808930274086456,0.31344605442262535,0.0076951999217271805
22,SNR_-8db,N,New_N_023.wav,10,DeepONMF_H1,1,0.3849305377097264,10x212,0.008978899917565286,10,0.3849305377097264,0.3204228056302966,0.008345099980942905
23,SNR_-8db,N,New_N_024.wav,10,DeepONMF_H1,1,0.39053464449522357,10x212,0.007865800056606531,10,0.3905346444952236,0.3052214222553695,0.007195200072601438
24,SNR_-8db,N,New_N_025.wav,10,DeepONMF_H1,1,0.3917405971729351,10x212,0.008640300016850233,10,0.39174059717293513,0.2943041403852909,0.007893700036220253
25,SNR_-8db,N,New_N_026.wav,10,DeepONMF_H1,1,0.3873203661813604,10x212,0.00861260003875941,10,0.3873203661813604,0.3129475418953994,0.007990600075572729
26,SNR_-8db,N,New_N_027.wav,10,DeepONMF_H1,1,0.3836514781599941,10x212,0.009031099965795875,10,0.3836514781599941,0.31289747716514926,0.008132699993439019
27,SNR_-8db,N,New_N_028.wav,10,DeepONMF_H1,1,0.39144382633180325,10x212,0.007707100012339652,10,0.39144382633180325,0.28000509934388934,0.007061499985866249
28,SNR_-8db,N,New_N_029.wav,10,DeepONMF_H1,1,0.38526041176544124,10x212,0.009420300018973649,10,0.38526041176544124,0.3117102258817654,0.008580500027164817
29,SNR_-8db,N,New_N_030.wav,10,DeepONMF_H1,1,0.38616435448239306,10x212,0.008392899995669723,10,0.38616435448239306,0.3114541682645463,0.0074402999598532915
30,SNR_-8db,N,New_N_031.wav,10,DeepONMF_H1,1,0.3879495572689878,10x212,0.008964500040747225,10,0.3879495572689878,0.30334401296071634,0.008312499965541065
31,SNR_-8db,N,New_N_032.wav,10,DeepONMF_H1,1,0.37802817289013163,10x212,0.009029500070028007,10,0.37802817289013163,0.34939540045674805,0.008336800034157932
32,SNR_-8db,N,New_N_033.wav,10,DeepONMF_H1,1,0.38478113008219034,10x212,0.008445600047707558,10,0.38478113008219034,0.33099747815796965,0.007702599978074431
33,SNR_-8db,N,New_N_034.wav,10,DeepONMF_H1,1,0.3856009650483467,10x212,0.008944200002588332,10,0.3856009650483467,0.3388842261755679,0.00816789991222322
34,SNR_-8db,N,New_N_035.wav,10,DeepONMF_H1,1,0.3914818535691838,10x212,0.008170399931259453,10,0.3914818535691838,0.2844219268316802,0.007430099998600781
35,SNR_-8db,N,New_N_036.wav,10,DeepONMF_H1,1,0.3808186317212246,10x212,0.008620199980214238,10,0.38081863172122454,0.34505758583258606,0.007670899969525635
