indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_-8db,N,New_N_001.wav,24,DeepONMF_H1,1,nndsvd,0.31725605355863956,24x212,0.02931230003014207,24,0.31725605355863956,0.3017902642870624,0.02819599991198629
1,SNR_-8db,N,New_N_002.wav,24,DeepONMF_H1,1,nndsvd,0.31752550882736263,24x212,0.02533550001680851,24,0.31752550882736263,0.3128819639082599,0.02436319994740188
2,SNR_-8db,N,New_N_003.wav,24,DeepONMF_H1,1,nndsvd,0.3184476052502793,24x212,0.024494099896401167,24,0.3184476052502793,0.3001179967683914,0.023497800109907985
3,SNR_-8db,N,New_N_004.wav,24,DeepONMF_H1,1,nndsvd,0.3189024748756116,24x212,0.026268200017511845,24,0.3189024748756116,0.3073590921122427,0.02540639997459948
4,SNR_-8db,N,New_N_005.wav,24,DeepONMF_H1,1,nndsvd,0.31555783296857554,24x212,0.02628220000769943,24,0.31555783296857554,0.32129120115160587,0.02550129999872297
5,SNR_-8db,N,New_N_006.wav,24,DeepONMF_H1,1,nndsvd,0.31464737928637737,24x212,0.02432789991144091,24,0.31464737928637737,0.31492731946440644,0.023604399990290403
6,SNR_-8db,N,New_N_007.wav,24,DeepONMF_H1,1,nndsvd,0.31799558757197843,24x212,0.02823619998525828,24,0.31799558757197843,0.30919440978307483,0.027577399974688888
7,SNR_-8db,N,New_N_008.wav,24,DeepONMF_H1,1,nndsvd,0.3171024276100874,24x212,0.024255499942228198,24,0.31710242761008745,0.3056233721402366,0.02350259991362691
8,SNR_-8db,N,New_N_009.wav,24,DeepONMF_H1,1,nndsvd,0.317310914742595,24x212,0.026187799987383187,24,0.317310914742595,0.31886811315254826,0.025432499940507114
9,SNR_-8db,N,New_N_010.wav,24,DeepONMF_H1,1,nndsvd,0.31853398134194844,24x212,0.026500800042413175,24,0.31853398134194844,0.3189863246490051,0.025579999899491668
10,SNR_-8db,N,New_N_011.wav,24,DeepONMF_H1,1,nndsvd,0.3215108959155276,24x212,0.02780689997598529,24,0.3215108959155276,0.304781942801723,0.026907799998298287
11,SNR_-8db,N,New_N_012.wav,24,DeepONMF_H1,1,nndsvd,0.31426426131155477,24x212,0.028312899987213314,24,0.31426426131155477,0.31277509507727547,0.027452099951915443
12,SNR_-8db,N,New_N_013.wav,24,DeepONMF_H1,1,nndsvd,0.3141989945965537,24x212,0.028744000010192394,24,0.3141989945965537,0.30707656522184335,0.02775360003579408
13,SNR_-8db,N,New_N_014.wav,24,DeepONMF_H1,1,nndsvd,0.31745276502965003,24x212,0.025257499888539314,24,0.31745276502965003,0.3170316860829345,0.02451619994826615
14,SNR_-8db,N,New_N_015.wav,24,DeepONMF_H1,1,nndsvd,0.32159244324237884,24x212,0.02613689994905144,24,0.32159244324237884,0.3050397533952893,0.025371699943207204
15,SNR_-8db,N,New_N_016.wav,24,DeepONMF_H1,1,nndsvd,0.3184801499026485,24x212,0.025195499998517334,24,0.3184801499026485,0.31401724688355037,0.02446149999741465
16,SNR_-8db,N,New_N_017.wav,24,DeepONMF_H1,1,nndsvd,0.3174229357813136,24x212,0.024685399956069887,24,0.3174229357813136,0.3077355703736181,0.02396070002578199
17,SNR_-8db,N,New_N_018.wav,24,DeepONMF_H1,1,nndsvd,0.31949113601164303,24x212,0.0236981000052765,24,0.31949113601164303,0.31867631923098805,0.02303149993531406
18,SNR_-8db,N,New_N_019.wav,24,DeepONMF_H1,1,nndsvd,0.31541989130505704,24x212,0.023929800023324788,24,0.31541989130505704,0.30776959729554265,0.022680200054310262
19,SNR_-8db,N,New_N_020.wav,24,DeepONMF_H1,1,nndsvd,0.31809480394355955,24x212,0.02393230004236102,24,0.31809480394355955,0.3111436053622485,0.023105000029318035
20,SNR_-8db,N,New_N_021.wav,24,DeepONMF_H1,1,nndsvd,0.31637454641272894,24x212,0.023075700039044023,24,0.31637454641272894,0.31362706732139745,0.022351200110279024
21,SNR_-8db,N,New_N_022.wav,24,DeepONMF_H1,1,nndsvd,0.319096785891194,24x212,0.02243859996087849,24,0.319096785891194,0.29272681282807095,0.021774000022560358
22,SNR_-8db,N,New_N_023.wav,24,DeepONMF_H1,1,nndsvd,0.3169052271614958,24x212,0.024173899902962148,24,0.3169052271614958,0.312461513318121,0.02350430004298687
23,SNR_-8db,N,New_N_024.wav,24,DeepONMF_H1,1,nndsvd,0.3198940312809596,24x212,0.023473800043575466,24,0.3198940312809596,0.30660321229190907,0.022362799965776503
24,SNR_-8db,N,New_N_025.wav,24,DeepONMF_H1,1,nndsvd,0.3187329742724347,24x212,0.024646100006066263,24,0.3187329742724347,0.31103001934061997,0.023893500096164644
25,SNR_-8db,N,New_N_026.wav,24,DeepONMF_H1,1,nndsvd,0.3181502880033643,24x212,0.02335609996225685,24,0.3181502880033643,0.31543646331347486,0.022709300043061376
26,SNR_-8db,N,New_N_027.wav,24,DeepONMF_H1,1,nndsvd,0.31403609794816373,24x212,0.025424999999813735,24,0.31403609794816373,0.31374136637003674,0.02474389993585646
27,SNR_-8db,N,New_N_028.wav,24,DeepONMF_H1,1,nndsvd,0.3204787266674078,24x212,0.02438570000231266,24,0.32047872666740773,0.31291498474223256,0.02331449999473989
28,SNR_-8db,N,New_N_029.wav,24,DeepONMF_H1,1,nndsvd,0.3175212398120193,24x212,0.023694599978625774,24,0.3175212398120193,0.31253070989061166,0.02296349999960512
29,SNR_-8db,N,New_N_030.wav,24,DeepONMF_H1,1,nndsvd,0.3178627779969813,24x212,0.024274100083857775,24,0.3178627779969813,0.3112320539428631,0.023635299992747605
30,SNR_-8db,N,New_N_031.wav,24,DeepONMF_H1,1,nndsvd,0.317513565496115,24x212,0.028199200052767992,24,0.317513565496115,0.30975324102421775,0.02722869999706745
31,SNR_-8db,N,New_N_032.wav,24,DeepONMF_H1,1,nndsvd,0.31447632143955634,24x212,0.02742180007044226,24,0.31447632143955634,0.3024529823101718,0.026525499997660518
32,SNR_-8db,N,New_N_033.wav,24,DeepONMF_H1,1,nndsvd,0.3159197050560381,24x212,0.024654599954374135,24,0.3159197050560381,0.2995832455094768,0.023863299982622266
33,SNR_-8db,N,New_N_034.wav,24,DeepONMF_H1,1,nndsvd,0.317183781398261,24x212,0.024320199969224632,24,0.3171837813982609,0.31489168741529155,0.023269199999049306
34,SNR_-8db,N,New_N_035.wav,24,DeepONMF_H1,1,nndsvd,0.3156742276429044,24x212,0.024307699990458786,24,0.3156742276429044,0.31443630076280005,0.02349829999729991
35,SNR_-8db,N,New_N_036.wav,24,DeepONMF_H1,1,nndsvd,0.31576339376198487,24x212,0.023712199996225536,24,0.31576339376198487,0.3073989850752324,0.022895000060088933
36,SNR_-8db,N,New_N_037.wav,24,DeepONMF_H1,1,nndsvd,0.23993398617283654,24x212,0.02380019996780902,24,0.23993398617283654,0.29835720699427914,0.023107699933461845
37,SNR_-8db,N,New_N_038.wav,24,DeepONMF_H1,1,nndsvd,0.3192266214011371,24x212,0.022169999894686043,24,0.31922662140113706,0.3146350413675905,0.02153819997329265
38,SNR_-8db,N,New_N_039.wav,24,DeepONMF_H1,1,nndsvd,0.31941466611650227,24x212,0.02417410002090037,24,0.31941466611650227,0.30845904122314255,0.023415699950419366
39,SNR_-8db,N,New_N_040.wav,24,DeepONMF_H1,1,nndsvd,0.3203023619286818,24x212,0.02285499998833984,24,0.3203023619286818,0.3047272618665437,0.022211499977856874
40,SNR_-8db,N,New_N_041.wav,24,DeepONMF_H1,1,nndsvd,0.3204765246135598,24x212,0.02291880000848323,24,0.3204765246135598,0.3038529828420009,0.022303200094029307
41,SNR_-8db,N,New_N_042.wav,24,DeepONMF_H1,1,nndsvd,0.3189569369708368,24x212,0.02334979991428554,24,0.3189569369708368,0.3005242250594387,0.022679900052025914
42,SNR_-8db,N,New_N_043.wav,24,DeepONMF_H1,1,nndsvd,0.31475700174086124,24x212,0.023836800013668835,24,0.31475700174086124,0.30768983790260906,0.023191999993287027
43,SNR_-8db,N,New_N_044.wav,24,DeepONMF_H1,1,nndsvd,0.3177150721966302,24x212,0.02305939991492778,24,0.3177150721966302,0.3057499669861751,0.0222776000155136
44,SNR_-8db,N,New_N_045.wav,24,DeepONMF_H1,1,nndsvd,0.3120348460652817,24x212,0.022793299984186888,24,0.3120348460652817,0.30204871719091303,0.022030299995094538
45,SNR_-8db,N,New_N_046.wav,24,DeepONMF_H1,1,nndsvd,0.314160517538199,24x212,0.023253099992871284,24,0.314160517538199,0.30694959030124286,0.02258430002257228
46,SNR_-8db,N,New_N_047.wav,24,DeepONMF_H1,1,nndsvd,0.3200479854807116,24x212,0.024529200047254562,24,0.3200479854807116,0.2990842875645221,0.023874400067143142
47,SNR_-8db,N,New_N_048.wav,24,DeepONMF_H1,1,nndsvd,0.31712422073435886,24x212,0.022112000035122037,24,0.31712422073435886,0.3059080946878919,0.02149080007802695
48,SNR_-8db,N,New_N_049.wav,24,DeepONMF_H1,1,nndsvd,0.31613350142453367,24x212,0.024362799944356084,24,0.31613350142453367,0.30652316807844227,0.023588999989442527
49,SNR_-8db,N,New_N_050.wav,24,DeepONMF_H1,1,nndsvd,0.31510934133791224,24x212,0.022125900024548173,24,0.31510934133791224,0.3109484726616416,0.021343100001104176
50,SNR_-8db,N,New_N_051.wav,24,DeepONMF_H1,1,nndsvd,0.3175512974226555,24x212,0.026262199971824884,24,0.3175512974226555,0.3103492304032809,0.025401700055226684
51,SNR_-8db,N,New_N_052.wav,24,DeepONMF_H1,1,nndsvd,0.31627159715562714,24x212,0.025340199936181307,24,0.31627159715562714,0.30586561126577627,0.024666800047270954
52,SNR_-8db,N,New_N_053.wav,24,DeepONMF_H1,1,nndsvd,0.31853814518302126,24x212,0.02288800000678748,24,0.31853814518302126,0.3121707389817526,0.02209390001371503
53,SNR_-8db,N,New_N_054.wav,24,DeepONMF_H1,1,nndsvd,0.3161017353710193,24x212,0.024553700000979006,24,0.31610173537101927,0.3108809018133493,0.023865399998612702
54,SNR_-8db,N,New_N_055.wav,24,DeepONMF_H1,1,nndsvd,0.3172676521185654,24x212,0.025963000021874905,24,0.3172676521185654,0.3116285473329665,0.025078500038944185
55,SNR_-8db,N,New_N_056.wav,24,DeepONMF_H1,1,nndsvd,0.3190714520476065,24x212,0.024864900042302907,24,0.31907145204760645,0.30486438988798714,0.024168799980543554
56,SNR_-8db,N,New_N_057.wav,24,DeepONMF_H1,1,nndsvd,0.3159234632971591,24x212,0.027032700018025935,24,0.3159234632971591,0.3067904956723223,0.025999899953603745
57,SNR_-8db,N,New_N_058.wav,24,DeepONMF_H1,1,nndsvd,0.31807909541843454,24x212,0.029255600064061582,24,0.31807909541843454,0.3077965441536079,0.028468500007875264
58,SNR_-8db,N,New_N_059.wav,24,DeepONMF_H1,1,nndsvd,0.3125441827442247,24x212,0.029815100017003715,24,0.3125441827442247,0.31739566476972536,0.029003100004047155
59,SNR_-8db,N,New_N_060.wav,24,DeepONMF_H1,1,nndsvd,0.31798050749238527,24x212,0.029341099900193512,24,0.31798050749238527,0.3063799498411594,0.028218100080266595
60,SNR_-8db,N,New_N_061.wav,24,DeepONMF_H1,1,nndsvd,0.3144785348510696,24x212,0.02712659991811961,24,0.3144785348510696,0.314406065689152,0.026050399988889694
61,SNR_-8db,N,New_N_062.wav,24,DeepONMF_H1,1,nndsvd,0.3181278624339462,24x212,0.029112800024449825,24,0.3181278624339462,0.3075422892397411,0.028144899988546968
62,SNR_-8db,N,New_N_063.wav,24,DeepONMF_H1,1,nndsvd,0.31679235450954246,24x212,0.02857109997421503,24,0.31679235450954246,0.31094279248684836,0.027836899971589446
63,SNR_-8db,N,New_N_064.wav,24,DeepONMF_H1,1,nndsvd,0.3141030479932137,24x212,0.02737419994082302,24,0.31410304799321365,0.3026913524868471,0.026478699990548193
64,SNR_-8db,N,New_N_065.wav,24,DeepONMF_H1,1,nndsvd,0.3124591849385201,24x212,0.028739199973642826,24,0.3124591849385201,0.3113437728298431,0.027840099995955825
65,SNR_-8db,N,New_N_066.wav,24,DeepONMF_H1,1,nndsvd,0.3195802108576361,24x212,0.028180999914184213,24,0.3195802108576361,0.30495588357674047,0.027429600013419986
66,SNR_-8db,N,New_N_067.wav,24,DeepONMF_H1,1,nndsvd,0.3157976185444985,24x212,0.02626900002360344,24,0.3157976185444985,0.3108338923569932,0.025519900023937225
67,SNR_-8db,N,New_N_068.wav,24,DeepONMF_H1,1,nndsvd,0.31920232422510897,24x212,0.0236241000238806,24,0.31920232422510897,0.29749781151605476,0.02294840000104159
68,SNR_-8db,N,New_N_069.wav,24,DeepONMF_H1,1,nndsvd,0.31454827891567033,24x212,0.023723799968138337,24,0.31454827891567033,0.3142852058465843,0.023082299972884357
69,SNR_-8db,N,New_N_070.wav,24,DeepONMF_H1,1,nndsvd,0.31735355338581095,24x212,0.024449800024740398,24,0.31735355338581095,0.312061733486681,0.02371920004952699
70,SNR_-8db,N,New_N_071.wav,24,DeepONMF_H1,1,nndsvd,0.3177743764813775,24x212,0.022158200037665665,24,0.3177743764813775,0.3053526243177522,0.021502099931240082
71,SNR_-8db,N,New_N_072.wav,24,DeepONMF_H1,1,nndsvd,0.31498226981736893,24x212,0.025127700064331293,24,0.31498226981736893,0.3080529216079053,0.024464700021781027
72,SNR_-8db,N,New_N_073.wav,24,DeepONMF_H1,1,nndsvd,0.32070800105902847,24x212,0.025808500009588897,24,0.32070800105902847,0.2956756413916058,0.02513389999512583
73,SNR_-8db,N,New_N_074.wav,24,DeepONMF_H1,1,nndsvd,0.31506540403988426,24x212,0.026456499937921762,24,0.31506540403988426,0.3020715687485725,0.025749900029040873
74,SNR_-8db,N,New_N_075.wav,24,DeepONMF_H1,1,nndsvd,0.3191436641088491,24x212,0.02324759995099157,24,0.3191436641088491,0.3086556945168001,0.022587499930523336
75,SNR_-8db,N,New_N_076.wav,24,DeepONMF_H1,1,nndsvd,0.31624535931484676,24x212,0.025001700036227703,24,0.31624535931484676,0.3088831395929666,0.024388899910263717
76,SNR_-8db,N,New_N_077.wav,24,DeepONMF_H1,1,nndsvd,0.3182154404332729,24x212,0.02350860007572919,24,0.3182154404332729,0.31508690585125515,0.02278400002978742
77,SNR_-8db,N,New_N_078.wav,24,DeepONMF_H1,1,nndsvd,0.3169460370083506,24x212,0.025398000027053058,24,0.3169460370083506,0.3022514439178357,0.024678400019183755
78,SNR_-8db,N,New_N_079.wav,24,DeepONMF_H1,1,nndsvd,0.3145152988841319,24x212,0.023662200081162155,24,0.3145152988841319,0.30500354763059956,0.023022299981676042
