indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,SNR_-8db,N,New_N_001.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4420647260298843,6x212,0.03565480001270771,28,0.3035602063127803,0.2915914278941678,0.026072800043039024,13,0.3808990048741951,0.30702247365699287,0.005355399916879833,6,0.35213913712700967,0.3372424758909407,0.0031914999708533287
1,SNR_-8db,N,New_N_002.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.44074664952801407,6x212,0.03340159996878356,28,0.30469979562516186,0.30202484550630043,0.02435889991465956,13,0.3751184898083265,0.31210132029128757,0.005090899998322129,6,0.3589629135460747,0.33291702592960276,0.0030355999479070306
2,SNR_-8db,N,New_N_003.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.43913343227443646,6x212,0.033381500048562884,28,0.3046338277765302,0.29020569868965485,0.02461680001579225,13,0.380128834969337,0.3071280676953201,0.004952499992214143,6,0.36714992771730026,0.35089095744319226,0.002920400002039969
3,SNR_-8db,N,New_N_004.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.44489996424445677,6x212,0.034131200052797794,28,0.3057735564765497,0.29542887279141106,0.02475470001809299,13,0.3642849053740946,0.307808240396366,0.0055411000503227115,6,0.3559097463389542,0.33191163639872395,0.002997600007802248
4,SNR_-8db,N,New_N_005.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.44300450788363627,6x212,0.032960499986074865,28,0.302183286895342,0.3135825459054323,0.023059300030581653,13,0.3738155154903893,0.32597923895272485,0.005471799988299608,6,0.3537626769943731,0.34714356243140165,0.0036214999854564667
5,SNR_-8db,N,New_N_006.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.44128170881005563,6x212,0.03457150002941489,28,0.30122556463303446,0.30051171822301787,0.02439050003886223,13,0.3811648586582888,0.31161046526852015,0.006394500029273331,6,0.3718428371583216,0.31987489767511273,0.0030059999553486705
6,SNR_-8db,N,New_N_007.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4439973130560038,6x212,0.031193000031635165,28,0.30471713582654064,0.29687061764367767,0.022073799977079034,13,0.38158824270739833,0.301698054103601,0.005095499916933477,6,0.353856844199002,0.34263463298668206,0.0032395999878644943
7,SNR_-8db,N,New_N_008.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4438028159367319,6x212,0.034485200070776045,28,0.3040600325196025,0.29620827154460655,0.0249905000673607,13,0.3809905960132899,0.3064382058002174,0.005662799929268658,6,0.36348005213147005,0.3340598035521237,0.00297949998639524
8,SNR_-8db,N,New_N_009.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4452562992216219,6x212,0.03586029994767159,28,0.3034920811287098,0.30898792762384836,0.025052500073798,13,0.3805153579035393,0.3210868787024824,0.006827299948781729,6,0.35540175755405484,0.3354975195100351,0.003113600076176226
9,SNR_-8db,N,New_N_010.wav,28-13-6,DeepONMF_H3,3,nndsvd,0.4449948136995741,6x212,0.03799300000537187,28,0.3051815158188882,0.30978918074874784,0.028390999999828637,13,0.38273493803697217,0.3158109207400694,0.005386199918575585,6,0.3532810333760062,0.33669528901510043,0.003235399955883622
