indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos
0,SNR_0db,N,New_N_001.wav,10,DeepONMF_H1,1,0.30505398168405673,10x212,0.00727760000154376,10,0.30505398168405673,0.28647578183537153,0.006360100000165403
1,SNR_0db,N,New_N_002.wav,10,DeepONMF_H1,1,0.29904528032840605,10x212,0.006632999982684851,10,0.29904528032840605,0.265335475202466,0.005990500096231699
2,SNR_0db,N,New_N_003.wav,10,DeepONMF_H1,1,0.30479620623040005,10x212,0.007436599931679666,10,0.30479620623040005,0.26068508725821776,0.006686700042337179
3,SNR_0db,N,New_N_004.wav,10,DeepONMF_H1,1,0.30768358040331206,10x212,0.006458799936808646,10,0.30768358040331206,0.29222935688831236,0.005910399951972067
4,SNR_0db,N,New_N_005.wav,10,DeepONMF_H1,1,0.3047228262533224,10x212,0.007756600040011108,10,0.3047228262533224,0.2888883900240726,0.007094700005836785
5,SNR_0db,N,New_N_006.wav,10,DeepONMF_H1,1,0.3086859972643865,10x212,0.007531600072979927,10,0.3086859972643865,0.2402001593638554,0.006892499979585409
6,SNR_0db,N,New_N_007.wav,10,DeepONMF_H1,1,0.31026264259098923,10x212,0.008482899982482195,10,0.3102626425909892,0.24852019663923788,0.00779770000372082
7,SNR_0db,N,New_N_008.wav,10,DeepONMF_H1,1,0.3054317724720056,10x212,0.007621799944899976,10,0.3054317724720056,0.23132154646290956,0.006810199934989214
8,SNR_0db,N,New_N_009.wav,10,DeepONMF_H1,1,0.3067181389129328,10x212,0.008312399964779615,10,0.3067181389129328,0.23595365435475668,0.007573500042781234
9,SNR_0db,N,New_N_010.wav,10,DeepONMF_H1,1,0.3025694935865589,10x212,0.00781690003350377,10,0.30256949358655894,0.24644154108129518,0.007028600084595382
10,SNR_0db,N,New_N_011.wav,10,DeepONMF_H1,1,0.30868780225488096,10x212,0.008480399963445961,10,0.30868780225488096,0.26955759025687376,0.007813700009137392
11,SNR_0db,N,New_N_012.wav,10,DeepONMF_H1,1,0.3076214102412664,10x212,0.007912499946542084,10,0.3076214102412664,0.2073225751108583,0.007220899919047952
12,SNR_0db,N,New_N_013.wav,10,DeepONMF_H1,1,0.3039201403989359,10x212,0.008189299958758056,10,0.3039201403989359,0.25221559107338565,0.00743780005723238
13,SNR_0db,N,New_N_014.wav,10,DeepONMF_H1,1,0.30183055407461684,10x212,0.007908000028692186,10,0.30183055407461684,0.2687553162719443,0.007123999996110797
14,SNR_0db,N,New_N_015.wav,10,DeepONMF_H1,1,0.3120584774932367,10x212,0.00799780001398176,10,0.3120584774932367,0.24940368066318538,0.0070328000001609325
15,SNR_0db,N,New_N_016.wav,10,DeepONMF_H1,1,0.3097800355913459,10x212,0.008016999927349389,10,0.3097800355913459,0.22409642900366727,0.007326000020839274
16,SNR_0db,N,New_N_017.wav,10,DeepONMF_H1,1,0.3114988294601681,10x212,0.008235499961301684,10,0.3114988294601681,0.2794377404977847,0.007132599945180118
17,SNR_0db,N,New_N_018.wav,10,DeepONMF_H1,1,0.31041019510160833,10x212,0.008091700030490756,10,0.31041019510160833,0.26423884122318303,0.007424800074659288
18,SNR_0db,N,New_N_019.wav,10,DeepONMF_H1,1,0.3075389839322245,10x212,0.007415600004605949,10,0.3075389839322245,0.23489413167002457,0.006854700041003525
19,SNR_0db,N,New_N_020.wav,10,DeepONMF_H1,1,0.3023969399889201,10x212,0.008293399936519563,10,0.3023969399889201,0.2796914019289834,0.007596899988129735
20,SNR_0db,N,New_N_021.wav,10,DeepONMF_H1,1,0.3032777227460686,10x212,0.008005599956959486,10,0.3032777227460686,0.2655609586268706,0.007137599983252585
21,SNR_0db,N,New_N_022.wav,10,DeepONMF_H1,1,0.30826304508061925,10x212,0.008514999994076788,10,0.30826304508061925,0.3014766495273257,0.007571800029836595
22,SNR_0db,N,New_N_023.wav,10,DeepONMF_H1,1,0.30282711954497094,10x212,0.007751500001177192,10,0.30282711954497094,0.25235141577663656,0.007044399972073734
23,SNR_0db,N,New_N_024.wav,10,DeepONMF_H1,1,0.3062294928552772,10x212,0.008304600021801889,10,0.3062294928552772,0.2467275538823577,0.007600999902933836
24,SNR_0db,N,New_N_025.wav,10,DeepONMF_H1,1,0.30920377491575113,10x212,0.00783899996895343,10,0.30920377491575113,0.24024426721252443,0.0071116999024525285
25,SNR_0db,N,New_N_026.wav,10,DeepONMF_H1,1,0.3102391801524855,10x212,0.00845409999601543,10,0.3102391801524855,0.23493884675068374,0.007632300024852157
26,SNR_0db,N,New_N_027.wav,10,DeepONMF_H1,1,0.3045169448264616,10x212,0.007423400063998997,10,0.3045169448264616,0.26996961630606825,0.006715000024996698
27,SNR_0db,N,New_N_028.wav,10,DeepONMF_H1,1,0.30653967293393625,10x212,0.008334999904036522,10,0.30653967293393625,0.23704710213162036,0.00768649997189641
28,SNR_0db,N,New_N_029.wav,10,DeepONMF_H1,1,0.31122587695366366,10x212,0.007385400007478893,10,0.3112258769536637,0.2687575256625769,0.006808200036175549
29,SNR_0db,N,New_N_030.wav,10,DeepONMF_H1,1,0.3057227785252316,10x212,0.008760199998505414,10,0.3057227785252316,0.24070807572087247,0.008013900020159781
30,SNR_0db,N,New_N_031.wav,10,DeepONMF_H1,1,0.3074275420233035,10x212,0.008212400018237531,10,0.3074275420233035,0.2501087590151904,0.007541800034232438
31,SNR_0db,N,New_N_032.wav,10,DeepONMF_H1,1,0.30775593744906743,10x212,0.008334400015883148,10,0.30775593744906743,0.2765486353317467,0.007554900017566979
32,SNR_0db,N,New_N_033.wav,10,DeepONMF_H1,1,0.3083784536928486,10x212,0.007809799979440868,10,0.3083784536928486,0.253107828180489,0.006998400087468326
