indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_8db,N,New_N_001.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2923696374117779,6x212,0.024625000078231096,8,0.17464641579367007,0.2824032067717118,0.01365310000255704,7,0.06402564509796727,0.30101711142317966,0.004007000010460615,7,0.05572701063580923,0.2967594824065766,0.003259100019931793,6,0.06466673050405117,0.2954023627941154,0.0028562999796122313
1,SNR_8db,N,New_N_002.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29224669547318266,6x212,0.024261999991722405,8,0.17500493990894145,0.3229923006703081,0.013674400048330426,7,0.0632430426222806,0.307464771044281,0.0034938000608235598,7,0.055721423211591646,0.3032074204234109,0.0029755999566987157,6,0.0640165224109868,0.3033010625430574,0.002692400012165308
2,SNR_8db,N,New_N_003.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2914825955713883,6x212,0.023087400011718273,8,0.1740856998435964,0.33977097900756104,0.013445200049318373,7,0.061420140665109965,0.35164135413171493,0.002923100022599101,7,0.05572696558877345,0.3485236568028992,0.00290239998139441,6,0.06460467842381185,0.35187017574582286,0.002941099926829338
3,SNR_8db,N,New_N_004.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29354038266238025,6x212,0.02256169996690005,8,0.17462969508316437,0.2781483246937039,0.012261299998499453,7,0.06618029477225186,0.2755282848272591,0.003566599916666746,7,0.055722476491141745,0.272102138442242,0.0030310999136418104,6,0.06553942975511642,0.27765970451135213,0.0026780000189319253
4,SNR_8db,N,New_N_005.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29274332985231627,6x212,0.02275760006159544,8,0.1739472856122901,0.3081294547008871,0.012790099950507283,7,0.06351449477455809,0.3136876874043896,0.0031093000434339046,7,0.055726610057957864,0.3094695657176977,0.002872200100682676,6,0.06451783152680851,0.3100431424759849,0.0026268999790772796
5,SNR_8db,N,New_N_006.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29390909265373316,6x212,0.023227999918162823,8,0.17695385781887424,0.2970837611398932,0.01333300000987947,7,0.0641319502822774,0.2981038468713378,0.0029042999958619475,7,0.055727047533934836,0.29335561867208815,0.003194799995981157,6,0.06574437443676376,0.3017090342066528,0.0029263999313116074
6,SNR_8db,N,New_N_007.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2930083637974722,6x212,0.021992199937812984,8,0.17481165134262622,0.29997532205368416,0.011953699984587729,7,0.06516752340277483,0.3142896034567616,0.0035185000160709023,7,0.05572756254864186,0.309695994483563,0.0029682000167667866,6,0.06583888885141315,0.30677669241363154,0.0026808999245986342
7,SNR_8db,N,New_N_008.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2914755958670593,6x212,0.02302700001746416,8,0.17324508763364108,0.31451919495260444,0.013498100102879107,7,0.06370376626553777,0.3205196763908771,0.002938800025731325,7,0.05572023874660423,0.3153606693342524,0.002855400089174509,6,0.0637239846774068,0.30858700689488855,0.002682300051674247
8,SNR_8db,N,New_N_009.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29474859716604923,6x212,0.02628619992174208,8,0.17831261503768084,0.3034712979497976,0.014723300002515316,7,0.06408280007345839,0.3044937983846303,0.004146200022660196,7,0.05572366688242716,0.300364080841393,0.003421999979764223,6,0.06450323027838312,0.3224547025685147,0.0029898000648245215
9,SNR_8db,N,New_N_010.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.295949811549874,6x212,0.024159400025382638,8,0.1808691528865559,0.29583338715259366,0.013907200074754655,7,0.06502446445542011,0.303708407316461,0.003262899932451546,7,0.05572966107648783,0.30000823915844305,0.0031165999826043844,6,0.06582697517074043,0.3164602941322642,0.0029340999899432063
10,SNR_8db,N,New_N_011.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29265351047259136,6x212,0.026078199967741966,8,0.17464934718477126,0.31347494817492877,0.014687700080685318,7,0.06272305287705036,0.31054778975769565,0.004086100030690432,7,0.055720581193731356,0.306666793323036,0.0033357000211253762,6,0.06572135787834796,0.2980181427084296,0.002962399972602725
11,SNR_8db,N,New_N_012.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2951381486473359,6x212,0.025517100002616644,8,0.17820448978948322,0.3283250702612667,0.014902800088748336,7,0.06442288906347207,0.33196808599833094,0.0032056999625638127,7,0.055729425828244146,0.32801819603014915,0.0031233999179676175,6,0.06644524082287938,0.3362010915579866,0.0031771999783813953
12,SNR_8db,N,New_N_013.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29246007865405527,6x212,0.02388639992568642,8,0.17426764364926145,0.33525476493096884,0.013056800002232194,7,0.06347458453158862,0.32669958829513907,0.0038571000332012773,7,0.055728062664870896,0.3218824622660682,0.0032389999832957983,6,0.06564782337306627,0.31518956044524515,0.0028876999858766794
13,SNR_8db,N,New_N_014.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2932613857161363,6x212,0.023815799970179796,8,0.1770365752662479,0.30999837819608517,0.013720299932174385,7,0.06397873341942562,0.310131300977947,0.0031940999906510115,7,0.055726625131991114,0.30613019974687505,0.0031125000678002834,6,0.06437531735232636,0.3226666275523232,0.0029409000417217612
14,SNR_8db,N,New_N_015.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29620134680463817,6x212,0.02646720001939684,8,0.17902996132132923,0.3183386764982269,0.014883000054396689,7,0.06498347270911245,0.3178882551585213,0.004191699903458357,7,0.05572414064851266,0.31334315199587826,0.0033481999998912215,6,0.06618783337792862,0.2996576315188469,0.003033400047570467
15,SNR_8db,N,New_N_016.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2925188856048576,6x212,0.02620680001564324,8,0.17512377507475937,0.29507425386542646,0.015435399953275919,7,0.06347827672685807,0.30529629446962947,0.003417199943214655,7,0.055728655889615356,0.301045583039764,0.0031322999857366085,6,0.0640086067255982,0.3087377124027331,0.0033641000045463443
16,SNR_8db,N,New_N_017.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29620724298826695,6x212,0.024730400065891445,8,0.1791614132781748,0.3186179315874148,0.013605299987830222,7,0.06572109917840113,0.32222951822169366,0.00403170008212328,7,0.05572638043018681,0.3185868843082249,0.0032891000155359507,6,0.06505917732273175,0.33235591974203493,0.002947300090454519
17,SNR_8db,N,New_N_018.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2941928161248683,6x212,0.025873900041915476,8,0.1764140660898914,0.27546741099410077,0.014260899974033237,7,0.06414421059372455,0.2739326954775925,0.003641100018285215,7,0.05571270945953334,0.2697945723356889,0.003220000071451068,6,0.06650484955223641,0.26292736105385395,0.003611900028772652
18,SNR_8db,N,New_N_019.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2936126377192471,6x212,0.02506729995366186,8,0.1757459918081486,0.2804765492288106,0.014469000045210123,7,0.06531847780440121,0.2833022126666841,0.003604499972425401,7,0.05572586990090875,0.27813148084941275,0.0032408999977633357,6,0.06545294881361437,0.2746403442007186,0.0028669999446719885
19,SNR_8db,N,New_N_020.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29273139957543814,6x212,0.02324520004913211,8,0.17466519320186488,0.30589202077658495,0.013456100015901029,7,0.06455574970123609,0.3167508503254058,0.0030472000362351537,7,0.055725400103307524,0.31240288852094844,0.002939000027254224,6,0.06457884131939384,0.30054869389072786,0.002653599949553609
20,SNR_8db,N,New_N_021.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2925902028704,6x212,0.023510699975304306,8,0.173683030360008,0.30420106111209577,0.012782400008291006,7,0.06585644705787054,0.3065285454777753,0.003968900069594383,7,0.055730035569789275,0.3024698700970235,0.0030831999611109495,6,0.06416977345401853,0.30615526469217574,0.002755400026217103
21,SNR_8db,N,New_N_022.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2928331733557705,6x212,0.022693100036121905,8,0.17431883847072624,0.2962193458640964,0.013222999987192452,7,0.0639513832653154,0.2992808925147476,0.0030203000642359257,7,0.05572324375231181,0.29550936367475017,0.00291600008495152,6,0.06468738055507604,0.29854566731539445,0.002637700061313808
22,SNR_8db,N,New_N_023.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29223740417191113,6x212,0.023883900023065507,8,0.17457776976336695,0.3108285655555941,0.01361269992776215,7,0.06387666317867725,0.30558662369594736,0.0035264000762254,7,0.05572631291892515,0.3019160529633537,0.0031373000238090754,6,0.06414838795671837,0.30932157110106195,0.0028553999727591872
23,SNR_8db,N,New_N_024.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2925758175927338,6x212,0.022423800081014633,8,0.17396681392866448,0.28502571539354277,0.012327700038440526,7,0.06485322491180437,0.2798316095533013,0.0033721000654622912,7,0.05572167770343455,0.27682427342765786,0.0030126000056043267,6,0.06588644637844886,0.2769098308331441,0.0027058999985456467
24,SNR_8db,N,New_N_025.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29643738323058366,6x212,0.023884100024588406,8,0.18140951016032592,0.2873787887868278,0.01298599992878735,7,0.0634427087053053,0.2981501530792675,0.0038457000628113747,7,0.055726797356630914,0.29553160545624724,0.0028638000367209315,6,0.06570246007217906,0.3120220902765285,0.0026916000060737133
25,SNR_8db,N,New_N_026.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2928655033455242,6x212,0.02264640002977103,8,0.17513558206519644,0.2799540444363403,0.012836000067181885,7,0.06468234846618207,0.276184191702993,0.002941700047813356,7,0.05571546221237664,0.2718848253718787,0.003200500039383769,6,0.06694233540311256,0.2700680695485973,0.0027387000154703856
26,SNR_8db,N,New_N_027.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.2929651608966452,6x212,0.022267799940891564,8,0.1756287542295357,0.29287293649815754,0.012416800018399954,7,0.06440749437674503,0.31030359081961045,0.0029941999819129705,7,0.05572462126594486,0.30672883052238586,0.002912800060585141,6,0.0649576700519038,0.3050499836584463,0.0026547000743448734
27,SNR_8db,N,New_N_028.wav,8-7-7-6,DeepONMF_H4,4,nndsvd,0.29271569105402173,6x212,0.02334720001090318,8,0.17477899870099703,0.3144910781075859,0.013000100036151707,7,0.06277325942907956,0.3029831134448238,0.0037693000631406903,7,0.055725355463808204,0.2987479568269918,0.002816899912431836,6,0.06451437426931547,0.3033912062425731,0.002931899973191321
