clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,0.9988676297235644,2.1515687438145856,2.0481222305165327,2.0903886437228274,2.1339220278180195,-1.1527011140910213,-1.0492546007929684,-1.091521013999263,-1.1350543980944552,0.10344651329805288,0.06118010009175823,0.017646715996566087,-0.04226641320629465,-0.08579979730148679,-0.04353338409519214
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.0335214682668472,2.241661541524114,2.082043053094293,2.163443909929022,2.230038665768191,-1.208140073257267,-1.0485215848274458,-1.1299224416621747,-1.196517197501344,0.15961848842982107,0.07821763159509221,0.011622875755922912,-0.08140085683472886,-0.14799561267389816,-0.0665947558391693
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,0.9277702951607817,2.182368001124762,2.0432025531886078,2.101364172976886,2.1741516837588226,-1.2545977059639801,-1.115432258027826,-1.1735938778161041,-1.2463813885980408,0.13916544793615415,0.08100382814787599,0.008216317365939307,-0.05816161978827816,-0.13094913057021484,-0.07278751078193668
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,0.9557375426654651,2.2094098099910044,2.052757203016616,2.119640577192959,2.2004181199452333,-1.2536722673255394,-1.097019660351151,-1.163903034527494,-1.2446805772797682,0.15665260697438832,0.08976923279804527,0.008991690045771161,-0.06688337417634305,-0.14766091692861716,-0.08077754275227411
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,0.968627785319238,2.1767667310356424,2.033275893166912,2.142393364865776,2.1891952218521396,-1.2081389457164045,-1.0646481078476742,-1.173765579546538,-1.2205674365329016,0.1434908378687303,0.034373366169866415,-0.012428490816497106,-0.10911747169886388,-0.1559193286852274,-0.04680185698636352
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,0.9554546498501149,2.207981797517045,2.0320081012713156,2.1492646584569175,2.16431503817629,-1.2525271476669302,-1.0765534514212007,-1.1938100086068026,-1.208860388326175,0.17597369624572945,0.05871713906012754,0.043666759340755146,-0.1172565571856019,-0.1323069369049743,-0.015050379719372398
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,0.9571522461316189,2.1438656513066445,2.010377142408207,2.0792280899025775,2.147947075012128,-1.1867134051750257,-1.0532248962765882,-1.1220758437709586,-1.190794828880509,0.13348850889843744,0.06463756140406707,-0.004081423705483367,-0.06885094749437037,-0.1375699326039208,-0.06871898510955043
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.0039357096074937,2.242566608027676,2.0817520654917425,2.1946134608567234,2.226939836181076,-1.2386308984201821,-1.0778163558842488,-1.1906777512492297,-1.2230041265735825,0.1608145425359333,0.04795314717095245,0.015626771846599663,-0.11286139536498085,-0.14518777068933364,-0.032326375324352785
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,0.9554393641335627,2.209355402427562,2.0423448230278147,2.1310646787188188,2.178161326102992,-1.2539160382939993,-1.0869054588942522,-1.1756253145852562,-1.2227219619694294,0.16701057939974717,0.07829072370874313,0.03119407632456994,-0.08871985569100405,-0.13581650307517723,-0.047096647384173185
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,0.9724319738477036,2.1588135883374533,2.0260395023984596,2.113599848332767,2.164121011254255,-1.1863816144897497,-1.053607528550756,-1.1411678744850633,-1.1916890374065514,0.13277408593899365,0.045213740004686365,-0.005307422916801752,-0.08756034593430728,-0.1380815088557954,-0.050521162921488116
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,afinidad_y_diferencias_errores,0.9761263435654314,2.2355697715762566,2.0826753184414817,2.1667599866252973,2.205091771937838,-1.259443428010825,-1.1065489748760502,-1.1906336430598659,-1.2289654283724065,0.1528944531347749,0.06880978495095924,0.030477999638418574,-0.08408466818381566,-0.12241645349635633,-0.03833178531254067
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,afinidad_y_diferencias_errores,1.0048264667287499,2.236587451485834,2.093825049375367,2.1773608578998243,2.211439782232906,-1.2317609847570843,-1.0889985826466173,-1.1725343911710744,-1.206613315504156,0.14276240211046698,0.0592265935860099,0.025147669252928218,-0.08353580852445708,-0.11761473285753876,-0.034078924333081684
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,afinidad_y_diferencias_errores,0.9747482546164408,2.1804221728455855,2.026542732142122,2.1482438677926208,2.1879172377459373,-1.2056739182291447,-1.0517944775256813,-1.17349561317618,-1.2131689831294965,0.15387944070346338,0.032178305052964706,-0.007495064900351789,-0.12170113565049867,-0.16137450560381517,-0.039673369953316495
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,afinidad_y_diferencias_errores,1.00890823141078,2.2796362160002195,2.1063039862744555,2.219051735897825,2.275613758223721,-1.2707279845894395,-1.0973957548636755,-1.2101435044870448,-1.266705526812941,0.173332229725764,0.0605844801023947,0.004022457776498456,-0.11274774962336931,-0.16930977194926555,-0.056562022325896244
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,afinidad_y_diferencias_errores,0.9537824312277889,2.110912112311449,1.9772957314935566,2.0463381372103844,2.10163286715764,-1.15712968108366,-1.0235133002657677,-1.0925557059825954,-1.147850435929851,0.1336163808178923,0.06457397510106455,0.009279245153809068,-0.06904240571682774,-0.12433713566408322,-0.05529472994725548
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,afinidad_y_diferencias_errores,1.0132678041297813,2.264194212568053,2.094674825930724,2.2129569993871328,2.248827988689627,-1.2509264084382719,-1.0814070218009428,-1.1996891952573514,-1.2355601845598456,0.16951938663732902,0.05123721318092045,0.015366223878426233,-0.11828217345640857,-0.15415316275890278,-0.035870989302494216
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,afinidad_y_diferencias_errores,1.010490556555709,2.2063126607460175,2.082680655350498,2.1644503517713174,2.200635428903814,-1.1958221041903085,-1.0721900987947892,-1.1539597952156084,-1.190144872348105,0.12363200539551933,0.04186230897470011,0.0056772318422035895,-0.08176969642081922,-0.11795477355331574,-0.036185077132496524
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,afinidad_y_diferencias_errores,1.0071624699415376,2.2087829572515405,2.079719157447296,2.146394341156739,2.189951927741594,-1.201620487310003,-1.0725566875057584,-1.1392318712152016,-1.1827894578000564,0.12906379980424454,0.062388616094801286,0.01883102950994653,-0.06667518370944325,-0.11023277029429801,-0.04355758658485476
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,afinidad_y_diferencias_errores,0.9512106079946029,2.1653475302640057,2.0435919403093825,2.0965105321412287,2.158039874752543,-1.214136922269403,-1.0923813323147797,-1.145299924146626,-1.2068292667579401,0.12175558995462321,0.068836998122777,0.0073076555114628405,-0.05291859183184622,-0.11444793444316037,-0.06152934261131415
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,afinidad_y_diferencias_errores,0.9927346524943089,2.212355639260726,2.0648772956102093,2.1746829555096134,2.2141107126036577,-1.2196209867664174,-1.0721426431159005,-1.1819483030153046,-1.2213760601093488,0.14747834365051693,0.03767268375111277,-0.001755073342931457,-0.10980565989940416,-0.1492334169934484,-0.039427757094044225
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,afinidad_y_diferencias_errores,0.9604565416820293,2.1690577843015846,2.026066276048654,2.0884279225974733,2.1429729805247035,-1.2086012426195554,-1.0656097343666247,-1.1279713809154441,-1.1825164388426743,0.14299150825293072,0.08062986170411124,0.02608480377688105,-0.06236164654881948,-0.11690670447604967,-0.05454505792723019
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,afinidad_y_diferencias_errores,0.9650251305092639,2.206430958806151,2.0621082950224987,2.1264172363865015,2.1848807104549754,-1.2414058282968872,-1.0970831645132348,-1.1613921058772376,-1.2198555799457116,0.14432266378365233,0.08001372241964955,0.021550248351175583,-0.06430894136400278,-0.12277241543247674,-0.058463474068473964
AS,New_AS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_023.wav,afinidad_y_diferencias_errores,0.9439434864906848,2.1466967078342454,2.0123725917227095,2.0691918673660976,2.112876464324019,-1.2027532213435606,-1.0684291052320247,-1.1252483808754128,-1.1689329778333344,0.13432411611153583,0.07750484046814776,0.03382024351022617,-0.05681927564338807,-0.10050387260130966,-0.043684596957921595
AS,New_AS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_024.wav,afinidad_y_diferencias_errores,0.9754988908253281,2.2156043440545976,2.05787510786506,2.147115217032007,2.194208099598339,-1.2401054532292695,-1.082376217039732,-1.1716163262066788,-1.218709208773011,0.1577292361895375,0.06848912702259069,0.02139624445625854,-0.0892401091669468,-0.13633299173327895,-0.04709288256633215
AS,New_AS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_025.wav,afinidad_y_diferencias_errores,0.9586981890442076,2.1884333739255224,2.029163398617632,2.1257806711512504,2.1747045137329204,-1.229735184881315,-1.0704652095734244,-1.167082482107043,-1.216006324688713,0.15926997530789055,0.06265270277427204,0.013728860192602,-0.09661727253361851,-0.14554111511528856,-0.04892384258167004
AS,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_026.wav,afinidad_y_diferencias_errores,0.9940082058317928,2.220302985646553,2.0696868305666785,2.208826791447654,2.2093103264834726,-1.22629477981476,-1.0756786247348855,-1.2148185856158609,-1.2153021206516796,0.15061615507987458,0.011476194198899226,0.010992659163080454,-0.13913996088097536,-0.13962349591679413,-0.0004835350358187718
AS,New_AS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_027.wav,afinidad_y_diferencias_errores,0.9833336300459978,2.199866355432301,2.0589893907230032,2.193156224630703,2.2104016469514547,-1.2165327253863032,-1.0756557606770054,-1.2098225945847052,-1.2270680169054569,0.14087696470929778,0.006710130801597991,-0.010535291519153667,-0.1341668339076998,-0.15141225622845145,-0.017245422320751658
