clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_errores_por_base,1.2260295274575204,2.138838432389452,2.0549431850775854,1.966147077092864,2.0465124857040053
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_errores_por_base,1.3383336403224184,2.27810160280819,2.110013191335019,2.1036348561804963,2.156346824962069
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_errores_por_base,1.1899979994467436,2.2262786512379162,2.0696949112868483,2.0026208403681243,2.112931718760727
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_errores_por_base,1.2535217414237383,2.2457540840796186,2.0942330365159,2.0221471069746064,2.1373887459404837
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_errores_por_base,1.2801638813360459,2.1983170653702664,2.0554708411088662,2.0234871367774514,2.1030312504135313
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_errores_por_base,1.1950466716350254,2.2315310233024683,2.0915456788331843,2.0813518636657795,2.119054845712508
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_errores_por_base,1.1846426739232856,2.1474138878290785,2.0334751717574977,1.9709230050607431,2.0508329323657377
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_errores_por_base,1.2861252009221507,2.276053746110194,2.117503834589337,2.1318410096046554,2.1442043526281953
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_errores_por_base,1.2402540296230193,2.2345432237122176,2.074710529008032,2.066529673980804,2.108046235382292
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_errores_por_base,1.2576504859056383,2.193293281976586,2.0859799744961807,2.0338170337864074,2.1053526480896725
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,afinidad_errores_por_base,1.261389886584847,2.2665766781328136,2.122824804239785,2.082937593291118,2.1301973369105296
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,afinidad_errores_por_base,1.2464277275581799,2.222116736611531,2.1228836198806746,2.0700860837458483,2.106380819879778
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,afinidad_errores_por_base,1.226347403663127,2.1834694036953817,2.071027980430472,2.0586426229550407,2.0936794502078313
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,afinidad_errores_por_base,1.3105333431332535,2.3214923071612117,2.1312700796638753,2.143974700210072,2.201009106649011
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,afinidad_errores_por_base,1.2336746236754483,2.181878902055197,2.0424274177503774,1.9965987440338921,2.0847076409848238
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,afinidad_errores_por_base,1.3221041020190964,2.278561781442383,2.1273617057829086,2.108153932387853,2.1441093419469466
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,afinidad_errores_por_base,1.3326509410609106,2.2563846537427716,2.115085673951795,2.0833214944397316,2.1447530092112155
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,afinidad_errores_por_base,1.270371430875174,2.2039695848238012,2.094073242131554,2.0415252988201185,2.094166671345566
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,afinidad_errores_por_base,1.1923355345139295,2.1702979732869285,2.0792445788889893,1.9787390774969777,2.061981714324292
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,afinidad_errores_por_base,1.293461764490272,2.2427923203217244,2.082229135737645,2.1167881691745225,2.144245169170254
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,afinidad_errores_por_base,1.2504484498077233,2.1771026685170405,2.0389531467750603,2.0003291563623193,2.0561296069486166
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,afinidad_errores_por_base,1.2470257792949309,2.248319524496374,2.1147576911364148,2.020089600481074,2.129390799510652
AS,New_AS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_023.wav,afinidad_errores_por_base,1.2405037911588277,2.207109222208084,2.0754551150341465,1.997710596476295,2.0709772612786876
AS,New_AS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_024.wav,afinidad_errores_por_base,1.2287795153172645,2.240868644536201,2.105588779963818,2.093255964874019,2.1295163047721792
AS,New_AS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_025.wav,afinidad_errores_por_base,1.1984057219545485,2.2032862395386936,2.063540845758032,2.0134269916286542,2.08736083383341
AS,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_026.wav,afinidad_errores_por_base,1.3145570477872337,2.2448565233896227,2.0937879280960545,2.140702374525274,2.13411177311916
AS,New_AS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_027.wav,afinidad_errores_por_base,1.257047160988281,2.237645571364036,2.0882068509195055,2.1274750078966957,2.1466684860791605
AS,New_AS_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_028.wav,afinidad_errores_por_base,1.2404325227430648,2.176039619021684,2.064785446532335,2.0291275549967738,2.07418382836943
AS,New_AS_029.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_029.wav,afinidad_errores_por_base,1.263135877244223,2.1915882514781098,2.0622873407250575,2.049500633111962,2.0784970160496634
AS,New_AS_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_030.wav,afinidad_errores_por_base,1.2627120519719597,2.267534716868441,2.1135056520675892,2.106442187095694,2.1714235132906263
AS,New_AS_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_031.wav,afinidad_errores_por_base,1.2159658854271984,2.1365105309412473,2.0248520859008874,2.020988207974115,2.009973903310733
AS,New_AS_032.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_032.wav,afinidad_errores_por_base,1.279097004526758,2.2742777709734545,2.120576904878505,2.111093312979714,2.152351301542801
AS,New_AS_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_033.wav,afinidad_errores_por_base,1.2146523804725815,2.1578557479829765,2.0407961483346995,1.9948654744367469,2.0550119113456904
AS,New_AS_034.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_034.wav,afinidad_errores_por_base,1.2605849494055974,2.2093473406022834,2.0848511742120213,2.0398932740211713,2.102318224767091
AS,New_AS_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_035.wav,afinidad_errores_por_base,1.2676922776356854,2.2303855601983993,2.0967194943915355,2.076581786255698,2.1569373585788085
AS,New_AS_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_036.wav,afinidad_errores_por_base,1.2017797306615143,2.1426551066389514,2.0273909500386758,2.0142109011630627,2.053760097577366
AS,New_AS_037.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_037.wav,afinidad_errores_por_base,1.2087783838819603,2.2228181197449826,2.0885868910154177,2.078349652204341,2.076376657913026
AS,New_AS_038.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_038.wav,afinidad_errores_por_base,1.290982362143868,2.2164752027334567,2.0847593788296783,2.0589830636067767,2.1007561312488954
AS,New_AS_039.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_039.wav,afinidad_errores_por_base,1.3127689479539428,2.2646454770222637,2.08999765699397,2.1136482887643404,2.168640365457679
AS,New_AS_040.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_040.wav,afinidad_errores_por_base,1.2410782956798527,2.22403752635141,2.0968391978310614,2.0740857149516763,2.152433139320188
AS,New_AS_041.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_041.wav,afinidad_errores_por_base,1.2705879553536814,2.222664676110785,2.1011606997095447,2.0821057523482605,2.1112715294988122
AS,New_AS_042.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_042.wav,afinidad_errores_por_base,1.2137406888808575,2.1490991510586595,2.0286253990275647,2.0177365600427537,2.0496423271691
AS,New_AS_043.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_043.wav,afinidad_errores_por_base,1.271314593517866,2.2208664119856754,2.070146708500431,2.0577178742849522,2.100440369074853
AS,New_AS_044.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_044.wav,afinidad_errores_por_base,1.2583272463457817,2.2134630499572507,2.076494153963203,2.0864311910453677,2.123109157363224
AS,New_AS_045.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_045.wav,afinidad_errores_por_base,1.3313080842883336,2.2810641144945043,2.11103077774913,2.162140726589207,2.143955749946423
AS,New_AS_046.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_046.wav,afinidad_errores_por_base,1.2226317233455744,2.1542156341770657,2.0260955576202933,2.013299574722117,2.0724081061014252
AS,New_AS_047.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_047.wav,afinidad_errores_por_base,1.2620568388908837,2.231367519178058,2.0954522679214813,2.109552628203471,2.1332176563716274
AS,New_AS_048.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_048.wav,afinidad_errores_por_base,1.260461961509093,2.2299232265621556,2.075932543485104,2.064689749802432,2.0990323862633344
AS,New_AS_049.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_049.wav,afinidad_errores_por_base,1.4350792208495318,2.0464315214145303,2.0619021646404803,2.2088292620001946,2.0214330090439305
AS,New_AS_050.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_050.wav,afinidad_errores_por_base,1.453995586915627,1.7165737883802035,1.9341129127820347,2.177886446806056,1.8407468127802045
AS,New_AS_051.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_051.wav,afinidad_errores_por_base,1.309913077345354,1.6205321524062235,1.6688686196821723,1.8595917127905661,1.6588429710163068
AS,New_AS_052.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_052.wav,afinidad_errores_por_base,1.2863477154434586,1.539652871143063,1.6482040831367164,1.8585486774228475,1.6354387349480428
AS,New_AS_053.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_053.wav,afinidad_errores_por_base,1.4148767936734559,1.6560053117894393,1.9048176387511389,2.1612470686048995,1.8019236821746671
AS,New_AS_054.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_054.wav,afinidad_errores_por_base,1.3635612231442424,1.7638371646534248,1.8255985418293146,1.9985726731752655,1.759461609330044
AS,New_AS_055.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_055.wav,afinidad_errores_por_base,1.1709172350456643,1.541728629342635,1.578910741964534,1.7902811533363803,1.6268178384396903
AS,New_AS_056.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_056.wav,afinidad_errores_por_base,1.2555804806081223,1.5045761022529,1.6739323939631217,1.9312676427772208,1.6446233774737962
AS,New_AS_057.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_057.wav,afinidad_errores_por_base,1.2702236045259623,1.7237340716768024,1.8052866537526469,1.9676329355452564,1.7263480188893972
AS,New_AS_058.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_058.wav,afinidad_errores_por_base,1.3569567587074596,1.8065221674332652,1.8799225142135425,2.0217373143562445,1.79151700340321
AS,New_AS_059.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_059.wav,afinidad_errores_por_base,1.2707459609102099,1.4901186335722847,1.65512934842596,1.9320866689809992,1.6299551613790504
