clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,44.30686,-11.61807
AS,New_AS_002.wav,43.52366,-12.051628
AS,New_AS_003.wav,44.679688,-12.869932
AS,New_AS_004.wav,44.669445,-12.339649
AS,New_AS_005.wav,44.82543,-12.733438
AS,New_AS_006.wav,44.08483,-12.145665
AS,New_AS_007.wav,44.120136,-12.477561
AS,New_AS_008.wav,43.943645,-11.895952
AS,New_AS_009.wav,44.098648,-13.142066
AS,New_AS_010.wav,44.611168,-12.072364
AS,New_AS_011.wav,43.955173,-13.173523
AS,New_AS_012.wav,44.021515,-11.824852
AS,New_AS_013.wav,43.64863,-12.531748
AS,New_AS_014.wav,44.116238,-13.19981
AS,New_AS_015.wav,44.57728,-12.818075
AS,New_AS_016.wav,44.552116,-12.413235
AS,New_AS_017.wav,43.82122,-12.488795
AS,New_AS_018.wav,43.71914,-11.979715
AS,New_AS_019.wav,44.840553,-12.200132
AS,New_AS_020.wav,43.890015,-12.991982
AS,New_AS_021.wav,44.511425,-12.91898
AS,New_AS_022.wav,44.44019,-12.095733
AS,New_AS_023.wav,43.857468,-12.715013
AS,New_AS_024.wav,43.537685,-12.262242
AS,New_AS_025.wav,12.983339,-36.823257
AS,New_AS_026.wav,16.658646,-34.76831
AS,New_AS_027.wav,13.717732,-32.54031
AS,New_AS_028.wav,16.519867,-33.31249
AS,New_AS_029.wav,16.23649,-33.977467
AS,New_AS_030.wav,16.104393,-33.975533
AS,New_AS_031.wav,15.86882,-33.896614
AS,New_AS_032.wav,16.084244,-34.51216
AS,New_AS_033.wav,13.324129,-36.511753
AS,New_AS_034.wav,13.508476,-36.432602
AS,New_AS_035.wav,17.395775,-31.688555
AS,New_AS_036.wav,15.7749405,-35.252422
AS,New_AS_037.wav,16.851229,-32.305603
AS,New_AS_038.wav,14.397583,-36.651848
AS,New_AS_039.wav,13.005389,-35.925934
AS,New_AS_040.wav,14.793602,-33.161907
AS,New_AS_041.wav,15.264307,-32.24884
AS,New_AS_042.wav,13.91934,-37.21676
AS,New_AS_043.wav,16.946238,-35.974922
AS,New_AS_044.wav,16.8385,-33.421345
AS,New_AS_045.wav,13.684145,-33.67439
AS,New_AS_046.wav,15.774793,-33.11967
AS,New_AS_047.wav,16.165596,-31.137445
AS,New_AS_048.wav,17.514635,-31.658335
AS,New_AS_049.wav,-1.9814407,-39.57173
AS,New_AS_050.wav,-2.628708,-38.224205
AS,New_AS_051.wav,-2.8722541,-38.410835
AS,New_AS_052.wav,-3.1490378,-38.252285
AS,New_AS_053.wav,-3.6716318,-38.16097
AS,New_AS_054.wav,-3.6705222,-38.632607
AS,New_AS_055.wav,-3.276606,-39.002926
AS,New_AS_056.wav,-3.65009,-38.189156
AS,New_AS_057.wav,-3.517464,-39.037247
AS,New_AS_058.wav,-3.4511244,-38.639523
AS,New_AS_059.wav,-3.306231,-37.824467
AS,New_AS_060.wav,-3.001014,-37.983906
AS,New_AS_061.wav,-3.0384784,-39.166702
AS,New_AS_062.wav,-2.0872638,-38.598892
AS,New_AS_063.wav,-2.4607408,-38.010216
AS,New_AS_064.wav,-2.9346302,-39.337673
AS,New_AS_065.wav,-2.6413872,-39.451115
AS,New_AS_066.wav,-2.3876686,-38.38383
AS,New_AS_067.wav,-2.0400872,-39.154793
AS,New_AS_068.wav,-1.8218184,-39.025585
AS,New_AS_069.wav,-2.3239071,-39.16995
AS,New_AS_070.wav,-1.9835737,-38.75584
AS,New_AS_071.wav,-2.8061447,-38.765522
AS,New_AS_072.wav,-2.64075,-38.837692
AS,New_AS_073.wav,-2.549572,-39.329323
AS,New_AS_074.wav,-3.211264,-39.491756
AS,New_AS_075.wav,-1.8804396,-39.376316
AS,New_AS_076.wav,-2.769549,-38.688934
AS,New_AS_077.wav,14.14097,-35.44807
AS,New_AS_078.wav,15.91915,-33.985825
AS,New_AS_079.wav,13.393114,-36.912254
AS,New_AS_080.wav,16.326126,-30.56142
AS,New_AS_081.wav,16.989483,-30.411348
AS,New_AS_082.wav,13.613036,-33.32183
AS,New_AS_083.wav,15.581558,-36.680874
AS,New_AS_084.wav,13.927311,-33.981335
AS,New_AS_085.wav,14.34327,-32.11394
AS,New_AS_086.wav,16.541183,-34.768158
AS,New_AS_087.wav,14.261181,-36.385487
AS,New_AS_088.wav,16.143383,-31.578487
AS,New_AS_089.wav,16.88443,-31.556938
AS,New_AS_090.wav,14.764912,-34.104294
AS,New_AS_091.wav,16.585487,-32.98766
AS,New_AS_092.wav,13.014679,-33.728176
AS,New_AS_093.wav,17.025438,-30.81329
