clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-8.687407,-14.415905
AS,New_AS_002.wav,4.8521404,-13.653871
AS,New_AS_003.wav,-2.1343284,-17.908308
AS,New_AS_004.wav,0.40754536,-16.105492
AS,New_AS_005.wav,-5.0281105,-15.30661
AS,New_AS_006.wav,0.62174076,-17.438896
AS,New_AS_007.wav,-8.406522,-15.388879
AS,New_AS_008.wav,5.68562,-14.89606
AS,New_AS_009.wav,0.68231267,-16.402122
AS,New_AS_010.wav,-3.4865932,-14.9805565
AS,New_AS_011.wav,3.555802,-14.459006
AS,New_AS_012.wav,1.5595573,-13.978674
AS,New_AS_013.wav,-5.062717,-16.614704
AS,New_AS_014.wav,7.3329544,-13.587047
AS,New_AS_015.wav,-7.1747184,-15.887443
AS,New_AS_016.wav,5.090766,-13.345863
AS,New_AS_017.wav,2.9690447,-13.58983
AS,New_AS_018.wav,-1.5952351,-14.160686
AS,New_AS_019.wav,-6.876217,-14.726863
AS,New_AS_020.wav,3.978064,-14.550163
AS,New_AS_021.wav,-6.683539,-15.270231
AS,New_AS_022.wav,1.2579353,-15.754409
AS,New_AS_023.wav,-5.314794,-16.029816
AS,New_AS_024.wav,3.4654567,-14.861995
AS,New_AS_025.wav,-5.4948325,-16.60442
AS,New_AS_026.wav,4.016066,-16.480124
AS,New_AS_027.wav,3.4773445,-16.957407
AS,New_AS_028.wav,-6.1134186,-16.348246
AS,New_AS_029.wav,-4.6740246,-16.307281
AS,New_AS_030.wav,4.775561,-16.245565
AS,New_AS_031.wav,-7.630259,-14.473582
AS,New_AS_032.wav,5.5708766,-16.121199
AS,New_AS_033.wav,-7.671225,-15.69699
AS,New_AS_034.wav,-3.322326,-16.604002
AS,New_AS_035.wav,-1.2408724,-17.826534
AS,New_AS_036.wav,-7.9909625,-15.328325
AS,New_AS_037.wav,0.47149363,-16.469759
AS,New_AS_038.wav,-2.7941887,-16.824993
AS,New_AS_039.wav,4.473187,-16.654696
AS,New_AS_040.wav,-0.5626554,-17.697884
AS,New_AS_041.wav,0.60125685,-15.625342
AS,New_AS_042.wav,-8.037456,-15.481337
AS,New_AS_043.wav,-2.3914893,-17.0378
AS,New_AS_044.wav,-2.0249689,-15.819385
AS,New_AS_045.wav,6.813245,-14.854531
AS,New_AS_046.wav,-8.043695,-16.02526
AS,New_AS_047.wav,3.048258,-17.216707
AS,New_AS_048.wav,-1.5816535,-17.07594
AS,New_AS_049.wav,-7.807636,-11.027668
AS,New_AS_050.wav,-15.75844,-3.3434784
AS,New_AS_051.wav,-19.584824,0.053890277
AS,New_AS_052.wav,-20.188976,1.494415
AS,New_AS_053.wav,-16.620142,-2.7321224
AS,New_AS_054.wav,-15.669812,-4.482044
AS,New_AS_055.wav,-20.981401,2.0897117
AS,New_AS_056.wav,-19.921204,1.5177888
AS,New_AS_057.wav,-16.243578,-4.230232
AS,New_AS_058.wav,-15.223054,-5.028994
AS,New_AS_059.wav,-20.011705,1.7269253
AS,New_AS_060.wav,-20.757769,3.6179814
AS,New_AS_061.wav,-13.578795,-4.966489
AS,New_AS_062.wav,-12.925149,-5.3814507
AS,New_AS_063.wav,-19.990433,2.4311996
AS,New_AS_064.wav,-20.740583,2.6992204
AS,New_AS_065.wav,-7.7996345,-11.027096
AS,New_AS_066.wav,-20.527353,1.5382065
AS,New_AS_067.wav,-15.671389,-4.2055273
AS,New_AS_068.wav,-18.786602,-0.45264232
AS,New_AS_069.wav,-13.70926,-5.892271
AS,New_AS_070.wav,-12.997295,-4.8759813
AS,New_AS_071.wav,-14.465192,-5.718308
AS,New_AS_072.wav,-14.621098,-5.1628942
AS,New_AS_073.wav,-14.986235,-5.7812967
AS,New_AS_074.wav,-20.911562,2.5656905
AS,New_AS_075.wav,-7.8117566,-10.985284
AS,New_AS_076.wav,-14.156316,-5.1063337
AS,New_AS_077.wav,0.10125764,-14.907452
AS,New_AS_078.wav,-3.8232622,-17.708773
AS,New_AS_079.wav,3.3764977,-15.376581
AS,New_AS_080.wav,4.507339,-14.480248
AS,New_AS_081.wav,-1.7610146,-15.189764
AS,New_AS_082.wav,4.0427876,-17.611984
AS,New_AS_083.wav,-8.077836,-14.431511
AS,New_AS_084.wav,-7.0683875,-15.600894
AS,New_AS_085.wav,5.2104373,-15.762287
AS,New_AS_086.wav,-3.374387,-16.781448
AS,New_AS_087.wav,5.851454,-16.348461
AS,New_AS_088.wav,2.3660383,-17.771389
AS,New_AS_089.wav,7.6411057,-13.614688
AS,New_AS_090.wav,6.0588074,-15.293538
AS,New_AS_091.wav,-7.7492275,-16.609953
AS,New_AS_092.wav,-0.7005538,-17.09811
AS,New_AS_093.wav,-1.8193873,-16.357878
AS,New_AS_094.wav,-3.7190218,-16.566961
AS,New_AS_095.wav,-7.301323,-14.971855
AS,New_AS_096.wav,-3.5733697,-17.97151
AS,New_AS_097.wav,-0.43221286,-17.908777
AS,New_AS_098.wav,3.862292,-16.454762
AS,New_AS_099.wav,2.778757,-14.757346
AS,New_AS_100.wav,-7.0308657,-16.088852
AS,New_AS_101.wav,4.0841527,-15.032279
AS,New_AS_102.wav,-3.7562046,-16.79134
AS,New_AS_103.wav,-6.222637,-16.276274
AS,New_AS_104.wav,6.929849,-14.401779
AS,New_AS_105.wav,-4.679792,-17.027735
AS,New_AS_106.wav,-6.2648034,-16.648941
AS,New_AS_107.wav,5.885537,-14.427424
AS,New_AS_108.wav,-0.16740038,-14.693066
AS,New_AS_109.wav,6.290737,-14.50537
AS,New_AS_110.wav,5.3106117,-15.862771
AS,New_AS_111.wav,6.1611342,-18.69962
AS,New_AS_112.wav,6.5294104,-18.560247
AS,New_AS_113.wav,6.0810146,-18.886305
AS,New_AS_114.wav,6.1299324,-18.861286
AS,New_AS_115.wav,0.5412911,-15.526246
AS,New_AS_116.wav,-2.9380891,-14.269718
AS,New_AS_117.wav,6.8367405,-14.665491
AS,New_AS_118.wav,6.244893,-15.089529
AS,New_AS_119.wav,-3.2005858,-17.313583
AS,New_AS_120.wav,-3.1173158,-17.529987
AS,New_AS_121.wav,2.8838089,-15.183334
AS,New_AS_122.wav,-5.0134983,-15.282292
AS,New_AS_123.wav,-7.6946154,-14.560878
AS,New_AS_124.wav,5.0853124,-16.433132
AS,New_AS_125.wav,-4.7286806,-17.257662
AS,New_AS_126.wav,3.486999,-14.305095
AS,New_AS_127.wav,2.6529865,-14.502787
AS,New_AS_128.wav,3.6777542,-15.49367
AS,New_AS_129.wav,-28.152563,15.260419
AS,New_AS_130.wav,-27.902565,15.068294
AS,New_AS_131.wav,-15.283946,-14.380351
AS,New_AS_132.wav,-19.668869,-0.5291664
AS,New_AS_133.wav,-39.17058,20.943716
AS,New_AS_134.wav,-0.53991276,-15.084151
AS,New_AS_135.wav,-39.498,21.322006
AS,New_AS_136.wav,-28.828085,15.983055
AS,New_AS_137.wav,-27.398626,15.358446
AS,New_AS_138.wav,-27.44787,15.097214
AS,New_AS_139.wav,-28.069174,15.878475
AS,New_AS_140.wav,7.9371285,-14.193319
AS,New_AS_141.wav,2.8991284,-18.062296
AS,New_AS_142.wav,9.776074,-8.970154
AS,New_AS_143.wav,10.3099165,-9.28753
AS,New_AS_144.wav,-11.263125,-15.073719
AS,New_AS_145.wav,-11.400366,-15.015524
AS,New_AS_146.wav,-10.536519,-16.050592
AS,New_AS_147.wav,-10.643046,-15.819786
AS,New_AS_148.wav,-10.69879,-15.278883
AS,New_AS_149.wav,-11.5935955,-14.802535
