clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,36.005802,-13.57681
AS,New_AS_002.wav,36.652485,-12.293607
AS,New_AS_003.wav,35.45134,-12.343865
AS,New_AS_004.wav,36.354027,-12.80065
AS,New_AS_005.wav,36.769184,-12.643967
AS,New_AS_006.wav,35.28517,-12.821167
AS,New_AS_007.wav,35.46024,-13.019401
AS,New_AS_008.wav,36.525738,-12.183117
AS,New_AS_009.wav,36.03642,-12.108019
AS,New_AS_010.wav,36.34323,-13.073639
AS,New_AS_011.wav,36.24515,-12.281451
AS,New_AS_012.wav,35.867916,-13.207168
AS,New_AS_013.wav,35.578674,-13.13064
AS,New_AS_014.wav,35.62751,-12.079248
AS,New_AS_015.wav,35.611687,-12.383797
AS,New_AS_016.wav,36.599895,-12.897452
AS,New_AS_017.wav,36.712463,-12.599454
AS,New_AS_018.wav,35.833843,-12.71759
AS,New_AS_019.wav,35.625034,-13.409979
AS,New_AS_020.wav,35.528324,-11.962652
AS,New_AS_021.wav,36.075657,-12.470653
AS,New_AS_022.wav,36.220642,-13.232558
AS,New_AS_023.wav,36.6848,-13.071957
AS,New_AS_024.wav,35.52771,-12.807051
AS,New_AS_025.wav,24.193007,-23.73879
AS,New_AS_026.wav,23.236269,-17.956501
AS,New_AS_027.wav,22.80756,-18.932447
AS,New_AS_028.wav,21.505981,-22.118769
AS,New_AS_029.wav,20.82289,-22.245646
AS,New_AS_030.wav,23.267218,-22.051657
AS,New_AS_031.wav,22.52066,-23.097742
AS,New_AS_032.wav,24.345932,-19.431536
AS,New_AS_033.wav,23.669132,-20.526144
AS,New_AS_034.wav,21.118942,-23.085625
AS,New_AS_035.wav,19.445953,-19.93996
AS,New_AS_036.wav,23.119911,-22.749178
AS,New_AS_037.wav,21.93781,-21.65611
AS,New_AS_038.wav,23.906988,-19.034042
AS,New_AS_039.wav,23.775627,-20.790552
AS,New_AS_040.wav,21.419985,-22.769669
AS,New_AS_041.wav,20.751524,-20.385078
AS,New_AS_042.wav,23.373692,-22.75829
AS,New_AS_043.wav,23.550203,-21.645418
AS,New_AS_044.wav,23.777872,-19.08969
AS,New_AS_045.wav,24.172447,-20.78577
AS,New_AS_046.wav,20.793562,-21.898724
AS,New_AS_047.wav,20.268341,-20.414314
AS,New_AS_048.wav,18.198591,-22.104826
AS,New_AS_049.wav,-13.920673,-22.001417
AS,New_AS_050.wav,-14.419653,-22.952364
AS,New_AS_051.wav,-15.200754,-22.536674
AS,New_AS_052.wav,-14.998744,-23.413633
AS,New_AS_053.wav,-15.51878,-22.955935
AS,New_AS_054.wav,-15.731389,-22.366924
AS,New_AS_055.wav,-15.351385,-21.442442
AS,New_AS_056.wav,-14.963046,-23.52418
AS,New_AS_057.wav,-15.615529,-23.322971
AS,New_AS_058.wav,-15.357861,-22.477512
AS,New_AS_059.wav,-15.721151,-23.112722
AS,New_AS_060.wav,-15.381347,-23.211653
AS,New_AS_061.wav,-15.733194,-22.307505
AS,New_AS_062.wav,-14.089653,-22.471418
AS,New_AS_063.wav,-14.559127,-22.994486
AS,New_AS_064.wav,-14.862183,-22.937273
AS,New_AS_065.wav,-14.527487,-21.751844
AS,New_AS_066.wav,-14.454364,-22.536005
AS,New_AS_067.wav,-14.730416,-22.444431
AS,New_AS_068.wav,-13.8407955,-22.71509
AS,New_AS_069.wav,-14.904446,-21.598152
AS,New_AS_070.wav,-14.580203,-22.966652
AS,New_AS_071.wav,-15.428723,-21.856985
AS,New_AS_072.wav,-14.971583,-22.387537
AS,New_AS_073.wav,-14.777753,-21.967768
AS,New_AS_074.wav,-14.730005,-23.494427
AS,New_AS_075.wav,-14.428988,-21.463736
AS,New_AS_076.wav,-14.9064,-22.10132
AS,New_AS_077.wav,23.265326,-22.128212
AS,New_AS_078.wav,24.211958,-19.537886
AS,New_AS_079.wav,24.891754,-21.5498
AS,New_AS_080.wav,19.129166,-20.108652
AS,New_AS_081.wav,19.71689,-19.991026
AS,New_AS_082.wav,22.145676,-22.261166
AS,New_AS_083.wav,22.8922,-23.753578
AS,New_AS_084.wav,23.544243,-19.839573
AS,New_AS_085.wav,22.580755,-19.967241
AS,New_AS_086.wav,20.245829,-22.552275
AS,New_AS_087.wav,23.215572,-24.056026
AS,New_AS_088.wav,21.276093,-19.275967
AS,New_AS_089.wav,21.230112,-19.568148
AS,New_AS_090.wav,23.796488,-18.28778
AS,New_AS_091.wav,23.282516,-18.898554
AS,New_AS_092.wav,20.191483,-21.154251
AS,New_AS_093.wav,20.031666,-19.625792
AS,New_AS_094.wav,23.422184,-22.087442
AS,New_AS_095.wav,22.12594,-23.369318
AS,New_AS_096.wav,22.930054,-18.040384
AS,New_AS_097.wav,23.747082,-19.51668
AS,New_AS_098.wav,20.416103,-21.099648
AS,New_AS_099.wav,19.481329,-21.417149
AS,New_AS_100.wav,18.221394,-22.129475
AS,New_AS_101.wav,24.264704,-22.775135
AS,New_AS_102.wav,23.976826,-19.48207
AS,New_AS_103.wav,24.776936,-21.085442
AS,New_AS_104.wav,20.38973,-22.678827
AS,New_AS_105.wav,21.047544,-21.65309
AS,New_AS_106.wav,24.1188,-22.93634
AS,New_AS_107.wav,21.97034,-21.985147
AS,New_AS_108.wav,23.38109,-19.849257
AS,New_AS_109.wav,22.627083,-17.953045
AS,New_AS_110.wav,20.271097,-21.546185
AS,New_AS_111.wav,36.252163,-11.49099
AS,New_AS_112.wav,36.110466,-11.4398775
AS,New_AS_113.wav,35.805393,-11.455777
AS,New_AS_114.wav,35.855614,-11.355038
AS,New_AS_115.wav,19.754782,-21.817783
AS,New_AS_116.wav,21.205769,-19.880974
AS,New_AS_117.wav,22.093813,-22.159441
AS,New_AS_118.wav,24.166496,-20.137054
AS,New_AS_119.wav,22.737503,-19.288902
AS,New_AS_120.wav,21.6173,-22.988249
AS,New_AS_121.wav,20.37654,-22.137135
AS,New_AS_122.wav,23.593704,-22.666185
AS,New_AS_123.wav,23.771097,-23.513542
AS,New_AS_124.wav,24.369793,-19.723927
AS,New_AS_125.wav,21.681675,-18.196295
AS,New_AS_126.wav,20.156708,-21.786186
AS,New_AS_127.wav,20.534016,-22.933485
AS,New_AS_128.wav,18.244913,-21.830708
AS,New_AS_129.wav,-0.06944323,7.5590444
AS,New_AS_130.wav,-0.19244346,7.807729
AS,New_AS_131.wav,18.211164,-19.84772
AS,New_AS_132.wav,-16.382948,-15.283012
AS,New_AS_133.wav,-11.854421,15.825406
AS,New_AS_134.wav,19.093435,-22.199137
AS,New_AS_135.wav,-24.395948,-8.908679
AS,New_AS_136.wav,-0.2988339,7.570337
AS,New_AS_137.wav,-0.4560519,8.252625
AS,New_AS_138.wav,0.03054698,7.2149954
AS,New_AS_139.wav,0.028121889,6.8580356
AS,New_AS_140.wav,23.618948,-25.93117
AS,New_AS_141.wav,23.617352,-25.941904
AS,New_AS_142.wav,23.596682,-25.964073
AS,New_AS_143.wav,23.62187,-25.932932
AS,New_AS_144.wav,32.5719,-15.4798155
AS,New_AS_145.wav,32.51195,-15.517519
AS,New_AS_146.wav,32.505684,-15.519078
AS,New_AS_147.wav,32.5233,-15.508894
AS,New_AS_148.wav,32.526066,-15.510974
AS,New_AS_149.wav,32.45718,-15.551871
AS,New_AS_150.wav,32.46587,-15.54581
AS,New_AS_151.wav,32.47931,-15.533673
AS,New_AS_152.wav,-15.025837,-15.414794
AS,New_AS_153.wav,-15.047294,-15.419576
AS,New_AS_154.wav,-15.048887,-15.421419
AS,New_AS_155.wav,-15.110067,-15.387579
AS,New_AS_156.wav,0.0021769982,7.560854
AS,New_AS_157.wav,-0.47272742,8.326294
AS,New_AS_158.wav,-0.18896769,7.1418524
AS,New_AS_159.wav,0.113492705,6.689287
AS,New_AS_160.wav,-0.88547045,7.845753
AS,New_AS_161.wav,-1.0640035,8.230289
AS,New_AS_162.wav,-0.50476885,7.212344
AS,New_AS_163.wav,-0.41246483,6.75115
AS,New_AS_164.wav,-7.8450103,19.336477
AS,New_AS_165.wav,-7.8420577,19.340586
AS,New_AS_166.wav,8.489917,3.7472548
AS,New_AS_167.wav,8.369406,3.7047882
AS,New_AS_168.wav,8.409461,3.6418355
AS,New_AS_169.wav,8.002483,3.7693243
AS,New_AS_170.wav,-7.8317523,19.347673
AS,New_AS_171.wav,-7.835885,19.34589
AS,New_AS_172.wav,8.085488,3.8346832
AS,New_AS_173.wav,8.47596,3.7694123
AS,New_AS_174.wav,8.278164,3.717601
AS,New_AS_175.wav,8.54956,3.8196175
AS,New_AS_176.wav,8.177762,3.7302456
AS,New_AS_177.wav,8.186847,3.8487377
AS,New_AS_178.wav,8.399513,3.616399
AS,New_AS_179.wav,8.360151,3.915872
AS,New_AS_180.wav,-9.221717,17.661638
AS,New_AS_181.wav,-9.208496,17.68191
AS,New_AS_182.wav,-9.2072,17.688377
AS,New_AS_183.wav,-9.217964,17.680023
