clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,5.8510003,3.1381948
AS,New_AS_002.wav,10.461018,3.536957
AS,New_AS_003.wav,11.241116,1.5801725
AS,New_AS_004.wav,7.5548663,3.995513
AS,New_AS_005.wav,6.723438,7.672257
AS,New_AS_006.wav,14.946632,4.637154
AS,New_AS_007.wav,10.990421,3.2987876
AS,New_AS_008.wav,12.224267,9.011449
AS,New_AS_009.wav,10.85947,3.3002532
AS,New_AS_010.wav,7.7091556,5.632562
AS,New_AS_011.wav,12.523024,2.8127012
AS,New_AS_012.wav,9.926079,3.6864226
AS,New_AS_013.wav,13.904346,6.719958
AS,New_AS_014.wav,9.516533,4.8615394
AS,New_AS_015.wav,9.296974,2.977706
AS,New_AS_016.wav,11.675556,1.7298864
AS,New_AS_017.wav,8.328621,7.143581
AS,New_AS_018.wav,9.583675,2.2330542
AS,New_AS_019.wav,7.802769,4.015112
AS,New_AS_020.wav,10.969802,9.295548
AS,New_AS_021.wav,12.79697,2.6715395
AS,New_AS_022.wav,10.764341,1.8862572
AS,New_AS_023.wav,12.087254,1.4712237
AS,New_AS_024.wav,11.622674,3.6419544
AS,New_AS_025.wav,10.265211,2.8191085
AS,New_AS_026.wav,4.169121,11.561054
AS,New_AS_027.wav,12.179398,8.697543
AS,New_AS_028.wav,12.567641,3.1443398
AS,New_AS_029.wav,11.765879,7.6896143
AS,New_AS_030.wav,9.16693,1.7119749
AS,New_AS_031.wav,12.4766245,8.720011
AS,New_AS_032.wav,10.144929,8.318197
AS,New_AS_033.wav,12.398863,2.6660197
AS,New_AS_034.wav,11.685174,1.9505436
AS,New_AS_035.wav,6.8025804,4.2953763
AS,New_AS_036.wav,10.901592,4.5353584
AS,New_AS_037.wav,10.979884,3.6457078
AS,New_AS_038.wav,9.707159,4.4027357
AS,New_AS_039.wav,11.439926,7.600874
AS,New_AS_040.wav,8.214489,6.691505
AS,New_AS_041.wav,12.698048,3.4651983
AS,New_AS_042.wav,11.242307,6.048106
AS,New_AS_043.wav,6.176933,6.1439843
AS,New_AS_044.wav,10.849173,8.037605
AS,New_AS_045.wav,12.114446,9.516747
AS,New_AS_046.wav,9.553903,8.582311
AS,New_AS_047.wav,13.116906,9.567201
AS,New_AS_048.wav,11.779337,6.3589344
AS,New_AS_049.wav,-7.8936152,40.30721
AS,New_AS_050.wav,-13.0384445,42.683292
AS,New_AS_051.wav,-8.78918,44.198654
