clase,archivo,tSNE_1,tSNE_2
AS,New_AS_001.wav,-7.328461,-12.114822
AS,New_AS_002.wav,4.8839803,-17.561
AS,New_AS_003.wav,-5.7729697,-15.895567
AS,New_AS_004.wav,-2.0028226,-17.77707
AS,New_AS_005.wav,-5.304741,-14.469155
AS,New_AS_006.wav,-4.550933,-16.471884
AS,New_AS_007.wav,-8.456777,-12.485693
AS,New_AS_008.wav,4.3404636,-17.17241
AS,New_AS_009.wav,-3.6032975,-17.223837
AS,New_AS_010.wav,-6.026358,-13.516714
AS,New_AS_011.wav,2.9564734,-18.18872
AS,New_AS_012.wav,4.6776586,-17.103275
AS,New_AS_013.wav,-5.271738,-15.595088
AS,New_AS_014.wav,6.162518,-15.948298
AS,New_AS_015.wav,-10.542833,-10.566648
AS,New_AS_016.wav,5.9600844,-16.276802
AS,New_AS_017.wav,-0.062095307,-16.20268
AS,New_AS_018.wav,-0.44760028,-18.117077
AS,New_AS_019.wav,-5.402604,-13.80194
AS,New_AS_020.wav,0.022404866,-17.634031
AS,New_AS_021.wav,-7.0440927,-12.924384
AS,New_AS_022.wav,-1.2885463,-17.698647
AS,New_AS_023.wav,-10.045021,-11.824187
AS,New_AS_024.wav,-0.5434727,-17.556454
AS,New_AS_025.wav,-5.3274508,-15.362197
AS,New_AS_026.wav,1.4506973,-14.826374
AS,New_AS_027.wav,-0.40625733,-16.980097
AS,New_AS_028.wav,-7.528926,-12.895376
AS,New_AS_029.wav,-6.935895,-13.694901
AS,New_AS_030.wav,-2.667642,-16.160973
AS,New_AS_031.wav,-5.940339,-12.584072
AS,New_AS_032.wav,2.7681785,-16.16666
AS,New_AS_033.wav,-9.876158,-11.660777
AS,New_AS_034.wav,-0.73714054,-17.276937
AS,New_AS_035.wav,-4.959815,-15.350399
AS,New_AS_036.wav,-8.377125,-11.945248
AS,New_AS_037.wav,2.2228856,-15.787452
AS,New_AS_038.wav,-5.7121887,-13.227338
AS,New_AS_039.wav,-1.7698506,-16.170368
AS,New_AS_040.wav,-1.8232695,-16.839071
AS,New_AS_041.wav,1.1648073,-16.934433
AS,New_AS_042.wav,-8.656878,-11.352664
AS,New_AS_043.wav,-0.43851754,-15.146605
AS,New_AS_044.wav,-6.124642,-14.102606
AS,New_AS_045.wav,5.050422,-15.9617815
AS,New_AS_046.wav,-9.612765,-11.027294
AS,New_AS_047.wav,-1.2767358,-15.490511
AS,New_AS_048.wav,2.6793103,-16.235235
AS,New_AS_049.wav,-8.717951,-2.6250553
AS,New_AS_050.wav,-16.260302,-2.6657355
AS,New_AS_051.wav,-20.605957,3.7952986
AS,New_AS_052.wav,-21.163418,4.725575
AS,New_AS_053.wav,-16.741539,-2.3542855
AS,New_AS_054.wav,-16.013578,-1.3988882
AS,New_AS_055.wav,-22.33046,5.9064264
AS,New_AS_056.wav,-20.309721,4.6535482
AS,New_AS_057.wav,-17.307886,-0.5361541
AS,New_AS_058.wav,-15.982749,-1.5656542
AS,New_AS_059.wav,-20.197357,4.68546
AS,New_AS_060.wav,-22.53287,6.738763
AS,New_AS_061.wav,-15.278769,-2.193637
AS,New_AS_062.wav,-9.625934,-2.6967266
AS,New_AS_063.wav,-20.44695,4.506087
AS,New_AS_064.wav,-21.548233,4.9955945
AS,New_AS_065.wav,-8.555623,-2.6273434
AS,New_AS_066.wav,-21.143818,4.36074
AS,New_AS_067.wav,-16.20588,-0.8967462
AS,New_AS_068.wav,-17.967268,0.6899085
AS,New_AS_069.wav,-14.377038,-2.5405493
AS,New_AS_070.wav,-9.568815,-2.6586938
AS,New_AS_071.wav,-14.503425,-2.6217434
AS,New_AS_072.wav,-14.966107,-1.976018
AS,New_AS_073.wav,-17.940845,-0.05560782
AS,New_AS_074.wav,-21.320805,4.831863
AS,New_AS_075.wav,-7.8951726,-2.1221495
AS,New_AS_076.wav,-14.928212,-2.0544999
AS,New_AS_077.wav,0.21102837,-16.029871
AS,New_AS_078.wav,-7.335669,-14.121823
AS,New_AS_079.wav,1.6889744,-16.628963
AS,New_AS_080.wav,2.4568064,-15.867009
AS,New_AS_081.wav,-1.695482,-15.584548
AS,New_AS_082.wav,-0.76404834,-16.617014
AS,New_AS_083.wav,-6.0403223,-12.057522
AS,New_AS_084.wav,-9.1455555,-11.388027
AS,New_AS_085.wav,2.8064747,-17.704807
AS,New_AS_086.wav,-6.485924,-14.197833
AS,New_AS_087.wav,2.112929,-17.435654
AS,New_AS_088.wav,-2.5393426,-15.638577
AS,New_AS_089.wav,6.219539,-15.390676
AS,New_AS_090.wav,2.9343066,-15.549698
AS,New_AS_091.wav,-9.060933,-11.005409
AS,New_AS_092.wav,-2.0752475,-16.162056
AS,New_AS_093.wav,-2.0798273,-15.725845
AS,New_AS_094.wav,-4.595161,-13.475384
AS,New_AS_095.wav,-7.4696274,-14.908953
AS,New_AS_096.wav,-7.4899297,-14.727524
AS,New_AS_097.wav,-3.3486722,-15.718137
AS,New_AS_098.wav,-2.4239902,-16.308697
AS,New_AS_099.wav,1.805343,-15.4029255
AS,New_AS_100.wav,-9.270963,-11.314177
AS,New_AS_101.wav,3.680373,-16.358051
AS,New_AS_102.wav,-4.5655584,-13.176114
AS,New_AS_103.wav,-8.149066,-11.773994
AS,New_AS_104.wav,5.444227,-16.130304
AS,New_AS_105.wav,-6.6493864,-13.151843
AS,New_AS_106.wav,-9.01434,-12.050143
AS,New_AS_107.wav,3.8568637,-17.018648
AS,New_AS_108.wav,-0.8307158,-18.54109
AS,New_AS_109.wav,4.7150726,-16.309889
AS,New_AS_110.wav,-0.6475513,-16.62571
AS,New_AS_111.wav,-2.0351274,-21.685814
AS,New_AS_112.wav,-1.9049954,-21.713219
AS,New_AS_113.wav,-2.0137079,-21.689655
AS,New_AS_114.wav,-1.9948382,-21.70403
AS,New_AS_115.wav,0.28311136,-17.168037
AS,New_AS_116.wav,-6.3910503,-13.50415
