inicializacion,metodo,clase,archivo,ruta,duracion_s,tramas_pcg,columnas_matriz_x,forma_w_final,error_final,segundos,capa1_error,capa1_ortogonalidad,capa1_segundos,capa2_error,capa2_ortogonalidad,capa2_segundos,capa3_error,capa3_ortogonalidad,capa3_segundos
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,2.104625,1,212,126x7,0.1437510645015043,0.03887409996241331,0.07272094503283631,0.625939045965628,0.020059699891135097,0.19413422865719668,0.3746375983545285,0.007361399941146374,0.25048281487563046,0.2710798688924566,0.010694399941712618
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,2.1195,1,212,126x7,0.15450021486553506,0.03588719991967082,0.08616944040024052,0.5739053841778226,0.018772799987345934,0.18518624993316452,0.35985858642049173,0.009496200131252408,0.25727503231221327,0.2965792809732625,0.007011700188741088
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,2.116625,1,212,126x7,0.12994495533213393,0.03946870006620884,0.06966431659285824,0.621175421245727,0.01859379978850484,0.18959933375598204,0.33556054890277814,0.0077575999312102795,0.257740785913871,0.23099518029013297,0.01260689995251596
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,2.087,1,212,126x7,0.14141871280437993,0.04110880009829998,0.09405445399451895,0.5698681194085915,0.024750599870458245,0.2208235238531213,0.3797030051694286,0.009274299954995513,0.2304492506222231,0.27732206094771805,0.006613600067794323
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,2.120375,1,212,126x7,0.1522947502040182,0.037444999907165766,0.08124456434838764,0.5704432476135085,0.022928699851036072,0.2168100895076322,0.3554284217503116,0.007566799875348806,0.20838938694259207,0.2461092005446464,0.006342899985611439
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,2.090625,1,212,126x7,0.1497750038030958,0.028898899909108877,0.08729301479679016,0.5846927104127293,0.014721599873155355,0.2129352151726505,0.30295324513950866,0.007435200037434697,0.24718984554373408,0.2340421425527496,0.006214500172063708
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,2.101875,1,212,126x7,0.1533637748450117,0.027143000159412622,0.07157672406862911,0.5832510114655878,0.014053700026124716,0.18465666174718778,0.3319619512989704,0.005751699907705188,0.2754010400767316,0.2585005612817877,0.006792900152504444
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,2.10925,1,212,126x7,0.14740531404460297,0.028369300067424774,0.06893839498050353,0.622116623520443,0.01560409995727241,0.17727834036872578,0.35947064785538324,0.006176899885758758,0.2578094155463852,0.2743604322333824,0.006185499951243401
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,2.1005,1,212,126x7,0.15422880682889747,0.026502100052312016,0.08885756427814849,0.5599888714428973,0.0135690001770854,0.17789737525036003,0.3318398928194881,0.0066213000100106,0.22712969030663396,0.20693809889249765,0.005849800072610378
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,2.093,1,212,126x7,0.14690473432188922,0.02621519984677434,0.08327763623585131,0.5899275230292178,0.014392400160431862,0.19182261649153481,0.3496071882787633,0.005584999918937683,0.216068441693796,0.2525692822230403,0.005789400078356266
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,2.1105,1,212,126x7,0.12805378235489054,0.025558799970895052,0.08751762252565409,0.5762932464943598,0.013537599937990308,0.18920856841002165,0.3270357181701245,0.00580970011651516,0.2503478755091207,0.23275380585991545,0.005797100020572543
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,2.095625,1,212,126x7,0.15677887798289478,0.03838720009662211,0.07365441041172116,0.5989107991699362,0.015706300036981702,0.17196094264756617,0.3342868013404522,0.009017900098115206,0.23106296175191032,0.26268128731132084,0.013074700022116303
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,2.11525,1,212,126x7,0.14368650306814243,0.029425499960780144,0.07980863386192848,0.6250957534554489,0.016013200161978602,0.18253123734818774,0.3741597433050637,0.006380699807778001,0.254062490055788,0.2831373942458259,0.006529700011014938
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,2.093,1,212,126x7,0.1440255456071469,0.027856600005179644,0.08366370744551575,0.6163506264443027,0.0147450000513345,0.20366935498150246,0.36082900675937424,0.006383799947798252,0.20406642499963648,0.2703266024368456,0.006280000088736415
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_015.wav,2.093,1,212,126x7,0.1282327282895936,0.02862429991364479,0.08488879389067047,0.6028440386975853,0.015591999981552362,0.20252377880911404,0.36658390281687686,0.00653850007802248,0.23778340187372393,0.25775282590143084,0.005981799913570285
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_016.wav,2.08575,1,212,126x7,0.1491070001083099,0.027575199957937002,0.08807487898804156,0.5907978416865984,0.015524500049650669,0.20945471480861544,0.3266755633253227,0.005714599974453449,0.22669362988363884,0.264943843770373,0.005854499991983175
nndsvd,Deep-ONMF W por audio + NNDSVD,N,New_N_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_017.wav,2.063625,1,212,126x7,0.15065026367606169,0.0257105000782758,0.08179885092527826,0.5766406237414523,0.0134639001917094,0.18923763238766958,0.35338350754518505,0.0061808000318706036,0.25134313179643997,0.2991630275586509,0.005700299981981516
