clase,archivo,tsne_1,tsne_2
N,New_N_001.wav,1.4931296,17.087717
N,New_N_002.wav,8.079044,25.299433
N,New_N_003.wav,9.398713,23.800085
N,New_N_004.wav,3.7170987,21.217064
N,New_N_005.wav,9.997924,24.564344
N,New_N_006.wav,11.138846,25.887794
N,New_N_007.wav,3.8452318,20.534288
N,New_N_008.wav,6.424068,20.380379
N,New_N_009.wav,2.5148406,21.300083
N,New_N_010.wav,4.970246,19.896841
N,New_N_011.wav,10.152999,25.525585
N,New_N_012.wav,3.2769685,20.558966
N,New_N_013.wav,3.307091,19.831505
N,New_N_014.wav,10.320236,24.636114
N,New_N_015.wav,4.0788317,20.07549
N,New_N_016.wav,2.6079056,20.264072
N,New_N_017.wav,2.8628914,19.05994
N,New_N_018.wav,4.0418596,21.528767
N,New_N_019.wav,3.9837563,24.831512
N,New_N_020.wav,2.1346948,20.777184
N,New_N_021.wav,10.921635,25.746746
N,New_N_022.wav,5.2340784,23.228828
N,New_N_023.wav,10.608116,25.115902
N,New_N_024.wav,4.711672,22.60638
N,New_N_025.wav,5.1381264,19.949701
N,New_N_026.wav,3.6159484,18.937054
N,New_N_027.wav,5.1093884,19.4942
N,New_N_028.wav,3.5794585,18.61112
N,New_N_029.wav,6.784125,20.554914
N,New_N_030.wav,10.528274,24.443445
N,New_N_031.wav,6.776489,20.595034
N,New_N_032.wav,3.240935,21.378849
N,New_N_033.wav,9.661636,24.174377
N,New_N_034.wav,4.2931232,21.98705
N,New_N_035.wav,3.1368866,20.057644
N,New_N_036.wav,3.7826052,19.427757
N,New_N_037.wav,-28.63432,11.949739
N,New_N_038.wav,-28.704487,12.283966
N,New_N_039.wav,-28.840292,12.431517
N,New_N_040.wav,-28.699196,12.2069025
N,New_N_041.wav,-16.405209,25.010262
N,New_N_042.wav,-17.696226,24.587065
N,New_N_043.wav,-20.31533,23.031937
N,New_N_044.wav,-17.046879,24.339348
N,New_N_045.wav,-15.400499,20.342299
N,New_N_046.wav,-14.774784,19.948368
N,New_N_047.wav,-16.019135,25.250952
N,New_N_048.wav,-17.576233,24.25231
N,New_N_049.wav,-18.965511,23.670027
N,New_N_050.wav,-18.136925,23.62563
N,New_N_051.wav,-20.678743,22.931576
N,New_N_052.wav,-17.100153,24.819798
