indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,error_final,forma_h,forma_w,segundos
0,original,NMF,26,1,0.0,0.04954034709940786,26x212,126x26,0.037753800046630204
1,original,NMF,26,1,0.0,0.04098256153101604,26x212,126x26,0.025528699974529445
2,original,NMF,26,1,0.0,0.047951247255865255,26x212,126x26,0.025696000084280968
3,original,NMF,26,1,0.0,0.04488224615575502,26x212,126x26,0.024491299991495907
4,original,NMF,26,1,0.0,0.04534970191994681,26x212,126x26,0.02645270002540201
5,original,NMF,26,1,0.0,0.054943002096171686,26x212,126x26,0.022734400001354516
6,original,NMF,26,1,0.0,0.04046071430814131,26x212,126x26,0.02498900005593896
7,original,NMF,26,1,0.0,0.038651449226265386,26x212,126x26,0.02309100003913045
8,original,NMF,26,1,0.0,0.042438303641537015,26x212,126x26,0.02587889996357262
9,original,NMF,26,1,0.0,0.05565549517433359,26x212,126x26,0.024436700041405857
10,original,NMF,26,1,0.0,0.042126453805622806,26x212,126x26,0.02622010000050068
11,original,NMF,26,1,0.0,0.043354125470925806,26x212,126x26,0.02455460000783205
12,original,NMF,26,1,0.0,0.049814776070764136,26x212,126x26,0.027950000017881393
13,original,NMF,26,1,0.0,0.04484538779166865,26x212,126x26,0.028016100055538118
14,original,NMF,26,1,0.0,0.047489557341295265,26x212,126x26,0.02799360000062734
15,original,NMF,26,1,0.0,0.04451561099576073,26x212,126x26,0.029184299986809492
16,original,NMF,26,1,0.0,0.051041649868138805,26x212,126x26,0.029960599960759282
17,original,NMF,26,1,0.0,0.050455255079926986,26x212,126x26,0.028702500043436885
18,original,NMF,26,1,0.0,0.05410343625898531,26x212,126x26,0.025440099998377264
19,original,NMF,26,1,0.0,0.052536166875314885,26x212,126x26,0.027402800042182207
20,original,NMF,26,1,0.0,0.04082854217311912,26x212,126x26,0.02637840004172176
21,original,NMF,26,1,0.0,0.041916689647655325,26x212,126x26,0.030014699907042086
22,original,NMF,26,1,0.0,0.04167664859408252,26x212,126x26,0.028897700016386807
23,original,NMF,26,1,0.0,0.04460692941816556,26x212,126x26,0.02656649996060878
24,original,NMF,26,1,0.0,0.05711708380361105,26x212,126x26,0.027222499949857593
25,original,NMF,26,1,0.0,0.05248900669465448,26x212,126x26,0.022911899955943227
26,original,NMF,26,1,0.0,0.044724195614758204,26x212,126x26,0.02535759995225817
27,original,NMF,26,1,0.0,0.04746402405730181,26x212,126x26,0.024564199964515865
28,original,NMF,26,1,0.0,0.04506319808115529,26x212,126x26,0.026049899985082448
29,original,NMF,26,1,0.0,0.04680181918997247,26x212,126x26,0.02385939995292574
30,original,NMF,26,1,0.0,0.051187286398852595,26x212,126x26,0.02519189997110516
31,original,NMF,26,1,0.0,0.04990629528660912,26x212,126x26,0.02340800000820309
32,original,NMF,26,1,0.0,0.04115666371578375,26x212,126x26,0.025505300029180944
33,original,NMF,26,1,0.0,0.046352652609257576,26x212,126x26,0.022999700042419136
34,original,NMF,26,1,0.0,0.04572006928887507,26x212,126x26,0.025368800037540495
35,original,NMF,26,1,0.0,0.04842942649952642,26x212,126x26,0.022609999985434115
36,original,NMF,26,1,0.0,0.03440592216697878,26x212,126x26,0.024534799973480403
37,original,NMF,26,1,0.0,0.03659968604412949,26x212,126x26,0.023153699934482574
38,original,NMF,26,1,0.0,0.03337385583688034,26x212,126x26,0.025339399930089712
39,original,NMF,26,1,0.0,0.03613076533014378,26x212,126x26,0.024736299994401634
40,original,NMF,26,1,0.0,0.028856742327024506,26x212,126x26,0.02261530002579093
41,original,NMF,26,1,0.0,0.0274495484396736,26x212,126x26,0.02604090003296733
42,original,NMF,26,1,0.0,0.030264727443878932,26x212,126x26,0.02394250000361353
43,original,NMF,26,1,0.0,0.027697803299764737,26x212,126x26,0.024533399962820113
44,original,NMF,26,1,0.0,0.032089839906896796,26x212,126x26,0.02475589991081506
45,original,NMF,26,1,0.0,0.02950975443153668,26x212,126x26,0.026080999989062548
46,original,NMF,26,1,0.0,0.028539791226431396,26x212,126x26,0.023045300040394068
47,original,NMF,26,1,0.0,0.03801723876610965,26x212,126x26,0.02562870003748685
48,original,NMF,26,1,0.0,0.022104813581314147,26x212,126x26,0.02345629991032183
49,original,NMF,26,1,0.0,0.03091284538130732,26x212,126x26,0.024895900045521557
50,original,NMF,26,1,0.0,0.04004032467491405,26x212,126x26,0.023933100048452616
51,original,NMF,26,1,0.0,0.028806510844724215,26x212,126x26,0.02319709991570562
52,original,NMF,26,1,0.0,0.02962136848355716,26x212,126x26,0.023100299993529916
53,original,NMF,26,1,0.0,0.026339010323822774,26x212,126x26,0.023574999999254942
54,original,NMF,26,1,0.0,0.02534252100881537,26x212,126x26,0.02494569995906204
55,original,NMF,26,1,0.0,0.029125126001007473,26x212,126x26,0.024964399985037744
56,original,NMF,26,1,0.0,0.026128304598687913,26x212,126x26,0.025684099993668497
57,original,NMF,26,1,0.0,0.024449292292528357,26x212,126x26,0.023383600055240095
58,original,NMF,26,1,0.0,0.03045817490407751,26x212,126x26,0.02824969997163862
59,original,NMF,26,1,0.0,0.03414847931045442,26x212,126x26,0.0265398999908939
60,original,NMF,26,1,0.0,0.02772004431794144,26x212,126x26,0.024105000076815486
61,original,NMF,26,1,0.0,0.025657666332558615,26x212,126x26,0.02361959998961538
62,original,NMF,26,1,0.0,0.028401340808439694,26x212,126x26,0.026695000007748604
63,original,NMF,26,1,0.0,0.02592190890356134,26x212,126x26,0.02576390001922846
64,original,NMF,26,1,0.0,0.02694165674945492,26x212,126x26,0.02467040007468313
65,original,NMF,26,1,0.0,0.023164429747414592,26x212,126x26,0.025498799979686737
66,original,NMF,26,1,0.0,0.022581699389098875,26x212,126x26,0.025797200039960444
67,original,NMF,26,1,0.0,0.02982373040203108,26x212,126x26,0.024253299925476313
68,original,NMF,26,1,0.0,0.0363480155212944,26x212,126x26,0.024219100014306605
69,original,NMF,26,1,0.0,0.0356160099872065,26x212,126x26,0.023156799958087504
70,original,NMF,26,1,0.0,0.03240654399994914,26x212,126x26,0.02650869998615235
71,original,NMF,26,1,0.0,0.03708488454201747,26x212,126x26,0.02250870002899319
72,original,NMF,26,1,0.0,0.03801956098067751,26x212,126x26,0.02462249994277954
73,original,NMF,26,1,0.0,0.03326768065304081,26x212,126x26,0.02324050001334399
74,original,NMF,26,1,0.0,0.032102925576507284,26x212,126x26,0.024921199888922274
75,original,NMF,26,1,0.0,0.04285290528757385,26x212,126x26,0.027080100029706955
76,original,NMF,26,1,0.0,0.031438101327280636,26x212,126x26,0.02461109997238964
77,original,NMF,26,1,0.0,0.02866416009895128,26x212,126x26,0.025249999947845936
78,original,NMF,26,1,0.0,0.03641019280597665,26x212,126x26,0.025641599902883172
79,original,NMF,26,1,0.0,0.03833976208065162,26x212,126x26,0.023785999976098537
80,original,NMF,26,1,0.0,0.04117271420342336,26x212,126x26,0.02740060002543032
81,original,NMF,26,1,0.0,0.02842134529462587,26x212,126x26,0.025721700047142804
82,original,NMF,26,1,0.0,0.038109920321316604,26x212,126x26,0.02543609996791929
83,original,NMF,26,1,0.0,0.03293337793829176,26x212,126x26,0.02598119992762804
84,original,NMF,26,1,0.0,0.03437791201791559,26x212,126x26,0.024460799992084503
85,original,NMF,26,1,0.0,0.041392412758487,26x212,126x26,0.025415599928237498
86,original,NMF,26,1,0.0,0.03743885322070377,26x212,126x26,0.02513229998294264
87,original,NMF,26,1,0.0,0.03700584770595865,26x212,126x26,0.025773900095373392
88,original,NMF,26,1,0.0,0.03179024685453494,26x212,126x26,0.02416830009315163
89,original,NMF,26,1,0.0,0.03571228451409139,26x212,126x26,0.024641400086693466
90,original,NMF,26,1,0.0,0.03659523910290191,26x212,126x26,0.026034199981950223
91,original,NMF,26,1,0.0,0.03031389230041066,26x212,126x26,0.025640000007115304
92,original,NMF,26,1,0.0,0.03477310340570511,26x212,126x26,0.02450870000757277
93,original,NMF,26,1,0.0,0.03684459655586616,26x212,126x26,0.026159900007769465
94,original,NMF,26,1,0.0,0.03386863060459873,26x212,126x26,0.023881600005552173
95,original,NMF,26,1,0.0,0.045537253124499556,26x212,126x26,0.024823799962177873
96,original,NMF,26,1,0.0,0.03805050576211557,26x212,126x26,0.025626400019973516
97,original,NMF,26,1,0.0,0.036305540729496315,26x212,126x26,0.02569710009265691
98,original,NMF,26,1,0.0,0.02970925590948745,26x212,126x26,0.023096000077202916
99,original,NMF,26,1,0.0,0.02601053129318462,26x212,126x26,0.024912800057791173
100,original,NMF,26,1,0.0,0.02191760389856045,26x212,126x26,0.026280999998562038
101,original,NMF,26,1,0.0,0.026157630230688626,26x212,126x26,0.02887469995766878
102,original,NMF,26,1,0.0,0.029397765397424166,26x212,126x26,0.025174399954266846
103,original,NMF,26,1,0.0,0.026571855035962995,26x212,126x26,0.027079900028184056
104,original,NMF,26,1,0.0,0.02370735983596226,26x212,126x26,0.023680100101046264
105,original,NMF,26,1,0.0,0.02798578091973264,26x212,126x26,0.023393400013446808
106,original,NMF,26,1,0.0,0.022145561354663428,26x212,126x26,0.024336099973879755
107,original,NMF,26,1,0.0,0.03345285425054207,26x212,126x26,0.025417799944989383
108,original,NMF,26,1,0.0,0.020240585976125446,26x212,126x26,0.025266599957831204
109,original,NMF,26,1,0.0,0.028474134858359465,26x212,126x26,0.026559800026006997
110,original,NMF,26,1,0.0,0.02244060776938231,26x212,126x26,0.026433699997141957
111,original,NMF,26,1,0.0,0.02405697325690474,26x212,126x26,0.0248155000153929
112,original,NMF,26,1,0.0,0.027659405074753195,26x212,126x26,0.02572339994367212
113,original,NMF,26,1,0.0,0.03736521137822718,26x212,126x26,0.0250569999916479
114,original,NMF,26,1,0.0,0.026132499666427687,26x212,126x26,0.025334900012239814
115,original,NMF,26,1,0.0,0.02589754949469319,26x212,126x26,0.02328339999075979
116,original,NMF,26,1,0.0,0.024742030203351487,26x212,126x26,0.02490560000296682
117,original,NMF,26,1,0.0,0.030520450771488506,26x212,126x26,0.026966299978084862
118,original,NMF,26,1,0.0,0.026690384082937554,26x212,126x26,0.02508930000476539
119,original,NMF,26,1,0.0,0.031033759209239464,26x212,126x26,0.0258936999598518
120,original,NMF,26,1,0.0,0.022632176433490782,26x212,126x26,0.026044399943202734
121,original,NMF,26,1,0.0,0.02897709374568832,26x212,126x26,0.02514559996780008
122,original,NMF,26,1,0.0,0.024379650389723513,26x212,126x26,0.024537999997846782
123,original,NMF,26,1,0.0,0.02282534765072523,26x212,126x26,0.024739299900829792
124,original,NMF,26,1,0.0,0.03120932612340552,26x212,126x26,0.02380189998075366
125,original,NMF,26,1,0.0,0.03927100700028499,26x212,126x26,0.02561410004273057
126,original,NMF,26,1,0.0,0.028804181102217673,26x212,126x26,0.025345099973492324
127,original,NMF,26,1,0.0,0.03047645080539294,26x212,126x26,0.023945000022649765
128,original,NMF,26,1,0.0,0.025850731749065044,26x212,126x26,0.022919600014574826
129,original,NMF,26,1,0.0,0.026320584085343754,26x212,126x26,0.025051400065422058
130,original,NMF,26,1,0.0,0.03387701214980624,26x212,126x26,0.024763199966400862
131,original,NMF,26,1,0.0,0.034270898009845126,26x212,126x26,0.02646000008098781
132,original,NMF,26,1,0.0,0.029228457866330864,26x212,126x26,0.024302000063471496
133,original,NMF,26,1,0.0,0.027189904197374482,26x212,126x26,0.02356319990940392
134,original,NMF,26,1,0.0,0.029619416976723347,26x212,126x26,0.02424060006160289
135,original,NMF,26,1,0.0,0.030125336684304897,26x212,126x26,0.026121800066903234
136,original,NMF,26,1,0.0,0.0330211217409691,26x212,126x26,0.02455930004362017
137,original,NMF,26,1,0.0,0.037157520005196745,26x212,126x26,0.025020900066010654
138,original,NMF,26,1,0.0,0.03403466511411516,26x212,126x26,0.02569999999832362
139,original,NMF,26,1,0.0,0.030741422590271825,26x212,126x26,0.026697400026023388
140,original,NMF,26,1,0.0,0.030111571991602647,26x212,126x26,0.027877099928446114
141,original,NMF,26,1,0.0,0.03320949622330574,26x212,126x26,0.02404779999051243
142,original,NMF,26,1,0.0,0.034083791240605246,26x212,126x26,0.026283000013791025
143,original,NMF,26,1,0.0,0.027953445720852822,26x212,126x26,0.026580800069496036
144,original,NMF,26,1,0.0,0.03166813575006292,26x212,126x26,0.02735929994378239
145,original,NMF,26,1,0.0,0.03091531589461534,26x212,126x26,0.023634199984371662
146,original,NMF,26,1,0.0,0.02989791031077987,26x212,126x26,0.025426800013519824
147,original,NMF,26,1,0.0,0.03816635426873118,26x212,126x26,0.025143599952571094
148,original,NMF,26,1,0.0,0.02850036290014369,26x212,126x26,0.02423770003952086
149,original,NMF,26,1,0.0,0.02834819364583761,26x212,126x26,0.024759599938988686
150,original,NMF,26,1,0.0,0.03059196783866045,26x212,126x26,0.025392699986696243
151,original,NMF,26,1,0.0,0.0319852573137035,26x212,126x26,0.023410200024954975
152,original,NMF,26,1,0.0,0.03767393130205273,26x212,126x26,0.02388190000783652
153,original,NMF,26,1,0.0,0.030596835450783906,26x212,126x26,0.02363900002092123
154,original,NMF,26,1,0.0,0.03280817288209669,26x212,126x26,0.02619340003002435
155,original,NMF,26,1,0.0,0.035188060616167034,26x212,126x26,0.023234899970702827
156,original,NMF,26,1,0.0,0.029490696969371517,26x212,126x26,0.02609860000666231
157,original,NMF,26,1,0.0,0.05213794138131743,26x212,126x26,0.023597300052642822
158,original,NMF,26,1,0.0,0.04619298742946387,26x212,126x26,0.02445239992812276
159,original,NMF,26,1,0.0,0.044458809011608424,26x212,126x26,0.02730900002643466
160,original,NMF,26,1,0.0,0.04543056283758877,26x212,126x26,0.026502100052312016
161,original,NMF,26,1,0.0,0.049537753249853496,26x212,126x26,0.02423899993300438
162,original,NMF,26,1,0.0,0.0465077425209117,26x212,126x26,0.02534020005259663
163,original,NMF,26,1,0.0,0.038758016326910436,26x212,126x26,0.023154200054705143
164,original,NMF,26,1,0.0,0.03925925774673691,26x212,126x26,0.02516240009572357
165,original,NMF,26,1,0.0,0.04623320787842348,26x212,126x26,0.023481600102968514
166,original,NMF,26,1,0.0,0.05033581758282509,26x212,126x26,0.025252000079490244
167,original,NMF,26,1,0.0,0.05039550813364515,26x212,126x26,0.023669200018048286
168,original,NMF,26,1,0.0,0.04557324998845207,26x212,126x26,0.025212000007741153
169,original,NMF,26,1,0.0,0.049612191983542935,26x212,126x26,0.024411999969743192
170,original,NMF,26,1,0.0,0.051577729971906135,26x212,126x26,0.023008999996818602
171,original,NMF,26,1,0.0,0.04476957423989456,26x212,126x26,0.026355699985288084
172,original,NMF,26,1,0.0,0.051208097484798154,26x212,126x26,0.024702199967578053
173,original,NMF,26,1,0.0,0.04953092603348718,26x212,126x26,0.025565800024196506
174,original,NMF,26,1,0.0,0.05046140541074008,26x212,126x26,0.023082899977453053
175,original,NMF,26,1,0.0,0.04484640882900623,26x212,126x26,0.027173300040885806
176,original,NMF,26,1,0.0,0.04858957721263965,26x212,126x26,0.023468300001695752
177,original,NMF,26,1,0.0,0.05260961451157447,26x212,126x26,0.02446300000883639
178,original,NMF,26,1,0.0,0.043227752297973494,26x212,126x26,0.024930600076913834
179,original,NMF,26,1,0.0,0.05329100454916365,26x212,126x26,0.026426700060255826
180,original,NMF,26,1,0.0,0.04493917233043801,26x212,126x26,0.02453850000165403
181,original,NMF,26,1,0.0,0.043628186771457134,26x212,126x26,0.0272096999688074
182,original,NMF,26,1,0.0,0.043272807795942676,26x212,126x26,0.026937899994663894
183,original,NMF,26,1,0.0,0.039743447503422874,26x212,126x26,0.024391199927777052
184,original,NMF,26,1,0.0,0.03856269137350527,26x212,126x26,0.025973699986934662
185,original,NMF,26,1,0.0,0.04437002667130891,26x212,126x26,0.02566139993723482
186,original,NMF,26,1,0.0,0.04434091540122635,26x212,126x26,0.028647599974647164
187,original,NMF,26,1,0.0,0.042046830226738136,26x212,126x26,0.02586130006238818
188,original,NMF,26,1,0.0,0.039153662420543696,26x212,126x26,0.027336700004525483
189,original,NMF,26,1,0.0,0.04644051836720388,26x212,126x26,0.025696599972434342
190,original,NMF,26,1,0.0,0.043339400441041995,26x212,126x26,0.022842200007289648
191,original,NMF,26,1,0.0,0.04273765956565214,26x212,126x26,0.028115599998272955
192,original,NMF,26,1,0.0,0.04439060819679323,26x212,126x26,0.025709700072184205
193,original,NMF,26,1,0.0,0.04042247040514365,26x212,126x26,0.025275600026361644
194,original,NMF,26,1,0.0,0.052045301148960284,26x212,126x26,0.02227890002541244
195,original,NMF,26,1,0.0,0.060242954030175856,26x212,126x26,0.026109700091183186
196,original,NMF,26,1,0.0,0.04748564834692526,26x212,126x26,0.023743900004774332
197,original,NMF,26,1,0.0,0.0405921964952586,26x212,126x26,0.024252000031992793
198,original,NMF,26,1,0.0,0.057811163001682424,26x212,126x26,0.02572530007455498
199,original,NMF,26,1,0.0,0.048956782624535185,26x212,126x26,0.02530750003643334
200,original,NMF,26,1,0.0,0.08506397536187132,26x212,126x26,0.026202799985185266
201,original,NMF,26,1,0.0,0.07528077800977931,26x212,126x26,0.02463919995352626
202,original,NMF,26,1,0.0,0.07588854232352403,26x212,126x26,0.022959599969908595
203,original,NMF,26,1,0.0,0.067016915560017,26x212,126x26,0.0245740000391379
204,original,NMF,26,1,0.0,0.06635034525095942,26x212,126x26,0.02619010000489652
205,original,NMF,26,1,0.0,0.06435825054484501,26x212,126x26,0.026989900041371584
206,original,NMF,26,1,0.0,0.07095805572326123,26x212,126x26,0.022750600008293986
207,original,NMF,26,1,0.0,0.06814542299027194,26x212,126x26,0.024523100000806153
208,original,NMF,26,1,0.0,0.06296493925326309,26x212,126x26,0.02513520000502467
209,original,NMF,26,1,0.0,0.0694381994383771,26x212,126x26,0.024573100032284856
210,original,NMF,26,1,0.0,0.0642700653647675,26x212,126x26,0.023942100000567734
211,original,NMF,26,1,0.0,0.07814238703253211,26x212,126x26,0.026247600093483925
212,original,NMF,26,1,0.0,0.06961233187184014,26x212,126x26,0.025524300057440996
213,original,NMF,26,1,0.0,0.062451372850448876,26x212,126x26,0.02517659997101873
214,original,NMF,26,1,0.0,0.06739122675138873,26x212,126x26,0.023060400038957596
215,original,NMF,26,1,0.0,0.06356066119472584,26x212,126x26,0.027191700064577162
216,original,NMF,26,1,0.0,0.06216306351838201,26x212,126x26,0.024936400004662573
217,original,NMF,26,1,0.0,0.07359039997815385,26x212,126x26,0.02523190004285425
218,original,NMF,26,1,0.0,0.08519734760842815,26x212,126x26,0.02591329999268055
219,original,NMF,26,1,0.0,0.05978376010600905,26x212,126x26,0.02680250001139939
220,original,NMF,26,1,0.0,0.0737091398331093,26x212,126x26,0.024421100039035082
221,original,NMF,26,1,0.0,0.07071229265806465,26x212,126x26,0.02458249998744577
222,original,NMF,26,1,0.0,0.07489577455426896,26x212,126x26,0.026241900050081313
223,original,NMF,26,1,0.0,0.06833358427960726,26x212,126x26,0.0257145999930799
224,original,NMF,26,1,0.0,0.07925995183176376,26x212,126x26,0.024856600095517933
225,original,NMF,26,1,0.0,0.06726579850220478,26x212,126x26,0.025229700026102364
226,original,NMF,26,1,0.0,0.0654804921321039,26x212,126x26,0.024992199963890016
227,original,NMF,26,1,0.0,0.07935219382511373,26x212,126x26,0.026474299957044423
228,original,NMF,26,1,0.0,0.0702100659193527,26x212,126x26,0.027345499955117702
229,original,NMF,26,1,0.0,0.07330507784760416,26x212,126x26,0.02515879995189607
230,original,NMF,26,1,0.0,0.08048066979000033,26x212,126x26,0.02740220003761351
231,original,NMF,26,1,0.0,0.06838391683863677,26x212,126x26,0.02342669991776347
232,original,NMF,26,1,0.0,0.07722248795542118,26x212,126x26,0.024172700010240078
233,original,NMF,26,1,0.0,0.07135090578613325,26x212,126x26,0.02462739998009056
234,original,NMF,26,1,0.0,0.06946947311818225,26x212,126x26,0.024694500025361776
235,original,NMF,26,1,0.0,0.0820710118455491,26x212,126x26,0.024420500034466386
236,original,NMF,26,1,0.0,0.07285039296684119,26x212,126x26,0.02203890006057918
237,original,NMF,26,1,0.0,0.07264510481625487,26x212,126x26,0.0265443999087438
238,original,NMF,26,1,0.0,0.06566268010832667,26x212,126x26,0.024237999925389886
239,original,NMF,26,1,0.0,0.07913778048843687,26x212,126x26,0.025987199973315
240,original,NMF,26,1,0.0,0.06169723861448556,26x212,126x26,0.025312699959613383
241,original,NMF,26,1,0.0,0.0753827278480179,26x212,126x26,0.02453079994302243
242,original,NMF,26,1,0.0,0.08259833557089578,26x212,126x26,0.026447299984283745
243,original,NMF,26,1,0.0,0.07492634762208118,26x212,126x26,0.024110900005325675
244,original,NMF,26,1,0.0,0.06806748197226496,26x212,126x26,0.023174199974164367
245,original,NMF,26,1,0.0,0.0804099361376848,26x212,126x26,0.025913799996487796
246,original,NMF,26,1,0.0,0.07405358575186093,26x212,126x26,0.024244199972599745
247,original,NMF,26,1,0.0,0.06767776320000707,26x212,126x26,0.02424230007454753
248,original,NMF,26,1,0.0,0.06587726475329814,26x212,126x26,0.024136500083841383
249,original,NMF,26,1,0.0,0.06786480337031764,26x212,126x26,0.024156500003300607
250,original,NMF,26,1,0.0,0.052110666981517506,26x212,126x26,0.02232920005917549
