fold,particion,indice_interno,base,clase,etiqueta_binaria,archivo,ruta,duracion_s,rellenado_menor_2s,tramas_pcg
1,entrenamiento,0,original,N,normal,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\N_New_3주기\New_N_001.wav,2.104625,False,1
1,entrenamiento,3,original,AS,anomalo,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\AS_New_3주기\New_AS_002.wav,2.60675,False,1
1,entrenamiento,4,original,MR,anomalo,New_MR_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MR_New_3주기\New_MR_001.wav,2.099375,False,1
1,entrenamiento,6,original,MS,anomalo,New_MS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MS_New_3주기\New_MS_001.wav,2.95325,False,1
1,entrenamiento,8,original,MVP,anomalo,New_MVP_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MVP_New_3주기\New_MVP_001.wav,2.788875,False,1
1,test,1,original,N,normal,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\N_New_3주기\New_N_002.wav,2.1195,False,1
1,test,2,original,AS,anomalo,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\AS_New_3주기\New_AS_001.wav,2.606125,False,1
1,test,5,original,MR,anomalo,New_MR_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MR_New_3주기\New_MR_002.wav,2.0845,False,1
1,test,7,original,MS,anomalo,New_MS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MS_New_3주기\New_MS_002.wav,2.88125,False,1
1,test,9,original,MVP,anomalo,New_MVP_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MVP_New_3주기\New_MVP_002.wav,3.975125,False,2
2,entrenamiento,1,original,N,normal,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\N_New_3주기\New_N_002.wav,2.1195,False,1
2,entrenamiento,2,original,AS,anomalo,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\AS_New_3주기\New_AS_001.wav,2.606125,False,1
2,entrenamiento,5,original,MR,anomalo,New_MR_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MR_New_3주기\New_MR_002.wav,2.0845,False,1
2,entrenamiento,7,original,MS,anomalo,New_MS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MS_New_3주기\New_MS_002.wav,2.88125,False,1
2,entrenamiento,9,original,MVP,anomalo,New_MVP_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MVP_New_3주기\New_MVP_002.wav,3.975125,False,2
2,test,0,original,N,normal,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\N_New_3주기\New_N_001.wav,2.104625,False,1
2,test,3,original,AS,anomalo,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\AS_New_3주기\New_AS_002.wav,2.60675,False,1
2,test,4,original,MR,anomalo,New_MR_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MR_New_3주기\New_MR_001.wav,2.099375,False,1
2,test,6,original,MS,anomalo,New_MS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MS_New_3주기\New_MS_001.wav,2.95325,False,1
2,test,8,original,MVP,anomalo,New_MVP_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Ultima implementacio Juan\ULTIMA\auditoria\verificacion_rapida\datasets_ruidosos\original\MVP_New_3주기\New_MVP_001.wav,2.788875,False,1
