indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_-8db,N,New_N_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.45392830724347105,2x212,0.013702900032512844,32,0.3509005429885042,0.27649270500661927,0.011758200009353459,2,0.2828555480459564,0.405870705243356,0.0010415000142529607
1,SNR_-8db,N,New_N_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4516576488676357,2x212,0.012770999921485782,32,0.3494051137666269,0.276324643366826,0.01071499998215586,2,0.28514887735899624,0.41179215011597403,0.0012391000054776669
2,SNR_-8db,AS,New_AS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.46373649485109025,2x212,0.012301299953833222,32,0.3572194187717174,0.2818699132703076,0.010725900065153837,2,0.3109366579960981,0.4707031321058217,0.0009435999672859907
3,SNR_-8db,AS,New_AS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.46183178542816994,2x212,0.011639899923466146,32,0.3504322027952191,0.27396896860403336,0.009995599975809455,2,0.32074227322553006,0.4821688858698764,0.0008295999141409993
4,SNR_-8db,MR,New_MR_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.4604960872460133,2x212,0.011672299937345088,32,0.3558677703124107,0.27014729084708644,0.010197499999776483,2,0.2948183891872554,0.39110598946654324,0.0007661000126972795
5,SNR_-8db,MR,New_MR_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4617270541456625,2x212,0.01185869995970279,32,0.35722666715947154,0.27493681962428757,0.010533099994063377,2,0.29840703663264856,0.39755170868047474,0.0007206000154837966
6,SNR_-8db,MS,New_MS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.4604703060713024,2x212,0.01092229993082583,32,0.3555508258649866,0.275436748559336,0.00956959999166429,2,0.2954817755535933,0.4174935712051938,0.0007654000073671341
7,SNR_-8db,MS,New_MS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4601834795013672,2x212,0.009719099965877831,32,0.35616432047851515,0.27736957992195105,0.00858869997318834,2,0.29156848827462295,0.40472529589199174,0.000673400005325675
8,SNR_-8db,MVP,New_MVP_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.47082182216034674,2x212,0.011425400036387146,32,0.3516042937377568,0.2651662670627735,0.010210699983872473,2,0.347085625639982,0.29541958692726455,0.0007030001142993569
9,SNR_-8db,MVP,New_MVP_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.38018436388788707,2x212,0.010945399990305305,32,0.2655032824781021,0.2651713191429397,0.009526600013487041,2,0.2780276061865519,0.3192575227287482,0.0007966000121086836
