indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,SNR_0db,N,New_N_001.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.4550512388730118,2x212,0.016327899997122586,32,0.27237494058782163,0.26999151375365615,0.013205299968831241,13,0.15043133661019292,0.2109296438835115,0.0013846999499946833,5,0.1071972789944046,0.21255612923145145,0.0005870999302715063,2,0.10549594867089973,0.16500373280951408,0.00036159995943307877
1,SNR_0db,N,New_N_002.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.45326900729624886,2x212,0.015127700055018067,32,0.26861861494418937,0.2766357018827992,0.01226940006017685,13,0.14776070331872398,0.21870734571806394,0.0012809999752789736,5,0.10555965578785358,0.21468469687996738,0.0005553999217227101,2,0.10232269941175666,0.17294604162540714,0.00034630007576197386
2,SNR_0db,AS,New_AS_001.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5250441507912761,2x212,0.014615699998103082,32,0.304682362556007,0.2687604407572172,0.011719199945218861,13,0.1540823905216446,0.21024163399130158,0.0012710000155493617,5,0.13199269018795456,0.21380358467332788,0.0005563999293372035,2,0.2467336484287109,0.23219845881520196,0.00034360005520284176
3,SNR_0db,AS,New_AS_002.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5100944694519324,2x212,0.014159400016069412,32,0.29066370407473413,0.26910050640142935,0.01115670008584857,13,0.15438520742320244,0.21771634954418936,0.0012538000009953976,5,0.11520098849845632,0.21524118095095143,0.0005469000898301601,2,0.23697105414422068,0.21670978420990555,0.0003369000041857362
4,SNR_0db,MR,New_MR_001.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5072027224978144,2x212,0.012157200020737946,32,0.2927367227527798,0.27531963274603255,0.008977799909189343,13,0.16546337236244002,0.21765214121625748,0.0013016000157222152,5,0.12242901492467144,0.2270611751052436,0.0007835000287741423,2,0.17839327853930217,0.24886945974873076,0.00037729996256530285
5,SNR_0db,MR,New_MR_002.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5137498119235032,2x212,0.012286800076253712,32,0.30168221233923054,0.2608447293308968,0.009290499961934984,13,0.1677265531182556,0.19490336024600652,0.0014207001077011228,5,0.12448006421746696,0.19260899211541666,0.0004910000134259462,2,0.20467964522696808,0.256157489283416,0.0002984999446198344
6,SNR_0db,MS,New_MS_001.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.4826022860758029,2x212,0.01268260006327182,32,0.2837895013371367,0.26991103492800944,0.010086499969474971,13,0.15771430067576186,0.19861331863758278,0.0010906999232247472,5,0.13488844669334404,0.22674607333230307,0.0004808000521734357,2,0.13665380313178485,0.2159796911285623,0.0002968000480905175
7,SNR_0db,MS,New_MS_002.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.486619142250928,2x212,0.012819400057196617,32,0.28343381792530425,0.26881322887983194,0.010166099993512034,13,0.16762734497737053,0.2157986778598363,0.0010897000320255756,5,0.12076361940155934,0.22749932279290452,0.00047830003313720226,2,0.1392428180946278,0.2114504740332273,0.0002937000244855881
8,SNR_0db,MVP,New_MVP_001.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5415478825897315,2x212,0.01173890009522438,32,0.28597411446806187,0.2540870220230968,0.009000600082799792,13,0.2574495152623755,0.1768247385071943,0.001027400023303926,5,0.17417626629209262,0.15578766029941774,0.0005420999368652701,2,0.41061634448515916,0.09463935754124185,0.00033660000190138817
9,SNR_0db,MVP,New_MVP_002.wav,32-13-5-2,DeepONMF_H4,4,nndsvd,0.5927612294384513,2x212,0.012999799917452037,32,0.21833204833387987,0.24890969534183344,0.010042599984444678,13,0.20716688868713973,0.19208383734236995,0.0015134999994188547,5,0.115181548673623,0.16318032193957427,0.00047369999811053276,2,0.35370143291521394,0.13940288425199582,0.0002899999963119626
