clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,1.1370356633330991,2.1491568769265834,1.9882460057249935,2.0903464149650826,2.094873197688059,-1.0121212135934843,-0.8512103423918944,-0.9533107516319834,-0.9578375343549599,0.16091087120158987,0.05881046196150086,0.054283679238524396,-0.10210040924008901,-0.10662719196306547,-0.0045267827229764634
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.1931277612556275,2.2123854428160548,2.0206634962758723,2.150383711751271,2.1904292376630337,-1.0192576815604273,-0.8275357350202448,-0.9572559504956435,-0.9973014764074062,0.1917219465401825,0.062001731064783794,0.021956205153021102,-0.1297202154753987,-0.16976574138716138,-0.04004552591176269
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,1.0631932750564004,2.1607089959163885,1.9796633992231696,2.084007626463499,2.125475963818637,-1.0975157208599882,-0.9164701241667692,-1.0208143514070986,-1.0622826887622367,0.18104559669321896,0.07670136945288952,0.035233032097751416,-0.10434422724032943,-0.14581256459546754,-0.04146833735513811
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,1.1074791866290092,2.19102588922953,2.0041005770390763,2.10418917592902,2.1541414017708203,-1.0835467026005206,-0.896621390410067,-0.9967099893000109,-1.046662215141811,0.1869253121904535,0.08683671330050968,0.036884487458709536,-0.10008859888994381,-0.15004082473174396,-0.049952225841800146
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,1.120193949961287,2.1762521077058845,1.9762761180594715,2.129495409102199,2.1412583560505096,-1.0560581577445975,-0.8560821680981845,-1.0093014591409122,-1.0210644060892227,0.19997598964641305,0.046756698603685365,0.03499375165537488,-0.1532192910427277,-0.16498223799103817,-0.011762946948310482
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,1.0893880979466792,2.1689908454379467,1.9835601814239396,2.114090387270144,2.1457395335276916,-1.0796027474912675,-0.8941720834772604,-1.0247022893234647,-1.0563514355810124,0.1854306640140071,0.05490045816780276,0.02325131191025509,-0.13053020584620434,-0.162179352103752,-0.03164914625754767
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,1.1005273614718696,2.126386436210032,1.9642731801171613,2.1053941705583306,2.1150831486050934,-1.0258590747381626,-0.8637458186452918,-1.004866809086461,-1.0145557871332238,0.16211325609287086,0.020992265651701647,0.011303287604938816,-0.14112099044116921,-0.15080996848793204,-0.00968897804676283
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.1437472309440821,2.211188872592407,2.0280712818912723,2.1879213120531538,2.196982666031962,-1.067441641648325,-0.8843240509471901,-1.0441740811090716,-1.0532354350878796,0.18311759070113487,0.023267560539253385,0.014206206560445356,-0.15985003016188148,-0.1689113841406895,-0.009061353978808029
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,1.1161579532336479,2.1837284820139815,1.9966452433319595,2.110523099250885,2.1510871940155503,-1.0675705287803336,-0.8804872900983116,-0.9943651460172371,-1.0349292407819024,0.18708323868202203,0.07320538276309652,0.032641287998431245,-0.11387785591892552,-0.1544419506835908,-0.04056409476466527
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,1.1015991401944925,2.1564822476832544,1.9804158618992145,2.109869926518427,2.1189653008585196,-1.054883107488762,-0.878816721704722,-1.0082707863239346,-1.0173661606640272,0.17606638578403988,0.046612321164827275,0.03751694682473472,-0.1294540646192126,-0.13854943895930516,-0.009095374340092555
