indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos,capa_4_rango,capa_4_error,capa_4_ortogonalidad_h,capa_4_segundos
0,N,New_N_001.wav,14-8-5-3,4,0.4067388744163427,126x3,3x212,14,0.053565624277173415,0.3483658118832574,0.009617299998353701,8,0.23374976511465137,0.14154639749378017,0.0030078000054345466,5,0.3555938545913772,0.11869169209759586,0.0025708999964990653,3,0.47395945045922155,0.09826640621196829,0.002394700000877492
1,N,New_N_002.wav,14-8-5-3,4,0.36556461502655613,126x3,3x212,14,0.05302317688497208,0.45024797291148055,0.009116900000663009,8,0.2630576333751265,0.22659191994930739,0.002964400002383627,5,0.40491999522491784,0.20109777222154093,0.0027336000057403,3,0.4907093983627369,0.20770368478358028,0.002496699999028351
2,N,New_N_003.wav,14-8-5-3,4,0.36866528279266453,126x3,3x212,14,0.05360478389717511,0.38382074437055286,0.009192800003802404,8,0.24793273000653326,0.2167327817269206,0.0030341999954544008,5,0.4205032496778729,0.1870705890869458,0.0027912000005017035,3,0.4828939133347715,0.1774396187541211,0.0024677000037627295
3,N,New_N_004.wav,14-8-5-3,4,0.3761817110523636,126x3,3x212,14,0.05797804912504783,0.3663927473288995,0.009200300002703443,8,0.19588668260798475,0.14658233411209648,0.0038122000041767024,5,0.33896784587705225,0.1450610482087131,0.0026526000001467764,3,0.3699223699034775,0.13204035515193005,0.0024051000000326894
4,N,New_N_005.wav,14-8-5-3,4,0.3950904238414881,126x3,3x212,14,0.056848279548327836,0.37074822888858067,0.00989069999923231,8,0.3368874873477338,0.1869409687848361,0.0030556999990949407,5,0.38255635733668153,0.1549959703003435,0.00259840000217082,3,0.4911991980895115,0.1688306031684322,0.00238540000282228
5,N,New_N_006.wav,14-8-5-3,4,0.3821748457051778,126x3,3x212,14,0.05813570900257088,0.3661931673566286,0.009408700003405102,8,0.2842465947778566,0.20792431495996086,0.002952200004074257,5,0.4118382211455497,0.21302726822029577,0.002473100001225248,3,0.48643307266107644,0.16152233506958757,0.0022393000035663135
6,N,New_N_007.wav,14-8-5-3,4,0.36490552275674426,126x3,3x212,14,0.057882584901206464,0.387855608555497,0.00840480000624666,8,0.28413077853304647,0.20853361767897688,0.0026261000020895153,5,0.4505207382765164,0.20589754025756274,0.002256100000522565,3,0.4909846638458092,0.20499047553260233,0.002053600001090672
7,N,New_N_008.wav,14-8-5-3,4,0.41003287990296566,126x3,3x212,14,0.057192134199308145,0.3461708825397673,0.009011199996166397,8,0.2295683316860179,0.19137914793919789,0.0026675000044633634,5,0.38714946905021325,0.1932837971129373,0.0022401000023819506,3,0.524874724683283,0.19644979853189767,0.0020587000035448
8,N,New_N_009.wav,14-8-5-3,4,0.45761750847572913,126x3,3x212,14,0.048771728860134644,0.35404304696216016,0.008381200001167599,8,0.2894890484507906,0.18429622152417233,0.0028074000001652166,5,0.4081160284934436,0.1899103884816174,0.002227800003311131,3,0.4507063919677618,0.199815469467422,0.0020593000008375384
9,N,New_N_010.wav,14-8-5-3,4,0.4004785867074679,126x3,3x212,14,0.05452708359376625,0.3300242884447448,0.008257500005129259,8,0.31230303236580925,0.18668078873076022,0.00261319999845,5,0.4493763458467845,0.17546154032865108,0.0022050999978091568,3,0.5267842280914732,0.2362374041459312,0.0020337999958428554
10,N,New_N_011.wav,14-8-5-3,4,0.3765307802926875,126x3,3x212,14,0.05478225934126827,0.3977868892448179,0.00873009999486385,8,0.28510057414364176,0.20377881487378405,0.002678999997442588,5,0.4202995648183552,0.15713923563168422,0.00228870000137249,3,0.5866119634242829,0.10629900095954688,0.00210240000160411
11,N,New_N_012.wav,14-8-5-3,4,0.3480799692208648,126x3,3x212,14,0.06255224139525602,0.361842233888757,0.00834259999828646,8,0.30503962877537844,0.2015171999350628,0.0029371999989962205,5,0.3647416118023985,0.15040733083723343,0.0022145999973872676,3,0.5013636134506405,0.14591342507161273,0.0020366000026115216
12,N,New_N_013.wav,14-8-5-3,4,0.45089638052981756,126x3,3x212,14,0.05269887369976436,0.3353642552471599,0.008343199995579198,8,0.22239342484628485,0.19363155861548084,0.0029804000005242415,5,0.2742730037082452,0.20477689075604974,0.002150599997548852,3,0.46341824987884916,0.22320761714087003,0.0021089000001666136
13,N,New_N_014.wav,14-8-5-3,4,0.43700978456721035,126x3,3x212,14,0.05115927572796739,0.3213620920444098,0.008386800000153016,8,0.3411305759804872,0.1701267212327737,0.0027663000000757165,5,0.44116490892070415,0.17791579872873078,0.0021403000064310618,3,0.49232892136977663,0.17610621190506925,0.002067200002784375
14,N,New_N_015.wav,14-8-5-3,4,0.38698199503468134,126x3,3x212,14,0.05659879463096962,0.3564163198397621,0.008092799995210953,8,0.2861067463377593,0.21103750985195338,0.003897399998095352,5,0.40545178844407903,0.18629963438572816,0.0021720999939134344,3,0.5219516507720129,0.2013797294818538,0.0020985000010114163
15,N,New_N_016.wav,14-8-5-3,4,0.409260692594735,126x3,3x212,14,0.05277660241125205,0.3546171971648435,0.007984099996974692,8,0.2635981871556457,0.17519010342413724,0.00300950000382727,5,0.3863628500806898,0.1538153309810513,0.0021546999996644445,3,0.4448022814696657,0.12038824927194992,0.00213649999932386
16,N,New_N_017.wav,14-8-5-3,4,0.37800452027661213,126x3,3x212,14,0.05394978938677069,0.3688972548062739,0.00799879999976838,8,0.26979314607734195,0.21045651328777826,0.0031315000014728867,5,0.3645279804094136,0.1334237140144304,0.0021320999949239194,3,0.5051181013379513,0.16828763945236158,0.0021265999966999516
17,N,New_N_018.wav,14-8-5-3,4,0.33029177343267435,126x3,3x212,14,0.05612810993812861,0.3738824578645311,0.00819910000427626,8,0.2201307557855837,0.2004214657550451,0.003193299999111332,5,0.3371482806342942,0.1522419506787766,0.002211499995610211,3,0.47202062047992943,0.1663674367324355,0.002150100001017563
18,N,New_N_019.wav,14-8-5-3,4,0.36857295946477886,126x3,3x212,14,0.06334692050288854,0.37421489288101945,0.008058200000959914,8,0.3154538401832071,0.19083319016086195,0.002552900004957337,5,0.46548426571499746,0.17602914965755811,0.0021736999988206662,3,0.5260818775424444,0.21790063356236347,0.002279299995279871
19,N,New_N_020.wav,14-8-5-3,4,0.34284317891906774,126x3,3x212,14,0.05054411877610402,0.3700216151591695,0.008075300000200514,8,0.3028537532342755,0.20847566703198864,0.002749699997366406,5,0.4230402069010813,0.19090881001157062,0.0021855000013601966,3,0.4721939281380084,0.1513762747548263,0.0021529999939957634
20,N,New_N_021.wav,14-8-5-3,4,0.4585179901353967,126x3,3x212,14,0.052162736024703324,0.3229509564591082,0.008123799998429604,8,0.27223936922746267,0.16936368382677092,0.0035839999982272275,5,0.3528337500442303,0.15922230517576466,0.0022679000030620955,3,0.4985541687740247,0.1734955101048876,0.002129400003468618
21,N,New_N_022.wav,14-8-5-3,4,0.4571050263597817,126x3,3x212,14,0.05679935851003456,0.3353122912178846,0.007954399996378925,8,0.21689407399456404,0.1723218851242177,0.0037474999990081415,5,0.27880474538866973,0.12933005435030667,0.002319200000783894,3,0.4230691871032053,0.18795667778907119,0.002092900002025999
22,N,New_N_023.wav,14-8-5-3,4,0.4240001065581184,126x3,3x212,14,0.05132059468658288,0.36975355634749846,0.00782459999754792,8,0.33393579151277897,0.19701459370659333,0.0033648999960860237,5,0.42538902230153997,0.16972939053331862,0.0023623999950359575,3,0.5308772608202783,0.17585085933260955,0.0020326000012573786
23,N,New_N_024.wav,14-8-5-3,4,0.4606045627243107,126x3,3x212,14,0.058887994450877376,0.3888116510446288,0.007866399995691609,8,0.1798793472130113,0.15191466146668198,0.0025241000039386563,5,0.2885736018960217,0.10505407305723098,0.0022793999960413203,3,0.49962733151709704,0.11487865883891184,0.002379999998083804
24,N,New_N_025.wav,14-8-5-3,4,0.37168451558393123,126x3,3x212,14,0.05635554533133929,0.38284739886185937,0.008023400005185977,8,0.3008268653050866,0.22260726059288247,0.0035435000027064234,5,0.4562221293742887,0.21470372472883875,0.0023331000047619455,3,0.5108404375515846,0.20124068783125773,0.0020845000035478733
25,N,New_N_026.wav,14-8-5-3,4,0.4094530937767006,126x3,3x212,14,0.060831035616713096,0.37505001949956773,0.00797440000314964,8,0.2416460262150371,0.1822453932768863,0.002999299998919014,5,0.3335709166692165,0.17722268930597213,0.00221610000153305,3,0.424570937926024,0.17650296030213683,0.002006500006245915
26,N,New_N_027.wav,14-8-5-3,4,0.3517173583015135,126x3,3x212,14,0.05464878696773838,0.34960962991154554,0.007666299999982584,8,0.2970591576771241,0.218134298816284,0.0026839000056497753,5,0.43744137494032365,0.18516451792796834,0.002215799999248702,3,0.5402383315677308,0.21282172193275817,0.002031600000918843
27,N,New_N_028.wav,14-8-5-3,4,0.4317284653264338,126x3,3x212,14,0.0516398104529445,0.377275740282067,0.007901199998741504,8,0.25099244530311426,0.1849075787548015,0.0030119000002741814,5,0.3718447084028243,0.19219260589163817,0.0022059000039007515,3,0.43332061142031586,0.21785703128625186,0.002011800002946984
28,N,New_N_029.wav,14-8-5-3,4,0.3950656133925462,126x3,3x212,14,0.06236168937410599,0.36066645119122387,0.008113199997751508,8,0.2908853181911384,0.20755674981317548,0.0030746000047656707,5,0.39645309484320557,0.17458576317692936,0.002289399999426678,3,0.4952081378861759,0.193025146701552,0.002077500001178123
29,N,New_N_030.wav,14-8-5-3,4,0.3319259116529941,126x3,3x212,14,0.06017453805026844,0.34827975079963525,0.008002400005352683,8,0.30359319002460666,0.1891877753858727,0.002791099999740254,5,0.4423416044527563,0.16412354779656338,0.0023226999983307905,3,0.5484828269973946,0.21319214340568268,0.002118299998983275
30,N,New_N_031.wav,14-8-5-3,4,0.364731178850827,126x3,3x212,14,0.055902622034176445,0.3431299588588878,0.008588299999246374,8,0.3363651533145206,0.23810323901149072,0.0026757999949040823,5,0.44019435548851704,0.23175937561772408,0.0031421999956364743,3,0.421905089671923,0.22269557793610192,0.0035113999983877875
