indice_interno,clase,archivo,distribucion,numero_capas,error_final,forma_w_final,forma_h_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,14-9-5,3,0.28713185478703324,126x5,5x212,14,0.053565624277173415,0.3483658118832574,0.010104700006195344,9,0.19945414733168684,0.11446877526750684,0.0032520000022486784,5,0.4836913346270305,0.10816268372592683,0.002576200000476092
1,N,New_N_002.wav,14-9-5,3,0.26366107058903415,126x5,5x212,14,0.05302317688497208,0.45024797291148055,0.009462299996812362,9,0.23197186360949468,0.23823258678532191,0.0037674000050174072,5,0.4217525942177933,0.20839971729905282,0.0025414000047021545
2,N,New_N_003.wav,14-9-5,3,0.29789253715203357,126x5,5x212,14,0.05360478389717511,0.38382074437055286,0.009354499998153187,9,0.2054543350820282,0.2027234040763363,0.0033352000027662143,5,0.36513489900903745,0.15907451205389592,0.0025930000047083013
3,N,New_N_004.wav,14-9-5,3,0.3067979816998817,126x5,5x212,14,0.05797804912504783,0.3663927473288995,0.009915599999658298,9,0.1843333440955056,0.15054148460467603,0.0031790999928489327,5,0.4182823147413812,0.12247046808522874,0.002573500001744833
4,N,New_N_005.wav,14-9-5,3,0.3311797097877976,126x5,5x212,14,0.056848279548327836,0.37074822888858067,0.009376499998325016,9,0.27649762547851775,0.1976471027707218,0.0032668999992893077,5,0.45985730060182306,0.18886881480657564,0.0025817000059760176
5,N,New_N_006.wav,14-9-5,3,0.30732665266381554,126x5,5x212,14,0.05813570900257088,0.3661931673566286,0.009453800004848745,9,0.22491880572876022,0.1961215388678948,0.003406399999221321,5,0.39463786814816715,0.20198087216680527,0.002660099999047816
6,N,New_N_007.wav,14-9-5,3,0.22287018590425614,126x5,5x212,14,0.057882584901206464,0.387855608555497,0.009054600006493274,9,0.2664654569748242,0.22479164903313803,0.0031930999975884333,5,0.46335002225552463,0.21397087773476473,0.0025562999944668263
7,N,New_N_008.wav,14-9-5,3,0.2894021638232638,126x5,5x212,14,0.057192134199308145,0.3461708825397673,0.009962999996787403,9,0.2049329192557142,0.19706977511772195,0.0037585999962175265,5,0.422976914072094,0.18391968929038288,0.002445699996314943
8,N,New_N_009.wav,14-9-5,3,0.2333051424295859,126x5,5x212,14,0.048771728860134644,0.35404304696216016,0.008186999999452382,9,0.2369717648499839,0.21570040082466754,0.002978899996378459,5,0.4204352484923455,0.2084058856685373,0.0023170999993453734
9,N,New_N_010.wav,14-9-5,3,0.25170969808165533,126x5,5x212,14,0.05452708359376625,0.3300242884447448,0.007956900000863243,9,0.23427278994322936,0.1871807204554294,0.0027899000051547773,5,0.46215497495166413,0.17218568128569595,0.0022030000036465935
10,N,New_N_011.wav,14-9-5,3,0.26642568362220137,126x5,5x212,14,0.05478225934126827,0.3977868892448179,0.007753999998385552,9,0.19702530458909087,0.23432465849908202,0.0033126999987871386,5,0.39396970882711535,0.20612486738260744,0.002217500004917383
11,N,New_N_012.wav,14-9-5,3,0.25086241366985224,126x5,5x212,14,0.06255224139525602,0.361842233888757,0.007973700005095452,9,0.23880844695932274,0.2253733246340436,0.0034468000012566335,5,0.44908405135074997,0.18847427239468267,0.0022299999982351437
12,N,New_N_013.wav,14-9-5,3,0.3385567249423027,126x5,5x212,14,0.05269887369976436,0.3353642552471599,0.007798200000252109,9,0.2316291925694971,0.14252600383386835,0.0042578000065987,5,0.4125763778687267,0.13089752179116518,0.002263700000185054
13,N,New_N_014.wav,14-9-5,3,0.29121952642596005,126x5,5x212,14,0.05115927572796739,0.3213620920444098,0.007781800006341655,9,0.3190263995640471,0.13232609040013366,0.0034672000037971884,5,0.5099855060780373,0.1359198324979643,0.0022529999987455085
14,N,New_N_015.wav,14-9-5,3,0.2567515689421928,126x5,5x212,14,0.05659879463096962,0.3564163198397621,0.00785580000228947,9,0.23776455218695838,0.22318729932166148,0.002845099996193312,5,0.39191046929017265,0.18493520195706145,0.0027342000030330382
15,N,New_N_016.wav,14-9-5,3,0.259563028537671,126x5,5x212,14,0.05277660241125205,0.3546171971648435,0.00825990000157617,9,0.26191090011238555,0.18807207218438945,0.0027436000018496998,5,0.3953479975819242,0.13320566596821476,0.0024409000034211203
16,N,New_N_017.wav,14-9-5,3,0.27734083425074074,126x5,5x212,14,0.05394978938677069,0.3688972548062739,0.008597899999585934,9,0.22632230304458778,0.2500204556216128,0.002958999997645151,5,0.4307680895259778,0.1362431803513986,0.002184000004490372
17,N,New_N_018.wav,14-9-5,3,0.2566793297567693,126x5,5x212,14,0.05612810993812861,0.3738824578645311,0.008182199999282602,9,0.18438587020981761,0.21537167119869036,0.003056599998672027,5,0.36612445733185606,0.18140518552641494,0.002172499996959232
18,N,New_N_019.wav,14-9-5,3,0.24380047721736034,126x5,5x212,14,0.06334692050288854,0.37421489288101945,0.007997699998668395,9,0.2712754426368059,0.21243074984625487,0.0027087999987998046,5,0.44507120451370547,0.19107083226067864,0.002166300000681076
19,N,New_N_020.wav,14-9-5,3,0.2830063217206058,126x5,5x212,14,0.05054411877610402,0.3700216151591695,0.009236300000338815,9,0.24840257690979647,0.20248065403902527,0.003910699997504707,5,0.5001804126774366,0.2013791516256796,0.002261200002976693
20,N,New_N_021.wav,14-9-5,3,0.3827531533673434,126x5,5x212,14,0.052162736024703324,0.3229509564591082,0.008156700001563877,9,0.23283849374195037,0.13185318455777356,0.0033295999965048395,5,0.41015756935463416,0.1266180182849576,0.0022332000007736497
21,N,New_N_022.wav,14-9-5,3,0.2982937765570771,126x5,5x212,14,0.05679935851003456,0.3353122912178846,0.008005299998330884,9,0.18015852946941355,0.20456727707053407,0.0030947999985073693,5,0.30181731233478404,0.1707961266357721,0.0022190999952726997
22,N,New_N_023.wav,14-9-5,3,0.27218545533155886,126x5,5x212,14,0.05132059468658288,0.36975355634749846,0.00813390000257641,9,0.296927168968019,0.16958409574312727,0.00285730000177864,5,0.48660524432700347,0.1371225502257551,0.002260599998407997
23,N,New_N_024.wav,14-9-5,3,0.2892801069056807,126x5,5x212,14,0.058887994450877376,0.3888116510446288,0.00814169999648584,9,0.20289744798068798,0.1882093033100735,0.0028811000011046417,5,0.4485599877460524,0.13087477249176344,0.0022676000007777475
24,N,New_N_025.wav,14-9-5,3,0.24462291042895096,126x5,5x212,14,0.05635554533133929,0.38284739886185937,0.00786829999560723,9,0.25190362819248496,0.2247885368297998,0.003151099997921847,5,0.4763472747129603,0.24349270628960484,0.0022630999956163578
25,N,New_N_026.wav,14-9-5,3,0.3061968871329913,126x5,5x212,14,0.060831035616713096,0.37505001949956773,0.0077231000032043085,9,0.23631987077174635,0.2040181521241609,0.0038564999995287508,5,0.42972498664534525,0.20064957086036245,0.0023010000004433095
26,N,New_N_027.wav,14-9-5,3,0.25539539417735224,126x5,5x212,14,0.05464878696773838,0.34960962991154554,0.007733800004643854,9,0.25771520478524285,0.2468692818596115,0.003792200004681945,5,0.47473827757475734,0.2066553997697731,0.0028468000018619932
27,N,New_N_028.wav,14-9-5,3,0.2495164068566953,126x5,5x212,14,0.0516398104529445,0.377275740282067,0.0078061999956844375,9,0.2310811594193775,0.20993168615740346,0.0036792999962926842,5,0.3876144941041866,0.18301895195114112,0.0028326000028755516
28,N,New_N_029.wav,14-9-5,3,0.31411287122863135,126x5,5x212,14,0.06236168937410599,0.36066645119122387,0.007828699999663513,9,0.2656254463427894,0.15475534331084362,0.0033532000015839003,5,0.4314008242526211,0.15421214427059282,0.002332200005184859
29,N,New_N_030.wav,14-9-5,3,0.26046782605333846,126x5,5x212,14,0.06017453805026844,0.34827975079963525,0.0077713999999105,9,0.21582043417984703,0.1840334832737721,0.0039296000031754375,5,0.3679614484592482,0.1635775569242533,0.002210699996794574
30,N,New_N_031.wav,14-9-5,3,0.2767451053548418,126x5,5x212,14,0.055902622034176445,0.3431299588588878,0.007941399999253917,9,0.30463634237606246,0.26121039831462567,0.002921500003139954,5,0.4854341901352977,0.1957010445358655,0.0021720000004279427
31,N,New_N_032.wav,14-9-5,3,0.26806004787104754,126x5,5x212,14,0.05300257516007365,0.3914497279520374,0.008282200004032347,9,0.2513320376214426,0.25590342270282146,0.003392300000996329,5,0.4226220621095291,0.1712096795374098,0.0022151000011945143
32,N,New_N_033.wav,14-9-5,3,0.30245334222067827,126x5,5x212,14,0.049257515619879545,0.37826857795478397,0.008087299996986985,9,0.27831150765922946,0.18810361489108712,0.002834300001268275,5,0.4505427196707746,0.19258601410405995,0.0022540999998454936
33,N,New_N_034.wav,14-9-5,3,0.24793633457343742,126x5,5x212,14,0.06764420504232005,0.3539272038377017,0.01017380000121193,9,0.21588906928987614,0.18269443299589203,0.0032865999964997172,5,0.5192286322449432,0.19895207727410202,0.002563699999882374
34,N,New_N_035.wav,14-9-5,3,0.25303432897270256,126x5,5x212,14,0.05158779090505021,0.3463973549147036,0.009531700001389254,9,0.24701453917768929,0.21204773808050598,0.0031282999989343807,5,0.3964225883137042,0.155082561945028,0.0024504000029992312
35,N,New_N_036.wav,14-9-5,3,0.3049176639541159,126x5,5x212,14,0.05641406498780273,0.3563147271733777,0.008474000002024695,9,0.18870686881203574,0.16510596472291458,0.003285600003437139,5,0.3995250082887125,0.1346581756315099,0.0022600000011152588
36,N,New_N_037.wav,14-9-5,3,0.2511655017978018,126x5,5x212,14,0.03438936569637427,0.40435036004114844,0.008647700000437908,9,0.155834488418259,0.17597778355583907,0.0034823000023607165,5,0.353840084224599,0.14459961131338886,0.0022997000050963834
37,N,New_N_038.wav,14-9-5,3,0.2713772722810599,126x5,5x212,14,0.035325505460527956,0.3544419029121221,0.008334599995578174,9,0.17207385562220348,0.197632095217175,0.0031642999965697527,5,0.46362039974108493,0.1743020428927719,0.002246000003651716
